DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_RAW_LSA_22,Associated
0.0737,0.1686,NO
0.0652,0.1687,NO
0.1144,0.1153,NO
0.2164,0.1926,NO
0.0671,0.1453,NO
0.0906,0.2963,NO
0.0589,0.1987,NO
0.0679,0.1548,NO
0.1689,0.2252,NO
0.2469,1.0,YES
0.0616,0.2347,NO
0.33799999999999997,1.0,YES
0.2427,0.0242,NO
0.2231,0.1834,NO
0.2223,0.0113,NO
0.1142,0.1687,NO
0.0706,0.1906,NO
0.1109,0.1548,NO
0.0747,0.0949,NO
0.2179,0.1687,NO
0.1147,0.1663,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1171,NO
0.0716,1.0,YES
0.1205,0.1153,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.0511,NO
0.1579,0.1659,NO
0.1148,0.1344,NO
0.1112,0.1659,NO
0.3947,0.35200000000000004,YES
0.0957,1.0,YES
0.1364,0.0676,NO
0.1056,0.1474,NO
0.0981,0.1405,NO
0.1058,0.1474,NO
0.1797,0.0995,NO
0.1526,0.1649,NO
0.1551,0.0425,NO
0.2811,1.0,YES
0.0766,0.0978,NO
0.1126,1.0,YES
0.0341,0.1659,NO
0.3399,1.0,YES
0.0412,0.0836,NO
0.1212,0.049,NO
0.0769,0.1474,NO
0.1235,0.1156,NO
0.0802,0.1474,NO
0.1903,0.1316,NO
0.1119,0.1474,NO
0.1008,0.1659,NO
0.0886,0.1553,NO
0.1534,0.0434,NO
0.1331,0.141,NO
0.2865,0.2137,NO
0.1512,0.2143,NO
0.1666,0.2137,NO
0.1465,0.1579,NO
0.0509,0.076,NO
0.2187,0.1452,NO
0.4574,1.0,YES
0.1603,0.1505,NO
0.2015,1.0,YES
0.205,0.0957,NO
0.2168,0.0544,NO
0.2136,0.047,NO
0.1919,0.159,NO
0.1533,0.20600000000000002,NO
0.1268,0.0959,NO
0.1947,0.2137,NO
0.1755,0.0687,NO
0.2202,0.2083,NO
0.4465,0.3848,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.1526,NO
0.1927,1.0,YES
0.1251,0.2137,NO
0.1303,0.188,YES
0.1814,0.284,YES
0.3356,0.1489,NO
0.1662,0.204,NO
0.1507,0.1268,NO
0.1441,0.204,NO
0.3435,0.1,YES
0.1243,0.188,YES
0.1731,0.1489,NO
0.0952,0.0308,NO
0.1364,0.1692,NO
0.0887,0.0195,NO
0.2289,0.2183,NO
0.2088,0.0753,NO
0.2075,0.2183,NO
0.1923,0.284,YES
0.0927,0.0477,NO
0.0821,0.188,YES
0.0311,0.204,NO
0.3081,0.284,YES
0.0406,0.044000000000000004,NO
0.1251,0.1387,NO
0.091,0.1387,NO
0.11800000000000001,0.1387,NO
0.1053,0.0227,NO
0.2201,0.1525,NO
0.1351,0.1387,NO
0.1328,0.204,NO
0.0724,0.1328,NO
0.0244,0.1267,NO
0.1404,0.2111,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.3354,YES
0.0826,0.1366,NO
0.013000000000000001,0.1508,NO
0.2103,0.2212,YES
0.1395,0.0968,NO
0.1325,0.2062,YES
0.1443,0.0968,NO
0.2165,0.2037,NO
0.1934,0.1719,NO
0.1934,0.2037,NO
0.0572,0.1508,NO
0.2318,1.0,YES
0.0556,0.1508,NO
0.3609,1.0,YES
0.1417,0.1508,NO
0.255,1.0,YES
0.0522,0.063,NO
0.0677,0.13699999999999998,NO
0.1439,0.2125,NO
0.0494,0.0968,NO
0.1715,0.2111,YES
0.0964,0.1155,NO
0.1343,0.3354,YES
0.1544,0.1686,NO
0.0732,0.0217,NO
0.1975,0.1639,NO
0.2582,0.2524,NO
0.1977,0.2067,NO
0.1701,0.2963,NO
0.1684,0.1987,NO
0.1225,0.0179,NO
0.1458,0.2252,NO
0.4028,0.4997,YES
0.1577,0.2347,NO
0.2904,0.4997,YES
0.1987,0.0412,NO
0.1756,0.1834,NO
0.1689,0.0235,NO
0.054000000000000006,0.0656,NO
0.1469,0.1906,NO
0.0547,0.0637,NO
0.1082,0.2524,NO
0.2019,0.0374,NO
0.1293,0.0779,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,0.4997,YES
0.2226,0.1639,NO
0.1753,1.0,YES
0.0979,0.2524,NO
0.0985,0.1566,NO
0.0774,0.11,NO
0.1069,0.2378,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,1.0,YES
0.0885,0.0387,NO
0.0604,0.0846,NO
0.2068,0.2465,YES
0.2598,0.1475,NO
0.106,0.2134,YES
0.1459,0.0891,NO
0.2252,0.1928,NO
0.2571,0.0679,NO
0.2375,0.1815,NO
0.1453,0.11,NO
0.2245,0.2745,YES
0.141,0.0846,NO
0.2623,1.0,YES
0.142,0.1481,NO
0.2555,1.0,YES
0.2049,0.0503,NO
0.2206,0.0835,NO
0.2228,0.0818,NO
0.1032,0.0457,NO
0.1461,0.2732,YES
0.1116,0.2113,NO
0.1326,1.0,YES
0.1415,0.1686,NO
0.0745,0.1669,NO
0.2381,0.1924,NO
0.19,0.2395,NO
0.1547,0.1506,NO
0.1997,0.2963,NO
0.1653,0.1987,NO
0.1536,0.017,NO
0.1999,0.2252,NO
0.1989,1.0,YES
0.2045,0.2347,NO
0.2447,1.0,YES
0.2519,0.2269,NO
0.2036,0.1834,NO
0.2033,0.2269,NO
0.0533,0.1669,NO
0.105,0.1906,NO
0.055999999999999994,0.0959,NO
0.1113,0.2395,NO
0.2256,0.1669,NO
0.0989,0.1254,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.1924,NO
0.1657,1.0,YES
0.1331,0.2395,NO
0.0949,0.1553,NO
0.1339,0.1197,NO
0.22399999999999998,0.1377,NO
0.1967,0.1926,NO
0.1436,0.1494,NO
0.2079,0.1986,NO
0.1339,0.0768,NO
0.0967,0.0776,NO
0.2198,0.2188,NO
0.3428,1.0,YES
0.2344,0.2213,NO
0.1736,1.0,YES
0.1331,0.0957,NO
0.0735,0.0709,NO
0.0647,0.0232,NO
0.204,0.159,NO
0.1327,0.20600000000000002,NO
0.1655,0.0959,NO
0.31,0.1701,NO
0.1309,0.1197,NO
0.2819,0.2083,NO
0.4042,0.3865,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.1526,NO
0.2673,1.0,YES
0.1726,0.2213,NO
0.1439,0.1796,NO
0.0769,0.0206,NO
0.1953,0.1743,NO
0.2342,0.2664,NO
0.2047,0.07,NO
0.1823,0.2664,NO
0.1684,0.0751,NO
0.1204,0.1796,NO
0.1751,0.1743,NO
0.3579,0.4754,YES
0.1828,0.1176,NO
0.2083,0.4754,YES
0.2252,0.2085,NO
0.2041,0.0735,NO
0.2007,0.2034,NO
0.0498,0.1796,NO
0.1415,0.0709,NO
0.0515,0.1796,NO
0.1207,0.2664,NO
0.1912,0.0479,NO
0.14,0.1015,NO
0.4038,0.3235,YES
0.3494,0.4373,YES
0.2799,0.4754,YES
0.2675,0.4754,YES
0.2206,0.1743,NO
0.2003,0.4373,YES
0.1168,0.2664,NO
0.0727,0.1553,NO
0.0714,0.1542,NO
0.10800000000000001,0.1377,NO
0.2886,0.1926,NO
0.1427,0.2184,NO
0.0855,0.1986,NO
0.0605,0.0789,NO
0.0532,0.0096,NO
0.1421,0.107,NO
0.4397,1.0,YES
0.0607,0.0852,NO
0.2347,1.0,YES
0.2118,0.1871,NO
0.2048,0.0659,NO
0.2045,0.0545,NO
0.0849,0.159,NO
0.1035,0.20600000000000002,NO
0.0824,0.0959,NO
0.0975,0.1701,NO
0.1702,0.1542,NO
0.1518,0.2083,NO
0.3372,0.3196,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.1526,NO
0.1128,1.0,YES
0.099,0.1219,NO
0.1069,0.153,NO
0.0451,0.0253,NO
0.5095,0.364,YES
0.1431,1.0,YES
0.1227,0.2628,YES
0.2847,1.0,YES
0.2237,0.1924,NO
0.1065,0.153,NO
0.3266,0.344,YES
0.0974,0.1475,NO
0.3289,1.0,YES
0.1059,0.1253,NO
0.2131,0.0866,NO
0.1496,0.0636,NO
0.1474,0.0885,NO
0.0902,0.153,NO
0.0993,0.2337,YES
0.0875,0.153,NO
0.2369,1.0,YES
0.2129,0.1481,NO
0.1321,0.2328,YES
0.1271,0.1006,NO
0.08,0.1426,NO
0.3025,0.077,NO
0.12,0.1253,NO
0.3399,0.344,YES
0.2516,0.2714,NO
0.2081,1.0,YES
0.1799,0.17,NO
0.1547,0.0802,NO
0.3595,1.0,YES
0.2156,0.172,NO
0.1535,0.141,NO
0.4159,1.0,YES
0.1827,0.0732,NO
0.1097,0.0733,NO
0.5448,1.0,YES
0.191,0.1183,NO
0.4381,0.3985,YES
0.1528,0.0884,NO
0.3264,0.2099,NO
0.3203,0.0782,NO
0.2648,0.0923,NO
0.171,0.0733,NO
0.21899999999999997,0.1919,NO
0.1398,0.0733,NO
0.3673,0.0445,NO
0.1451,0.0727,NO
0.2637,0.172,NO
0.1991,0.1265,NO
0.1784,0.0542,NO
0.3767,0.2444,NO
0.1917,0.1193,NO
0.3794,1.0,YES
0.3359,0.1032,NO
0.2874,1.0,YES
0.0798,0.1248,NO
0.0364,0.0264,NO
0.2475,0.32899999999999996,YES
0.2794,1.0,YES
0.2232,1.0,YES
0.2213,1.0,YES
0.1233,0.0611,NO
0.0474,0.1533,NO
0.2799,0.32899999999999996,YES
0.2328,0.33,NO
0.2608,0.3174,YES
0.1095,0.33,NO
0.2365,0.2585,NO
0.2061,0.1632,NO
0.2048,0.0885,NO
0.0456,0.1533,NO
0.1795,0.3645,YES
0.0442,0.1533,NO
0.27,1.0,YES
0.1224,0.1533,NO
0.1913,0.3645,YES
0.2397,0.1516,NO
0.2111,0.2818,NO
0.2935,0.33,NO
0.1155,0.33,NO
0.243,0.32899999999999996,YES
0.1959,0.2818,NO
0.198,1.0,YES
0.1636,0.0622,NO
0.1646,0.0237,NO
0.3881,1.0,YES
0.1762,0.24600000000000002,NO
0.1649,0.3036,NO
0.4197,0.3082,YES
0.1681,0.0603,NO
0.153,0.0302,NO
0.4738,1.0,YES
0.159,0.0817,NO
0.493,1.0,YES
0.1456,0.0467,NO
0.2244,0.2516,NO
0.1542,0.1848,NO
0.1277,0.1085,NO
0.1775,0.0341,NO
0.2106,0.3036,NO
0.1654,0.0302,NO
0.3557,0.3036,NO
0.0902,0.0698,NO
0.2663,0.3036,NO
0.2218,0.2848,NO
0.1764,0.2848,NO
0.3901,0.2848,NO
0.21600000000000003,0.1165,NO
0.402,1.0,YES
0.3584,0.2848,NO
0.3239,0.3161,YES
0.0467,0.1328,NO
0.0184,0.0854,NO
0.0544,0.1997,YES
0.1967,0.2103,YES
0.1251,1.0,YES
0.0526,0.1484,YES
0.0389,0.1366,NO
0.0098,0.0836,NO
0.1204,0.2212,YES
0.1152,0.0805,NO
0.0434,0.1972,YES
0.0994,0.0756,NO
0.171,0.1625,NO
0.1733,0.1719,NO
0.1785,0.0473,NO
0.0632,0.0891,NO
0.1652,1.0,YES
0.0614,0.0864,NO
0.1533,1.0,YES
0.1347,0.0854,NO
0.1212,1.0,YES
0.015,0.0525,NO
0.0714,0.13699999999999998,NO
0.0698,0.2125,NO
0.035,0.0948,NO
0.0672,0.1864,YES
0.0378,0.1027,NO
0.0637,0.1548,YES
0.3024,0.4232,YES
0.0482,1.0,YES
0.3634,0.0452,NO
0.1548,0.1272,NO
0.1459,0.1009,NO
0.1506,0.0612,NO
0.2394,0.35200000000000004,YES
0.3693,1.0,YES
0.1404,0.1313,NO
0.0758,0.0767,NO
0.1517,0.1636,NO
0.067,0.0609,NO
0.2131,0.2374,NO
0.16,0.1649,NO
0.1446,0.2374,NO
0.0844,1.0,YES
0.095,0.0978,NO
0.2419,1.0,YES
0.026000000000000002,0.0553,NO
0.2985,1.0,YES
0.0377,0.0836,NO
0.102,0.0178,NO
0.0927,0.1143,NO
0.1259,0.0798,NO
0.1193,0.0218,NO
0.2177,0.1098,NO
0.15,0.0889,NO
0.0996,0.1636,NO
0.0839,0.1372,NO
0.0672,0.0657,NO
0.3068,1.0,YES
0.1154,0.301,YES
0.0802,0.2624,YES
0.3166,0.4483,YES
0.0868,0.1924,NO
0.0677,0.0509,NO
0.5456,1.0,YES
0.0938,0.0928,NO
0.3771,1.0,YES
0.0765,0.0928,NO
0.3042,0.2778,NO
0.1867,0.1848,NO
0.2024,0.1085,NO
0.084,0.0657,NO
0.1127,0.2624,YES
0.0773,0.0623,NO
0.3002,0.301,YES
0.0821,0.1208,NO
0.1969,0.2624,YES
0.1353,0.2649,NO
0.0942,0.2649,NO
0.3023,0.2649,NO
0.1177,0.1202,NO
0.2966,1.0,YES
0.2621,0.2714,NO
0.3631,1.0,YES
0.1178,0.1931,NO
0.0474,0.0802,NO
0.4277,1.0,YES
0.2214,1.0,YES
0.2007,0.2628,YES
0.2467,1.0,YES
0.2192,0.1955,NO
0.1165,0.1931,NO
0.3035,1.0,YES
0.1886,0.1475,NO
0.2922,0.3083,YES
0.1088,0.0884,NO
0.2277,0.2193,NO
0.1763,0.2246,NO
0.1744,0.0945,NO
0.0948,0.1931,NO
0.152,0.2337,YES
0.0882,0.1931,NO
0.2267,1.0,YES
0.1968,0.1494,NO
0.1574,0.2157,YES
0.2134,0.1265,NO
0.1846,0.0577,NO
0.3004,0.2444,NO
0.1322,0.1193,NO
