DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_62,Associated
0.0737,0.3435,NO
0.0652,0.2669,NO
0.1144,0.5387,NO
0.2164,0.5399,NO
0.0671,0.6145,NO
0.0906,0.9623,NO
0.0589,0.7209,NO
0.0679,0.1513,NO
0.1689,0.3241,NO
0.2469,1.4603,YES
0.0616,0.4343,NO
0.33799999999999997,2.3215,YES
0.2427,0.5468,NO
0.2231,0.7392,NO
0.2223,0.1797,NO
0.1142,0.3631,NO
0.0706,0.701,NO
0.1109,0.3475,NO
0.0747,0.8782,NO
0.2179,0.3564,NO
0.1147,0.4999,NO
0.0779,2.318,YES
0.0804,2.0582,YES
0.1668,1.6953,YES
0.24,0.877,YES
0.1573,0.7454,NO
0.0716,1.0986,YES
0.1205,0.5321,NO
0.1072,0.7263,YES
0.2444,0.3066,YES
0.3362,0.35700000000000004,NO
0.1579,0.4858,NO
0.1148,0.3368,NO
0.1112,0.6619,NO
0.3947,0.7809,YES
0.0957,1.1926,YES
0.1364,0.2244,NO
0.1056,0.2797,NO
0.0981,0.3358,NO
0.1058,0.145,NO
0.1797,0.259,NO
0.1526,0.3268,NO
0.1551,0.1095,NO
0.2811,1.6082,YES
0.0766,0.375,NO
0.1126,0.8962,YES
0.0341,0.5095,NO
0.3399,1.4577,YES
0.0412,0.3289,NO
0.1212,0.168,NO
0.0769,0.2253,NO
0.1235,0.1055,NO
0.0802,0.2114,NO
0.1903,0.4471,NO
0.1119,0.2472,NO
0.1008,0.3575,NO
0.0886,0.3648,NO
0.1534,0.1929,NO
0.1331,0.4801,NO
0.2865,0.473,NO
0.1512,0.5219,NO
0.1666,0.8171,NO
0.1465,0.4825,NO
0.0509,0.1743,NO
0.2187,0.2547,NO
0.4574,2.1429,YES
0.1603,0.2139,NO
0.2015,2.6133,YES
0.205,0.4983,NO
0.2168,0.6372,NO
0.2136,0.1152,NO
0.1919,0.2964,NO
0.1533,0.5779,NO
0.1268,0.2075,NO
0.1947,0.8009999999999999,NO
0.1755,0.2299,NO
0.2202,0.5337,NO
0.4465,2.5773,YES
0.4252,2.6492,YES
0.3653,1.8408,YES
0.1771,1.5819999999999999,YES
0.1659,0.7759999999999999,NO
0.1927,1.7967,YES
0.1251,0.4737,NO
0.1303,1.1476,YES
0.1814,1.0836,YES
0.3356,0.3433,NO
0.1662,0.1272,NO
0.1507,0.1315,NO
0.1441,0.6162,NO
0.3435,1.4098,YES
0.1243,1.197,YES
0.1731,0.3188,NO
0.0952,0.1185,NO
0.1364,0.46399999999999997,NO
0.0887,0.2722,NO
0.2289,0.11800000000000001,NO
0.2088,0.259,NO
0.2075,0.068,NO
0.1923,1.4836,YES
0.0927,0.0454,NO
0.0821,0.7876,YES
0.0311,0.1427,NO
0.3081,0.7273,YES
0.0406,0.1281,NO
0.1251,0.2726,NO
0.091,0.1768,NO
0.11800000000000001,0.1779,NO
0.1053,0.1291,NO
0.2201,0.5498,NO
0.1351,0.0339,NO
0.1328,0.5006,NO
0.0724,0.7522,NO
0.0244,0.1209,NO
0.1404,1.5563,YES
0.3348,3.0876,YES
0.2937,3.4528,YES
0.14300000000000002,2.3923,YES
0.0826,0.5152,NO
0.013000000000000001,0.2677,NO
0.2103,0.8323,YES
0.1395,0.4305,NO
0.1325,1.7042,YES
0.1443,0.508,NO
0.2165,0.6717,NO
0.1934,0.7835,NO
0.1934,0.2333,NO
0.0572,0.3561,NO
0.2318,2.655,YES
0.0556,0.3112,NO
0.3609,3.5958,YES
0.1417,0.3195,NO
0.255,2.2363,YES
0.0522,0.3794,NO
0.0677,0.7894,NO
0.1439,0.8079,NO
0.0494,0.1921,NO
0.1715,1.0195,YES
0.0964,0.5436,NO
0.1343,1.7823,YES
0.1544,0.4981,NO
0.0732,0.2314,NO
0.1975,0.8888,NO
0.2582,0.3917,NO
0.1977,0.6248,NO
0.1701,0.8997,NO
0.1684,0.5069,NO
0.1225,0.2019,NO
0.1458,0.6318,NO
0.4028,2.0806,YES
