DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_20,Associated
0.0737,0.6445,NO
0.0652,0.5414,NO
0.1144,0.5186,NO
0.2164,1.2561,NO
0.0671,0.5602,NO
0.0906,1.5305,NO
0.0589,0.74,NO
0.0679,0.363,NO
0.1689,0.5835,NO
0.2469,3.4407,YES
0.0616,0.9156,NO
0.33799999999999997,4.0139,YES
0.2427,0.1323,NO
0.2231,0.5921,NO
0.2223,0.1478,NO
0.1142,0.5229,NO
0.0706,0.9355,NO
0.1109,0.5937,NO
0.0747,0.7088,NO
0.2179,0.7203,NO
0.1147,0.8687,NO
0.0779,3.4358,YES
0.0804,3.2358,YES
0.1668,3.2761,YES
0.24,3.6261,YES
0.1573,0.3793,NO
0.0716,2.6497,YES
0.1205,0.7848,NO
0.1072,1.6491,YES
0.2444,2.772,YES
0.3362,2.141,NO
0.1579,0.7612,NO
0.1148,0.8015,NO
0.1112,1.85,NO
0.3947,1.4572,YES
0.0957,1.5537,YES
0.1364,1.8071,NO
0.1056,0.5974,NO
0.0981,1.8509,NO
0.1058,0.7913,NO
0.1797,0.5759,NO
0.1526,0.6149,NO
0.1551,0.6993,NO
0.2811,2.5733,YES
0.0766,0.6435,NO
0.1126,1.6837,YES
0.0341,1.0606,NO
0.3399,2.8308,YES
0.0412,1.0009,NO
0.1212,0.8555,NO
0.0769,0.9729,NO
0.1235,1.1344,NO
0.0802,0.9303,NO
0.1903,1.9616,NO
0.1119,0.7677,NO
0.1008,1.8391,NO
0.0886,0.5291,NO
0.1534,0.2655,NO
0.1331,0.4006,NO
0.2865,1.4597,NO
0.1512,0.701,NO
0.1666,1.4741,NO
0.1465,0.46299999999999997,NO
0.0509,0.2719,NO
0.2187,0.6206,NO
0.4574,3.1407,YES
0.1603,0.8009999999999999,NO
0.2015,3.8005,YES
0.205,0.3394,NO
0.2168,0.7408,NO
0.2136,0.3351,NO
0.1919,0.1152,NO
0.1533,1.2153,NO
0.1268,0.4174,NO
0.1947,0.7892,NO
0.1755,0.3156,NO
0.2202,0.9993,NO
0.4465,3.2451,YES
0.4252,3.1783,YES
0.3653,3.1046,YES
0.1771,3.2578,YES
0.1659,0.3318,NO
0.1927,2.4318,YES
0.1251,0.6215,NO
0.1303,2.0614,YES
0.1814,3.0365,YES
0.3356,2.5037,NO
0.1662,0.6198,NO
0.1507,0.4345,NO
0.1441,2.4438,NO
0.3435,1.5439,YES
0.1243,1.8976,YES
0.1731,2.305,NO
0.0952,1.3452,NO
0.1364,1.9351,NO
0.0887,1.8271,NO
0.2289,0.9419,NO
0.2088,1.1366,NO
0.2075,1.0179,NO
0.1923,2.8816,YES
0.0927,0.2819,NO
0.0821,2.0418,YES
0.0311,0.6328,NO
0.3081,3.0666,YES
0.0406,0.7438,NO
0.1251,1.7623,NO
0.091,1.5568,NO
0.11800000000000001,1.6243,NO
0.1053,1.6401,NO
0.2201,2.2403,NO
0.1351,1.304,NO
0.1328,2.0093,NO
0.0724,0.4753,NO
0.0244,0.9714,NO
0.1404,1.4844,YES
0.3348,3.7819,YES
0.2937,4.285,YES
0.14300000000000002,1.3075,YES
0.0826,0.2891,NO
0.013000000000000001,0.4523,NO
0.2103,1.1465,YES
0.1395,0.3896,NO
0.1325,1.6030000000000002,YES
0.1443,0.5186,NO
0.2165,1.0119,NO
0.1934,0.8675,NO
0.1934,0.9041,NO
0.0572,0.4984,NO
0.2318,4.0884,YES
0.0556,0.3614,NO
0.3609,4.1405,YES
0.1417,1.0739,NO
0.255,4.3064,YES
0.0522,0.2609,NO
0.0677,1.4319,NO
0.1439,0.9396,NO
0.0494,0.7649,NO
0.1715,1.0653,YES
0.0964,0.4796,NO
0.1343,1.3688,YES
0.1544,0.4808,NO
0.0732,0.4232,NO
0.1975,0.5796,NO
0.2582,1.2144,NO
0.1977,0.5754,NO
0.1701,1.2943,NO
0.1684,0.6093,NO
0.1225,0.2271,NO
0.1458,0.7387,NO
0.4028,2.897,YES
0.1577,0.8774,NO
0.2904,3.39,YES
0.1987,0.1211,NO
0.1756,0.5004,NO
0.1689,0.247,NO
0.054000000000000006,0.3276,NO
0.1469,0.7929,NO
0.0547,0.3744,NO
0.1082,0.7665,NO
0.2019,0.4404,NO
0.1293,0.8634,NO
0.3897,2.7848,YES
0.3612,2.7368,YES
0.2791,2.5379,YES
0.2894,3.0545,YES
0.2226,0.5011,NO
0.1753,1.92,YES
0.0979,0.7727,NO
0.0985,0.5579,NO
0.0774,0.6911,NO
0.1069,1.7661,YES
0.3647,3.7492,YES
0.2531,3.8311,YES
0.1331,1.6018,YES
0.0885,0.1756,NO
0.0604,0.3508,NO
0.2068,1.3029,YES
0.2598,1.4134,NO
0.106,2.035,YES
0.1459,1.5793,NO
0.2252,0.3352,NO
0.2571,0.3237,NO
0.2375,0.2733,NO
0.1453,0.4252,NO
0.2245,3.5313,YES
0.141,0.2615,NO
0.2623,3.9075,YES
0.142,1.1112,NO
0.2555,4.0823,YES
0.2049,1.1006,NO
0.2206,2.1588,NO
0.2228,1.7321,NO
0.1032,1.9267,NO
0.1461,1.3932,YES
0.1116,0.6793,NO
0.1326,1.8323,YES
0.1415,0.9842,NO
0.0745,0.8639,NO
0.2381,1.0161,NO
0.19,1.2222,NO
0.1547,0.7725,NO
0.1997,1.2215,NO
0.1653,0.5394,NO
0.1536,0.6257,NO
0.1999,0.7356,NO
0.1989,2.4334,YES
0.2045,1.0416,NO
0.2447,2.8171,YES
0.2519,0.1024,NO
0.2036,0.4584,NO
0.2033,0.155,NO
0.0533,0.8342,NO
0.105,0.6502,NO
0.055999999999999994,0.69,NO
0.1113,0.7956,NO
0.2256,1.0757,NO
0.0989,1.0585,NO
0.1879,2.2563,YES
0.1445,2.3515,YES
0.1901,2.1738,YES
0.3108,2.8038,YES
0.2405,0.7343,NO
0.1657,1.3255,YES
0.1331,0.9405,NO
0.0949,0.4601,NO
0.1339,0.5683,NO
0.22399999999999998,1.5085,NO
0.1967,1.2651,NO
0.1436,0.7399,NO
0.2079,2.1423,NO
0.1339,0.7139,NO
0.0967,0.3596,NO
0.2198,1.6414,NO
0.3428,2.6829,YES
0.2344,1.8508,NO
0.1736,3.1633,YES
0.1331,0.2266,NO
0.0735,0.5014,NO
0.0647,0.2432,NO
0.204,0.4236,NO
0.1327,1.3791,NO
0.1655,0.456,NO
0.31,1.1492,NO
0.1309,0.7025,NO
0.2819,1.0402,NO
0.4042,2.8754,YES
0.3296,2.7039,YES
0.4941,3.3944,YES
0.1783,2.8256,YES
0.193,1.2762,NO
0.2673,2.6112,YES
0.1726,1.6494,NO
0.1439,0.8729,NO
0.0769,0.6553,NO
0.1953,0.3955,NO
0.2342,1.2278,NO
0.2047,0.499,NO
0.1823,1.2544,NO
0.1684,0.5404,NO
0.1204,0.5721,NO
0.1751,0.4476,NO
0.3579,2.9579,YES
0.1828,0.5792,NO
0.2083,3.6463,YES
0.2252,0.1123,NO
0.2041,0.544,NO
0.2007,0.1973,NO
0.0498,0.5929,NO
0.1415,0.7347,NO
0.0515,0.7136,NO
0.1207,0.6028,NO
0.1912,0.7575,NO
0.14,0.8072,NO
0.4038,3.0667,YES
0.3494,2.9131,YES
0.2799,2.7856,YES
0.2675,3.2804,YES
0.2206,0.2483,NO
0.2003,2.1695,YES
0.1168,0.4617,NO
0.0727,0.5126,NO
0.0714,0.4507,NO
0.10800000000000001,0.3457,NO
0.2886,1.0881,NO
0.1427,0.5345,NO
0.0855,1.004,NO
0.0605,0.6505,NO
0.0532,0.28,NO
0.1421,0.5196,NO
0.4397,3.1801,YES
0.0607,0.7362,NO
0.2347,3.5433,YES
0.2118,0.1252,NO
0.2048,0.4835,NO
0.2045,0.1634,NO
0.0849,0.3736,NO
0.1035,0.9457,NO
0.0824,0.5291,NO
0.0975,0.6469,NO
0.1702,0.5018,NO
0.1518,0.8061,NO
0.3372,2.8342,YES
0.3303,2.9326,YES
0.314,2.5998,YES
0.1257,3.0193,YES
0.1375,0.2446,NO
0.1128,1.9954,YES
0.099,0.5561,NO
0.1069,0.48,NO
0.0451,0.7798,NO
0.5095,5.8589,YES
0.1431,0.8287,YES
0.1227,1.1646,YES
0.2847,5.6317,YES
0.2237,0.61,NO
0.1065,0.6697,NO
0.3266,5.7155,YES
0.0974,0.09699999999999999,NO
0.3289,6.0076,YES
0.1059,0.4509,NO
0.2131,0.8059,NO
0.1496,0.6555,NO
0.1474,0.9458,NO
0.0902,0.6232,NO
0.0993,1.4596,YES
0.0875,0.1093,NO
0.2369,2.2449,YES
0.2129,1.511,NO
0.1321,1.7188,YES
0.1271,0.9382,NO
0.08,0.7537,NO
0.3025,2.6537,NO
0.12,0.7641,NO
0.3399,5.8098,YES
0.2516,1.7585,NO
0.2081,6.1224,YES
0.1799,0.4253,NO
0.1547,0.3977,NO
0.3595,2.9145,YES
0.2156,1.3452,NO
0.1535,1.7128,NO
0.4159,3.0363,YES
0.1827,0.0093,NO
0.1097,0.4558,NO
0.5448,2.5459,YES
0.191,0.3177,NO
0.4381,2.8889,YES
0.1528,0.9426,NO
0.3264,0.664,NO
0.3203,1.16,NO
0.2648,0.7802,NO
0.171,0.3091,NO
0.21899999999999997,1.2447,NO
0.1398,0.2554,NO
0.3673,1.6756,NO
0.1451,0.7078,NO
0.2637,1.7568,NO
0.1991,0.8989,NO
0.1784,0.856,NO
0.3767,1.0691,NO
0.1917,0.9909,NO
0.3794,2.5789999999999997,YES
0.3359,1.1552,NO
0.2874,2.9621,YES
0.0798,1.1693,NO
0.0364,1.3408,NO
0.2475,5.7351,YES
0.2794,4.6294,YES
0.2232,4.8871,YES
0.2213,5.8524,YES
0.1233,0.7691,NO
0.0474,0.9767,NO
0.2799,5.1165,YES
0.2328,1.9731,NO
0.2608,6.1864,YES
0.1095,2.9431,NO
0.2365,1.1181,NO
0.2061,1.2892,NO
0.2048,1.2397,NO
0.0456,0.9159999999999999,NO
0.1795,4.7677,YES
0.0442,0.5103,NO
0.27,5.7963,YES
0.1224,2.0532,NO
0.1913,5.3416,YES
0.2397,2.8184,NO
0.2111,3.1532,NO
0.2935,4.4662,NO
0.1155,3.5689,NO
0.243,5.2412,YES
0.1959,3.1534,NO
0.198,5.9138,YES
0.1636,0.431,NO
0.1646,0.5825,NO
0.3881,3.565,YES
0.1762,0.5123,NO
0.1649,0.4327,NO
0.4197,4.0839,YES
0.1681,0.6084,NO
0.153,0.5286,NO
0.4738,3.8875,YES
0.159,0.7915,NO
0.493,4.05,YES
0.1456,1.3657,NO
0.2244,0.4507,NO
0.1542,0.5155,NO
0.1277,0.36700000000000005,NO
0.1775,0.4528,NO
0.2106,1.0342,NO
0.1654,0.2732,NO
0.3557,1.4498,NO
0.0902,0.7712,NO
0.2663,0.6018,NO
0.2218,1.6197,NO
0.1764,0.9289,NO
0.3901,2.9875,NO
0.21600000000000003,1.32,NO
0.402,3.8685,YES
0.3584,2.4415,NO
0.3239,3.8962,YES
0.0467,0.6965,NO
0.0184,0.8701,NO
0.0544,1.6996,YES
0.1967,3.8159,YES
0.1251,4.302,YES
0.0526,1.3162,YES
0.0389,0.1004,NO
0.0098,0.6063,NO
0.1204,1.159,YES
0.1152,0.3252,NO
0.0434,1.9279,YES
0.0994,0.455,NO
0.171,0.3063,NO
0.1733,0.3665,NO
0.1785,0.1597,NO
0.0632,0.747,NO
0.1652,4.1928,YES
0.0614,0.5744,NO
0.1533,4.5118,YES
0.1347,1.2499,NO
0.1212,4.3467,YES
0.015,0.1847,NO
0.0714,1.2046,NO
0.0698,1.0904,NO
0.035,0.8091,NO
0.0672,1.1804,YES
0.0378,0.6817,NO
0.0637,1.5531,YES
0.3024,2.0581,YES
0.0482,2.6635,YES
0.3634,1.3456,NO
0.1548,0.8798,NO
0.1459,0.6181,NO
0.1506,1.4404,NO
0.2394,0.9253,YES
0.3693,2.0365,YES
0.1404,1.3662,NO
0.0758,0.4977,NO
0.1517,1.1456,NO
0.067,0.5821,NO
0.2131,0.677,NO
0.16,0.8526,NO
0.1446,0.8982,NO
0.0844,2.4281,YES
0.095,0.5264,NO
0.2419,2.1152,YES
0.026000000000000002,0.89,NO
0.2985,2.5114,YES
0.0377,0.7425,NO
0.102,0.7421,NO
0.0927,0.7009,NO
0.1259,0.7424,NO
0.1193,0.603,NO
0.2177,1.5359,NO
0.15,0.6126,NO
0.0996,1.1438,NO
0.0839,0.5921,NO
0.0672,1.0174,NO
0.3068,5.8337,YES
0.1154,0.9081,YES
0.0802,1.0756,YES
0.3166,6.0701,YES
