DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_84,Associated
0.0737,0.2201,NO
0.0652,0.2626,NO
0.1144,0.6593,NO
0.2164,0.3384,NO
0.0671,0.1965,NO
0.0906,0.1104,NO
0.0589,0.2626,NO
0.0679,0.2201,NO
0.1689,0.0781,NO
0.2469,0.6882,YES
0.0616,0.7077,NO
0.33799999999999997,1.0,YES
0.2427,0.0326,NO
0.2231,0.2085,NO
0.2223,0.1733,NO
0.1142,0.2626,NO
0.0706,0.2942,NO
0.1109,0.2626,NO
0.0747,0.2553,NO
0.2179,0.2626,NO
0.1147,0.2553,NO
0.0779,0.5857,YES
0.0804,0.5954,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.5187,NO
0.0716,1.0,YES
0.1205,0.0585,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.2853,NO
0.1579,0.2455,NO
0.1148,0.2152,NO
0.1112,0.2853,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2447,NO
0.1056,0.21100000000000002,NO
0.0981,0.2515,NO
0.1058,0.3066,NO
0.1797,0.3658,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.2604,NO
0.1126,1.0,YES
0.0341,0.2047,NO
0.3399,1.0,YES
0.0412,0.2664,NO
0.1212,0.1589,NO
0.0769,0.1826,NO
0.1235,0.3066,NO
0.0802,0.3066,NO
0.1903,0.2853,NO
0.1119,0.1937,NO
0.1008,0.2853,NO
0.0886,0.2057,NO
0.1534,0.21600000000000003,NO
0.1331,0.6593,NO
0.2865,0.3895,NO
0.1512,0.3369,NO
0.1666,0.3464,NO
0.1465,0.2687,NO
0.0509,0.0804,NO
0.2187,0.2452,NO
0.4574,1.0,YES
0.1603,0.7077,NO
0.2015,1.0,YES
0.205,0.1773,NO
0.2168,0.2085,NO
0.2136,0.1924,NO
0.1919,0.3249,NO
0.1533,0.5985,NO
0.1268,0.2886,NO
0.1947,0.1639,NO
0.1755,0.2508,NO
0.2202,0.4715,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.5187,NO
0.1927,1.0,YES
0.1251,0.1482,NO
0.1303,0.6166,YES
0.1814,1.0,YES
0.3356,0.3239,NO
0.1662,0.3514,NO
0.1507,0.3514,NO
0.1441,0.5415,NO
0.3435,1.0,YES
0.1243,0.6166,YES
0.1731,0.4479,NO
0.0952,0.4136,NO
0.1364,0.5415,NO
0.0887,0.601,NO
0.2289,0.1911,NO
0.2088,0.1253,NO
0.2075,0.1333,NO
0.1923,1.0,YES
0.0927,0.3638,NO
0.0821,1.0,YES
0.0311,0.28600000000000003,NO
0.3081,1.0,YES
0.0406,0.3722,NO
0.1251,0.3114,NO
0.091,0.3579,NO
0.11800000000000001,0.601,NO
0.1053,0.601,NO
0.2201,0.5415,NO
0.1351,0.2947,NO
0.1328,0.3286,NO
0.0724,0.1663,NO
0.0244,0.2059,NO
0.1404,0.7346,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.503,YES
0.0826,0.1724,NO
0.013000000000000001,0.1663,NO
0.2103,0.3689,YES
0.1395,0.1502,NO
0.1325,0.7346,YES
0.1443,0.22399999999999998,NO
0.2165,0.3493,NO
0.1934,0.379,NO
0.1934,0.379,NO
0.0572,0.0921,NO
0.2318,1.0,YES
0.0556,0.1663,NO
0.3609,1.0,YES
0.1417,0.3664,NO
0.255,1.0,YES
0.0522,0.3405,NO
0.0677,0.3338,NO
0.1439,0.3867,NO
0.0494,0.1856,NO
0.1715,0.5192,YES
0.0964,0.3518,NO
0.1343,0.4304,YES
0.1544,0.2719,NO
0.0732,0.1053,NO
0.1975,0.6593,NO
0.2582,0.3895,NO
0.1977,0.3369,NO
0.1701,0.3464,NO
0.1684,0.2719,NO
0.1225,0.2719,NO
0.1458,0.2452,NO
0.4028,1.0,YES
0.1577,0.7077,NO
0.2904,1.0,YES
0.1987,0.2327,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.3249,NO
0.1469,0.5985,NO
0.0547,0.2886,NO
0.1082,0.2299,NO
0.2019,0.2719,NO
0.1293,0.4715,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.5187,NO
0.1753,1.0,YES
0.0979,0.2039,NO
0.0985,0.1425,NO
0.0774,0.2248,NO
0.1069,1.0,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.6847,YES
0.0885,0.2003,NO
0.0604,0.1337,NO
0.2068,0.5022,YES
0.2598,0.2044,NO
0.106,1.0,YES
0.1459,0.22399999999999998,NO
0.2252,0.4058,NO
0.2571,0.4403,NO
0.2375,0.4403,NO
0.1453,0.0927,NO
0.2245,1.0,YES
0.141,0.1194,NO
0.2623,1.0,YES
0.142,0.4988,NO
0.2555,1.0,YES
0.2049,0.3405,NO
0.2206,0.3721,NO
0.2228,0.5265,NO
0.1032,0.1856,NO
0.1461,0.7068,YES
0.1116,0.2481,NO
0.1326,0.5859,YES
0.1415,0.2057,NO
0.0745,0.1856,NO
0.2381,0.6593,NO
0.19,0.3384,NO
0.1547,0.3369,NO
0.1997,0.1865,NO
0.1653,0.2687,NO
0.1536,0.0804,NO
0.1999,0.2758,NO
0.1989,1.0,YES
0.2045,0.7077,NO
0.2447,1.0,YES
0.2519,0.3899,NO
0.2036,0.3899,NO
0.2033,0.3889,NO
0.0533,0.1856,NO
0.105,0.4176,NO
0.055999999999999994,0.1856,NO
0.1113,0.1697,NO
0.2256,0.2508,NO
0.0989,0.1755,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.5187,NO
0.1657,1.0,YES
0.1331,0.2564,NO
0.0949,0.1601,NO
0.1339,0.1266,NO
0.22399999999999998,0.5133,NO
0.1967,0.3895,NO
0.1436,0.3349,NO
0.2079,0.4095,NO
0.1339,0.2116,NO
0.0967,0.0932,NO
0.2198,0.3809,NO
0.3428,0.8445,YES
0.2344,0.551,NO
0.1736,0.7875,YES
0.1331,0.1626,NO
0.0735,0.1104,NO
0.0647,0.1133,NO
0.204,0.3249,NO
0.1327,0.5985,NO
0.1655,0.2886,NO
0.31,0.3349,NO
0.1309,0.1709,NO
0.2819,0.4715,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,0.9091,YES
0.1783,0.7875,YES
0.193,0.4095,NO
0.2673,0.7875,YES
0.1726,0.4095,NO
0.1439,0.2093,NO
0.0769,0.2093,NO
0.1953,0.6593,NO
0.2342,0.3895,NO
0.2047,0.4413,NO
0.1823,0.3464,NO
0.1684,0.2687,NO
0.1204,0.2093,NO
0.1751,0.2452,NO
0.3579,1.0,YES
0.1828,0.7077,NO
0.2083,1.0,YES
0.2252,0.2641,NO
0.2041,0.2866,NO
0.2007,0.2866,NO
0.0498,0.3249,NO
0.1415,0.5985,NO
0.0515,0.2886,NO
0.1207,0.4413,NO
0.1912,0.2253,NO
0.14,0.4715,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.5187,NO
0.2003,1.0,YES
0.1168,0.2586,NO
0.0727,0.2057,NO
0.0714,0.1091,NO
0.10800000000000001,0.6593,NO
0.2886,0.3895,NO
0.1427,0.3369,NO
0.0855,0.3464,NO
0.0605,0.2687,NO
0.0532,0.0804,NO
0.1421,0.2452,NO
0.4397,1.0,YES
0.0607,0.7077,NO
0.2347,1.0,YES
0.2118,0.2389,NO
0.2048,0.2593,NO
0.2045,0.2593,NO
0.0849,0.3249,NO
0.1035,0.5985,NO
0.0824,0.2886,NO
0.0975,0.0703,NO
0.1702,0.2508,NO
0.1518,0.4715,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.5187,NO
0.1128,1.0,YES
0.099,0.1669,NO
0.1069,0.1816,NO
0.0451,0.2698,NO
0.5095,1.0,YES
0.1431,0.7438,YES
0.1227,1.0,YES
0.2847,1.0,YES
0.2237,0.4103,NO
0.1065,0.1816,NO
0.3266,1.0,YES
0.0974,0.2963,NO
0.3289,1.0,YES
0.1059,0.7244,NO
0.2131,0.5579,NO
0.1496,0.441,NO
0.1474,0.441,NO
0.0902,0.2557,NO
0.0993,1.0,YES
0.0875,0.1744,NO
0.2369,1.0,YES
0.2129,0.506,NO
0.1321,0.4963,YES
0.1271,0.4243,NO
0.08,0.4261,NO
0.3025,0.7244,NO
0.12,0.7244,NO
0.3399,1.0,YES
0.2516,0.7244,NO
0.2081,1.0,YES
0.1799,0.1257,NO
0.1547,0.3233,NO
0.3595,1.0,YES
0.2156,0.2937,NO
0.1535,0.3948,NO
0.4159,1.0,YES
0.1827,0.4103,NO
0.1097,0.134,NO
0.5448,1.0,YES
0.191,0.0904,NO
0.4381,1.0,YES
0.1528,0.1361,NO
