DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_89,Associated
0.0737,0.9833,NO
0.0652,0.4147,NO
0.1144,1.28,NO
0.2164,0.7937,NO
0.0671,0.915,NO
0.0906,0.7591,NO
0.0589,1.2726,NO
0.0679,0.4639,NO
0.1689,0.8864,NO
0.2469,2.61,YES
0.0616,0.9797,NO
0.33799999999999997,1.8819,YES
0.2427,0.6997,NO
0.2231,0.4738,NO
0.2223,0.6834,NO
0.1142,0.7635,NO
0.0706,1.386,NO
0.1109,0.7376,NO
0.0747,0.9107,NO
0.2179,0.7433,NO
0.1147,0.3514,NO
0.0779,2.1313,YES
0.0804,2.3929,YES
0.1668,2.2837,YES
0.24,2.6435,YES
0.1573,1.1029,NO
0.0716,2.7303,YES
0.1205,0.5901,NO
0.1072,1.308,YES
0.2444,0.4683,YES
0.3362,1.337,NO
0.1579,0.7112,NO
0.1148,0.8558,NO
0.1112,1.2938,NO
0.3947,1.5490000000000002,YES
0.0957,0.6601,YES
0.1364,1.2851,NO
0.1056,0.8742,NO
0.0981,0.9669,NO
0.1058,0.7463,NO
0.1797,0.7806,NO
0.1526,1.0799,NO
0.1551,0.8354,NO
0.2811,1.2439,YES
0.0766,1.0832,NO
0.1126,1.4878,YES
0.0341,1.1326,NO
0.3399,1.4724,YES
0.0412,0.7469,NO
0.1212,0.8571,NO
0.0769,1.0663,NO
0.1235,0.9659,NO
0.0802,0.6453,NO
0.1903,1.1179999999999999,NO
0.1119,1.2105,NO
0.1008,0.8684,NO
0.0886,0.7845,NO
0.1534,0.5067,NO
0.1331,1.1666,NO
0.2865,1.0412,NO
0.1512,0.8915,NO
0.1666,0.5921,NO
0.1465,1.2105,NO
0.0509,0.2632,NO
0.2187,0.6368,NO
0.4574,3.3071,YES
0.1603,0.8296,NO
0.2015,2.3335,YES
0.205,0.809,NO
0.2168,0.6697,NO
0.2136,0.5131,NO
0.1919,0.5551,NO
0.1533,1.4716,NO
0.1268,0.8108,NO
0.1947,0.9708,NO
0.1755,0.4724,NO
0.2202,0.3056,NO
0.4465,2.8044,YES
0.4252,3.1436,YES
0.3653,2.8838,YES
0.1771,3.2588,YES
0.1659,1.2368,NO
0.1927,3.1902,YES
0.1251,0.49,NO
0.1303,1.8602,YES
0.1814,0.5686,YES
0.3356,1.5716,NO
0.1662,0.7024,NO
0.1507,0.8594,NO
0.1441,1.2547,NO
0.3435,2.4652,YES
0.1243,1.3771,YES
0.1731,1.1631,NO
0.0952,0.9313,NO
0.1364,1.0589,NO
0.0887,0.7304,NO
0.2289,0.1601,NO
0.2088,0.5276,NO
0.2075,0.2828,NO
0.1923,2.1172,YES
0.0927,1.1278,NO
0.0821,2.2640000000000002,YES
0.0311,1.1722,NO
0.3081,2.3214,YES
0.0406,0.6326,NO
0.1251,0.7404,NO
0.091,1.1411,NO
0.11800000000000001,0.7783,NO
0.1053,0.7904,NO
0.2201,1.1291,NO
0.1351,1.0153,NO
0.1328,0.6679,NO
0.0724,1.3701,NO
0.0244,0.3308,NO
0.1404,1.8626,YES
0.3348,3.5946,YES
0.2937,3.9517,YES
0.14300000000000002,1.7813,YES
0.0826,1.7992,NO
0.013000000000000001,0.5375,NO
0.2103,2.3409,YES
0.1395,1.4818,NO
0.1325,2.013,YES
0.1443,1.2318,NO
0.2165,0.8240000000000001,NO
0.1934,1.1709,NO
0.1934,0.8632,NO
0.0572,1.0284,NO
0.2318,4.2968,YES
0.0556,1.0816,NO
0.3609,4.7587,YES
0.1417,1.0183,NO
0.255,3.2822,YES
0.0522,1.7119,NO
0.0677,1.5769,NO
0.1439,1.7151,NO
0.0494,1.114,NO
0.1715,1.2901,YES
0.0964,2.0597,NO
0.1343,1.2094,YES
0.1544,1.1753,NO
0.0732,0.5293,NO
0.1975,2.1206,NO
0.2582,1.9361,NO
0.1977,1.6871,NO
0.1701,1.3931,NO
0.1684,1.4127,NO
0.1225,0.3279,NO
0.1458,1.6866,NO
0.4028,3.7402,YES
0.1577,1.8229,NO
0.2904,2.8455,YES
0.1987,1.143,NO
0.1756,0.8921,NO
0.1689,0.7328,NO
0.054000000000000006,0.8163,NO
0.1469,2.6679,NO
0.0547,0.873,NO
0.1082,2.4962,NO
0.2019,0.5764,NO
0.1293,0.9796,NO
0.3897,3.5841,YES
0.3612,3.6773,YES
0.2791,3.5979,YES
0.2894,3.4189,YES
0.2226,1.9832,NO
0.1753,4.0096,YES
0.0979,1.1475,NO
0.0985,1.1781,NO
0.0774,0.2242,NO
0.1069,1.8155,YES
0.3647,3.0780000000000003,YES
0.2531,3.6918,YES
0.1331,1.4214,YES
0.0885,1.5294,NO
0.0604,0.3307,NO
0.2068,2.0414,YES
0.2598,1.5111,NO
0.106,2.0053,YES
0.1459,0.8656,NO
0.2252,1.1018,NO
0.2571,0.9603,NO
0.2375,1.0311,NO
0.1453,0.7217,NO
0.2245,3.7762,YES
0.141,0.6832,NO
0.2623,4.1221,YES
0.142,0.7599,NO
0.2555,2.7738,YES
0.2049,1.7837,NO
0.2206,1.4952,NO
0.2228,1.9591,NO
0.1032,1.0613,NO
0.1461,1.1088,YES
0.1116,2.1363,NO
0.1326,0.9282,YES
0.1415,1.1713,NO
0.0745,0.5006,NO
0.2381,2.1305,NO
0.19,1.0057,NO
0.1547,1.2621,NO
0.1997,1.5785,NO
0.1653,1.3616,NO
0.1536,0.4561,NO
0.1999,1.7233,NO
0.1989,2.8598,YES
0.2045,1.7156,NO
0.2447,2.2608,YES
0.2519,0.8553,NO
0.2036,0.7788,NO
0.2033,0.7723,NO
0.0533,0.8492,NO
0.105,1.7455,NO
0.055999999999999994,1.0076,NO
0.1113,1.5961,NO
0.2256,0.9434,NO
0.0989,0.5165,NO
0.1879,2.5437,YES
0.1445,2.8471,YES
0.1901,2.4413,YES
0.3108,2.6638,YES
