DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_79,Associated
0.0737,0.1568,NO
0.0652,0.2318,NO
0.1144,0.7133,NO
0.2164,1.29,NO
0.0671,0.2357,NO
0.0906,0.9851,NO
0.0589,0.9761,NO
0.0679,0.3983,NO
0.1689,1.429,NO
0.2469,3.4595,YES
0.0616,0.5664,NO
0.33799999999999997,2.5917,YES
0.2427,0.4249,NO
0.2231,0.8999,NO
0.2223,0.5641,NO
0.1142,0.6411,NO
0.0706,1.1182,NO
0.1109,0.3435,NO
0.0747,0.4939,NO
0.2179,0.4673,NO
0.1147,0.597,NO
0.0779,3.4014,YES
0.0804,2.6516,YES
0.1668,2.3096,YES
0.24,2.673,YES
0.1573,1.0377,NO
0.0716,2.6246,YES
0.1205,1.1540000000000001,NO
0.1072,1.8349,YES
0.2444,1.2125,YES
0.3362,1.2809,NO
0.1579,1.5017,NO
0.1148,0.7977,NO
0.1112,1.242,NO
0.3947,1.9189,YES
0.0957,1.4869,YES
0.1364,1.5577,NO
0.1056,0.9671,NO
0.0981,0.8586,NO
0.1058,0.8246,NO
0.1797,1.1914,NO
0.1526,1.3752,NO
0.1551,0.8209,NO
0.2811,2.1653,YES
0.0766,1.1526,NO
0.1126,2.2844,YES
0.0341,1.1617,NO
0.3399,2.0212,YES
0.0412,0.7392,NO
0.1212,0.6414,NO
0.0769,0.8892,NO
0.1235,0.8346,NO
0.0802,0.6801,NO
0.1903,0.9551,NO
0.1119,0.9185,NO
0.1008,0.8675,NO
0.0886,0.6781,NO
0.1534,0.3559,NO
0.1331,1.1449,NO
0.2865,1.4399,NO
0.1512,0.6526,NO
0.1666,1.3148,NO
0.1465,1.1841,NO
0.0509,0.5971,NO
0.2187,1.6133,NO
0.4574,3.3568,YES
0.1603,0.5589,NO
0.2015,2.1824,YES
0.205,0.6381,NO
0.2168,1.3861,NO
0.2136,0.4837,NO
0.1919,0.5239,NO
0.1533,1.5105,NO
0.1268,0.4869,NO
0.1947,0.9862,NO
0.1755,0.4066,NO
0.2202,0.7707,NO
0.4465,3.3311,YES
0.4252,3.0429,YES
0.3653,2.6395,YES
0.1771,2.6951,YES
0.1659,1.3579,NO
0.1927,2.4115,YES
0.1251,0.9558,NO
0.1303,2.3476,YES
0.1814,1.1256,YES
0.3356,1.1927,NO
0.1662,1.104,NO
0.1507,0.6009,NO
0.1441,1.1806,NO
0.3435,1.7966,YES
0.1243,2.1554,YES
0.1731,1.1688,NO
0.0952,0.722,NO
0.1364,0.9541,NO
0.0887,0.6835,NO
0.2289,0.9055,NO
0.2088,0.8251,NO
0.2075,0.2184,NO
0.1923,2.2633,YES
0.0927,1.0643,NO
0.0821,2.9072,YES
0.0311,1.0952,NO
0.3081,2.7249,YES
0.0406,0.4161,NO
0.1251,0.6212,NO
0.091,0.6722,NO
0.11800000000000001,0.8674,NO
0.1053,0.5694,NO
0.2201,1.1744,NO
0.1351,1.0819,NO
0.1328,0.5478,NO
0.0724,1.2905,NO
0.0244,0.39899999999999997,NO
0.1404,2.0638,YES
0.3348,3.6604,YES
0.2937,2.65,YES
0.14300000000000002,2.1042,YES
0.0826,1.4802,NO
0.013000000000000001,0.7713,NO
0.2103,2.7305,YES
0.1395,1.3032,NO
0.1325,1.7766,YES
0.1443,1.0019,NO
0.2165,1.6134,NO
0.1934,1.8481,NO
0.1934,1.0525,NO
