DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_30,Associated
0.0737,0.8716,NO
0.0652,0.3898,NO
0.1144,0.9384,NO
0.2164,1.2552,NO
0.0671,0.9842,NO
0.0906,1.5805,NO
0.0589,1.1306,NO
0.0679,0.5912,NO
0.1689,0.9527,NO
0.2469,2.5109,YES
0.0616,0.5965,NO
0.33799999999999997,1.4013,YES
0.2427,0.6517,NO
0.2231,0.9555,NO
0.2223,0.1295,NO
0.1142,0.7979999999999999,NO
0.0706,1.485,NO
0.1109,1.1563,NO
0.0747,0.4285,NO
0.2179,0.6519,NO
0.1147,0.6811,NO
0.0779,1.7968,YES
0.0804,2.5778,YES
0.1668,2.6067,YES
0.24,1.9719,YES
0.1573,0.8524,NO
0.0716,2.1232,YES
0.1205,0.9420000000000001,NO
0.1072,1.1646,YES
0.2444,0.8884,YES
0.3362,0.5391,NO
0.1579,0.8775,NO
0.1148,0.6022,NO
0.1112,0.9935,NO
0.3947,1.3886,YES
0.0957,0.6029,YES
0.1364,0.9024,NO
0.1056,0.7221,NO
0.0981,0.7777,NO
0.1058,0.5317,NO
0.1797,0.736,NO
0.1526,1.1442,NO
0.1551,0.5017,NO
0.2811,1.0736,YES
0.0766,0.8946,NO
0.1126,1.3287,YES
0.0341,0.4646,NO
0.3399,0.8751,YES
0.0412,0.6479,NO
0.1212,0.6129,NO
0.0769,0.7732,NO
0.1235,0.8404,NO
0.0802,0.529,NO
0.1903,0.6627,NO
0.1119,0.9373,NO
0.1008,0.9913,NO
0.0886,1.0687,NO
0.1534,0.2755,NO
0.1331,1.0502,NO
0.2865,1.8222,NO
0.1512,1.0061,NO
0.1666,2.5089,NO
0.1465,0.8487,NO
0.0509,0.4433,NO
0.2187,1.974,NO
0.4574,3.9681,YES
0.1603,1.2583,NO
0.2015,1.8762,YES
0.205,1.0698,NO
0.2168,1.6914,NO
0.2136,0.439,NO
0.1919,0.579,NO
0.1533,1.9706,NO
0.1268,0.7941,NO
0.1947,0.7481,NO
0.1755,0.3806,NO
0.2202,1.0579,NO
0.4465,3.359,YES
0.4252,4.1943,YES
0.3653,3.9726,YES
0.1771,2.8045,YES
0.1659,1.5278,NO
0.1927,3.5615,YES
0.1251,1.6195,NO
0.1303,1.9262,YES
0.1814,1.2107,YES
0.3356,0.4668,NO
0.1662,0.726,NO
0.1507,0.45399999999999996,NO
0.1441,1.2021,NO
0.3435,2.3389,YES
0.1243,1.1529,YES
0.1731,0.9263,NO
0.0952,0.8355,NO
0.1364,0.7507,NO
0.0887,0.6558,NO
0.2289,0.8107,NO
0.2088,1.4548,NO
0.2075,0.3914,NO
0.1923,1.4314,YES
0.0927,0.5579,NO
0.0821,2.184,YES
0.0311,0.2944,NO
0.3081,1.3964,YES
0.0406,0.5541,NO
0.1251,0.6974,NO
0.091,0.9259999999999999,NO
0.11800000000000001,0.9498,NO
0.1053,0.5328,NO
0.2201,0.8016,NO
0.1351,1.1512,NO
0.1328,1.1995,NO
0.0724,1.0638,NO
0.0244,0.5025,NO
0.1404,1.6377,YES
0.3348,2.9248,YES
0.2937,2.551,YES
0.14300000000000002,1.8808,YES
0.0826,0.9598,NO
0.013000000000000001,0.4818,NO
0.2103,2.3183,YES
0.1395,0.922,NO
0.1325,2.1449,YES
0.1443,0.8436,NO
0.2165,1.0243,NO
0.1934,1.2975,NO
0.1934,0.4636,NO
0.0572,0.7792,NO
0.2318,3.6776,YES
0.0556,0.8791,NO
0.3609,2.9619999999999997,YES
0.1417,0.7852,NO
0.255,2.6117,YES
0.0522,0.9962,NO
0.0677,1.6295,NO
0.1439,1.6431,NO
0.0494,0.5117,NO
0.1715,1.7125,YES
0.0964,1.1487,NO
0.1343,2.1614,YES
0.1544,1.4508,NO
0.0732,0.1955,NO
0.1975,1.5759999999999998,NO
0.2582,1.8052,NO
0.1977,1.0887,NO
0.1701,2.7661,NO
0.1684,1.6114,NO
0.1225,0.8607,NO
0.1458,1.8395,NO
0.4028,4.2771,YES
0.1577,0.9858,NO
0.2904,2.0435,YES
0.1987,1.2521,NO
0.1756,1.7996,NO
0.1689,0.38,NO
0.054000000000000006,0.8718,NO
0.1469,2.0847,NO
0.0547,1.1614,NO
0.1082,0.4197,NO
