DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_62,Associated
0.0737,0.3871,NO
0.0652,0.2938,NO
0.1144,0.4837,NO
0.2164,0.7453,NO
0.0671,0.7696,NO
0.0906,0.4358,NO
0.0589,0.8653,NO
0.0679,0.278,NO
0.1689,0.4006,NO
0.2469,2.7985,YES
0.0616,0.968,NO
0.33799999999999997,3.2202,YES
0.2427,0.4866,NO
0.2231,0.3497,NO
0.2223,0.6399,NO
0.1142,0.2632,NO
0.0706,0.6382,NO
0.1109,0.5191,NO
0.0747,0.1601,NO
0.2179,0.205,NO
0.1147,0.5378,NO
0.0779,3.2529,YES
0.0804,3.2663,YES
0.1668,2.4103,YES
0.24,2.7858,YES
0.1573,0.7398,NO
0.0716,2.5044,YES
0.1205,0.6882,NO
0.1072,2.4427,YES
0.2444,2.4659999999999997,YES
0.3362,1.1488,NO
0.1579,0.565,NO
0.1148,0.5656,NO
0.1112,0.8534,NO
0.3947,2.175,YES
0.0957,2.3344,YES
0.1364,0.8131,NO
0.1056,0.0062,NO
0.0981,0.8943,NO
0.1058,0.2351,NO
0.1797,0.1312,NO
0.1526,0.4131,NO
0.1551,0.3027,NO
0.2811,2.3919,YES
0.0766,0.6153,NO
0.1126,1.6071,YES
0.0341,0.924,NO
0.3399,2.3669,YES
0.0412,0.6741,NO
0.1212,0.4268,NO
0.0769,0.2811,NO
0.1235,0.5527,NO
0.0802,0.1879,NO
0.1903,0.9294,NO
0.1119,0.6305,NO
0.1008,1.1117,NO
0.0886,0.2237,NO
0.1534,0.0905,NO
0.1331,1.2387,NO
0.2865,1.4273,NO
0.1512,1.3758,NO
0.1666,1.3213,NO
0.1465,0.9947,NO
0.0509,0.0927,NO
0.2187,0.6305,NO
0.4574,3.3491,YES
0.1603,1.0201,NO
0.2015,3.8528,YES
0.205,0.4182,NO
0.2168,0.1151,NO
0.2136,0.3509,NO
0.1919,0.161,NO
0.1533,1.4988,NO
0.1268,0.4427,NO
0.1947,0.9506,NO
0.1755,0.1155,NO
0.2202,1.4863,NO
0.4465,3.4839,YES
0.4252,3.471,YES
0.3653,3.2372,YES
0.1771,3.2839,YES
0.1659,1.3865,NO
0.1927,3.3999,YES
0.1251,1.0496,NO
0.1303,2.5764,YES
0.1814,2.542,YES
0.3356,1.7716,NO
0.1662,1.0854,NO
0.1507,1.1273,NO
0.1441,1.611,NO
0.3435,2.3667,YES
0.1243,2.2928,YES
0.1731,0.9107,NO
0.0952,0.5646,NO
0.1364,1.5651,NO
0.0887,0.7879999999999999,NO
0.2289,1.7209,NO
0.2088,1.9411,NO
0.2075,1.6736,NO
0.1923,2.2742,YES
0.0927,1.5227,NO
0.0821,1.475,YES
0.0311,0.856,NO
0.3081,2.2842,YES
0.0406,1.2157,NO
0.1251,1.0538,NO
0.091,1.0208,NO
0.11800000000000001,1.2299,NO
0.1053,0.924,NO
0.2201,1.6631,NO
0.1351,1.2662,NO
0.1328,1.291,NO
0.0724,0.4773,NO
0.0244,0.2473,NO
0.1404,1.8196,YES
0.3348,4.7279,YES
0.2937,4.5263,YES
0.14300000000000002,1.9698,YES
0.0826,0.3479,NO
0.013000000000000001,0.1525,NO
0.2103,1.15,YES
0.1395,0.2684,NO
0.1325,1.4787,YES
0.1443,0.5769,NO
0.2165,1.1879,NO
0.1934,1.4093,NO
0.1934,1.0242,NO
0.0572,0.1767,NO
0.2318,4.5583,YES
0.0556,0.1634,NO
0.3609,4.4969,YES
0.1417,0.5388,NO
0.255,4.4925,YES
0.0522,0.8609,NO
0.0677,0.9235,NO
0.1439,0.8874,NO
0.0494,0.6773,NO
0.1715,1.5908,YES
0.0964,1.4383,NO
0.1343,1.1993,YES
0.1544,0.713,NO
0.0732,0.7359,NO
0.1975,1.2959,NO
0.2582,0.7054,NO
0.1977,0.7985,NO
0.1701,1.2434,NO
0.1684,1.5064,NO
0.1225,0.672,NO
0.1458,0.9246,NO
0.4028,2.9194,YES
0.1577,1.3959,NO
0.2904,3.3377,YES
0.1987,0.4781,NO
0.1756,0.3077,NO
0.1689,0.6707,NO
0.054000000000000006,0.6366,NO
0.1469,0.9568,NO
0.0547,0.6932,NO
0.1082,0.39,NO
