DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_4,Associated
0.0737,1.631,NO
0.0652,0.271,NO
0.1144,1.5172,NO
0.2164,1.7852,NO
0.0671,1.4193,NO
0.0906,1.5158,NO
0.0589,1.6203,NO
0.0679,0.6848,NO
0.1689,1.3791,NO
0.2469,3.0773,YES
0.0616,0.835,NO
0.33799999999999997,2.289,YES
0.2427,1.0243,NO
0.2231,1.1428,NO
0.2223,0.5242,NO
0.1142,1.1018,NO
0.0706,1.1767,NO
0.1109,0.8338,NO
0.0747,1.2703,NO
0.2179,0.9557,NO
0.1147,1.5266,NO
0.0779,2.2465,YES
0.0804,2.7744,YES
0.1668,2.8785,YES
0.24,2.7837,YES
0.1573,1.3130000000000002,NO
0.0716,3.3244,YES
0.1205,1.2398,NO
0.1072,2.5094,YES
0.2444,0.6105,YES
0.3362,1.0325,NO
0.1579,0.6203,NO
0.1148,0.7688,NO
0.1112,1.1993,NO
0.3947,2.605,YES
0.0957,1.4182,YES
0.1364,1.3946,NO
0.1056,0.6171,NO
0.0981,0.9526,NO
0.1058,0.3595,NO
0.1797,0.6436,NO
0.1526,0.9890000000000001,NO
0.1551,0.3566,NO
0.2811,1.4785,YES
0.0766,0.7392,NO
0.1126,2.4684,YES
0.0341,0.7155,NO
0.3399,2.4486,YES
0.0412,0.8728,NO
0.1212,0.5676,NO
0.0769,0.6197,NO
0.1235,0.5621,NO
0.0802,0.2588,NO
0.1903,1.3432,NO
0.1119,0.7846,NO
0.1008,1.1057,NO
0.0886,1.1253,NO
0.1534,0.3663,NO
0.1331,1.146,NO
0.2865,1.8597,NO
0.1512,1.3030000000000002,NO
0.1666,1.2901,NO
0.1465,1.3355,NO
0.0509,0.2603,NO
0.2187,1.6393,NO
0.4574,3.5012,YES
0.1603,0.598,NO
0.2015,2.0571,YES
0.205,1.2976,NO
0.2168,0.94,NO
0.2136,0.6709,NO
0.1919,0.8334,NO
0.1533,1.4347,NO
0.1268,0.4692,NO
0.1947,1.1958,NO
0.1755,0.6117,NO
0.2202,1.3803,NO
0.4465,2.7222,YES
0.4252,3.1299,YES
0.3653,2.9674,YES
0.1771,2.385,YES
0.1659,1.1612,NO
0.1927,3.6456,YES
0.1251,0.9892,NO
0.1303,3.0862,YES
0.1814,0.6446,YES
0.3356,0.5872,NO
0.1662,0.4493,NO
0.1507,0.5521,NO
0.1441,0.6569,NO
0.3435,3.3176,YES
0.1243,2.1535,YES
0.1731,0.7361,NO
0.0952,0.7745,NO
0.1364,0.4863,NO
0.0887,0.5243,NO
0.2289,0.6043,NO
0.2088,0.8911,NO
0.2075,0.3559,NO
0.1923,2.1630000000000003,YES
0.0927,0.5823,NO
0.0821,3.0799,YES
0.0311,0.2861,NO
0.3081,3.1273,YES
0.0406,0.7589,NO
0.1251,0.5484,NO
0.091,0.7479,NO
0.11800000000000001,0.4786,NO
0.1053,0.445,NO
0.2201,1.1228,NO
0.1351,0.9133,NO
0.1328,0.9869,NO
0.0724,1.1368,NO
0.0244,0.4525,NO
0.1404,1.7039,YES
0.3348,3.522,YES
0.2937,2.9453,YES
0.14300000000000002,2.5582,YES
0.0826,1.4757,NO
0.013000000000000001,0.6502,NO
0.2103,1.9913,YES
0.1395,1.1979,NO
0.1325,1.9364,YES
0.1443,0.9455,NO
0.2165,0.7145,NO
0.1934,1.811,NO
0.1934,0.6746,NO
