DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_90,Associated
0.0737,0.4473,NO
0.0652,0.0806,NO
0.1144,0.4306,NO
0.2164,1.6377,NO
0.0671,0.9446,NO
0.0906,0.7853,NO
0.0589,0.9581,NO
0.0679,0.3654,NO
0.1689,1.3412,NO
0.2469,1.9087,YES
0.0616,0.7075,NO
0.33799999999999997,2.1573,YES
0.2427,1.2603,NO
0.2231,1.4221,NO
0.2223,0.4322,NO
0.1142,0.5036,NO
0.0706,0.9621,NO
0.1109,0.5608,NO
0.0747,0.6319,NO
0.2179,0.4094,NO
0.1147,0.727,NO
0.0779,2.0654,YES
0.0804,2.4897,YES
0.1668,2.8463,YES
0.24,2.5765,YES
0.1573,0.7259,NO
0.0716,2.2182,YES
0.1205,1.1759,NO
0.1072,1.9508,YES
0.2444,0.4865,YES
0.3362,1.1164,NO
0.1579,1.0233,NO
0.1148,0.6695,NO
0.1112,1.4596,NO
0.3947,1.7054,YES
0.0957,1.7333,YES
0.1364,1.4942,NO
0.1056,0.706,NO
0.0981,1.4967,NO
0.1058,0.5686,NO
0.1797,0.8226,NO
0.1526,0.8666,NO
0.1551,0.4735,NO
0.2811,2.0433,YES
0.0766,0.6315,NO
0.1126,1.4596,YES
0.0341,0.4209,NO
0.3399,1.6787,YES
0.0412,0.6355,NO
0.1212,0.6245,NO
0.0769,0.6032,NO
0.1235,1.1689,NO
0.0802,0.7841,NO
0.1903,1.0601,NO
0.1119,0.6641,NO
0.1008,1.1619,NO
0.0886,0.9069,NO
0.1534,0.2247,NO
0.1331,0.6797,NO
0.2865,2.5987,NO
0.1512,1.899,NO
0.1666,1.3099,NO
0.1465,1.7634,NO
0.0509,0.6666,NO
0.2187,1.9413,NO
0.4574,3.3857,YES
0.1603,1.454,NO
0.2015,3.0921,YES
0.205,1.6453,NO
0.2168,1.9822,NO
0.2136,0.6282,NO
0.1919,0.614,NO
0.1533,1.5644,NO
0.1268,0.4176,NO
0.1947,1.1319,NO
0.1755,0.8911,NO
0.2202,1.8423,NO
0.4465,3.3056,YES
0.4252,3.8026,YES
0.3653,4.141,YES
0.1771,3.6201,YES
0.1659,0.7013,NO
0.1927,3.6392,YES
0.1251,1.4446,NO
0.1303,2.3374,YES
0.1814,0.4473,YES
0.3356,0.7987,NO
0.1662,0.9378,NO
0.1507,0.5482,NO
0.1441,1.02,NO
0.3435,1.6854,YES
0.1243,2.0627,YES
0.1731,1.4014,NO
0.0952,0.6593,NO
0.1364,1.1497,NO
0.0887,0.5297,NO
0.2289,0.7793,NO
0.2088,1.1215,NO
0.2075,0.4183,NO
0.1923,2.591,YES
0.0927,0.7333,NO
0.0821,2.0298,YES
0.0311,0.3052,NO
0.3081,1.8152,YES
0.0406,0.6359,NO
0.1251,0.6292,NO
0.091,0.6201,NO
0.11800000000000001,0.9002,NO
0.1053,0.5529,NO
0.2201,1.1168,NO
0.1351,0.8886,NO
0.1328,1.3749,NO
0.0724,0.9757,NO
0.0244,0.2544,NO
0.1404,1.2164,YES
0.3348,4.06,YES
0.2937,3.1468,YES
0.14300000000000002,1.6835,YES
0.0826,1.2466,NO
0.013000000000000001,0.3631,NO
0.2103,2.0553,YES
0.1395,0.48200000000000004,NO
0.1325,1.7638,YES
0.1443,0.3179,NO
0.2165,1.6945,NO
0.1934,1.6443,NO
0.1934,1.0292,NO
0.0572,0.7554,NO
0.2318,3.2313,YES
0.0556,0.5199,NO
0.3609,2.9965,YES
0.1417,0.6807,NO
0.255,3.6984,YES
0.0522,0.5622,NO
0.0677,0.6691,NO
0.1439,1.0384,NO
0.0494,0.6238,NO
0.1715,1.5267,YES
0.0964,1.2378,NO
0.1343,1.1867,YES
0.1544,1.2029,NO
0.0732,0.127,NO
0.1975,0.5794,NO
0.2582,1.8263,NO
0.1977,1.0894,NO
0.1701,1.2064,NO
0.1684,1.3998,NO
0.1225,0.6867,NO
0.1458,1.8971,NO
0.4028,2.8160000000000003,YES
0.1577,1.3742,NO
0.2904,2.3411,YES
0.1987,1.706,NO
0.1756,1.9143,NO
0.1689,0.7909999999999999,NO
0.054000000000000006,0.8777,NO
0.1469,1.131,NO
0.0547,0.8391,NO
0.1082,0.6106,NO
0.2019,0.7648,NO
0.1293,1.0956,NO
0.3897,2.5601,YES
0.3612,2.9285,YES
0.2791,3.0901,YES
0.2894,2.7519,YES
0.2226,0.8359,NO
0.1753,2.9051,YES
0.0979,1.6487,NO
0.0985,0.9548,NO
0.0774,0.2141,NO
0.1069,1.149,YES
0.3647,4.4047,YES
0.2531,3.1508,YES
0.1331,1.6029,YES
0.0885,1.3299,NO
0.0604,0.4852,NO
0.2068,1.6149,YES
0.2598,0.8474,NO
0.106,1.6818,YES
0.1459,0.2894,NO
0.2252,0.8889,NO
0.2571,1.2418,NO
0.2375,0.4095,NO
0.1453,0.7341,NO
0.2245,3.4159,YES
0.141,0.4723,NO
0.2623,3.1359,YES
0.142,0.7424,NO
0.2555,3.6316,YES
0.2049,0.8683,NO
0.2206,1.1468,NO
0.2228,1.3659,NO
0.1032,0.6859999999999999,NO
0.1461,1.2262,YES
0.1116,1.8389,NO
0.1326,1.1144,YES
0.1415,0.8512,NO
0.0745,0.2788,NO
0.2381,1.32,NO
