DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_43,Associated
0.0737,0.4751,NO
0.0652,0.5047,NO
0.1144,0.5809,NO
0.2164,0.9274,NO
0.0671,0.5405,NO
0.0906,0.6806,NO
0.0589,0.5023,NO
0.0679,0.1978,NO
0.1689,0.9546,NO
0.2469,2.246,YES
0.0616,0.5856,NO
0.33799999999999997,2.5863,YES
0.2427,0.9117,NO
0.2231,1.2182,NO
0.2223,0.8797,NO
0.1142,0.0127,NO
0.0706,0.9693,NO
0.1109,0.1281,NO
0.0747,0.7864,NO
0.2179,0.0588,NO
0.1147,0.9732,NO
0.0779,1.9923,YES
0.0804,2.1873,YES
0.1668,1.9791,YES
0.24,1.8447,YES
0.1573,0.4185,NO
0.0716,1.7836,YES
0.1205,0.61,NO
0.1072,2.0907,YES
0.2444,1.4406,YES
0.3362,1.2621,NO
0.1579,0.5818,NO
0.1148,0.4626,NO
0.1112,1.0302,NO
0.3947,3.1805,YES
0.0957,2.1652,YES
0.1364,1.2961,NO
0.1056,0.4259,NO
0.0981,1.3007,NO
0.1058,0.2777,NO
0.1797,0.4726,NO
0.1526,0.83,NO
0.1551,0.7558,NO
0.2811,1.5458,YES
0.0766,0.4422,NO
0.1126,3.0927,YES
0.0341,0.4289,NO
0.3399,2.8893,YES
0.0412,0.7073,NO
0.1212,0.3888,NO
0.0769,0.3052,NO
0.1235,0.5917,NO
0.0802,0.2797,NO
0.1903,1.3833,NO
0.1119,0.8612,NO
0.1008,0.7572,NO
0.0886,0.5647,NO
0.1534,0.9675,NO
0.1331,1.6496,NO
0.2865,1.0783,NO
0.1512,0.7297,NO
0.1666,1.2828,NO
0.1465,0.5494,NO
0.0509,0.2896,NO
0.2187,1.7537,NO
0.4574,3.4652,YES
0.1603,1.4969,NO
0.2015,3.7636,YES
0.205,0.6669,NO
0.2168,0.991,NO
0.2136,0.6571,NO
0.1919,0.3018,NO
0.1533,1.4454,NO
0.1268,0.5768,NO
0.1947,1.2915,NO
0.1755,0.4852,NO
0.2202,1.1338,NO
0.4465,3.155,YES
0.4252,3.1181,YES
0.3653,3.5678,YES
0.1771,2.7586,YES
0.1659,1.6476,NO
0.1927,3.447,YES
0.1251,1.055,NO
0.1303,2.3308,YES
0.1814,1.3376,YES
0.3356,1.8159999999999998,NO
0.1662,0.9359999999999999,NO
0.1507,0.88,NO
0.1441,1.6419,NO
0.3435,3.1388,YES
0.1243,2.1319999999999997,YES
0.1731,1.5304,NO
0.0952,0.6343,NO
0.1364,1.5888,NO
0.0887,0.4992,NO
0.2289,0.6257,NO
0.2088,0.3167,NO
0.2075,0.8388,NO
0.1923,1.4798,YES
0.0927,0.7628,NO
0.0821,3.0609,YES
0.0311,0.9576,NO
0.3081,3.2436,YES
0.0406,0.8455,NO
0.1251,1.03,NO
0.091,0.6788,NO
0.11800000000000001,0.9599,NO
0.1053,0.4642,NO
0.2201,2.0709,NO
0.1351,0.7497,NO
0.1328,1.6602,NO
0.0724,0.5957,NO
0.0244,0.6427,NO
0.1404,1.9495,YES
0.3348,4.3417,YES
0.2937,4.657,YES
0.14300000000000002,1.6182,YES
0.0826,0.4001,NO
0.013000000000000001,0.3535,NO
0.2103,2.296,YES
0.1395,1.0031,NO
0.1325,1.7507,YES
0.1443,0.5147,NO
0.2165,0.6658,NO
0.1934,1.0596,NO
0.1934,1.0115,NO
0.0572,0.3184,NO
0.2318,4.4492,YES
0.0556,0.3972,NO
0.3609,4.2587,YES
0.1417,1.0167,NO
0.255,4.865,YES
0.0522,0.7262,NO
0.0677,0.6920000000000001,NO
0.1439,1.8659,NO
0.0494,0.7485,NO
0.1715,2.3576,YES
0.0964,1.8456,NO
0.1343,2.065,YES
0.1544,0.7675,NO
0.0732,0.7842,NO
0.1975,1.8307,NO
0.2582,1.0422,NO
0.1977,0.784,NO
0.1701,1.8004,NO
0.1684,0.4672,NO
0.1225,0.4688,NO
0.1458,1.8816,NO
0.4028,3.2869,YES
0.1577,1.7037,NO
0.2904,3.6441,YES
0.1987,0.4055,NO
0.1756,0.7189,NO
0.1689,0.4534,NO
0.054000000000000006,0.1236,NO
0.1469,1.5054,NO
0.0547,0.5803,NO
0.1082,1.4762,NO
0.2019,0.5339,NO
0.1293,1.2535,NO
0.3897,3.0763,YES
0.3612,3.095,YES
0.2791,3.448,YES
0.2894,2.6507,YES
0.2226,2.0482,NO
0.1753,3.3153,YES
0.0979,1.3728,NO
0.0985,0.5457,NO
0.0774,0.6825,NO
0.1069,1.3818,YES
0.3647,3.5517,YES
0.2531,3.8582,YES
0.1331,1.1402,YES
0.0885,0.1234,NO
0.0604,0.2598,NO
0.2068,1.3533,YES
0.2598,2.1328,NO
0.106,1.2288,YES
0.1459,1.6188,NO
0.2252,0.2547,NO
0.2571,0.7154,NO
0.2375,0.6823,NO
0.1453,0.1045,NO
0.2245,3.9653,YES
0.141,0.4242,NO
0.2623,3.9338,YES
0.142,0.8823,NO
0.2555,4.141,YES
0.2049,1.929,NO
0.2206,1.7954,NO
0.2228,2.5291,NO
0.1032,1.1905,NO
0.1461,1.8029,YES
0.1116,2.657,NO
0.1326,1.3436,YES
0.1415,0.8649,NO
0.0745,0.8054,NO
0.2381,1.6414,NO
0.19,1.061,NO
0.1547,0.7233,NO
0.1997,1.228,NO
0.1653,0.9715,NO
0.1536,0.7563,NO
0.1999,1.6178,NO
0.1989,3.0534,YES
0.2045,1.7729,NO
0.2447,3.3148,YES
0.2519,0.6438,NO
0.2036,0.9625,NO
0.2033,0.873,NO
0.0533,0.3365,NO
0.105,0.9197,NO
0.055999999999999994,0.8278,NO
0.1113,1.2348,NO
0.2256,0.9402,NO
0.0989,1.2152,NO
0.1879,2.5568,YES
0.1445,2.5502,YES
0.1901,3.0055,YES
0.3108,2.7030000000000003,YES
0.2405,1.7567,NO
0.1657,2.8488,YES
0.1331,1.2527,NO
0.0949,0.615,NO
0.1339,0.9815,NO
0.22399999999999998,1.6057,NO
0.1967,0.7154,NO
0.1436,0.3071,NO
0.2079,1.2474,NO
0.1339,0.6155,NO
0.0967,0.3292,NO
0.2198,1.5687,NO
0.3428,3.4025,YES
