DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_36,Associated
0.0737,0.3697,NO
0.0652,0.1037,NO
0.1144,0.5114,NO
0.2164,0.2333,NO
0.0671,0.0434,NO
0.0906,0.366,NO
0.0589,0.2681,NO
0.0679,0.1829,NO
0.1689,0.5015,NO
0.2469,0.9390000000000001,YES
0.0616,0.5627,NO
0.33799999999999997,1.3343,YES
0.2427,0.1333,NO
0.2231,0.1961,NO
0.2223,0.0465,NO
0.1142,0.2615,NO
0.0706,0.1478,NO
0.1109,0.252,NO
0.0747,0.1391,NO
0.2179,0.0846,NO
0.1147,0.128,NO
0.0779,1.1084,YES
0.0804,1.7747,YES
0.1668,0.9531,YES
0.24,0.4591,YES
0.1573,0.3863,NO
0.0716,0.9657,YES
0.1205,0.4239,NO
0.1072,1.8559999999999999,YES
0.2444,0.4707,YES
0.3362,0.4785,NO
0.1579,0.3631,NO
0.1148,0.4701,NO
0.1112,0.6974,NO
0.3947,1.3494,YES
0.0957,1.7428,YES
0.1364,0.6986,NO
0.1056,0.1967,NO
0.0981,0.3954,NO
0.1058,0.3006,NO
0.1797,0.2364,NO
0.1526,0.3078,NO
0.1551,0.2735,NO
0.2811,1.5493,YES
0.0766,0.7138,NO
0.1126,0.9001,YES
0.0341,0.377,NO
0.3399,1.6699,YES
0.0412,0.4066,NO
0.1212,0.4362,NO
0.0769,0.5383,NO
0.1235,0.3104,NO
0.0802,0.3144,NO
0.1903,0.5231,NO
0.1119,0.2742,NO
0.1008,0.5951,NO
0.0886,0.4167,NO
0.1534,0.2593,NO
0.1331,0.4124,NO
0.2865,0.4158,NO
0.1512,0.426,NO
0.1666,0.7791,NO
0.1465,0.2435,NO
0.0509,0.2744,NO
0.2187,0.6008,NO
0.4574,1.5391,YES
0.1603,0.7261,NO
0.2015,1.2051,YES
0.205,0.1605,NO
0.2168,0.2362,NO
0.2136,0.0558,NO
0.1919,0.5171,NO
0.1533,0.7544,NO
0.1268,0.2191,NO
0.1947,0.4243,NO
0.1755,0.3383,NO
