DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_1,Associated
0.0737,0.4788,NO
0.0652,0.7716,NO
0.1144,0.5309,NO
0.2164,1.128,NO
0.0671,1.2612,NO
0.0906,0.9038,NO
0.0589,0.7844,NO
0.0679,0.5114,NO
0.1689,0.7606,NO
0.2469,3.096,YES
0.0616,0.4166,NO
0.33799999999999997,2.8760000000000003,YES
0.2427,0.5964,NO
0.2231,0.7901,NO
0.2223,0.7111,NO
0.1142,0.4064,NO
0.0706,1.5273,NO
0.1109,0.8456,NO
0.0747,0.9618,NO
0.2179,0.7522,NO
0.1147,0.6859999999999999,NO
0.0779,2.8319,YES
0.0804,3.3038,YES
0.1668,2.4612,YES
0.24,3.2446,YES
0.1573,0.6766,NO
0.0716,2.4622,YES
0.1205,1.0136,NO
0.1072,1.7051,YES
0.2444,1.3701,YES
0.3362,1.5782,NO
0.1579,0.9799,NO
0.1148,0.8826,NO
0.1112,1.2994,NO
0.3947,1.6725,YES
0.0957,2.3617,YES
0.1364,1.4806,NO
0.1056,0.5694,NO
0.0981,1.0741,NO
0.1058,0.8489,NO
0.1797,0.992,NO
0.1526,1.2033,NO
0.1551,1.1383,NO
0.2811,2.1901,YES
0.0766,1.2288,NO
0.1126,2.4542,YES
0.0341,0.7809,NO
0.3399,2.5214,YES
0.0412,0.6197,NO
0.1212,0.7577,NO
0.0769,0.8488,NO
0.1235,0.7868,NO
0.0802,0.6713,NO
0.1903,1.3652,NO
0.1119,0.9767,NO
0.1008,1.1889,NO
0.0886,0.6027,NO
0.1534,0.6985,NO
0.1331,1.3817,NO
0.2865,1.7753,NO
0.1512,1.7394,NO
0.1666,1.1481,NO
0.1465,1.068,NO
0.0509,0.3703,NO
0.2187,1.4212,NO
0.4574,3.9433,YES
0.1603,0.8138,NO
0.2015,3.6788,YES
0.205,0.8777,NO
0.2168,0.9893,NO
0.2136,0.7361,NO
0.1919,0.3314,NO
0.1533,2.2629,NO
0.1268,0.7426,NO
0.1947,1.7154,NO
0.1755,0.7271,NO
0.2202,0.9584,NO
0.4465,3.3523,YES
0.4252,4.1289,YES
0.3653,3.3696,YES
0.1771,3.8496,YES
0.1659,1.3614,NO
0.1927,3.2201,YES
0.1251,1.6342,NO
0.1303,2.2324,YES
0.1814,1.2662,YES
0.3356,2.1259,NO
0.1662,1.0335,NO
0.1507,0.9522,NO
0.1441,1.9252,NO
0.3435,1.5215,YES
0.1243,2.7022,YES
0.1731,1.9508,NO
0.0952,1.2155,NO
0.1364,1.557,NO
0.0887,1.4784,NO
0.2289,0.9428,NO
0.2088,1.4327,NO
0.2075,1.4732,NO
0.1923,2.347,YES
0.0927,1.6472,NO
0.0821,2.7881,YES
0.0311,0.6783,NO
0.3081,3.0431,YES
0.0406,1.0519,NO
0.1251,1.1828,NO
0.091,1.531,NO
0.11800000000000001,0.7170000000000001,NO
0.1053,1.3419999999999999,NO
0.2201,1.7855,NO
0.1351,1.2414,NO
0.1328,1.3379,NO
0.0724,0.6842,NO
0.0244,0.1777,NO
0.1404,1.7212,YES
0.3348,3.5445,YES
0.2937,4.0916,YES
0.14300000000000002,1.5048,YES
0.0826,0.8601,NO
0.013000000000000001,0.3002,NO
0.2103,1.4779,YES
0.1395,0.6809,NO
0.1325,2.0189,YES
0.1443,0.6611,NO
0.2165,0.5347,NO
0.1934,0.657,NO
0.1934,0.8749,NO
0.0572,0.2399,NO
0.2318,4.9008,YES
0.0556,0.3672,NO
0.3609,4.1324,YES
0.1417,0.6974,NO
0.255,3.6982,YES
0.0522,1.0206,NO
0.0677,0.8356,NO
0.1439,0.4076,NO
0.0494,0.773,NO
0.1715,2.0872,YES
0.0964,0.3221,NO
0.1343,2.2680000000000002,YES
0.1544,0.7939,NO
0.0732,0.3015,NO
