DIRECT_NA_NA_VSM,50Traced_NONETRACED_MEDIAN_RAW_LSA_44,Associated
0.0737,0.0,NO
0.0652,0.0,NO
0.1144,0.0,NO
0.2164,0.0,NO
0.0671,0.0,NO
0.0906,0.0,NO
0.0589,0.0,NO
0.0679,0.0,NO
0.1689,0.0,NO
0.2469,0.0036,YES
0.0616,0.0038,NO
0.33799999999999997,0.0,YES
0.2427,0.0,NO
0.2231,0.0,NO
0.2223,0.0,NO
0.1142,0.0032,NO
0.0706,0.0,NO
0.1109,0.0,NO
0.0747,0.0,NO
0.2179,0.0,NO
0.1147,0.0,NO
0.0779,0.0,YES
0.0804,0.0,YES
0.1668,0.0068,YES
0.24,0.0,YES
0.1573,0.0077,NO
0.0716,0.0,YES
0.1205,0.0046,NO
0.1072,0.0,YES
0.2444,0.0,YES
0.3362,0.0,NO
0.1579,0.0,NO
0.1148,0.0,NO
0.1112,0.0,NO
0.3947,0.0,YES
0.0957,0.0,YES
0.1364,0.0,NO
0.1056,0.0,NO
0.0981,0.0,NO
0.1058,0.0,NO
0.1797,0.0,NO
0.1526,0.0,NO
0.1551,0.0,NO
0.2811,0.0,YES
0.0766,0.0,NO
0.1126,0.0,YES
0.0341,0.0,NO
0.3399,0.0,YES
0.0412,0.0,NO
0.1212,0.0,NO
0.0769,0.0,NO
0.1235,0.0,NO
0.0802,0.0,NO
0.1903,0.0,NO
0.1119,0.0,NO
0.1008,0.0,NO
0.0886,0.0,NO
0.1534,0.0,NO
0.1331,0.0,NO
0.2865,0.0,NO
0.1512,0.0,NO
0.1666,0.0,NO
0.1465,0.0,NO
0.0509,0.0,NO
0.2187,0.0,NO
0.4574,0.0,YES
0.1603,0.0,NO
0.2015,0.0,YES
0.205,0.0,NO
0.2168,0.0,NO
0.2136,0.0,NO
0.1919,0.0,NO
0.1533,0.0,NO
0.1268,0.0,NO
0.1947,0.0,NO
0.1755,0.0,NO
0.2202,0.0,NO
0.4465,0.0,YES
0.4252,0.0,YES
0.3653,0.0,YES
0.1771,0.0,YES
0.1659,0.0,NO
0.1927,0.0041,YES
0.1251,0.0,NO
0.1303,0.0,YES
