DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_53,Associated
0.0737,0.1671,NO
0.0652,0.3133,NO
0.1144,0.1901,NO
0.2164,0.2553,NO
0.0671,0.3315,NO
0.0906,0.3464,NO
0.0589,0.2687,NO
0.0679,0.1058,NO
0.1689,0.2452,NO
0.2469,1.0,YES
0.0616,0.3591,NO
0.33799999999999997,1.0,YES
0.2427,0.3126,NO
0.2231,0.3391,NO
0.2223,0.3391,NO
0.1142,0.1047,NO
0.0706,0.4176,NO
0.1109,0.2886,NO
0.0747,0.391,NO
0.2179,0.1827,NO
0.1147,0.2553,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2322,NO
0.0716,1.0,YES
0.1205,0.2574,NO
0.1072,0.382,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.3639,NO
0.1148,0.3639,NO
0.1112,0.4007,NO
0.3947,1.0,YES
0.0957,0.405,YES
0.1364,0.2559,NO
0.1056,0.2082,NO
0.0981,0.4007,NO
0.1058,0.1086,NO
0.1797,0.3658,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.2735,NO
0.1126,1.0,YES
0.0341,0.3639,NO
0.3399,0.8571,YES
0.0412,0.3639,NO
0.1212,0.2082,NO
0.0769,0.2082,NO
0.1235,0.1987,NO
0.0802,0.1249,NO
0.1903,0.4007,NO
0.1119,0.2181,NO
0.1008,0.4007,NO
0.0886,0.1671,NO
0.1534,0.3133,NO
0.1331,0.3063,NO
0.2865,0.3076,NO
0.1512,0.3315,NO
0.1666,0.3464,NO
0.1465,0.2687,NO
0.0509,0.1016,NO
0.2187,0.2452,NO
0.4574,1.0,YES
0.1603,0.3591,NO
0.2015,1.0,YES
0.205,0.1773,NO
0.2168,0.1924,NO
0.2136,0.1924,NO
0.1919,0.21600000000000003,NO
0.1533,0.4176,NO
0.1268,0.2886,NO
0.1947,0.391,NO
0.1755,0.1851,NO
0.2202,0.3063,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.3063,NO
0.1927,1.0,YES
0.1251,0.2574,NO
0.1303,0.9432,YES
0.1814,1.0,YES
0.3356,0.5415,NO
0.1662,0.2632,NO
0.1507,0.1563,NO
0.1441,0.5415,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.4748,NO
0.0952,0.4069,NO
0.1364,0.5415,NO
0.0887,0.2121,NO
0.2289,0.7376,NO
0.2088,0.7376,NO
0.2075,0.7376,NO
0.1923,1.0,YES
0.0927,0.2513,NO
0.0821,1.0,YES
0.0311,0.2632,NO
0.3081,1.0,YES
0.0406,0.2632,NO
0.1251,0.4069,NO
0.091,0.4069,NO
0.11800000000000001,0.3061,NO
0.1053,0.1897,NO
0.2201,0.5415,NO
0.1351,0.4069,NO
0.1328,0.5415,NO
0.0724,0.1709,NO
0.0244,0.2248,NO
0.1404,1.0,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.2995,NO
0.013000000000000001,0.1663,NO
0.2103,0.5022,YES
0.1395,0.2044,NO
0.1325,1.0,YES
0.1443,0.166,NO
0.2165,0.3493,NO
0.1934,0.379,NO
0.1934,0.379,NO
0.0572,0.0921,NO
0.2318,1.0,YES
0.0556,0.1663,NO
0.3609,1.0,YES
0.1417,0.4988,NO
0.255,1.0,YES
0.0522,0.0948,NO
0.0677,0.4485,NO
0.1439,0.4726,NO
0.0494,0.3307,NO
0.1715,1.0,YES
0.0964,0.2265,NO
0.1343,0.5859,YES
0.1544,0.2169,NO
0.0732,0.2131,NO
0.1975,0.1539,NO
0.2582,0.3054,NO
0.1977,0.3054,NO
0.1701,0.6773,NO
0.1684,0.2687,NO
0.1225,0.2169,NO
0.1458,0.1668,NO
0.4028,1.0,YES
0.1577,0.2442,NO
0.2904,0.9651,YES
0.1987,0.2451,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.2169,NO
0.1469,0.5133,NO
0.0547,0.2084,NO
0.1082,0.4343,NO
0.2019,0.2108,NO
0.1293,0.1836,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.1579,NO
0.1753,1.0,YES
0.0979,0.1751,NO
0.0985,0.1709,NO
0.0774,0.2248,NO
0.1069,1.0,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,1.0,YES
0.0885,0.2995,NO
0.0604,0.1194,NO
0.2068,0.5022,YES
0.2598,0.6968,NO
0.106,1.0,YES
0.1459,0.6968,NO
0.2252,0.3948,NO
0.2571,0.3948,NO
0.2375,0.3948,NO
0.1453,0.0827,NO
0.2245,1.0,YES
0.141,0.2011,NO
0.2623,1.0,YES
0.142,0.4988,NO
