DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_RAW_VSM_58,Associated
0.0737,0.0655,NO
0.0652,0.0785,NO
0.1144,0.2688,NO
0.2164,0.2653,NO
0.0671,0.1508,NO
0.0906,0.2963,NO
0.0589,0.1548,NO
0.0679,0.1687,NO
0.1689,0.1525,NO
0.2469,0.4371,YES
0.0616,0.1423,NO
0.33799999999999997,1.0,YES
0.2427,0.1937,NO
0.2231,0.1834,NO
0.2223,0.0564,NO
0.1142,0.159,NO
0.0706,0.20600000000000002,NO
0.1109,0.0807,NO
0.0747,0.1843,NO
0.2179,0.1687,NO
0.1147,0.2083,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1526,NO
0.0716,1.0,YES
0.1205,0.1423,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.1415,NO
0.1579,0.115,NO
0.1148,0.1033,NO
0.1112,0.1659,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.1659,NO
0.1056,0.1474,NO
0.0981,0.1659,NO
0.1058,0.1156,NO
0.1797,0.1835,NO
0.1526,0.1835,NO
0.1551,0.1835,NO
0.2811,1.0,YES
0.0766,0.1659,NO
0.1126,0.4181,YES
0.0341,0.0583,NO
0.3399,1.0,YES
0.0412,0.0583,NO
0.1212,0.1156,NO
0.0769,0.1218,NO
0.1235,0.1156,NO
0.0802,0.0484,NO
0.1903,0.1659,NO
0.1119,0.1474,NO
0.1008,0.1659,NO
0.0886,0.1439,NO
0.1534,0.076,NO
0.1331,0.1505,NO
0.2865,0.2653,NO
0.1512,0.1616,NO
0.1666,0.2137,NO
0.1465,0.0756,NO
0.0509,0.0623,NO
0.2187,0.2137,NO
0.4574,1.0,YES
0.1603,0.2137,NO
0.2015,1.0,YES
0.205,0.1123,NO
0.2168,0.1697,NO
0.2136,0.0598,NO
0.1919,0.0988,NO
0.1533,0.2137,NO
0.1268,0.0959,NO
0.1947,0.1497,NO
0.1755,0.0226,NO
0.2202,0.1498,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,0.2965,YES
0.1659,0.2137,NO
0.1927,1.0,YES
0.1251,0.2137,NO
0.1303,0.188,YES
0.1814,0.1949,YES
0.3356,0.1692,NO
0.1662,0.1272,NO
0.1507,0.026000000000000002,NO
0.1441,0.1525,NO
0.3435,0.35200000000000004,YES
0.1243,1.0,YES
0.1731,0.1489,NO
0.0952,0.0824,NO
0.1364,0.1692,NO
0.0887,0.1387,NO
0.2289,0.2094,NO
0.2088,0.0738,NO
0.2075,0.061,NO
0.1923,0.3834,YES
0.0927,0.0387,NO
0.0821,0.1414,YES
0.0311,0.0553,NO
0.3081,1.0,YES
0.0406,0.0274,NO
0.1251,0.0909,NO
0.091,0.1387,NO
0.11800000000000001,0.1387,NO
0.1053,0.1387,NO
0.2201,0.1489,NO
0.1351,0.1387,NO
0.1328,0.1525,NO
0.0724,0.1468,NO
0.0244,0.1088,NO
0.1404,0.2378,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.1661,NO
0.013000000000000001,0.1508,NO
0.2103,1.0,YES
0.1395,0.1475,NO
0.1325,1.0,YES
0.1443,0.0968,NO
0.2165,0.2037,NO
0.1934,0.2037,NO
0.1934,0.2037,NO
0.0572,0.1508,NO
0.2318,1.0,YES
0.0556,0.066,NO
0.3609,1.0,YES
0.1417,0.1508,NO
0.255,1.0,YES
0.0522,0.1155,NO
0.0677,0.2192,NO
0.1439,0.2125,NO
0.0494,0.1116,NO
0.1715,1.0,YES
0.0964,0.1335,NO
0.1343,1.0,YES
0.1544,0.1694,NO
0.0732,0.1694,NO
0.1975,0.2286,NO
0.2582,0.1326,NO
0.1977,0.1118,NO
0.1701,0.2524,NO
0.1684,0.1926,NO
0.1225,0.1926,NO
0.1458,0.2524,NO
0.4028,0.485,YES
0.1577,0.2524,NO
0.2904,0.4997,YES
0.1987,0.0957,NO
0.1756,0.1693,NO
0.1689,0.028999999999999998,NO
0.054000000000000006,0.1926,NO
0.1469,0.2524,NO
0.0547,0.0805,NO
0.1082,0.0779,NO
0.2019,0.1926,NO
0.1293,0.2083,NO
0.3897,1.0,YES
0.3612,0.4997,YES
0.2791,1.0,YES
0.2894,0.3374,YES
0.2226,0.2524,NO
0.1753,0.4997,YES
0.0979,0.2524,NO
0.0985,0.1328,NO
0.0774,0.0288,NO
0.1069,0.1429,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.2886,YES
0.0885,0.1366,NO
0.0604,0.11,NO
0.2068,0.2886,YES
0.2598,0.1114,NO
0.106,0.2886,YES
0.1459,0.2548,NO
0.2252,0.1928,NO
0.2571,0.1719,NO
0.2375,0.0561,NO
0.1453,0.0891,NO
0.2245,0.3316,YES
0.141,0.066,NO
0.2623,1.0,YES
0.142,0.11,NO
0.2555,1.0,YES
0.2049,0.2548,NO
0.2206,0.2548,NO
0.2228,0.2548,NO
0.1032,0.0457,NO
0.1461,0.2886,YES
0.1116,0.2548,NO
0.1326,0.2886,YES
0.1415,0.1439,NO
0.0745,0.0153,NO
0.2381,0.1635,NO
0.19,0.1254,NO
0.1547,0.1254,NO
0.1997,0.2395,NO
0.1653,0.0398,NO
0.1536,0.0623,NO
0.1999,0.2395,NO
0.1989,1.0,YES
0.2045,0.2395,NO
0.2447,0.27899999999999997,YES
0.2519,0.1123,NO
0.2036,0.0484,NO
0.2033,0.0598,NO
0.0533,0.0988,NO
0.105,0.2395,NO
0.055999999999999994,0.0959,NO
0.1113,0.1506,NO
0.2256,0.0153,NO
0.0989,0.1201,NO
