DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_VSM_46,Associated
0.0737,0.1671,NO
0.0652,0.1109,NO
0.1144,0.6593,NO
0.2164,0.3895,NO
0.0671,0.2874,NO
0.0906,0.3464,NO
0.0589,0.4224,NO
0.0679,0.1135,NO
0.1689,0.2216,NO
0.2469,1.0,YES
0.0616,0.7077,NO
0.33799999999999997,1.0,YES
0.2427,0.3701,NO
0.2231,0.3574,NO
0.2223,0.3701,NO
0.1142,0.1047,NO
0.0706,0.2553,NO
0.1109,0.1308,NO
0.0747,0.391,NO
0.2179,0.2508,NO
0.1147,0.4715,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.5187,NO
0.0716,1.0,YES
0.1205,0.2574,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.1749,NO
0.1579,0.2455,NO
0.1148,0.2152,NO
0.1112,0.1724,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2584,NO
0.1056,0.3066,NO
0.0981,0.2584,NO
0.1058,0.3066,NO
0.1797,0.3658,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.2604,NO
0.1126,1.0,YES
0.0341,0.2047,NO
0.3399,1.0,YES
0.0412,0.2664,NO
0.1212,0.3066,NO
0.0769,0.2314,NO
0.1235,0.3066,NO
0.0802,0.3066,NO
0.1903,0.2584,NO
0.1119,0.2314,NO
0.1008,0.2584,NO
0.0886,0.1606,NO
0.1534,0.0672,NO
0.1331,0.3233,NO
0.2865,0.3744,NO
0.1512,0.1538,NO
0.1666,0.3329,NO
0.1465,0.2252,NO
0.0509,0.0976,NO
0.2187,0.2021,NO
0.4574,1.0,YES
0.1603,0.3471,NO
0.2015,0.7349,YES
0.205,0.0862,NO
0.2168,0.1774,NO
0.2136,0.1275,NO
0.1919,0.0028,NO
0.1533,0.1861,NO
0.1268,0.0961,NO
0.1947,0.3757,NO
0.1755,0.1843,NO
0.2202,0.4531,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.8737,YES
0.1771,1.0,YES
0.1659,0.2544,NO
0.1927,0.6372,YES
0.1251,0.2473,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.4748,NO
0.1662,0.3514,NO
0.1507,0.3514,NO
0.1441,0.4605,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.4748,NO
0.0952,0.601,NO
0.1364,0.4748,NO
0.0887,0.601,NO
0.2289,0.7376,NO
0.2088,0.7124,NO
0.2075,0.7376,NO
0.1923,1.0,YES
0.0927,0.3514,NO
0.0821,1.0,YES
0.0311,0.3514,NO
0.3081,1.0,YES
0.0406,0.3514,NO
0.1251,0.601,NO
0.091,0.4197,NO
0.11800000000000001,0.601,NO
0.1053,0.601,NO
0.2201,0.4653,NO
0.1351,0.4197,NO
0.1328,0.4748,NO
0.0724,0.1047,NO
0.0244,0.1651,NO
0.1404,0.7346,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.503,YES
0.0826,0.22,NO
0.013000000000000001,0.0982,NO
0.2103,0.7346,YES
0.1395,0.3019,NO
0.1325,0.4615,YES
0.1443,0.1733,NO
0.2165,0.3493,NO
0.1934,0.379,NO
0.1934,0.379,NO
0.0572,0.0921,NO
0.2318,1.0,YES
0.0556,0.0819,NO
0.3609,1.0,YES
0.1417,0.1449,NO
0.255,1.0,YES
0.0522,0.3405,NO
0.0677,0.2734,NO
0.1439,0.368,NO
0.0494,0.113,NO
0.1715,0.7346,YES
0.0964,0.3393,NO
0.1343,0.7346,YES
0.1544,0.2169,NO
0.0732,0.2169,NO
0.1975,0.4137,NO
0.2582,0.3895,NO
0.1977,0.3172,NO
0.1701,0.3464,NO
0.1684,0.2599,NO
0.1225,0.2169,NO
0.1458,0.4137,NO
0.4028,1.0,YES
0.1577,0.4354,NO
0.2904,0.9651,YES
0.1987,0.2327,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.2169,NO
0.1469,0.311,NO
0.0547,0.2169,NO
0.1082,0.4137,NO
0.2019,0.2421,NO
0.1293,0.4715,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,0.9651,YES
0.2894,1.0,YES
0.2226,0.4137,NO
0.1753,0.6631,YES
0.0979,0.4137,NO
0.0985,0.1425,NO
0.0774,0.2248,NO
0.1069,1.0,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.6847,YES
0.0885,0.2995,NO
0.0604,0.1337,NO
0.2068,1.0,YES
0.2598,0.3019,NO
0.106,0.6283,YES
0.1459,0.166,NO
0.2252,0.125,NO
0.2571,0.1873,NO
0.2375,0.2758,NO
0.1453,0.0927,NO
0.2245,1.0,YES
0.141,0.1052,NO
0.2623,1.0,YES
0.142,0.1449,NO
0.2555,1.0,YES
0.2049,0.3405,NO
0.2206,0.3721,NO
0.2228,0.4726,NO
0.1032,0.0883,NO
0.1461,1.0,YES
0.1116,0.4619,NO
0.1326,1.0,YES
0.1415,0.2332,NO
0.0745,0.2332,NO
0.2381,0.4239,NO
0.19,0.3895,NO
0.1547,0.1965,NO
0.1997,0.3984,NO
0.1653,0.2344,NO
0.1536,0.2332,NO
0.1999,0.4239,NO
0.1989,1.0,YES
0.2045,0.4239,NO
0.2447,1.0,YES
0.2519,0.406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.2332,NO
0.105,0.2125,NO
0.055999999999999994,0.2332,NO
0.1113,0.391,NO
0.2256,0.2508,NO
0.0989,0.4715,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.4239,NO
0.1657,0.6631,YES
0.1331,0.4239,NO
0.0949,0.1671,NO
0.1339,0.1266,NO
0.22399999999999998,0.6593,NO
0.1967,0.3895,NO
0.1436,0.2874,NO
0.2079,0.3916,NO
0.1339,0.4224,NO
0.0967,0.1135,NO
0.2198,0.4095,NO
0.3428,1.0,YES
0.2344,0.7077,NO
0.1736,1.0,YES
0.1331,0.18899999999999997,NO
0.0735,0.1774,NO
0.0647,0.1275,NO
0.204,0.0885,NO
0.1327,0.2038,NO
0.1655,0.1308,NO
0.31,0.391,NO
0.1309,0.2508,NO
0.2819,0.4715,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.5187,NO
0.2673,1.0,YES
0.1726,0.4095,NO
0.1439,0.2093,NO
0.0769,0.2093,NO
0.1953,0.3916,NO
0.2342,0.3103,NO
0.2047,0.3103,NO
0.1823,0.2909,NO
0.1684,0.2509,NO
0.1204,0.2093,NO
0.1751,0.3095,NO
0.3579,1.0,YES
0.1828,0.4203,NO
0.2083,1.0,YES
0.2252,0.2729,NO
0.2041,0.2636,NO
0.2007,0.2729,NO
0.0498,0.2093,NO
0.1415,0.3103,NO
0.0515,0.2093,NO
0.1207,0.3103,NO
0.1912,0.2508,NO
0.14,0.3103,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.3095,NO
0.2003,0.594,YES
0.1168,0.3095,NO
0.0727,0.1671,NO
0.0714,0.1352,NO
0.10800000000000001,0.6593,NO
0.2886,0.3895,NO
0.1427,0.2874,NO
0.0855,0.3464,NO
0.0605,0.4224,NO
0.0532,0.1352,NO
0.1421,0.1704,NO
0.4397,1.0,YES
0.0607,0.7077,NO
0.2347,1.0,YES
0.2118,0.2846,NO
0.2048,0.2749,NO
0.2045,0.2846,NO
0.0849,0.1352,NO
0.1035,0.1893,NO
0.0824,0.1352,NO
0.0975,0.391,NO
0.1702,0.1867,NO
0.1518,0.4715,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.5187,NO
0.1128,1.0,YES
0.099,0.2574,NO
0.1069,0.2216,NO
0.0451,0.3233,NO
0.5095,1.0,YES
0.1431,0.4964,YES
0.1227,0.5116,YES
0.2847,1.0,YES
0.2237,0.4103,NO
0.1065,0.2194,NO
0.3266,1.0,YES
0.0974,0.7244,NO
0.3289,1.0,YES
0.1059,0.7244,NO
0.2131,0.5579,NO
0.1496,0.4246,NO
0.1474,0.2988,NO
0.0902,0.2194,NO
0.0993,0.5205,YES
0.0875,0.2282,NO
0.2369,0.6673,YES
0.2129,0.2194,NO
0.1321,0.6673,YES
0.1271,0.4243,NO
0.08,0.7244,NO
0.3025,0.7244,NO
0.12,0.3976,NO
0.3399,1.0,YES
0.2516,0.7244,NO
0.2081,1.0,YES
0.1799,0.2097,NO
0.1547,0.3233,NO
0.3595,0.6877,YES
0.2156,0.1309,NO
0.1535,0.1544,NO
0.4159,1.0,YES
0.1827,0.2822,NO
0.1097,0.134,NO
0.5448,0.9727,YES
0.191,0.2628,NO
0.4381,0.8915,YES
0.1528,0.1414,NO
0.3264,0.4978,NO
0.3203,0.5402,NO
0.2648,0.5402,NO
0.171,0.0561,NO
0.21899999999999997,0.5205,NO
0.1398,0.0722,NO
0.3673,0.2684,NO
0.1451,0.2054,NO
0.2637,0.2599,NO
0.1991,0.2695,NO
0.1784,0.2628,NO
0.3767,0.5719,NO
0.1917,0.3693,NO
0.3794,1.0,YES
0.3359,0.3705,NO
0.2874,1.0,YES
0.0798,0.17600000000000002,NO
0.0364,0.2207,NO
0.2475,0.982,YES
0.2794,1.0,YES
0.2232,1.0,YES
0.2213,0.6758,YES
0.1233,0.3708,NO
0.0474,0.1312,NO
0.2799,0.982,YES
0.2328,0.8778,NO
0.2608,0.7944,YES
0.1095,0.8778,NO
0.2365,0.445,NO
0.2061,0.4298,NO
0.2048,0.445,NO
0.0456,0.091,NO
0.1795,1.0,YES
0.0442,0.1798,NO
0.27,1.0,YES
0.1224,0.1601,NO
0.1913,1.0,YES
0.2397,0.6271,NO
0.2111,0.8778,NO
0.2935,0.8778,NO
0.1155,0.7101,NO
0.243,0.982,YES
0.1959,0.8778,NO
0.198,0.982,YES
0.1636,0.1636,NO
0.1646,0.2596,NO
0.3881,0.6768,YES
0.1762,0.3813,NO
0.1649,0.39299999999999996,NO
0.4197,1.0,YES
0.1681,0.2703,NO
0.153,0.1381,NO
0.4738,1.0,YES
0.159,0.6038,NO
0.493,1.0,YES
0.1456,0.6038,NO
0.2244,0.5579,NO
0.1542,0.2863,NO
0.1277,0.1958,NO
0.1775,0.0475,NO
0.2106,0.4877,NO
0.1654,0.0682,NO
0.3557,0.6479,NO
0.0902,0.1871,NO
0.2663,0.5126,NO
0.2218,0.3536,NO
0.1764,0.6038,NO
0.3901,0.6038,NO
0.21600000000000003,0.3738,NO
0.402,1.0,YES
0.3584,0.6038,NO
0.3239,1.0,YES
0.0467,0.2203,NO
