DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_LSA_41,Associated
0.0737,0.4295,NO
0.0652,0.2917,NO
0.1144,0.3838,NO
0.2164,0.5047,NO
0.0671,0.2753,NO
0.0906,0.4545,NO
0.0589,0.3006,NO
0.0679,0.3799,NO
0.1689,0.2563,NO
0.2469,1.0047,YES
0.0616,0.3344,NO
0.33799999999999997,1.6392,YES
0.2427,0.4056,NO
0.2231,0.3432,NO
0.2223,0.1096,NO
0.1142,0.4252,NO
0.0706,0.3643,NO
0.1109,0.4796,NO
0.0747,0.3066,NO
0.2179,0.1906,NO
0.1147,0.3057,NO
0.0779,1.1856,YES
0.0804,0.7435,YES
0.1668,0.7429,YES
0.24,1.6249,YES
0.1573,0.2798,NO
0.0716,1.4131,YES
0.1205,0.3947,NO
0.1072,0.6195,YES
0.2444,0.4531,YES
0.3362,0.5487,NO
0.1579,0.2944,NO
0.1148,0.3567,NO
0.1112,0.6008,NO
0.3947,0.2769,YES
0.0957,0.7506,YES
0.1364,0.4961,NO
0.1056,0.1171,NO
0.0981,0.4987,NO
0.1058,0.1883,NO
0.1797,0.1988,NO
0.1526,0.325,NO
0.1551,0.0807,NO
0.2811,0.7498,YES
0.0766,0.466,NO
0.1126,0.43200000000000005,YES
0.0341,0.2927,NO
0.3399,0.2247,YES
0.0412,0.2311,NO
0.1212,0.132,NO
0.0769,0.1592,NO
0.1235,0.1815,NO
0.0802,0.2121,NO
0.1903,0.4675,NO
0.1119,0.3667,NO
0.1008,0.5283,NO
0.0886,0.7885,NO
0.1534,0.1496,NO
0.1331,0.5377,NO
0.2865,0.8524,NO
0.1512,0.8722,NO
0.1666,0.7695,NO
0.1465,0.6076,NO
0.0509,0.4609,NO
0.2187,0.5709,NO
0.4574,1.9575,YES
0.1603,0.755,NO
0.2015,3.0742,YES
0.205,0.3356,NO
0.2168,0.4355,NO
0.2136,0.1428,NO
0.1919,0.6015,NO
0.1533,0.6693,NO
0.1268,0.4822,NO
0.1947,0.7604,NO
0.1755,0.1924,NO
0.2202,0.7687,NO
0.4465,2.7187,YES
0.4252,1.3427,YES
0.3653,1.7149,YES
0.1771,2.5014,YES
0.1659,0.5287,NO
0.1927,2.355,YES
0.1251,0.6444,NO
0.1303,1.5629,YES
0.1814,1.4388,YES
0.3356,0.7454,NO
0.1662,0.586,NO
0.1507,0.534,NO
0.1441,0.7898,NO
0.3435,0.61,YES
0.1243,2.2138,YES
0.1731,0.5941,NO
0.0952,0.0566,NO
0.1364,0.7231,NO
0.0887,0.0511,NO
0.2289,0.2961,NO
0.2088,0.4494,NO
0.2075,0.0671,NO
0.1923,2.2043,YES
0.0927,0.7072,NO
0.0821,1.3764,YES
0.0311,0.409,NO
0.3081,0.6183,YES
0.0406,0.3885,NO
0.1251,0.0768,NO
0.091,0.1796,NO
0.11800000000000001,0.2909,NO
0.1053,0.1615,NO
0.2201,0.7067,NO
0.1351,0.2932,NO
0.1328,0.6878,NO
0.0724,0.5717,NO
0.0244,0.3488,NO
0.1404,1.4081,YES
0.3348,3.2204,YES
0.2937,3.565,YES
0.14300000000000002,1.6381,YES
0.0826,0.42700000000000005,NO
0.013000000000000001,0.3817,NO
0.2103,1.5767,YES
0.1395,0.5148,NO
0.1325,1.7498,YES
0.1443,0.5115,NO
0.2165,0.3786,NO
0.1934,0.8896,NO
0.1934,0.2207,NO
0.0572,0.4055,NO
0.2318,3.3695,YES
0.0556,0.3815,NO
0.3609,2.4296,YES
0.1417,0.3778,NO
0.255,2.6608,YES
0.0522,0.4715,NO
0.0677,0.4726,NO
0.1439,0.6128,NO
0.0494,0.6062,NO
0.1715,1.78,YES
0.0964,0.4376,NO
0.1343,1.4518,YES
0.1544,0.4937,NO
0.0732,0.0572,NO
0.1975,0.7816,NO
0.2582,0.8076,NO
0.1977,0.9335,NO
0.1701,1.0235,NO
0.1684,0.4637,NO
