DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_7,Associated
0.0737,0.423,NO
0.0652,0.1313,NO
0.1144,0.5564,NO
0.2164,0.5721,NO
0.0671,0.2342,NO
0.0906,0.8224,NO
0.0589,0.048,NO
0.0679,0.0988,NO
0.1689,0.778,NO
0.2469,1.8871,YES
0.0616,0.2409,NO
0.33799999999999997,2.1754,YES
0.2427,0.0596,NO
0.2231,0.3611,NO
0.2223,0.0839,NO
0.1142,0.1908,NO
0.0706,0.8465,NO
0.1109,0.1396,NO
0.0747,0.7971,NO
0.2179,0.1211,NO
0.1147,0.6227,NO
0.0779,1.9149,YES
0.0804,1.7468,YES
0.1668,1.5190000000000001,YES
0.24,1.5827,YES
0.1573,0.5656,NO
0.0716,0.6939,YES
0.1205,0.5429999999999999,NO
0.1072,0.4203,YES
0.2444,0.298,YES
0.3362,0.3085,NO
0.1579,0.38,NO
0.1148,0.2549,NO
0.1112,0.4346,NO
0.3947,0.2083,YES
0.0957,0.158,YES
0.1364,0.3627,NO
0.1056,0.3095,NO
0.0981,0.2617,NO
0.1058,0.2913,NO
0.1797,0.1617,NO
0.1526,0.3097,NO
0.1551,0.2038,NO
0.2811,0.7874,YES
0.0766,0.4526,NO
0.1126,0.3418,YES
0.0341,0.5338,NO
0.3399,0.2414,YES
0.0412,0.2241,NO
0.1212,0.2802,NO
0.0769,0.3501,NO
0.1235,0.2581,NO
0.0802,0.163,NO
0.1903,0.3042,NO
0.1119,0.2029,NO
0.1008,0.4405,NO
0.0886,0.36,NO
0.1534,0.1335,NO
0.1331,0.4382,NO
0.2865,0.8555,NO
0.1512,0.3765,NO
0.1666,0.5819,NO
0.1465,0.0347,NO
0.0509,0.1407,NO
0.2187,0.5105,NO
0.4574,2.6612,YES
0.1603,0.2524,NO
0.2015,1.7191,YES
0.205,0.1711,NO
0.2168,0.4489,NO
0.2136,0.2552,NO
0.1919,0.1699,NO
0.1533,1.0665,NO
0.1268,0.1614,NO
0.1947,0.9748,NO
0.1755,0.1325,NO
0.2202,0.7049,NO
0.4465,2.6658,YES
0.4252,1.4269999999999998,YES
0.3653,1.06,YES
0.1771,1.5162,YES
0.1659,0.5655,NO
0.1927,0.6168,YES
0.1251,0.6725,NO
0.1303,1.5898,YES
0.1814,1.1523,YES
0.3356,0.4906,NO
0.1662,0.3471,NO
0.1507,0.3998,NO
0.1441,0.3982,NO
0.3435,0.4596,YES
0.1243,0.7003,YES
0.1731,0.2999,NO
0.0952,0.37200000000000005,NO
0.1364,0.3307,NO
0.0887,0.2337,NO
0.2289,0.28600000000000003,NO
0.2088,0.4948,NO
0.2075,0.1598,NO
0.1923,2.3406,YES
0.0927,0.4021,NO
0.0821,1.515,YES
0.0311,0.4552,NO
0.3081,0.6687,YES
0.0406,0.2771,NO
0.1251,0.2909,NO
0.091,0.5249,NO
0.11800000000000001,0.2583,NO
0.1053,0.40700000000000003,NO
0.2201,0.322,NO
0.1351,0.3441,NO
0.1328,0.2509,NO
0.0724,0.5824,NO
0.0244,0.3217,NO
0.1404,0.7684,YES
0.3348,2.0986,YES
0.2937,1.8631,YES
0.14300000000000002,1.4355,YES
0.0826,0.2728,NO
0.013000000000000001,0.1138,NO
0.2103,1.4891,YES
0.1395,0.447,NO
0.1325,0.7779,YES
0.1443,0.2179,NO
0.2165,0.4021,NO
0.1934,0.6524,NO
0.1934,0.2169,NO
0.0572,0.5686,NO
0.2318,4.3497,YES
0.0556,0.4483,NO
0.3609,4.4343,YES
0.1417,0.2011,NO
0.255,2.1045,YES
0.0522,0.3323,NO
0.0677,0.6253,NO
0.1439,0.5558,NO
0.0494,0.0748,NO
0.1715,0.5906,YES
0.0964,0.2765,NO
0.1343,1.3195,YES
0.1544,0.4221,NO
0.0732,0.1344,NO
