DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_VSM_37,Associated
0.0737,0.1671,NO
0.0652,0.1091,NO
0.1144,0.6593,NO
0.2164,0.3895,NO
0.0671,0.3369,NO
0.0906,0.6773,NO
0.0589,0.2687,NO
0.0679,0.1135,NO
0.1689,0.2452,NO
0.2469,1.0,YES
0.0616,0.7077,NO
0.33799999999999997,1.0,YES
0.2427,0.0808,NO
0.2231,0.2085,NO
0.2223,0.1733,NO
0.1142,0.1438,NO
0.0706,0.4176,NO
0.1109,0.1308,NO
0.0747,0.1949,NO
0.2179,0.2508,NO
0.1147,0.3295,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.5187,NO
0.0716,1.0,YES
0.1205,0.3939,NO
0.1072,0.405,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.1872,NO
0.1148,0.1872,NO
0.1112,0.3765,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2584,NO
0.1056,0.0669,NO
0.0981,0.3,NO
0.1058,0.0936,NO
0.1797,0.4183,NO
0.1526,0.4183,NO
0.1551,0.4183,NO
0.2811,1.0,YES
0.0766,0.1872,NO
0.1126,1.0,YES
0.0341,0.1743,NO
0.3399,0.8571,YES
0.0412,0.1126,NO
0.1212,0.086,NO
0.0769,0.1001,NO
0.1235,0.1927,NO
0.0802,0.0895,NO
0.1903,0.4007,NO
0.1119,0.1619,NO
0.1008,0.2584,NO
0.0886,0.1671,NO
0.1534,0.0802,NO
0.1331,0.3233,NO
0.2865,0.3895,NO
0.1512,0.3369,NO
0.1666,0.3322,NO
0.1465,0.2687,NO
0.0509,0.1016,NO
0.2187,0.2452,NO
0.4574,1.0,YES
0.1603,0.3471,NO
0.2015,0.7349,YES
0.205,0.0594,NO
0.2168,0.1774,NO
0.2136,0.1275,NO
0.1919,0.1057,NO
0.1533,0.4176,NO
0.1268,0.0961,NO
0.1947,0.2316,NO
0.1755,0.1843,NO
0.2202,0.3063,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2544,NO
0.1927,1.0,YES
0.1251,0.1932,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.5415,NO
0.1662,0.6805,NO
0.1507,0.6805,NO
0.1441,0.6805,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.4653,NO
0.0952,0.4069,NO
0.1364,0.4436,NO
0.0887,0.2121,NO
0.2289,0.7376,NO
0.2088,0.7376,NO
0.2075,0.7376,NO
0.1923,1.0,YES
0.0927,0.6805,NO
0.0821,1.0,YES
0.0311,0.5005,NO
0.3081,0.9717,YES
0.0406,0.6805,NO
0.1251,0.4069,NO
0.091,0.4069,NO
0.11800000000000001,0.3583,NO
0.1053,0.4069,NO
0.2201,0.5415,NO
0.1351,0.1301,NO
0.1328,0.4653,NO
0.0724,0.1709,NO
0.0244,0.1651,NO
0.1404,0.4323,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.7346,YES
0.0826,0.1658,NO
0.013000000000000001,0.0982,NO
0.2103,0.3689,YES
0.1395,0.3019,NO
0.1325,0.4615,YES
0.1443,0.22399999999999998,NO
0.2165,0.3291,NO
0.1934,0.3291,NO
0.1934,0.3291,NO
0.0572,0.0921,NO
0.2318,1.0,YES
0.0556,0.0921,NO
0.3609,1.0,YES
0.1417,0.3664,NO
0.255,1.0,YES
0.0522,0.3405,NO
0.0677,0.1238,NO
0.1439,0.3867,NO
0.0494,0.1856,NO
0.1715,0.5192,YES
0.0964,0.3518,NO
0.1343,0.4304,YES
0.1544,0.1671,NO
0.0732,0.1091,NO
0.1975,0.6593,NO
0.2582,0.3895,NO
0.1977,0.3369,NO
0.1701,0.6773,NO
0.1684,0.2687,NO
0.1225,0.1135,NO
0.1458,0.2452,NO
0.4028,1.0,YES
0.1577,0.7077,NO
0.2904,1.0,YES
0.1987,0.2451,NO
0.1756,0.2451,NO
0.1689,0.2451,NO
0.054000000000000006,0.1438,NO
0.1469,0.4176,NO
0.0547,0.1308,NO
0.1082,0.1949,NO
0.2019,0.2508,NO
0.1293,0.3295,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.5187,NO
0.1753,1.0,YES
0.0979,0.3939,NO
0.0985,0.146,NO
0.0774,0.2248,NO
0.1069,0.5483,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,1.0,YES
0.0885,0.1658,NO
0.0604,0.1337,NO
0.2068,0.5022,YES
0.2598,0.3019,NO
0.106,0.6283,YES
0.1459,0.22399999999999998,NO
0.2252,0.3948,NO
0.2571,0.3948,NO
0.2375,0.3948,NO
0.1453,0.1065,NO
0.2245,1.0,YES
0.141,0.1194,NO
0.2623,0.8544,YES
0.142,0.4988,NO
0.2555,1.0,YES
0.2049,0.3725,NO
0.2206,0.1226,NO
0.2228,0.5265,NO
0.1032,0.2085,NO
0.1461,0.7068,YES
0.1116,0.2481,NO
0.1326,0.5859,YES
0.1415,0.122,NO
0.0745,0.1856,NO
0.2381,0.6593,NO
0.19,0.4328,NO
0.1547,0.4328,NO
0.1997,0.6773,NO
0.1653,0.1963,NO
0.1536,0.1135,NO
0.1999,0.284,NO
0.1989,1.0,YES
0.2045,0.7077,NO
0.2447,1.0,YES
0.2519,0.4406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.1438,NO
0.105,0.4328,NO
0.055999999999999994,0.1308,NO
0.1113,0.3183,NO
0.2256,0.2508,NO
0.0989,0.4328,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.5187,NO
0.1657,1.0,YES
0.1331,0.3939,NO
0.0949,0.1671,NO
0.1339,0.1277,NO
0.22399999999999998,0.6593,NO
0.1967,0.3895,NO
0.1436,0.3315,NO
0.2079,0.6773,NO
0.1339,0.2116,NO
0.0967,0.1135,NO
0.2198,0.4039,NO
0.3428,1.0,YES
0.2344,0.7077,NO
0.1736,1.0,YES
0.1331,0.1626,NO
0.0735,0.1437,NO
0.0647,0.1004,NO
0.204,0.0762,NO
0.1327,0.3289,NO
0.1655,0.0885,NO
0.31,0.2485,NO
0.1309,0.1439,NO
0.2819,0.3295,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.5187,NO
0.2673,1.0,YES
0.1726,0.3939,NO
0.1439,0.1086,NO
0.0769,0.1207,NO
0.1953,0.6593,NO
0.2342,0.4413,NO
0.2047,0.4413,NO
0.1823,0.6773,NO
0.1684,0.2687,NO
0.1204,0.1135,NO
0.1751,0.2216,NO
0.3579,1.0,YES
0.1828,0.7077,NO
0.2083,1.0,YES
0.2252,0.2866,NO
0.2041,0.2866,NO
0.2007,0.2866,NO
0.0498,0.1438,NO
0.1415,0.4413,NO
0.0515,0.1308,NO
0.1207,0.3246,NO
0.1912,0.2508,NO
0.14,0.4413,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.5187,NO
0.2003,1.0,YES
0.1168,0.3939,NO
0.0727,0.1262,NO
0.0714,0.0812,NO
0.10800000000000001,0.2898,NO
0.2886,0.31,NO
0.1427,0.3369,NO
0.0855,0.31,NO
0.0605,0.2687,NO
0.0532,0.0804,NO
0.1421,0.1851,NO
0.4397,1.0,YES
0.0607,0.311,NO
0.2347,0.7443,YES
0.2118,0.0602,NO
0.2048,0.1774,NO
0.2045,0.129,NO
0.0849,0.107,NO
0.1035,0.4176,NO
0.0824,0.0974,NO
0.0975,0.228,NO
0.1702,0.1867,NO
0.1518,0.31,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,0.755,YES
0.1257,1.0,YES
0.1375,0.228,NO
0.1128,0.755,YES
0.099,0.1816,NO
0.1069,0.2194,NO
0.0451,0.2698,NO
0.5095,1.0,YES
0.1431,0.6673,YES
0.1227,0.6673,YES
0.2847,0.8963,YES
0.2237,0.3986,NO
0.1065,0.2018,NO
0.3266,0.9179,YES
0.0974,0.1364,NO
0.3289,1.0,YES
0.1059,0.1314,NO
0.2131,0.441,NO
0.1496,0.441,NO
0.1474,0.441,NO
0.0902,0.1328,NO
0.0993,0.6673,YES
0.0875,0.2194,NO
0.2369,0.5248,YES
0.2129,0.3329,NO
0.1321,0.6673,YES
0.1271,0.2485,NO
0.08,0.1907,NO
0.3025,0.5258,NO
0.12,0.3189,NO
0.3399,1.0,YES
0.2516,0.519,NO
0.2081,0.9179,YES
0.1799,0.1524,NO
0.1547,0.3233,NO
0.3595,0.6171,YES
0.2156,0.1847,NO
0.1535,0.1949,NO
0.4159,1.0,YES
0.1827,0.2822,NO
0.1097,0.0983,NO
0.5448,0.9727,YES
0.191,0.5079,NO
0.4381,1.0,YES
0.1528,0.5079,NO
0.3264,0.5402,NO
0.3203,0.5402,NO
0.2648,0.5402,NO
0.171,0.086,NO
0.21899999999999997,0.1805,NO
0.1398,0.0223,NO
0.3673,0.537,NO
0.1451,0.1218,NO
0.2637,0.3889,NO
0.1991,0.5079,NO
0.1784,0.2987,NO
0.3767,0.5079,NO
0.1917,0.5079,NO
0.3794,1.0,YES
0.3359,0.6436,NO
0.2874,0.7136,YES
0.0798,0.1537,NO
0.0364,0.2444,NO
0.2475,0.665,YES
0.2794,0.982,YES
0.2232,1.0,YES
0.2213,0.982,YES
0.1233,0.2269,NO
0.0474,0.1537,NO
