DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_75,Associated
0.0737,0.8165,NO
0.0652,0.9597,NO
0.1144,0.5252,NO
0.2164,1.0809,NO
0.0671,1.0434,NO
0.0906,1.493,NO
0.0589,1.3926,NO
0.0679,0.6959,NO
0.1689,0.6986,NO
0.2469,3.2034,YES
0.0616,0.4374,NO
0.33799999999999997,3.6679,YES
0.2427,0.6756,NO
0.2231,0.6228,NO
0.2223,0.6445,NO
0.1142,0.5998,NO
0.0706,1.2088,NO
0.1109,0.8364,NO
0.0747,0.594,NO
0.2179,0.9913,NO
0.1147,1.1465,NO
0.0779,3.7372,YES
0.0804,3.8089,YES
0.1668,3.4928,YES
0.24,3.5943,YES
0.1573,0.4718,NO
0.0716,3.0131,YES
0.1205,1.0358,NO
0.1072,1.8175,YES
0.2444,1.4163,YES
0.3362,1.2961,NO
0.1579,1.0719,NO
0.1148,0.8723,NO
0.1112,1.3130000000000002,NO
0.3947,1.7171,YES
0.0957,2.3741,YES
0.1364,1.4878,NO
0.1056,0.3289,NO
0.0981,1.3469,NO
0.1058,0.5402,NO
0.1797,1.1345,NO
0.1526,1.2315,NO
0.1551,1.1439,NO
0.2811,2.3091,YES
0.0766,0.8370000000000001,NO
0.1126,1.7846,YES
0.0341,1.0337,NO
0.3399,2.2843,YES
0.0412,0.6558,NO
0.1212,0.7563,NO
0.0769,0.6534,NO
0.1235,1.0567,NO
0.0802,0.6993,NO
0.1903,1.3005,NO
0.1119,0.6367,NO
0.1008,1.0624,NO
0.0886,0.4493,NO
0.1534,0.6454,NO
0.1331,0.5786,NO
0.2865,0.7148,NO
0.1512,0.6859999999999999,NO
0.1666,1.7108,NO
0.1465,0.8771,NO
0.0509,0.1595,NO
0.2187,0.7787,NO
0.4574,2.9347,YES
0.1603,0.5084,NO
0.2015,3.3162,YES
0.205,0.4935,NO
0.2168,0.3428,NO
0.2136,0.3995,NO
0.1919,0.0884,NO
0.1533,0.8243,NO
0.1268,0.5099,NO
0.1947,0.2239,NO
0.1755,0.4212,NO
0.2202,0.9752,NO
0.4465,3.5119,YES
0.4252,3.4621,YES
0.3653,3.2789,YES
0.1771,3.3354,YES
0.1659,0.5451,NO
0.1927,2.8280000000000003,YES
0.1251,1.1002,NO
0.1303,1.6897,YES
0.1814,1.2547,YES
0.3356,1.0648,NO
0.1662,0.6117,NO
0.1507,0.6283,NO
0.1441,1.6288,NO
0.3435,1.6693,YES
0.1243,2.5634,YES
0.1731,0.9949,NO
0.0952,0.2761,NO
0.1364,1.1337,NO
0.0887,0.6329,NO
0.2289,0.2656,NO
0.2088,0.2744,NO
0.2075,0.2046,NO
0.1923,1.8133,YES
0.0927,1.1698,NO
0.0821,1.8514,YES
0.0311,0.8519,NO
0.3081,2.3653,YES
0.0406,0.6938,NO
0.1251,0.8902,NO
0.091,0.7671,NO
0.11800000000000001,0.6922,NO
0.1053,0.7584,NO
0.2201,1.39,NO
0.1351,0.7462,NO
0.1328,1.2113,NO
0.0724,0.264,NO
0.0244,0.4187,NO
0.1404,1.3107,YES
0.3348,3.7011,YES
0.2937,4.2522,YES
0.14300000000000002,1.4381,YES
0.0826,0.5886,NO
0.013000000000000001,0.0307,NO
0.2103,1.3067,YES
0.1395,0.2883,NO
0.1325,1.8980000000000001,YES
0.1443,0.5046,NO
0.2165,0.3467,NO
0.1934,0.5527,NO
0.1934,0.4004,NO
0.0572,0.3071,NO
0.2318,4.1583,YES
0.0556,0.1427,NO
0.3609,4.3071,YES
0.1417,0.1732,NO
0.255,3.8042,YES
0.0522,0.9178,NO
0.0677,0.5632,NO
0.1439,1.1521,NO
0.0494,0.768,NO
0.1715,1.551,YES
0.0964,0.6209,NO
0.1343,1.6733,YES
0.1544,0.9438,NO
0.0732,0.8664,NO
0.1975,0.1501,NO
0.2582,0.8365,NO
0.1977,0.6152,NO
0.1701,0.9447,NO
0.1684,1.1446,NO
0.1225,0.7836,NO
0.1458,0.5583,NO
0.4028,2.9974,YES
0.1577,0.0064,NO
0.2904,3.2409,YES
0.1987,0.7143,NO
0.1756,0.7457,NO
0.1689,0.7298,NO
0.054000000000000006,0.5496,NO
0.1469,0.7756,NO
0.0547,0.9632,NO
0.1082,0.2563,NO
0.2019,1.0786,NO
0.1293,0.7546,NO
0.3897,3.1895,YES
0.3612,3.3063,YES
0.2791,2.9151,YES
0.2894,3.1081,YES
0.2226,0.1644,NO
0.1753,2.6234,YES
0.0979,0.579,NO
0.0985,0.7742,NO
0.0774,1.0070000000000001,NO
0.1069,1.0624,YES
0.3647,3.9197,YES
0.2531,3.9548,YES
0.1331,1.5609,YES
0.0885,1.1453,NO
0.0604,0.3233,NO
0.2068,1.6145,YES
0.2598,2.0826,NO
0.106,1.4471,YES
0.1459,2.1876,NO
0.2252,1.1858,NO
0.2571,1.3519999999999999,NO
0.2375,1.2989,NO
0.1453,0.4757,NO
0.2245,3.7932,YES
0.141,0.5152,NO
0.2623,3.6879,YES
0.142,0.6242,NO
0.2555,3.3715,YES
0.2049,2.5806,NO
0.2206,2.2753,NO
0.2228,2.3882,NO
0.1032,2.184,NO
0.1461,1.4042,YES
0.1116,1.6096,NO
0.1326,1.5275,YES
0.1415,0.7384,NO
0.0745,0.8363,NO
0.2381,0.8111,NO
0.19,1.4776,NO
0.1547,1.0654,NO
0.1997,1.5354,NO
0.1653,1.3438,NO
0.1536,0.5492,NO
0.1999,1.0824,NO
0.1989,2.5286,YES
0.2045,0.6847,NO
0.2447,3.3645,YES
0.2519,1.1461,NO
0.2036,1.1101,NO
0.2033,1.2107,NO
