DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_LSA_96,Associated
0.0737,0.2304,NO
0.0652,0.2124,NO
0.1144,0.4983,NO
0.2164,0.6153,NO
0.0671,0.6586,NO
0.0906,0.5797,NO
0.0589,0.215,NO
0.0679,0.4398,NO
0.1689,0.3129,NO
0.2469,0.6819,YES
0.0616,0.3265,NO
0.33799999999999997,1.307,YES
0.2427,0.2025,NO
0.2231,0.3256,NO
0.2223,0.091,NO
0.1142,0.3236,NO
0.0706,0.5061,NO
0.1109,0.424,NO
0.0747,0.3889,NO
0.2179,0.2222,NO
0.1147,0.2858,NO
0.0779,0.6404,YES
0.0804,0.7122,YES
0.1668,0.6269,YES
0.24,1.5592,YES
0.1573,0.5469,NO
0.0716,0.3514,YES
0.1205,0.5478,NO
0.1072,0.7305,YES
0.2444,2.0292,YES
0.3362,0.5454,NO
0.1579,0.3132,NO
0.1148,0.4394,NO
0.1112,0.4761,NO
0.3947,0.6004,YES
0.0957,1.548,YES
0.1364,0.441,NO
0.1056,0.2522,NO
0.0981,0.4478,NO
0.1058,0.203,NO
0.1797,0.1832,NO
0.1526,0.2203,NO
0.1551,0.0843,NO
0.2811,0.7490000000000001,YES
0.0766,0.2077,NO
0.1126,1.5248,YES
0.0341,0.2083,NO
0.3399,0.7051,YES
0.0412,0.2323,NO
0.1212,0.0938,NO
0.0769,0.2626,NO
0.1235,0.2238,NO
0.0802,0.1246,NO
0.1903,0.4903,NO
0.1119,0.1225,NO
0.1008,0.419,NO
0.0886,0.3235,NO
0.1534,0.2776,NO
0.1331,0.8856,NO
0.2865,0.6716,NO
0.1512,0.7701,NO
0.1666,0.875,NO
0.1465,0.3072,NO
0.0509,0.4079,NO
0.2187,0.6425,NO
0.4574,1.7873,YES
0.1603,0.3631,NO
0.2015,1.8426,YES
0.205,0.4297,NO
0.2168,0.46299999999999997,NO
0.2136,0.1145,NO
0.1919,0.3353,NO
0.1533,0.494,NO
0.1268,0.5312,NO
0.1947,0.3161,NO
0.1755,0.1896,NO
0.2202,0.5327,NO
0.4465,2.1073,YES
0.4252,1.6617,YES
0.3653,2.3861,YES
0.1771,3.535,YES
0.1659,0.8647,NO
0.1927,0.8457,YES
0.1251,0.7126,NO
0.1303,0.7345,YES
0.1814,1.2267,YES
0.3356,0.5123,NO
0.1662,0.5032,NO
0.1507,0.7754,NO
0.1441,0.763,NO
0.3435,0.61,YES
0.1243,2.1152,YES
0.1731,0.5915,NO
0.0952,0.1959,NO
0.1364,0.6107,NO
0.0887,0.4067,NO
0.2289,0.4266,NO
0.2088,0.3428,NO
0.2075,0.1099,NO
0.1923,1.4524,YES
0.0927,0.3866,NO
0.0821,1.5466,YES
0.0311,0.3458,NO
0.3081,1.3273,YES
0.0406,0.3883,NO
0.1251,0.1884,NO
0.091,0.3525,NO
0.11800000000000001,0.2129,NO
0.1053,0.2813,NO
0.2201,0.6642,NO
0.1351,0.2294,NO
0.1328,0.5674,NO
0.0724,0.3493,NO
0.0244,0.1572,NO
0.1404,0.9492,YES
0.3348,2.2116,YES
0.2937,3.78,YES
0.14300000000000002,0.9588,YES
0.0826,0.57,NO
0.013000000000000001,0.2789,NO
0.2103,1.1524,YES
0.1395,0.4896,NO
0.1325,0.9419,YES
0.1443,0.4941,NO
0.2165,0.2734,NO
0.1934,0.3923,NO
0.1934,0.1305,NO
0.0572,0.1928,NO
0.2318,2.5357,YES
0.0556,0.3192,NO
0.3609,2.1208,YES
0.1417,0.1499,NO
0.255,2.1069999999999998,YES
0.0522,0.34,NO
0.0677,0.3959,NO
0.1439,0.2444,NO
0.0494,0.4259,NO
0.1715,1.3896,YES
0.0964,0.3822,NO
0.1343,0.9533,YES
0.1544,0.3409,NO
0.0732,0.2382,NO
0.1975,0.8782,NO
0.2582,0.4767,NO
0.1977,0.9584,NO
0.1701,1.1857,NO
