DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_27,Associated
0.0737,0.2201,NO
0.0652,0.2201,NO
0.1144,0.1818,NO
0.2164,0.6139,NO
0.0671,0.1818,NO
0.0906,0.1245,NO
0.0589,0.2687,NO
0.0679,0.2025,NO
0.1689,0.1818,NO
0.2469,1.0,YES
0.0616,0.1818,NO
0.33799999999999997,1.0,YES
0.2427,0.1236,NO
0.2231,0.0602,NO
0.2223,0.1733,NO
0.1142,0.1438,NO
0.0706,0.2942,NO
0.1109,0.2201,NO
0.0747,0.1818,NO
0.2179,0.2508,NO
0.1147,0.1818,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1818,NO
0.0716,0.3196,YES
0.1205,0.2054,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.1702,NO
0.1148,0.1702,NO
0.1112,0.4007,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.4007,NO
0.1056,0.3066,NO
0.0981,0.4007,NO
0.1058,0.3066,NO
0.1797,0.4183,NO
0.1526,0.40399999999999997,NO
0.1551,0.4183,NO
0.2811,1.0,YES
0.0766,0.1471,NO
0.1126,1.0,YES
0.0341,0.1702,NO
0.3399,1.0,YES
0.0412,0.1702,NO
0.1212,0.2314,NO
0.0769,0.3066,NO
0.1235,0.3066,NO
0.0802,0.3066,NO
0.1903,0.4007,NO
0.1119,0.2314,NO
0.1008,0.4007,NO
0.0886,0.21600000000000003,NO
0.1534,0.21600000000000003,NO
0.1331,0.6593,NO
0.2865,0.6139,NO
0.1512,0.3076,NO
0.1666,0.3464,NO
0.1465,0.4224,NO
0.0509,0.1135,NO
0.2187,0.444,NO
0.4574,1.0,YES
0.1603,0.7077,NO
0.2015,0.7349,YES
0.205,0.1236,NO
0.2168,0.2391,NO
0.2136,0.1273,NO
0.1919,0.21600000000000003,NO
0.1533,0.3076,NO
0.1268,0.21600000000000003,NO
0.1947,0.391,NO
0.1755,0.21600000000000003,NO
0.2202,0.4715,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2322,NO
0.1927,1.0,YES
0.1251,0.3939,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.6805,NO
0.1662,0.5062,NO
0.1507,0.6805,NO
0.1441,0.5415,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.6805,NO
0.0952,0.4069,NO
0.1364,0.6805,NO
0.0887,0.2121,NO
0.2289,0.7376,NO
0.2088,0.7124,NO
0.2075,0.7376,NO
0.1923,1.0,YES
0.0927,0.6805,NO
0.0821,1.0,YES
0.0311,0.6805,NO
0.3081,1.0,YES
0.0406,0.6805,NO
0.1251,0.4197,NO
0.091,0.4197,NO
0.11800000000000001,0.4197,NO
0.1053,0.4069,NO
0.2201,0.6805,NO
0.1351,0.4197,NO
0.1328,0.6805,NO
0.0724,0.1425,NO
0.0244,0.2248,NO
0.1404,1.0,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6847,YES
0.0826,0.257,NO
0.013000000000000001,0.0462,NO
0.2103,1.0,YES
0.1395,0.2963,NO
0.1325,1.0,YES
0.1443,0.2198,NO
0.2165,0.125,NO
0.1934,0.3152,NO
0.1934,0.2781,NO
0.0572,0.0927,NO
0.2318,1.0,YES
0.0556,0.0921,NO
0.3609,1.0,YES
0.1417,0.4988,NO
0.255,1.0,YES
0.0522,0.3725,NO
0.0677,0.4485,NO
0.1439,0.5265,NO
0.0494,0.3307,NO
0.1715,1.0,YES
0.0964,0.4619,NO
0.1343,1.0,YES
0.1544,0.2719,NO
0.0732,0.2719,NO
0.1975,0.6593,NO
0.2582,0.6139,NO
0.1977,0.4137,NO
0.1701,0.3573,NO
0.1684,0.4224,NO
0.1225,0.2502,NO
0.1458,0.444,NO
0.4028,1.0,YES
0.1577,0.7077,NO
0.2904,0.9651,YES
0.1987,0.2525,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.1996,NO
0.1469,0.4137,NO
0.0547,0.2719,NO
0.1082,0.4137,NO
0.2019,0.2719,NO
0.1293,0.4715,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.4137,NO
0.1753,1.0,YES
0.0979,0.4137,NO
0.0985,0.1219,NO
0.0774,0.1858,NO
0.1069,0.8266,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.5660000000000001,YES
0.0885,0.2196,NO
0.0604,0.0613,NO
0.2068,0.8266,YES
0.2598,0.6903,NO
0.106,0.8266,YES
0.1459,0.3599,NO
0.2252,0.4403,NO
0.2571,0.4403,NO
0.2375,0.4403,NO
0.1453,0.1065,NO
0.2245,1.0,YES
0.141,0.1065,NO
0.2623,1.0,YES
0.142,0.4123,NO
0.2555,1.0,YES
0.2049,0.6903,NO
0.2206,0.6903,NO
0.2228,0.5192,NO
0.1032,0.6903,NO
0.1461,0.8266,YES
0.1116,0.3818,NO
0.1326,0.8266,YES
0.1415,0.2148,NO
0.0745,0.2148,NO
0.2381,0.4239,NO
0.19,0.2797,NO
0.1547,0.0547,NO
0.1997,0.4239,NO
0.1653,0.2177,NO
0.1536,0.1977,NO
0.1999,0.4239,NO
0.1989,1.0,YES
0.2045,0.4239,NO
0.2447,1.0,YES
0.2519,0.4406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.1856,NO
0.105,0.2942,NO
0.055999999999999994,0.2148,NO
0.1113,0.1697,NO
0.2256,0.2508,NO
0.0989,0.1755,NO
0.1879,0.5181,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.4239,NO
0.1657,0.5155,YES
0.1331,0.4239,NO
0.0949,0.1601,NO
0.1339,0.1277,NO
0.22399999999999998,0.5133,NO
0.1967,0.6139,NO
0.1436,0.4374,NO
0.2079,0.4095,NO
0.1339,0.3289,NO
0.0967,0.1058,NO
0.2198,0.4039,NO
0.3428,1.0,YES
0.2344,0.551,NO
0.1736,1.0,YES
0.1331,0.1236,NO
0.0735,0.1861,NO
0.0647,0.1733,NO
0.204,0.1438,NO
0.1327,0.4374,NO
0.1655,0.0935,NO
0.31,0.4374,NO
0.1309,0.2508,NO
0.2819,0.4715,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.4095,NO
0.2673,1.0,YES
0.1726,0.3916,NO
0.1439,0.1513,NO
0.0769,0.1513,NO
0.1953,0.4413,NO
0.2342,0.6139,NO
0.2047,0.4413,NO
0.1823,0.3464,NO
0.1684,0.2687,NO
0.1204,0.1392,NO
0.1751,0.4413,NO
0.3579,1.0,YES
0.1828,0.4413,NO
0.2083,1.0,YES
0.2252,0.1236,NO
0.2041,0.142,NO
0.2007,0.1733,NO
0.0498,0.1438,NO
