DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_37,Associated
0.0737,0.8715,NO
0.0652,0.3623,NO
0.1144,1.0009,NO
0.2164,1.8783,NO
0.0671,1.0039,NO
0.0906,1.358,NO
0.0589,0.2829,NO
0.0679,0.2918,NO
0.1689,1.2335,NO
0.2469,2.8869,YES
0.0616,1.1438,NO
0.33799999999999997,2.6548,YES
0.2427,0.5384,NO
0.2231,0.7026,NO
0.2223,0.1871,NO
0.1142,0.1232,NO
0.0706,1.5098,NO
0.1109,0.7478,NO
0.0747,0.635,NO
0.2179,0.3807,NO
0.1147,1.2084,NO
0.0779,3.3407,YES
0.0804,3.3416,YES
0.1668,2.4298,YES
0.24,3.2372,YES
0.1573,1.2771,NO
0.0716,3.0717,YES
0.1205,0.8141,NO
0.1072,1.7144,YES
0.2444,1.3975,YES
0.3362,1.0517,NO
0.1579,0.6529,NO
0.1148,0.4743,NO
0.1112,1.035,NO
0.3947,1.756,YES
0.0957,1.6214,YES
0.1364,0.9068,NO
0.1056,0.5807,NO
0.0981,0.9063,NO
0.1058,0.4686,NO
0.1797,0.7253,NO
0.1526,0.8952,NO
0.1551,0.3833,NO
0.2811,1.0516,YES
0.0766,0.7023,NO
0.1126,1.0575,YES
0.0341,0.8175,NO
0.3399,1.5463,YES
0.0412,0.4806,NO
0.1212,0.4536,NO
0.0769,0.8876,NO
0.1235,0.5819,NO
0.0802,0.4491,NO
0.1903,1.2076,NO
0.1119,0.9049,NO
0.1008,0.6998,NO
0.0886,1.3483,NO
0.1534,0.5486,NO
0.1331,1.1157,NO
0.2865,1.6291,NO
0.1512,0.7891,NO
0.1666,1.4909999999999999,NO
0.1465,0.809,NO
0.0509,0.6886,NO
0.2187,1.4021,NO
0.4574,3.031,YES
0.1603,1.1771,NO
0.2015,2.9875,YES
0.205,0.8708,NO
0.2168,1.2268,NO
0.2136,0.5341,NO
0.1919,0.33299999999999996,NO
0.1533,1.4429,NO
0.1268,0.9361,NO
0.1947,0.406,NO
0.1755,0.7293,NO
0.2202,1.0662,NO
0.4465,3.7359,YES
0.4252,3.8373,YES
0.3653,2.7953,YES
0.1771,3.358,YES
