DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_LSA_90,Associated
0.0737,0.2633,NO
0.0652,0.2366,NO
0.1144,0.4143,NO
0.2164,0.4202,NO
0.0671,0.2345,NO
0.0906,0.4692,NO
0.0589,0.1499,NO
0.0679,0.1048,NO
0.1689,0.4708,NO
0.2469,1.8411,YES
0.0616,0.5115,NO
0.33799999999999997,3.0698,YES
0.2427,0.3008,NO
0.2231,0.6624,NO
0.2223,0.2973,NO
0.1142,0.3025,NO
0.0706,0.5246,NO
0.1109,0.2036,NO
0.0747,0.1973,NO
0.2179,0.2077,NO
0.1147,0.1236,NO
0.0779,2.5531,YES
0.0804,2.4794,YES
0.1668,1.8818,YES
0.24,1.5463,YES
0.1573,0.8006,NO
0.0716,2.5569,YES
0.1205,0.5479,NO
0.1072,0.9470000000000001,YES
0.2444,0.4634,YES
0.3362,0.3569,NO
0.1579,0.0873,NO
0.1148,0.1665,NO
0.1112,0.2012,NO
0.3947,1.3052,YES
0.0957,2.0419,YES
0.1364,0.293,NO
0.1056,0.3325,NO
0.0981,0.4414,NO
0.1058,0.1757,NO
0.1797,0.2564,NO
0.1526,0.6092,NO
0.1551,0.1034,NO
0.2811,1.5246,YES
0.0766,0.2623,NO
0.1126,2.4131,YES
0.0341,0.1581,NO
0.3399,1.4033,YES
0.0412,0.2166,NO
0.1212,0.1554,NO
0.0769,0.239,NO
0.1235,0.138,NO
0.0802,0.1921,NO
0.1903,0.4459,NO
0.1119,0.2388,NO
0.1008,0.4335,NO
0.0886,0.2474,NO
0.1534,0.2733,NO
0.1331,0.5515,NO
0.2865,0.4159,NO
0.1512,0.3965,NO
0.1666,0.6764,NO
0.1465,0.4318,NO
0.0509,0.276,NO
0.2187,0.6029,NO
0.4574,2.0191,YES
0.1603,0.6471,NO
0.2015,2.6375,YES
0.205,0.4475,NO
0.2168,0.7177,NO
0.2136,0.2661,NO
0.1919,0.509,NO
0.1533,0.6528,NO
0.1268,0.4508,NO
0.1947,0.3866,NO
0.1755,0.2571,NO
0.2202,0.6159,NO
0.4465,2.8279,YES
0.4252,2.7264,YES
0.3653,2.6579,YES
0.1771,1.7983,YES
0.1659,0.8986,NO
0.1927,2.1977,YES
0.1251,0.5842,NO
0.1303,0.6931,YES
0.1814,1.0769,YES
0.3356,0.3851,NO
0.1662,0.3762,NO
0.1507,0.5532,NO
0.1441,0.2983,NO
0.3435,0.7463,YES
0.1243,1.2357,YES
0.1731,0.3913,NO
0.0952,0.365,NO
0.1364,0.301,NO
0.0887,0.2969,NO
0.2289,0.1485,NO
0.2088,0.4361,NO
0.2075,0.0868,NO
0.1923,2.1014,YES
0.0927,0.5956,NO
0.0821,2.2272,YES
0.0311,0.2293,NO
0.3081,0.7548,YES
0.0406,0.4607,NO
0.1251,0.4058,NO
0.091,0.3555,NO
0.11800000000000001,0.3297,NO
0.1053,0.4592,NO
0.2201,0.5117,NO
0.1351,0.5107,NO
0.1328,0.456,NO
0.0724,0.2674,NO
0.0244,0.1484,NO
0.1404,0.8273,YES
0.3348,1.2112,YES
0.2937,1.4686,YES
0.14300000000000002,0.7138,YES
0.0826,0.4936,NO
0.013000000000000001,0.1617,NO
0.2103,0.6384,YES
0.1395,0.4028,NO
0.1325,1.2508,YES
0.1443,0.5509,NO
0.2165,0.4701,NO
0.1934,0.5451,NO
0.1934,0.2867,NO
0.0572,0.3101,NO
0.2318,1.4669,YES
0.0556,0.2291,NO
0.3609,1.7641,YES
0.1417,0.2891,NO
0.255,2.6888,YES
0.0522,0.7516,NO
0.0677,0.6889,NO
0.1439,0.7037,NO
0.0494,0.4441,NO
0.1715,1.0778,YES
0.0964,0.7828,NO
0.1343,0.5777,YES
0.1544,0.2323,NO
0.0732,0.2277,NO
0.1975,0.0823,NO
0.2582,0.2884,NO
0.1977,0.245,NO
0.1701,0.2951,NO
0.1684,0.1702,NO
0.1225,0.0536,NO
0.1458,0.2028,NO
0.4028,1.0492,YES
0.1577,0.2709,NO
0.2904,1.8035,YES
0.1987,0.2224,NO
0.1756,0.5344,NO
0.1689,0.2845,NO
0.054000000000000006,0.2479,NO
0.1469,0.1902,NO
0.0547,0.2024,NO
0.1082,0.0885,NO
0.2019,0.1622,NO
0.1293,0.1301,NO
0.3897,1.9782,YES
0.3612,1.3187,YES
0.2791,1.1996,YES
0.2894,1.6346,YES
0.2226,0.4811,NO
0.1753,1.6736,YES
0.0979,0.0971,NO
0.0985,0.2692,NO
0.0774,0.2058,NO
0.1069,0.3298,YES
0.3647,1.6668,YES
0.2531,1.7729,YES
0.1331,0.2701,YES
0.0885,0.2987,NO
0.0604,0.2111,NO
0.2068,0.45,YES
0.2598,0.3199,NO
0.106,0.4151,YES
0.1459,0.4795,NO
0.2252,0.2765,NO
0.2571,0.282,NO
0.2375,0.0966,NO
0.1453,0.4637,NO
0.2245,1.8376,YES
0.141,0.3663,NO
0.2623,1.0086,YES
0.142,0.3095,NO
0.2555,1.5190000000000001,YES
0.2049,0.2506,NO
0.2206,0.5197,NO
0.2228,0.5116,NO
0.1032,0.142,NO
0.1461,0.5739,YES
0.1116,0.5662,NO
0.1326,0.3184,YES
0.1415,0.374,NO
0.0745,0.2406,NO
0.2381,0.4357,NO
0.19,0.4115,NO
0.1547,0.6422,NO
0.1997,0.6308,NO
0.1653,0.3839,NO
0.1536,0.4261,NO
0.1999,0.3688,NO
0.1989,0.6997,YES
0.2045,0.7833,NO
0.2447,0.9772,YES
0.2519,0.2483,NO
0.2036,0.575,NO
0.2033,0.3348,NO
0.0533,0.4842,NO
0.105,0.634,NO
0.055999999999999994,0.5947,NO
0.1113,0.4187,NO
0.2256,0.4127,NO
0.0989,0.6936,NO
0.1879,1.1014,YES
0.1445,0.9004,YES
0.1901,0.7922,YES
0.3108,0.8059,YES
0.2405,0.7329,NO
0.1657,0.9534,YES
0.1331,0.4234,NO
0.0949,0.256,NO
0.1339,0.2058,NO
0.22399999999999998,0.6864,NO
0.1967,0.4648,NO
0.1436,0.5078,NO
0.2079,0.5749,NO
0.1339,0.3082,NO
0.0967,0.175,NO
0.2198,0.5028,NO
0.3428,1.7377,YES
0.2344,0.5463,NO
0.1736,2.6246,YES
0.1331,0.3099,NO
0.0735,0.611,NO
0.0647,0.1169,NO
0.204,0.3157,NO
0.1327,0.6893,NO
0.1655,0.2789,NO
0.31,0.5203,NO
0.1309,0.292,NO
0.2819,0.6713,NO
0.4042,2.6442,YES
0.3296,2.093,YES
0.4941,1.6199,YES
0.1783,1.7158,YES
0.193,0.7949,NO
0.2673,2.1413,YES
0.1726,0.4795,NO
0.1439,0.3643,NO
0.0769,0.0914,NO
0.1953,0.5389,NO
0.2342,0.5002,NO
0.2047,0.3678,NO
0.1823,0.6401,NO
0.1684,0.3726,NO
0.1204,0.4411,NO
0.1751,0.5185,NO
0.3579,1.969,YES
0.1828,0.6404,NO
0.2083,3.1512,YES
0.2252,0.3656,NO
0.2041,0.7485,NO
0.2007,0.1788,NO
0.0498,0.3443,NO
0.1415,0.624,NO
0.0515,0.414,NO
0.1207,0.1945,NO
0.1912,0.3948,NO
0.14,0.1929,NO
0.4038,2.8423,YES
0.3494,2.6145,YES
0.2799,2.1405,YES
0.2675,1.8769,YES
0.2206,0.9359,NO
0.2003,2.6123,YES
0.1168,0.457,NO
0.0727,0.318,NO
0.0714,0.11,NO
0.10800000000000001,0.3067,NO
0.2886,0.4715,NO
0.1427,0.6592,NO
0.0855,0.5318,NO
0.0605,0.2404,NO
0.0532,0.2308,NO
0.1421,0.3822,NO
0.4397,1.9972,YES
0.0607,0.4741,NO
0.2347,2.6472,YES
0.2118,0.4041,NO
0.2048,0.7829999999999999,NO
0.2045,0.3382,NO
0.0849,0.3531,NO
0.1035,0.6628,NO
0.0824,0.2535,NO
0.0975,0.3201,NO
0.1702,0.2434,NO
0.1518,0.6843,NO
0.3372,3.2194,YES
0.3303,2.3268,YES
0.314,2.0854,YES
0.1257,2.2591,YES
0.1375,0.6962,NO
0.1128,2.0832,YES
0.099,0.3542,NO
0.1069,0.6142,NO
0.0451,0.2865,NO
0.5095,3.1371,YES
0.1431,0.3915,YES
0.1227,1.5791,YES
0.2847,3.8812,YES
0.2237,0.5103,NO
0.1065,0.3818,NO
0.3266,2.5477,YES
0.0974,0.8579,NO
0.3289,3.3764,YES
0.1059,0.7747,NO
0.2131,0.4133,NO
0.1496,0.9791,NO
0.1474,0.4399,NO
0.0902,0.8119,NO
0.0993,1.7971,YES
0.0875,0.5122,NO
0.2369,1.3532,YES
0.2129,0.3817,NO
0.1321,1.8455,YES
0.1271,0.978,NO
0.08,1.0279,NO
0.3025,1.2972,NO
0.12,0.5625,NO
0.3399,3.5288,YES
0.2516,1.4001,NO
0.2081,2.5025,YES
0.1799,0.1437,NO
0.1547,0.1315,NO
0.3595,1.0176,YES
0.2156,0.3533,NO
0.1535,0.4243,NO
0.4159,1.0338,YES
0.1827,0.2849,NO
0.1097,0.0539,NO
0.5448,1.04,YES
0.191,0.5042,NO
0.4381,0.9991,YES
0.1528,0.6446,NO
0.3264,0.2232,NO
0.3203,0.2161,NO
0.2648,0.0244,NO
0.171,0.302,NO
0.21899999999999997,0.6083,NO
0.1398,0.0966,NO
0.3673,0.6906,NO
0.1451,0.0586,NO
0.2637,0.6523,NO
0.1991,0.6236,NO
0.1784,0.5677,NO
0.3767,0.6759,NO
0.1917,0.3803,NO
0.3794,1.3524,YES
0.3359,0.8507,NO
0.2874,0.9995,YES
0.0798,0.2587,NO
0.0364,0.27,NO
0.2475,0.6918,YES
0.2794,1.3155,YES
0.2232,1.9534,YES
0.2213,0.4185,YES
0.1233,0.2532,NO
0.0474,0.0176,NO
0.2799,0.5297,YES
0.2328,0.4075,NO
0.2608,0.8464,YES
0.1095,0.5517,NO
0.2365,0.3763,NO
0.2061,0.5353,NO
0.2048,0.2008,NO
0.0456,0.4486,NO
0.1795,1.9222,YES
0.0442,0.2766,NO
0.27,1.8363,YES
0.1224,0.3422,NO
0.1913,2.75,YES
0.2397,0.6035,NO
0.2111,0.4624,NO
0.2935,0.43700000000000006,NO
0.1155,0.4569,NO
0.243,1.0135,YES
0.1959,0.8091,NO
0.198,0.5321,YES
0.1636,0.3177,NO
0.1646,0.1444,NO
0.3881,1.5867,YES
0.1762,0.1317,NO
0.1649,0.5275,NO
0.4197,1.6817,YES
0.1681,0.1869,NO
0.153,0.0969,NO
0.4738,1.4461,YES
0.159,0.3227,NO
0.493,2.2569,YES
0.1456,0.4668,NO
0.2244,0.1361,NO
0.1542,0.4047,NO
0.1277,0.14800000000000002,NO
0.1775,0.2814,NO
0.2106,0.5655,NO
0.1654,0.1947,NO
0.3557,0.6262,NO
0.0902,0.14800000000000002,NO
0.2663,0.5863,NO
0.2218,0.2875,NO
0.1764,0.3926,NO
0.3901,0.777,NO
0.21600000000000003,0.242,NO
0.402,2.3023,YES
0.3584,0.6651,NO
0.3239,1.9723,YES
0.0467,0.2556,NO
0.0184,0.1304,NO
0.0544,0.5962,YES
0.1967,1.1745,YES
0.1251,1.2012,YES
0.0526,0.2829,YES
0.0389,0.3438,NO
0.0098,0.114,NO
0.1204,0.3772,YES
0.1152,0.2079,NO
0.0434,0.6559999999999999,YES
0.0994,0.3555,NO
0.171,0.5077,NO
0.1733,0.5471,NO
0.1785,0.2398,NO
0.0632,0.3619,NO
0.1652,1.2452,YES
0.0614,0.1685,NO
0.1533,1.7434,YES
0.1347,0.1763,NO
0.1212,2.5376,YES
0.015,0.3238,NO
0.0714,0.4687,NO
0.0698,0.5608,NO
0.035,0.2086,NO
0.0672,0.7358,YES
0.0378,0.5962,NO
0.0637,0.2138,YES
0.3024,0.7367,YES
0.0482,1.0758,YES
0.3634,0.3382,NO
0.1548,0.258,NO
0.1459,0.2281,NO
0.1506,0.0606,NO
0.2394,1.4388,YES
0.3693,1.3962,YES
0.1404,0.3089,NO
0.0758,0.3948,NO
0.1517,0.2739,NO
0.067,0.3536,NO
0.2131,0.3395,NO
0.16,0.6672,NO
0.1446,0.0932,NO
0.0844,1.4883,YES
0.095,0.3291,NO
0.2419,2.362,YES
0.026000000000000002,0.1454,NO
0.2985,1.3815,YES
0.0377,0.1631,NO
0.102,0.3216,NO
0.0927,0.358,NO
0.1259,0.1253,NO
0.1193,0.3633,NO
0.2177,0.4561,NO
0.15,0.4961,NO
0.0996,0.3388,NO
0.0839,0.385,NO
0.0672,0.2046,NO
0.3068,2.3954,YES
0.1154,0.3583,YES
0.0802,0.8118,YES
0.3166,2.0261,YES
0.0868,0.4617,NO
0.0677,0.2232,NO
0.5456,2.2472,YES
0.0938,0.6362,NO
0.3771,3.1265,YES
0.0765,0.7243,NO
0.3042,0.3525,NO
0.1867,0.4386,NO
0.2024,0.1282,NO
0.084,0.5021,NO
0.1127,1.0334,YES
0.0773,0.4,NO
0.3002,1.0942,YES
0.0821,0.2651,NO
0.1969,0.9966,YES
0.1353,0.6143,NO
0.0942,0.6564,NO
0.3023,0.9808,NO
0.1177,0.4072,NO
0.2966,3.0956,YES
0.2621,0.9325,NO
0.3631,2.8282,YES
0.1178,0.5945,NO
0.0474,0.2939,NO
0.4277,3.6688,YES
0.2214,0.4644,YES
0.2007,1.1198,YES
0.2467,3.9784,YES
0.2192,0.696,NO
0.1165,0.3442,NO
0.3035,3.1692,YES
0.1886,0.9517,NO
0.2922,3.9611,YES
0.1088,1.1666,NO
0.2277,0.455,NO
0.1763,0.5984,NO
0.1744,0.1284,NO
0.0948,0.8257,NO
0.152,1.4186,YES
0.0882,0.5084,NO
0.2267,1.1336,YES
0.1968,0.2529,NO
0.1574,1.2194,YES
0.2134,1.3322,NO
0.1846,1.1385,NO
0.3004,1.5332,NO
0.1322,1.0315,NO
0.3039,4.0854,YES
0.2341,1.7434,NO
0.2137,3.0935,YES
0.1342,0.7087,NO
0.1099,0.1336,NO
0.526,3.8876,YES
0.1623,0.5043,YES
0.1996,1.6689,YES
0.3297,4.0796,YES
0.22699999999999998,0.7190000000000001,NO
0.1622,0.4115,NO
0.3372,2.8317,YES
0.1102,0.7652,NO
0.3901,4.6387,YES
0.1022,0.8371,NO
0.1483,0.4656,NO
0.0862,0.8043,NO
0.0629,0.3485,NO
0.2034,0.6634,NO
0.1682,1.8623,YES
0.1975,0.4914,NO
0.3422,1.5704,YES
0.1773,0.4647,NO
0.2514,1.8944,YES
0.1754,0.8538,NO
0.1301,0.8329,NO
0.3619,1.0772,NO
0.1715,0.6127,NO
0.3452,4.7292,YES
0.3259,1.3412,NO
0.258,3.2584,YES
0.0709,0.5076,NO
0.0732,0.1737,NO
0.3094,2.2646,YES
0.1091,0.3832,YES
0.0665,1.5171,YES
0.2941,2.9611,YES
0.0664,0.3737,NO
0.0556,0.2252,NO
0.5229,2.5861,YES
0.1003,0.7759,NO
0.3604,3.5460000000000003,YES
0.08800000000000001,0.6592,NO
0.2859,0.3762,NO
0.1263,0.628,NO
0.1497,0.4603,NO
0.1047,0.5048,NO
0.1031,1.5637,YES
0.1016,0.3054,NO
0.3066,1.0969,YES
0.0639,0.3447,NO
0.2147,1.7184,YES
0.1277,0.8304,NO
0.0813,0.7739,NO
0.3135,0.915,NO
0.1095,0.391,NO
0.302,3.5241,YES
0.2369,1.1157,NO
0.4263,3.0689,YES
0.1151,0.2888,NO
0.0905,0.2541,NO
0.1028,0.6132,YES
0.3566,2.1245,YES
0.2651,2.7355,YES
0.1542,0.6688,YES
0.094,0.4111,NO
0.0554,0.151,NO
0.2037,0.7372,YES
0.1971,0.5094,NO
0.1126,0.7542,YES
0.1418,0.6881,NO
0.2488,0.4709,NO
0.2731,0.5212,NO
0.2523,0.3621,NO
0.1698,0.4722,NO
0.2266,2.7984,YES
0.1648,0.3772,NO
0.2745,1.4385,YES
0.1508,0.4385,NO
0.2653,2.9372,YES
0.1206,0.5770000000000001,NO
0.1613,0.9828,NO
0.1611,0.6609,NO
0.1018,0.1742,NO
0.152,0.8162,YES
0.1186,0.8768,NO
0.1207,0.43,YES
0.1201,0.0546,NO
0.10300000000000001,0.0827,NO
0.254,0.6631,YES
0.3285,1.1556,YES
0.3624,1.7703,YES
0.2593,0.3951,YES
0.0981,0.2488,NO
0.0792,0.0026,NO
0.2917,0.5168,YES
0.1836,0.2784,NO
0.3039,0.6687,YES
0.1342,0.4186,NO
0.1448,0.2515,NO
0.1036,0.2268,NO
0.0702,0.1096,NO
0.1825,0.2578,NO
0.2937,1.8698,YES
0.1772,0.1151,NO
0.5728,1.6059,YES
0.0892,0.2104,NO
0.4594,2.5805,YES
0.1677,0.401,NO
0.1461,0.5702,NO
0.2985,0.5258,NO
0.1348,0.1696,NO
0.2479,0.758,YES
0.2298,0.7668,NO
0.2345,0.3852,YES
0.08900000000000001,0.3621,NO
0.0394,0.168,NO
0.1381,0.4127,NO
0.2108,0.0484,NO
0.0676,0.2451,NO
0.0957,0.4336,NO
0.0963,0.1992,NO
0.0435,0.2454,NO
0.2592,0.3119,NO
0.1291,0.1134,NO
0.0785,0.4922,NO
0.1052,0.2435,NO
0.4225,0.5512,YES
0.3368,1.5472,YES
0.3938,1.1446,YES
0.0766,0.1665,NO
0.0711,0.3098,NO
0.0797,0.2954,NO
0.0531,0.242,NO
0.1551,0.3512,NO
0.077,0.2295,NO
0.0463,0.1884,NO
0.0745,0.3697,NO
0.1014,0.3557,NO
0.0541,0.2335,NO
0.1685,0.5014,NO
0.0541,0.4568,NO
0.2105,0.2598,NO
0.1239,0.6179,YES
0.289,0.4161,YES
0.2752,0.4006,NO
0.1653,0.2204,NO
0.0814,0.3041,NO
0.0623,0.3773,NO
0.32899999999999996,0.5298,YES
0.1249,1.2063,YES
0.0968,0.2338,NO
0.1519,0.19899999999999998,NO
0.0533,0.4146,NO
0.1784,0.0639,NO
0.1661,0.1152,NO
0.1504,0.3087,NO
0.1562,0.0556,NO
0.3075,1.4588,YES
0.0597,0.3506,NO
0.1815,1.5646,YES
0.0336,0.2061,NO
0.3735,0.5565,YES
0.0877,0.2038,NO
0.1163,0.1302,NO
0.0418,0.1215,NO
0.1354,0.1889,NO
0.0948,0.2337,NO
0.1407,0.4965,NO
0.0821,0.1717,NO
0.0894,0.2932,NO
0.0416,0.2561,NO
0.0131,0.1263,NO
0.1203,0.8721,YES
0.2886,2.1069,YES
0.2879,2.7365,YES
0.1294,0.8579,YES
0.0498,0.4794,NO
0.0139,0.138,NO
0.1999,0.8045,YES
0.1109,0.5253,NO
0.1389,0.9451,YES
0.0996,0.6539,NO
0.1977,0.4651,NO
0.1726,0.3566,NO
0.1805,0.1612,NO
0.0204,0.405,NO
0.2123,2.7829,YES
0.0198,0.2633,NO
0.3536,1.5589,YES
0.1039,0.3808,NO
0.2827,3.0672,YES
0.0426,0.6682,NO
0.0387,0.8926,NO
0.1228,0.6246,NO
0.0373,0.289,NO
0.1359,1.1964,YES
0.0808,0.8345,NO
0.1119,0.4852,YES
0.3458,1.0649,YES
0.0264,1.0925,YES
0.3473,0.3978,NO
0.1555,0.1874,NO
0.0906,0.3877,NO
0.107,0.3009,NO
0.226,1.561,YES
0.4184,2.0803,YES
0.1111,0.348,NO
0.1017,0.4665,NO
0.09699999999999999,0.5355,NO
0.1058,0.205,NO
0.1741,0.4038,NO
0.1373,0.8864,NO
0.132,0.3013,NO
0.1138,2.191,YES
0.0766,0.4812,NO
0.3242,3.0495,YES
0.0297,0.2175,NO
0.3407,1.5892,YES
0.0387,0.3885,NO
0.0621,0.2948,NO
0.076,0.4121,NO
0.1266,0.2453,NO
0.0726,0.35200000000000004,NO
0.192,0.7036,NO
0.1128,0.4254,NO
0.0813,0.4767,NO
0.1238,0.1771,NO
0.0659,0.0543,NO
0.0991,0.3273,NO
0.2168,0.4754,NO
0.0941,0.4368,NO
0.1226,0.3152,NO
0.0797,0.121,NO
0.0869,0.2398,NO
0.1921,0.4307,NO
0.2119,1.6052,YES
0.0845,0.3551,NO
0.1963,2.3736,YES
0.24100000000000002,0.2869,NO
0.263,0.5258,NO
0.2504,0.2789,NO
0.1414,0.3075,NO
0.0983,0.8182,NO
0.1658,0.2017,NO
0.1333,0.2551,NO
0.2072,0.1691,NO
0.1519,0.4257,NO
0.1227,1.8401,YES
0.1324,2.2752,YES
0.1581,1.7536,YES
0.1927,0.7879999999999999,YES
0.1378,0.6379,NO
0.09699999999999999,1.8614,YES
0.11900000000000001,0.5798,NO
0.3612,0.9177,YES
0.0488,0.2612,YES
0.2823,0.1977,NO
0.1584,0.087,NO
0.065,0.1627,NO
0.0678,0.113,NO
0.1652,1.2421,YES
0.4499,2.0195,YES
0.0947,0.1807,NO
0.1079,0.2632,NO
0.0645,0.2447,NO
0.1095,0.1756,NO
0.1665,0.2051,NO
0.1472,0.5333,NO
0.1463,0.0962,NO
0.1261,1.3138,YES
0.0528,0.19699999999999998,NO
0.3791,2.2013,YES
0.0329,0.1577,NO
0.3577,1.3475,YES
0.062,0.2321,NO
0.0477,0.2492,NO
0.0457,0.1572,NO
0.1274,0.1734,NO
0.0681,0.3719,NO
0.1427,0.2928,NO
0.0804,0.3053,NO
0.0769,0.2373,NO
0.1422,0.3326,NO
0.0613,0.1049,NO
0.1484,0.4801,NO
0.1778,0.462,NO
0.1025,0.3137,NO
0.1545,0.556,NO
0.1529,0.2909,NO
0.1098,0.284,NO
0.1753,0.6479,NO
0.1807,1.8477,YES
0.134,0.7596,NO
0.2818,3.1059,YES
0.2438,0.4267,NO
0.2385,0.8943,NO
0.2176,0.38,NO
0.0807,0.1744,NO
0.0972,0.6075,NO
0.0862,0.2337,NO
0.0815,0.3542,NO
0.2286,0.37200000000000005,NO
0.0804,0.3815,NO
0.0972,2.5713,YES
0.105,2.5285,YES
0.1237,1.9193,YES
0.2731,1.5486,YES
0.1937,0.9611,NO
0.1151,2.6305,YES
0.1052,0.6897,NO
