DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_1,Associated
0.0737,0.2076,NO
0.0652,0.3133,NO
0.1144,0.1901,NO
0.2164,0.1818,NO
0.0671,0.3369,NO
0.0906,0.1818,NO
0.0589,0.2687,NO
0.0679,0.2025,NO
0.1689,0.2452,NO
0.2469,1.0,YES
0.0616,0.1766,NO
0.33799999999999997,1.0,YES
0.2427,0.3701,NO
0.2231,0.3701,NO
0.2223,0.3701,NO
0.1142,0.3249,NO
0.0706,0.2207,NO
0.1109,0.2886,NO
0.0747,0.2553,NO
0.2179,0.2201,NO
0.1147,0.4715,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2322,NO
0.0716,1.0,YES
0.1205,0.2574,NO
0.1072,0.382,YES
0.2444,1.0,YES
0.3362,0.2853,NO
0.1579,0.3639,NO
0.1148,0.3639,NO
0.1112,0.3639,NO
0.3947,1.0,YES
0.0957,0.3727,YES
0.1364,0.3639,NO
0.1056,0.2082,NO
0.0981,0.2853,NO
0.1058,0.1086,NO
0.1797,0.3658,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.2735,NO
0.1126,1.0,YES
0.0341,0.3639,NO
0.3399,1.0,YES
0.0412,0.3639,NO
0.1212,0.2082,NO
0.0769,0.2082,NO
0.1235,0.1566,NO
0.0802,0.1249,NO
0.1903,0.2853,NO
0.1119,0.1937,NO
0.1008,0.3639,NO
0.0886,0.0986,NO
0.1534,0.3133,NO
0.1331,0.6593,NO
0.2865,0.3076,NO
0.1512,0.3369,NO
0.1666,0.6773,NO
0.1465,0.2687,NO
0.0509,0.1135,NO
0.2187,0.3063,NO
0.4574,1.0,YES
0.1603,0.2077,NO
0.2015,1.0,YES
0.205,0.1236,NO
0.2168,0.0762,NO
0.2136,0.1275,NO
0.1919,0.3249,NO
0.1533,0.5133,NO
0.1268,0.2886,NO
0.1947,0.4343,NO
0.1755,0.1827,NO
0.2202,0.4715,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.5187,NO
0.1927,1.0,YES
0.1251,0.3063,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.5415,NO
0.1662,0.34299999999999997,NO
0.1507,0.3006,NO
0.1441,0.5415,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.5415,NO
0.0952,0.4069,NO
0.1364,0.5415,NO
0.0887,0.2121,NO
0.2289,0.7376,NO
0.2088,0.7376,NO
0.2075,0.7376,NO
0.1923,1.0,YES
0.0927,0.3722,NO
0.0821,1.0,YES
0.0311,0.28600000000000003,NO
0.3081,1.0,YES
0.0406,0.3722,NO
0.1251,0.4069,NO
0.091,0.4069,NO
0.11800000000000001,0.3061,NO
0.1053,0.1897,NO
0.2201,0.5415,NO
