DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_67,Associated
0.0737,0.13699999999999998,NO
0.0652,0.514,NO
0.1144,0.9847,NO
0.2164,1.0882,NO
0.0671,1.3492,NO
0.0906,1.0612,NO
0.0589,0.9884,NO
0.0679,0.2696,NO
0.1689,0.8895,NO
0.2469,2.4493,YES
0.0616,0.8969,NO
0.33799999999999997,2.7327,YES
0.2427,0.1216,NO
0.2231,0.2376,NO
0.2223,0.3823,NO
0.1142,0.586,NO
0.0706,0.9404,NO
0.1109,0.2046,NO
0.0747,1.1364,NO
0.2179,0.5435,NO
0.1147,1.5611,NO
0.0779,3.0226,YES
0.0804,3.3487,YES
0.1668,3.4264,YES
0.24,3.2568,YES
0.1573,0.5553,NO
0.0716,3.3755,YES
0.1205,0.9522,NO
0.1072,0.9734,YES
0.2444,1.6163,YES
0.3362,1.1887,NO
0.1579,0.5345,NO
0.1148,0.3997,NO
0.1112,1.1158,NO
0.3947,1.5941,YES
0.0957,0.848,YES
0.1364,0.9471,NO
0.1056,0.4966,NO
0.0981,0.7073,NO
0.1058,0.5854,NO
0.1797,0.44299999999999995,NO
0.1526,0.6505,NO
0.1551,0.688,NO
0.2811,1.679,YES
0.0766,0.6426,NO
0.1126,1.0964,YES
0.0341,0.3318,NO
0.3399,1.8529,YES
0.0412,0.4909,NO
0.1212,0.868,NO
0.0769,0.6553,NO
0.1235,0.8975,NO
0.0802,0.7972,NO
0.1903,1.1508,NO
0.1119,0.7705,NO
0.1008,1.2382,NO
0.0886,0.0727,NO
0.1534,0.3534,NO
0.1331,1.6124,NO
0.2865,1.1022,NO
0.1512,1.5423,NO
0.1666,1.7672,NO
0.1465,0.6587,NO
0.0509,0.3009,NO
0.2187,1.3549,NO
0.4574,3.0394,YES
0.1603,1.2509,NO
0.2015,2.9463,YES
0.205,0.3563,NO
0.2168,0.5247,NO
0.2136,0.4472,NO
0.1919,0.5175,NO
0.1533,0.8726,NO
0.1268,0.0631,NO
0.1947,1.3516,NO
0.1755,0.2503,NO
0.2202,1.8586,NO
0.4465,3.4382,YES
0.4252,3.8810000000000002,YES
0.3653,3.7769999999999997,YES
0.1771,3.3760000000000003,YES
0.1659,1.1473,NO
0.1927,3.6508,YES
0.1251,1.4072,NO
0.1303,1.7619999999999998,YES
0.1814,2.8778,YES
0.3356,2.2687,NO
0.1662,1.5585,NO
0.1507,1.6963,NO
0.1441,1.962,NO
0.3435,2.3682,YES
0.1243,1.8266,YES
0.1731,1.8239,NO
0.0952,1.1321,NO
0.1364,1.4186,NO
0.0887,1.4052,NO
0.2289,1.7876,NO
0.2088,1.9766,NO
0.2075,1.9308,NO
0.1923,1.9653,YES
0.0927,1.7761,NO
0.0821,1.9665,YES
0.0311,1.2499,NO
0.3081,3.0387,YES
0.0406,1.9816,NO
0.1251,1.564,NO
0.091,1.7365,NO
0.11800000000000001,1.7221,NO
0.1053,1.6445,NO
0.2201,1.8207,NO
0.1351,1.7775,NO
0.1328,1.9592,NO
0.0724,0.4007,NO
0.0244,0.8639,NO
0.1404,2.6358,YES
0.3348,3.4932,YES
0.2937,4.5216,YES
0.14300000000000002,2.7579,YES
0.0826,1.1732,NO
0.013000000000000001,0.5112,NO
0.2103,2.7055,YES
0.1395,0.6089,NO
0.1325,1.8509,YES
0.1443,0.8841,NO
0.2165,1.1986,NO
0.1934,1.2662,NO
0.1934,1.1199,NO
0.0572,0.5557,NO
0.2318,4.8673,YES
0.0556,0.5769,NO
0.3609,4.6588,YES
0.1417,1.1649,NO
0.255,5.0697,YES
0.0522,0.9590000000000001,NO
0.0677,1.222,NO
0.1439,1.1502,NO
0.0494,1.3763,NO
0.1715,2.5165,YES
0.0964,1.8854,NO
0.1343,2.5419,YES
0.1544,0.2949,NO
0.0732,0.3321,NO
0.1975,1.6231,NO
0.2582,1.2465,NO
0.1977,1.6082,NO
0.1701,1.935,NO
0.1684,0.8395,NO
0.1225,0.5601,NO
0.1458,1.6915,NO
0.4028,3.0436,YES
0.1577,1.4419,NO
0.2904,2.8098,YES
0.1987,0.22899999999999998,NO
0.1756,0.4269,NO
0.1689,0.3873,NO
0.054000000000000006,0.8613,NO
0.1469,1.2767,NO
0.0547,0.3778,NO
0.1082,1.4572,NO
0.2019,0.8046,NO
0.1293,1.9928,NO
0.3897,3.6046,YES
0.3612,3.7517,YES
0.2791,3.9439,YES
0.2894,3.4789999999999996,YES
0.2226,1.6249,NO
0.1753,3.9238,YES
0.0979,1.6892,NO
0.0985,0.2784,NO
