DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_34,Associated
0.0737,1.3117,NO
0.0652,0.9376,NO
0.1144,0.9695,NO
0.2164,1.5211,NO
0.0671,0.6593,NO
0.0906,1.4626,NO
0.0589,1.5136,NO
0.0679,0.6126,NO
0.1689,0.5863,NO
0.2469,2.9234,YES
0.0616,0.8328,NO
0.33799999999999997,2.7793,YES
0.2427,1.073,NO
0.2231,1.1158,NO
0.2223,0.4524,NO
0.1142,0.9248,NO
0.0706,1.7801,NO
0.1109,1.1651,NO
0.0747,0.7128,NO
0.2179,0.5825,NO
0.1147,1.1263,NO
0.0779,2.3381,YES
0.0804,3.3481,YES
0.1668,3.0115,YES
0.24,3.4319,YES
0.1573,1.4218,NO
0.0716,3.5381,YES
0.1205,1.0968,NO
0.1072,1.4754,YES
0.2444,1.6296,YES
0.3362,0.6447,NO
0.1579,0.8132,NO
0.1148,0.6712,NO
0.1112,0.9179999999999999,NO
0.3947,1.4039,YES
0.0957,1.1308,YES
0.1364,0.5844,NO
0.1056,0.2907,NO
0.0981,0.4106,NO
0.1058,0.2876,NO
0.1797,0.6701,NO
0.1526,0.6957,NO
0.1551,0.3081,NO
0.2811,1.1303,YES
0.0766,0.6278,NO
0.1126,1.9976,YES
0.0341,0.5027,NO
0.3399,1.1034,YES
0.0412,0.6047,NO
0.1212,0.3483,NO
0.0769,0.3464,NO
0.1235,0.3868,NO
0.0802,0.20800000000000002,NO
0.1903,0.7116,NO
0.1119,0.2143,NO
0.1008,0.5279,NO
0.0886,0.7692,NO
0.1534,0.4453,NO
0.1331,0.8851,NO
0.2865,1.9365,NO
0.1512,1.1043,NO
0.1666,1.2766,NO
0.1465,1.0407,NO
0.0509,0.2181,NO
0.2187,1.0029,NO
0.4574,2.8741,YES
0.1603,0.9223,NO
0.2015,2.7231,YES
0.205,1.1625,NO
0.2168,1.3986,NO
0.2136,0.5139,NO
0.1919,0.7824,NO
0.1533,1.9942,NO
0.1268,0.7531,NO
0.1947,1.0046,NO
0.1755,0.2493,NO
0.2202,1.5073,NO
0.4465,2.6292,YES
0.4252,3.3152,YES
0.3653,3.0842,YES
0.1771,3.4956,YES
0.1659,1.6258,NO
0.1927,3.5527,YES
0.1251,0.975,NO
0.1303,2.4064,YES
0.1814,2.4686,YES
0.3356,0.687,NO
0.1662,0.8359,NO
0.1507,0.3319,NO
0.1441,0.9982,NO
0.3435,2.3526,YES
0.1243,1.8494,YES
0.1731,0.7259,NO
0.0952,0.6143,NO
0.1364,0.6233,NO
0.0887,0.5899,NO
0.2289,0.5786,NO
0.2088,0.5194,NO
0.2075,0.2075,NO
0.1923,1.5584,YES
0.0927,0.3785,NO
0.0821,3.0266,YES
0.0311,0.4226,NO
0.3081,1.6636,YES
0.0406,0.5186,NO
0.1251,0.4697,NO
0.091,0.648,NO
0.11800000000000001,0.6347,NO
0.1053,0.5183,NO
0.2201,0.9159999999999999,NO
0.1351,0.6048,NO
0.1328,0.5483,NO
0.0724,1.545,NO
0.0244,0.7618,NO
0.1404,2.4513,YES
0.3348,5.1972,YES
0.2937,3.9518,YES
0.14300000000000002,2.7233,YES
0.0826,1.8608,NO
0.013000000000000001,0.6926,NO
0.2103,2.7439,YES
0.1395,0.9225,NO
0.1325,1.7690000000000001,YES
0.1443,0.6707,NO
0.2165,1.7213,NO
0.1934,1.3393,NO
0.1934,0.7804,NO
0.0572,1.0162,NO
0.2318,4.2589,YES
0.0556,1.114,NO
0.3609,3.7261,YES
0.1417,0.5956,NO
0.255,4.9141,YES
0.0522,1.5629,NO
0.0677,1.2462,NO
0.1439,1.6453,NO
0.0494,0.9234,NO
0.1715,3.0662,YES
0.0964,1.5945,NO
0.1343,2.7171,YES
0.1544,0.8916,NO
0.0732,0.6351,NO
0.1975,1.3135,NO
0.2582,1.8281,NO
0.1977,1.1616,NO
0.1701,2.2648,NO
0.1684,1.226,NO
0.1225,0.4375,NO
0.1458,1.4333,NO
0.4028,2.8916,YES
0.1577,1.4689,NO
0.2904,2.8705,YES
