DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_57,Associated
0.0737,0.32,NO
0.0652,0.0713,NO
0.1144,0.2809,NO
0.2164,0.5644,NO
0.0671,0.0677,NO
0.0906,0.2707,NO
0.0589,0.3056,NO
0.0679,0.087,NO
0.1689,0.3138,NO
0.2469,0.9462,YES
0.0616,0.2289,NO
0.33799999999999997,1.0,YES
0.2427,0.1876,NO
0.2231,0.35200000000000004,NO
0.2223,0.0827,NO
0.1142,0.1596,NO
0.0706,0.4327,NO
0.1109,0.1443,NO
0.0747,0.3529,NO
0.2179,0.1271,NO
0.1147,0.4378,NO
0.0779,0.83,YES
0.0804,1.0,YES
0.1668,0.7677,YES
0.24,1.0,YES
0.1573,0.314,NO
0.0716,1.0,YES
0.1205,0.2458,NO
0.1072,1.0,YES
0.2444,0.408,YES
0.3362,0.3151,NO
0.1579,0.2304,NO
0.1148,0.2165,NO
0.1112,0.2069,NO
0.3947,1.0,YES
0.0957,0.7333,YES
0.1364,0.1873,NO
0.1056,0.1692,NO
0.0981,0.1276,NO
0.1058,0.1102,NO
0.1797,0.301,NO
0.1526,0.3144,NO
0.1551,0.301,NO
0.2811,1.0,YES
0.0766,0.2165,NO
0.1126,0.904,YES
0.0341,0.1359,NO
0.3399,1.0,YES
0.0412,0.1607,NO
0.1212,0.1939,NO
0.0769,0.2289,NO
0.1235,0.1597,NO
0.0802,0.1789,NO
0.1903,0.228,NO
0.1119,0.1939,NO
0.1008,0.2069,NO
0.0886,0.32,NO
0.1534,0.12,NO
0.1331,0.5722,NO
0.2865,0.5644,NO
0.1512,0.2813,NO
0.1666,0.6333,NO
0.1465,0.3056,NO
0.0509,0.0892,NO
0.2187,0.3138,NO
0.4574,0.9462,YES
0.1603,0.0114,NO
0.2015,1.0,YES
0.205,0.1876,NO
0.2168,0.35200000000000004,NO
0.2136,0.08199999999999999,NO
0.1919,0.294,NO
0.1533,0.4327,NO
0.1268,0.1431,NO
0.1947,0.3844,NO
0.1755,0.294,NO
0.2202,0.4378,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.8236,YES
0.1771,1.0,YES
0.1659,0.314,NO
0.1927,1.0,YES
0.1251,0.2458,NO
0.1303,1.0,YES
0.1814,0.408,YES
0.3356,0.3559,NO
0.1662,0.3559,NO
0.1507,0.1989,NO
0.1441,0.3559,NO
0.3435,1.0,YES
0.1243,0.2375,YES
0.1731,0.3559,NO
0.0952,0.2069,NO
0.1364,0.3559,NO
