DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_48,Associated
0.0737,0.6389,NO
0.0652,0.2568,NO
0.1144,1.0866,NO
0.2164,0.9846,NO
0.0671,0.9049,NO
0.0906,1.1071,NO
0.0589,0.904,NO
0.0679,0.4256,NO
0.1689,0.8187,NO
0.2469,3.065,YES
0.0616,1.4881,NO
0.33799999999999997,2.2067,YES
0.2427,0.0828,NO
0.2231,0.4466,NO
0.2223,0.0628,NO
0.1142,0.1215,NO
0.0706,1.7693,NO
0.1109,0.2605,NO
0.0747,1.1142,NO
0.2179,0.14400000000000002,NO
0.1147,0.7894,NO
0.0779,2.3646,YES
0.0804,2.6441,YES
0.1668,3.4585,YES
0.24,2.736,YES
0.1573,1.2408,NO
0.0716,2.373,YES
0.1205,1.0590000000000002,NO
0.1072,2.3,YES
0.2444,3.2255,YES
0.3362,0.9991,NO
0.1579,0.6894,NO
0.1148,0.6353,NO
0.1112,1.0212,NO
0.3947,2.7225,YES
0.0957,2.0962,YES
0.1364,1.0134,NO
0.1056,0.3376,NO
0.0981,0.961,NO
0.1058,0.4525,NO
0.1797,0.8211,NO
0.1526,1.0187,NO
0.1551,1.2347,NO
0.2811,3.1059,YES
0.0766,0.8233,NO
0.1126,2.9663,YES
0.0341,0.9718,NO
0.3399,3.1888,YES
0.0412,0.8611,NO
0.1212,0.529,NO
0.0769,0.6382,NO
0.1235,0.8583,NO
0.0802,0.258,NO
0.1903,0.9294,NO
0.1119,0.8918,NO
0.1008,0.9237,NO
0.0886,0.5189,NO
0.1534,0.1748,NO
0.1331,1.1999,NO
0.2865,1.3767,NO
0.1512,0.9894,NO
0.1666,1.3034,NO
0.1465,0.9679,NO
0.0509,0.3103,NO
0.2187,1.2765,NO
0.4574,3.266,YES
0.1603,1.5892,NO
0.2015,2.7615,YES
0.205,0.5524,NO
0.2168,0.7912,NO
0.2136,0.4067,NO
0.1919,0.0664,NO
0.1533,1.5124,NO
0.1268,0.1392,NO
0.1947,1.3755,NO
0.1755,0.1023,NO
0.2202,0.9756,NO
0.4465,2.6882,YES
0.4252,3.0516,YES
0.3653,3.7333,YES
0.1771,2.8332,YES
0.1659,1.4113,NO
0.1927,2.7555,YES
0.1251,1.315,NO
