DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_43,Associated
0.0737,0.7774,NO
0.0652,0.7115,NO
0.1144,0.5969,NO
0.2164,0.8723,NO
0.0671,0.6188,NO
0.0906,0.6616,NO
0.0589,0.34299999999999997,NO
0.0679,0.2425,NO
0.1689,1.0542,NO
0.2469,2.9635,YES
0.0616,0.7794,NO
0.33799999999999997,2.7305,YES
0.2427,0.5074,NO
0.2231,0.884,NO
0.2223,0.5815,NO
0.1142,0.3243,NO
0.0706,1.5330000000000001,NO
0.1109,0.207,NO
0.0747,1.2661,NO
0.2179,0.8166,NO
0.1147,0.58,NO
0.0779,2.6069,YES
0.0804,2.9682,YES
0.1668,3.384,YES
0.24,2.6812,YES
0.1573,0.9462,NO
0.0716,2.8264,YES
0.1205,0.8809,NO
0.1072,1.9055,YES
0.2444,1.8321,YES
0.3362,1.2038,NO
0.1579,0.8073,NO
0.1148,0.5206,NO
0.1112,0.8824,NO
0.3947,1.1747,YES
0.0957,0.8621,YES
0.1364,1.0576,NO
0.1056,0.2258,NO
0.0981,0.7839,NO
0.1058,0.4647,NO
0.1797,0.9506,NO
0.1526,1.1298,NO
0.1551,1.0106,NO
0.2811,1.5229,YES
0.0766,0.7823,NO
0.1126,1.0967,YES
0.0341,0.9447,NO
0.3399,1.8005,YES
0.0412,0.5771,NO
0.1212,0.5178,NO
0.0769,0.6839,NO
0.1235,0.7236,NO
0.0802,0.4306,NO
0.1903,0.8066,NO
0.1119,0.5608,NO
0.1008,1.2002,NO
0.0886,0.6456,NO
0.1534,0.5904,NO
0.1331,0.2915,NO
0.2865,0.3365,NO
0.1512,0.6422,NO
0.1666,0.491,NO
0.1465,0.2732,NO
0.0509,0.1842,NO
0.2187,0.6374,NO
0.4574,2.9734,YES
0.1603,0.5618,NO
0.2015,2.5633,YES
0.205,0.1365,NO
0.2168,0.6932,NO
0.2136,0.2088,NO
0.1919,0.2323,NO
0.1533,1.2421,NO
0.1268,0.2161,NO
0.1947,1.2936,NO
0.1755,0.7865,NO
0.2202,0.4466,NO
0.4465,2.8224,YES
0.4252,3.3793,YES
0.3653,3.6214,YES
0.1771,2.804,YES
0.1659,0.7156,NO
0.1927,3.1058,YES
0.1251,0.5734,NO
0.1303,3.1628,YES
0.1814,2.4764,YES
0.3356,1.0168,NO
0.1662,0.6658,NO
0.1507,0.5271,NO
0.1441,1.0732,NO
0.3435,1.6428,YES
0.1243,2.1071,YES
0.1731,0.9744,NO
0.0952,1.1183,NO
0.1364,1.0015,NO
0.0887,1.1829,NO
0.2289,0.2549,NO
0.2088,0.7123,NO
0.2075,0.4647,NO
0.1923,2.3548,YES
0.0927,0.8743,NO
0.0821,2.322,YES
0.0311,0.6433,NO
0.3081,3.2674,YES
0.0406,0.5559,NO
0.1251,1.0814,NO
