DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_52,Associated
0.0737,0.879,NO
0.0652,0.2895,NO
0.1144,0.7902,NO
0.2164,1.4322,NO
0.0671,1.2691,NO
0.0906,2.1811,NO
0.0589,0.8713,NO
0.0679,0.1281,NO
0.1689,0.9183,NO
0.2469,2.4784,YES
0.0616,1.3822,NO
0.33799999999999997,1.9099,YES
0.2427,1.0067,NO
0.2231,1.4409999999999998,NO
0.2223,0.6676,NO
0.1142,0.1589,NO
0.0706,1.5221,NO
0.1109,0.7047,NO
0.0747,1.0046,NO
0.2179,0.4535,NO
0.1147,1.4387,NO
0.0779,1.9567,YES
0.0804,3.333,YES
0.1668,2.3353,YES
0.24,2.5692,YES
0.1573,0.6754,NO
0.0716,1.834,YES
0.1205,0.85,NO
0.1072,2.2069,YES
0.2444,2.1021,YES
0.3362,1.1648,NO
0.1579,0.6646,NO
0.1148,0.6301,NO
0.1112,1.2058,NO
0.3947,1.4633,YES
0.0957,2.0212,YES
0.1364,1.1696,NO
0.1056,0.5152,NO
0.0981,1.1306,NO
0.1058,0.3638,NO
0.1797,0.532,NO
0.1526,0.3475,NO
0.1551,0.1928,NO
0.2811,1.4607,YES
0.0766,0.5067,NO
0.1126,2.0639,YES
0.0341,0.5607,NO
0.3399,1.6957,YES
0.0412,0.7112,NO
0.1212,0.2955,NO
0.0769,0.8903,NO
0.1235,0.36,NO
0.0802,0.3764,NO
0.1903,1.4578,NO
0.1119,0.5316,NO
0.1008,0.7324,NO
0.0886,0.9643,NO
0.1534,0.4302,NO
0.1331,0.9809,NO
0.2865,1.5135,NO
0.1512,1.0496,NO
0.1666,1.9327,NO
0.1465,0.8476,NO
0.0509,0.2027,NO
0.2187,1.1223,NO
0.4574,2.9641,YES
0.1603,1.4377,NO
0.2015,2.009,YES
0.205,1.0582,NO
0.2168,1.5355,NO
0.2136,0.4831,NO
0.1919,0.3383,NO
0.1533,1.1942,NO
0.1268,0.8448,NO
0.1947,0.8220000000000001,NO
0.1755,0.4249,NO
0.2202,1.1520000000000001,NO
0.4465,2.2169,YES
0.4252,3.5001,YES
0.3653,2.2409,YES
0.1771,2.9903,YES
0.1659,1.0273,NO
0.1927,1.8912,YES
0.1251,0.6343,NO
0.1303,1.7984,YES
0.1814,1.6105,YES
0.3356,0.6296,NO
0.1662,0.4415,NO
0.1507,0.1601,NO
0.1441,0.8438,NO
0.3435,1.4216,YES
0.1243,1.6426,YES
0.1731,0.8488,NO
0.0952,0.4561,NO
0.1364,0.7539,NO
0.0887,0.2799,NO
0.2289,0.2228,NO
0.2088,0.1161,NO
0.2075,0.0038,NO
0.1923,1.4017,YES
0.0927,0.2519,NO
0.0821,1.6535,YES
0.0311,0.2022,NO
0.3081,1.5512,YES
0.0406,0.5084,NO
0.1251,0.2816,NO
0.091,0.6825,NO
0.11800000000000001,0.2336,NO
0.1053,0.4267,NO
0.2201,0.7938,NO
0.1351,0.4237,NO
0.1328,0.5122,NO
0.0724,1.2171,NO
0.0244,0.3666,NO
0.1404,1.2338,YES
0.3348,3.5383,YES
0.2937,4.3895,YES
0.14300000000000002,2.4802,YES
0.0826,0.555,NO
0.013000000000000001,0.2991,NO
0.2103,2.5246,YES
0.1395,1.0524,NO
0.1325,1.7077,YES
0.1443,0.8359,NO
