DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_38,Associated
0.0737,0.8174,NO
0.0652,0.2792,NO
0.1144,0.5882,NO
0.2164,1.2292,NO
0.0671,1.4614,NO
0.0906,1.5973,NO
0.0589,0.7788,NO
0.0679,0.5518,NO
0.1689,0.5432,NO
0.2469,4.0079,YES
0.0616,1.0732,NO
0.33799999999999997,3.5491,YES
0.2427,0.3014,NO
0.2231,0.0688,NO
0.2223,0.3139,NO
0.1142,0.6936,NO
0.0706,1.7121,NO
0.1109,0.5062,NO
0.0747,0.8288,NO
0.2179,0.2207,NO
0.1147,1.6715,NO
0.0779,4.1537,YES
0.0804,3.717,YES
0.1668,3.4456,YES
0.24,2.589,YES
0.1573,0.3858,NO
0.0716,2.6521,YES
0.1205,0.9152,NO
0.1072,1.0784,YES
0.2444,1.9277,YES
0.3362,0.7873,NO
0.1579,0.9116,NO
0.1148,0.8735,NO
0.1112,1.1891,NO
0.3947,1.4108,YES
0.0957,1.8633,YES
0.1364,1.0653,NO
0.1056,0.5968,NO
0.0981,0.9425,NO
0.1058,0.5627,NO
0.1797,0.2553,NO
0.1526,0.3692,NO
0.1551,0.3695,NO
0.2811,1.3204,YES
0.0766,1.0733,NO
0.1126,1.8239,YES
0.0341,0.8448,NO
0.3399,2.1146,YES
0.0412,0.8405,NO
0.1212,1.0313,NO
0.0769,0.8117,NO
0.1235,0.8322,NO
0.0802,0.6927,NO
0.1903,1.0119,NO
0.1119,0.4155,NO
0.1008,1.1457,NO
0.0886,0.7932,NO
0.1534,0.406,NO
0.1331,0.6689,NO
0.2865,1.4073,NO
0.1512,1.5824,NO
0.1666,1.6822,NO
0.1465,0.8062,NO
0.0509,0.5192,NO
0.2187,0.7481,NO
0.4574,4.0937,YES
0.1603,1.1425,NO
0.2015,3.5737,YES
0.205,0.6635,NO
0.2168,0.3935,NO
0.2136,0.7884,NO
0.1919,0.6828,NO
0.1533,1.9315,NO
0.1268,0.4599,NO
0.1947,1.1269,NO
0.1755,0.3087,NO
0.2202,1.7151,NO
0.4465,4.1465,YES
0.4252,3.8528,YES
0.3653,3.5768,YES
0.1771,2.5197,YES
0.1659,0.4578,NO
0.1927,2.6001,YES
0.1251,1.1795,NO
0.1303,1.9211,YES
0.1814,2.5535,YES
0.3356,1.8607,NO
0.1662,1.217,NO
0.1507,1.2376,NO
0.1441,2.3116,NO
0.3435,1.646,YES
0.1243,2.3274,YES
0.1731,2.1971,NO
0.0952,1.5118,NO
0.1364,2.4196,NO
0.0887,1.5382,NO
0.2289,1.0534,NO
0.2088,1.2739,NO
0.2075,1.155,NO
0.1923,1.68,YES
0.0927,1.7394,NO
0.0821,2.265,YES
0.0311,1.2325,NO
0.3081,2.5876,YES
0.0406,1.2427,NO
0.1251,2.1325,NO
0.091,1.6422,NO
0.11800000000000001,1.6122,NO
0.1053,1.7367,NO
0.2201,1.8331,NO
0.1351,1.2332,NO
0.1328,2.1684,NO
0.0724,0.3463,NO
0.0244,0.7813,NO
0.1404,1.6465,YES
0.3348,4.3646,YES
0.2937,4.2159,YES
0.14300000000000002,2.4328,YES
0.0826,0.8011,NO
0.013000000000000001,0.4341,NO
0.2103,2.0086,YES
0.1395,0.5408,NO
0.1325,1.7704,YES
0.1443,0.3102,NO
0.2165,0.7519,NO
0.1934,0.5165,NO
0.1934,1.2747,NO
0.0572,0.5035,NO
0.2318,4.3989,YES
0.0556,0.2352,NO
0.3609,4.7001,YES
0.1417,1.2877,NO
0.255,4.6368,YES
0.0522,1.0632,NO
0.0677,1.2943,NO
0.1439,1.537,NO
0.0494,0.5544,NO
0.1715,2.0534,YES
0.0964,0.8164,NO
0.1343,2.0822,YES
0.1544,0.9611,NO
