DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_44,Associated
0.0737,0.7243,NO
0.0652,0.8119,NO
0.1144,0.4595,NO
0.2164,1.5511,NO
0.0671,0.8725,NO
0.0906,0.4778,NO
0.0589,0.8295,NO
0.0679,0.7395,NO
0.1689,0.7983,NO
0.2469,2.7316,YES
0.0616,0.3999,NO
0.33799999999999997,3.3007,YES
0.2427,0.5267,NO
0.2231,1.0073,NO
0.2223,0.5902,NO
0.1142,0.4948,NO
0.0706,1.3608,NO
0.1109,0.6372,NO
0.0747,0.2593,NO
0.2179,1.013,NO
0.1147,0.5178,NO
0.0779,2.9622,YES
0.0804,3.3441,YES
0.1668,3.1368,YES
0.24,3.4148,YES
0.1573,0.34,NO
0.0716,1.86,YES
0.1205,1.1058,NO
0.1072,0.8945,YES
0.2444,1.5647,YES
0.3362,1.19,NO
0.1579,0.3108,NO
0.1148,0.2202,NO
0.1112,1.1001,NO
0.3947,1.5789,YES
0.0957,1.8128,YES
0.1364,0.8833,NO
0.1056,0.3213,NO
0.0981,1.1331,NO
0.1058,0.5347,NO
0.1797,0.6451,NO
0.1526,0.5034,NO
0.1551,0.6474,NO
0.2811,1.386,YES
0.0766,0.4124,NO
0.1126,1.7642,YES
0.0341,0.3502,NO
0.3399,2.1543,YES
0.0412,0.2182,NO
0.1212,0.4228,NO
0.0769,0.5167,NO
0.1235,0.618,NO
0.0802,0.6379,NO
0.1903,1.1226,NO
0.1119,0.2917,NO
0.1008,1.2487,NO
0.0886,0.3178,NO
0.1534,0.3048,NO
0.1331,0.8109,NO
0.2865,1.5568,NO
0.1512,1.2824,NO
0.1666,0.7424,NO
0.1465,0.3118,NO
0.0509,0.10099999999999999,NO
0.2187,1.073,NO
0.4574,2.9423,YES
0.1603,0.8494,NO
0.2015,2.8453,YES
0.205,0.2102,NO
0.2168,0.5379,NO
0.2136,0.3004,NO
0.1919,0.1815,NO
0.1533,1.5477,NO
0.1268,0.0709,NO
0.1947,0.5875,NO
0.1755,0.2527,NO
0.2202,0.5528,NO
0.4465,3.0481,YES
0.4252,3.1803,YES
0.3653,3.1784,YES
0.1771,3.3694,YES
0.1659,0.8482,NO
0.1927,1.6778,YES
0.1251,1.2617,NO
0.1303,2.6104,YES
0.1814,2.5248,YES
0.3356,2.0553,NO
0.1662,2.2007,NO
0.1507,1.6566,NO
0.1441,2.4087,NO
0.3435,2.8011,YES
0.1243,3.1256,YES
0.1731,1.5538,NO
0.0952,0.4256,NO
0.1364,2.3304,NO
0.0887,1.0324,NO
0.2289,1.9453,NO
0.2088,1.8232,NO
0.2075,2.0635,NO
0.1923,1.8062,YES
0.0927,2.2296,NO
0.0821,3.1028,YES
0.0311,1.5490000000000002,NO
0.3081,3.9769,YES
0.0406,1.5092,NO
0.1251,1.305,NO
0.091,1.1014,NO
0.11800000000000001,1.2166,NO
0.1053,1.0306,NO
0.2201,2.3742,NO
0.1351,0.6488,NO
0.1328,2.3683,NO
0.0724,0.4752,NO
0.0244,0.6699,NO
0.1404,1.3958,YES
0.3348,4.3877,YES
0.2937,4.2649,YES
0.14300000000000002,1.3731,YES
0.0826,0.5085,NO
0.013000000000000001,0.3385,NO
0.2103,1.4639,YES
0.1395,0.0902,NO
0.1325,1.9405,YES
0.1443,0.8565,NO
0.2165,0.6917,NO
0.1934,0.6198,NO
0.1934,1.0606,NO
0.0572,0.3989,NO
0.2318,4.5326,YES
0.0556,0.4406,NO
0.3609,4.4476,YES
0.1417,0.4836,NO
0.255,4.1215,YES
0.0522,1.1059,NO
0.0677,0.6861,NO
0.1439,1.3067,NO
0.0494,0.5473,NO
0.1715,1.8461,YES
0.0964,0.8674,NO
0.1343,1.8135,YES
0.1544,0.5682,NO
0.0732,0.4859,NO
0.1975,0.7592,NO
0.2582,1.7339,NO
0.1977,1.4437,NO
0.1701,0.8189,NO
0.1684,0.8098,NO
0.1225,0.5631,NO
0.1458,1.2995,NO
0.4028,3.2188,YES
0.1577,0.8492,NO
0.2904,3.3167,YES
0.1987,0.3611,NO
0.1756,0.5977,NO
0.1689,0.375,NO
0.054000000000000006,0.3996,NO
0.1469,1.9069999999999998,NO
0.0547,0.4732,NO
0.1082,0.7701,NO
0.2019,0.7486,NO
0.1293,0.8962,NO
0.3897,3.3604,YES
0.3612,3.6696,YES
0.2791,3.4628,YES
0.2894,3.6506,YES
0.2226,0.8717,NO
0.1753,1.9513,YES
0.0979,1.3118,NO
0.0985,0.3282,NO
