DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_47,Associated
0.0737,0.2037,NO
0.0652,0.7671,NO
0.1144,1.2771,NO
0.2164,1.044,NO
0.0671,1.2721,NO
0.0906,1.2402,NO
0.0589,0.9417,NO
0.0679,0.4244,NO
0.1689,1.4395,NO
0.2469,3.1096,YES
0.0616,1.5149,NO
0.33799999999999997,2.9303,YES
0.2427,0.4948,NO
0.2231,0.9916,NO
0.2223,0.5527,NO
0.1142,0.3563,NO
0.0706,0.6902,NO
0.1109,0.5311,NO
0.0747,0.4477,NO
0.2179,0.7695,NO
0.1147,1.0956,NO
0.0779,3.5277,YES
0.0804,3.7726,YES
0.1668,3.4325,YES
0.24,3.1022,YES
0.1573,0.5524,NO
0.0716,3.3765,YES
0.1205,0.9781,NO
0.1072,0.9061,YES
0.2444,1.739,YES
0.3362,1.5219,NO
0.1579,0.715,NO
0.1148,0.8514,NO
0.1112,1.425,NO
0.3947,1.5139,YES
0.0957,0.8732,YES
0.1364,1.4188,NO
0.1056,0.4544,NO
0.0981,1.5198,NO
0.1058,0.6621,NO
0.1797,0.3143,NO
0.1526,0.28300000000000003,NO
0.1551,0.2084,NO
0.2811,1.8881,YES
0.0766,1.0567,NO
0.1126,1.8003,YES
0.0341,0.9268,NO
0.3399,2.3273,YES
0.0412,1.0504,NO
0.1212,0.7332,NO
0.0769,0.8456,NO
0.1235,1.0032,NO
0.0802,0.5468,NO
0.1903,1.4128,NO
0.1119,0.6172,NO
0.1008,1.1718,NO
0.0886,0.2511,NO
0.1534,0.6447,NO
0.1331,0.917,NO
0.2865,0.985,NO
0.1512,1.0317,NO
0.1666,0.8118,NO
0.1465,0.888,NO
0.0509,0.3928,NO
0.2187,0.9966,NO
0.4574,2.7034,YES
0.1603,1.0581,NO
0.2015,2.4797,YES
0.205,0.5035,NO
0.2168,0.922,NO
0.2136,0.6059,NO
0.1919,0.3156,NO
0.1533,0.6854,NO
0.1268,0.5065,NO
0.1947,0.4279,NO
0.1755,0.5482,NO
0.2202,1.0378,NO
0.4465,2.8916,YES
0.4252,2.977,YES
0.3653,2.8575,YES
0.1771,2.2434,YES
0.1659,0.358,NO
0.1927,2.8086,YES
0.1251,0.9088,NO
0.1303,2.2973,YES
0.1814,2.4346,YES
0.3356,2.6908,NO
0.1662,0.6385,NO
0.1507,1.0382,NO
0.1441,2.3515,NO
0.3435,2.6821,YES
0.1243,2.168,YES
0.1731,2.8757,NO
0.0952,0.5084,NO
0.1364,2.5988,NO
0.0887,0.8611,NO
0.2289,1.301,NO
0.2088,1.0405,NO
0.2075,1.2257,NO
0.1923,3.2615,YES
0.0927,1.3262,NO
0.0821,3.0426,YES
0.0311,1.0774,NO
0.3081,3.9958,YES
0.0406,1.3055,NO
0.1251,0.7802,NO
0.091,0.9248,NO
0.11800000000000001,1.3558,NO
0.1053,0.586,NO
0.2201,2.1374,NO
0.1351,1.5016,NO
0.1328,2.8663,NO
0.0724,0.1924,NO
0.0244,0.5373,NO
0.1404,1.6733,YES
0.3348,3.702,YES
0.2937,4.0148,YES
0.14300000000000002,1.5293,YES
0.0826,0.7573,NO
0.013000000000000001,0.0759,NO
0.2103,1.5149,YES
0.1395,0.3159,NO
0.1325,1.9068,YES
0.1443,0.5701,NO
0.2165,0.8399,NO
0.1934,1.25,NO
0.1934,0.8865,NO
0.0572,0.3532,NO
0.2318,3.9596,YES
0.0556,0.2806,NO
0.3609,3.8142,YES
0.1417,0.6397,NO
0.255,3.8656,YES
0.0522,0.5463,NO
0.0677,1.314,NO
0.1439,0.9974,NO
0.0494,0.6429,NO
0.1715,0.9525,YES
0.0964,0.8451,NO
0.1343,1.2959,YES
0.1544,0.4551,NO
0.0732,0.6496,NO
0.1975,1.9964,NO
0.2582,1.6105,NO
0.1977,1.9036,NO
0.1701,1.7809,NO
0.1684,0.978,NO
0.1225,0.675,NO
0.1458,1.9592,NO
0.4028,3.1408,YES
0.1577,2.0872,NO
0.2904,2.9897,YES
0.1987,0.4088,NO
0.1756,0.9915,NO
0.1689,0.5616,NO
0.054000000000000006,0.3566,NO
0.1469,1.4481,NO
0.0547,0.5056,NO
0.1082,1.1419,NO
0.2019,0.9354,NO
0.1293,1.7571,NO
0.3897,3.548,YES
0.3612,4.026,YES
0.2791,3.5967,YES
0.2894,3.1138,YES
0.2226,1.0237,NO
0.1753,3.373,YES
0.0979,1.3406,NO
0.0985,0.3254,NO
0.0774,0.758,NO
0.1069,1.8528,YES
0.3647,3.9679,YES
0.2531,4.1239,YES
0.1331,1.8639,YES
0.0885,0.9345,NO
0.0604,0.2255,NO
0.2068,1.9533,YES
0.2598,1.9537,NO
0.106,2.1788,YES
0.1459,2.0544,NO
0.2252,0.6527,NO
0.2571,1.1026,NO
0.2375,0.8232,NO
0.1453,0.319,NO
0.2245,4.2037,YES
0.141,0.2739,NO
0.2623,3.886,YES
0.142,0.8289,NO
0.2555,4.3722,YES
0.2049,2.2342,NO
0.2206,2.8002,NO
0.2228,2.1967,NO
0.1032,1.6093,NO
0.1461,1.364,YES
0.1116,2.3355,NO
0.1326,1.9614,YES
0.1415,0.2288,NO
0.0745,0.6092,NO
0.2381,1.5834,NO
0.19,1.0558,NO
0.1547,1.4676,NO
0.1997,1.4454,NO
0.1653,0.8204,NO
0.1536,0.3082,NO
0.1999,1.6821,NO
0.1989,2.1482,YES
0.2045,1.6585,NO
0.2447,2.4585,YES
0.2519,0.8448,NO
0.2036,0.9197,NO
0.2033,0.6547,NO
0.0533,0.2852,NO
0.105,1.1089,NO
0.055999999999999994,0.4483,NO
0.1113,0.6758,NO
0.2256,0.8287,NO
0.0989,1.0852,NO
0.1879,2.6577,YES
0.1445,2.6282,YES
0.1901,2.5517,YES
0.3108,2.2706,YES
0.2405,0.9571,NO
0.1657,2.2696,YES
0.1331,1.5549,NO
0.0949,0.263,NO
0.1339,0.7484,NO
0.22399999999999998,2.0527,NO
0.1967,1.1449,NO
0.1436,1.1937,NO
0.2079,1.7734,NO
0.1339,0.7759,NO
0.0967,0.4792,NO
0.2198,1.538,NO
0.3428,2.5106,YES
0.2344,2.2265,NO
0.1736,2.1221,YES
0.1331,0.2303,NO
0.0735,0.7118,NO
0.0647,0.2857,NO
0.204,0.3842,NO
0.1327,0.8493,NO
0.1655,0.5182,NO
0.31,0.7349,NO
0.1309,0.7943,NO
0.2819,1.2721,NO
0.4042,2.7648,YES
0.3296,3.0723,YES
0.4941,3.5884,YES
0.1783,2.1821,YES
0.193,1.0043,NO
0.2673,2.8596,YES
