DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_21,Associated
0.0737,0.2852,NO
0.0652,0.2852,NO
0.1144,0.2287,NO
0.2164,0.3093,NO
0.0671,0.31,NO
0.0906,0.2707,NO
0.0589,0.2852,NO
0.0679,0.2852,NO
0.1689,0.2323,NO
0.2469,1.0,YES
0.0616,0.2323,NO
0.33799999999999997,1.0,YES
0.2427,0.3555,NO
0.2231,0.282,NO
0.2223,0.2206,NO
0.1142,0.2852,NO
0.0706,0.36,NO
0.1109,0.1542,NO
0.0747,0.2383,NO
0.2179,0.1437,NO
0.1147,0.2383,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,0.7677,YES
0.1573,0.2502,NO
0.0716,0.3569,YES
0.1205,0.2323,NO
0.1072,0.9589,YES
0.2444,0.6914,YES
0.3362,0.1793,NO
0.1579,0.2796,NO
0.1148,0.1563,NO
0.1112,0.2387,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2796,NO
0.1056,0.2425,NO
0.0981,0.2796,NO
0.1058,0.2425,NO
0.1797,0.3148,NO
0.1526,0.23600000000000002,NO
0.1551,0.1953,NO
0.2811,1.0,YES
0.0766,0.2796,NO
0.1126,0.8716,YES
0.0341,0.1687,NO
0.3399,1.0,YES
0.0412,0.2796,NO
0.1212,0.2425,NO
0.0769,0.2456,NO
0.1235,0.1388,NO
0.0802,0.2425,NO
0.1903,0.2673,NO
0.1119,0.1778,NO
0.1008,0.2796,NO
0.0886,0.3088,NO
0.1534,0.294,NO
0.1331,0.5722,NO
0.2865,0.4177,NO
0.1512,0.31,NO
0.1666,0.2707,NO
0.1465,0.294,NO
0.0509,0.294,NO
0.2187,0.2866,NO
0.4574,1.0,YES
0.1603,0.4964,NO
0.2015,1.0,YES
0.205,0.3104,NO
0.2168,0.3824,NO
0.2136,0.1697,NO
0.1919,0.3167,NO
0.1533,0.3765,NO
0.1268,0.3069,NO
0.1947,0.3405,NO
0.1755,0.1482,NO
0.2202,0.4224,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,0.965,YES
0.1659,0.4758,NO
0.1927,1.0,YES
0.1251,0.2372,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.1529,NO
0.1662,0.2576,NO
0.1507,0.0477,NO
0.1441,0.2862,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.2312,NO
0.0952,0.039,NO
0.1364,0.1491,NO
0.0887,0.0665,NO
0.2289,0.3845,NO
0.2088,0.3413,NO
0.2075,0.2386,NO
0.1923,1.0,YES
0.0927,0.2044,NO
0.0821,0.2891,YES
0.0311,0.1062,NO
0.3081,0.504,YES
0.0406,0.1607,NO
0.1251,0.1769,NO
0.091,0.1231,NO
0.11800000000000001,0.1167,NO
0.1053,0.1107,NO
0.2201,0.2862,NO
0.1351,0.2142,NO
0.1328,0.0864,NO
0.0724,0.2282,NO
0.0244,0.2493,NO
0.1404,0.5033,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6382,YES
0.0826,0.344,NO
0.013000000000000001,0.2493,NO
0.2103,1.0,YES
0.1395,0.3816,NO
0.1325,1.0,YES
0.1443,0.2147,NO
