DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_41,Associated
0.0737,0.3071,NO
0.0652,0.2574,NO
0.1144,0.2287,NO
0.2164,0.5644,NO
0.0671,0.31,NO
0.0906,0.6333,NO
0.0589,0.3258,NO
0.0679,0.2574,NO
0.1689,0.1898,NO
0.2469,1.0,YES
0.0616,0.4964,NO
0.33799999999999997,1.0,YES
0.2427,0.3555,NO
0.2231,0.3673,NO
0.2223,0.2206,NO
0.1142,0.1944,NO
0.0706,0.1394,NO
0.1109,0.2327,NO
0.0747,0.2102,NO
0.2179,0.1819,NO
0.1147,0.2383,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2502,NO
0.0716,1.0,YES
0.1205,0.3251,NO
0.1072,0.2803,YES
0.2444,0.6914,YES
0.3362,0.2796,NO
0.1579,0.2165,NO
0.1148,0.2796,NO
0.1112,0.2796,NO
0.3947,0.6914,YES
0.0957,0.3062,YES
0.1364,0.2113,NO
0.1056,0.1092,NO
0.0981,0.2113,NO
0.1058,0.0762,NO
0.1797,0.301,NO
0.1526,0.301,NO
0.1551,0.301,NO
0.2811,0.6914,YES
0.0766,0.2796,NO
0.1126,0.2768,YES
0.0341,0.2796,NO
0.3399,0.6914,YES
0.0412,0.2796,NO
0.1212,0.0942,NO
0.0769,0.1582,NO
0.1235,0.1388,NO
0.0802,0.065,NO
0.1903,0.1627,NO
0.1119,0.1481,NO
0.1008,0.1431,NO
0.0886,0.3071,NO
0.1534,0.294,NO
0.1331,0.3753,NO
0.2865,0.5644,NO
0.1512,0.3765,NO
0.1666,0.6333,NO
0.1465,0.3258,NO
0.0509,0.1066,NO
0.2187,0.2487,NO
0.4574,1.0,YES
0.1603,0.4964,NO
0.2015,0.965,YES
0.205,0.3104,NO
0.2168,0.35200000000000004,NO
0.2136,0.0793,NO
0.1919,0.294,NO
0.1533,0.4175,NO
0.1268,0.3069,NO
0.1947,0.3753,NO
0.1755,0.294,NO
0.2202,0.4224,NO
0.4465,0.83,YES
0.4252,1.0,YES
0.3653,0.8236,YES
0.1771,1.0,YES
0.1659,0.2502,NO
0.1927,1.0,YES
0.1251,0.3251,NO
0.1303,1.0,YES
0.1814,0.5161,YES
0.3356,0.3559,NO
0.1662,0.228,NO
0.1507,0.3559,NO
0.1441,0.3559,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.2479,NO
0.0952,0.2069,NO
0.1364,0.2479,NO
0.0887,0.1216,NO
0.2289,0.3667,NO
0.2088,0.3667,NO
0.2075,0.3667,NO
0.1923,1.0,YES
0.0927,0.3559,NO
0.0821,1.0,YES
0.0311,0.3559,NO
0.3081,1.0,YES
0.0406,0.3559,NO
0.1251,0.1815,NO
0.091,0.2456,NO
0.11800000000000001,0.1728,NO
0.1053,0.2187,NO
0.2201,0.2673,NO
0.1351,0.2187,NO
0.1328,0.1679,NO
0.0724,0.3229,NO
0.0244,0.2011,NO
0.1404,1.0,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.2011,NO
0.013000000000000001,0.0567,NO
0.2103,0.5227,YES
0.1395,0.2975,NO
0.1325,0.4491,YES
0.1443,0.2147,NO
0.2165,0.3877,NO
0.1934,0.3877,NO
0.1934,0.3877,NO
0.0572,0.2011,NO
0.2318,1.0,YES
0.0556,0.1393,NO
0.3609,1.0,YES
0.1417,0.304,NO
0.255,1.0,YES
0.0522,0.3369,NO
0.0677,0.2147,NO
0.1439,0.4856,NO
0.0494,0.2229,NO
0.1715,0.5820000000000001,YES
0.0964,0.4444,NO
0.1343,0.4367,YES
0.1544,0.2912,NO
0.0732,0.272,NO
0.1975,0.2809,NO
0.2582,0.5352,NO
0.1977,0.3613,NO
0.1701,0.6333,NO
0.1684,0.3089,NO
0.1225,0.1133,NO
0.1458,0.2756,NO
0.4028,1.0,YES
0.1577,0.4964,NO
0.2904,1.0,YES
0.1987,0.3166,NO
0.1756,0.3673,NO
0.1689,0.3166,NO
0.054000000000000006,0.272,NO
0.1469,0.4327,NO
0.0547,0.318,NO
0.1082,0.3529,NO
0.2019,0.272,NO
0.1293,0.4378,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.2372,NO
0.1753,1.0,YES
0.0979,0.3251,NO
0.0985,0.1918,NO
0.0774,0.1676,NO
0.1069,0.5253,YES
0.3647,0.6115,YES
0.2531,0.6115,YES
0.1331,0.5253,YES
0.0885,0.1676,NO
0.0604,0.0509,NO
0.2068,0.2746,YES
0.2598,0.433,NO
0.106,0.2359,YES
0.1459,0.4608,NO
0.2252,0.3335,NO
0.2571,0.3335,NO
0.2375,0.3335,NO
0.1453,0.1676,NO
0.2245,0.5396,YES
0.141,0.1465,NO
0.2623,1.0,YES
0.142,0.1676,NO
0.2555,1.0,YES
0.2049,0.3798,NO
0.2206,0.4608,NO
0.2228,0.3496,NO
0.1032,0.4608,NO
0.1461,0.3057,YES
0.1116,0.4576,NO
0.1326,0.2294,YES
0.1415,0.3071,NO
0.0745,0.2988,NO
0.2381,0.42700000000000005,NO
0.19,0.5644,NO
0.1547,0.42700000000000005,NO
0.1997,0.6333,NO
0.1653,0.3258,NO
0.1536,0.2988,NO
0.1999,0.4218,NO
0.1989,1.0,YES
0.2045,0.4964,NO
0.2447,0.7607,YES
0.2519,0.3104,NO
0.2036,0.35200000000000004,NO
0.2033,0.0793,NO
0.0533,0.2816,NO
0.105,0.42700000000000005,NO
0.055999999999999994,0.2701,NO
0.1113,0.42700000000000005,NO
0.2256,0.2816,NO
0.0989,0.42700000000000005,NO
0.1879,0.83,YES
0.1445,1.0,YES
0.1901,0.8236,YES
0.3108,1.0,YES
0.2405,0.3347,NO
0.1657,1.0,YES
0.1331,0.3251,NO
0.0949,0.22399999999999998,NO
0.1339,0.057999999999999996,NO
0.22399999999999998,0.3237,NO
0.1967,0.4329,NO
0.1436,0.3237,NO
0.2079,0.4569,NO
0.1339,0.2376,NO
0.0967,0.1133,NO
0.2198,0.3271,NO
0.3428,0.8204,YES
0.2344,0.3581,NO
0.1736,1.0,YES
0.1331,0.2244,NO
0.0735,0.3673,NO
0.0647,0.0595,NO
0.204,0.1944,NO
0.1327,0.4327,NO
0.1655,0.318,NO
0.31,0.3529,NO
0.1309,0.1656,NO
0.2819,0.4378,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.3855,NO
0.2673,1.0,YES
0.1726,0.2345,NO
0.1439,0.307,NO
0.0769,0.0642,NO
0.1953,0.4809,NO
0.2342,0.5077,NO
0.2047,0.4809,NO
0.1823,0.6333,NO
0.1684,0.307,NO
0.1204,0.307,NO
0.1751,0.2513,NO
0.3579,1.0,YES
0.1828,0.4964,NO
0.2083,0.8232,YES
0.2252,0.3649,NO
0.2041,0.3649,NO
0.2007,0.3649,NO
0.0498,0.307,NO
0.1415,0.4809,NO
0.0515,0.307,NO
0.1207,0.4809,NO
0.1912,0.307,NO
0.14,0.4809,NO
0.4038,0.8232,YES
0.3494,1.0,YES
0.2799,0.8236,YES
0.2675,1.0,YES
0.2206,0.2799,NO
0.2003,1.0,YES
0.1168,0.3251,NO
0.0727,0.3071,NO
0.0714,0.2562,NO
0.10800000000000001,0.2809,NO
0.2886,0.5644,NO
0.1427,0.31,NO
0.0855,0.4162,NO
0.0605,0.3258,NO
0.0532,0.1712,NO
0.1421,0.2031,NO
0.4397,0.9462,YES
0.0607,0.2354,NO
0.2347,1.0,YES
0.2118,0.2522,NO
0.2048,0.35200000000000004,NO
0.2045,0.0793,NO
0.0849,0.2562,NO
0.1035,0.4327,NO
0.0824,0.318,NO
0.0975,0.3529,NO
0.1702,0.2562,NO
0.1518,0.4378,NO
0.3372,0.83,YES
0.3303,1.0,YES
0.314,0.7587,YES
0.1257,1.0,YES
0.1375,0.2502,NO
0.1128,1.0,YES
0.099,0.1542,NO
0.1069,0.2538,NO
0.0451,0.2465,NO
0.5095,1.0,YES
0.1431,0.6407,YES
0.1227,1.0,YES
0.2847,1.0,YES
0.2237,0.3433,NO
0.1065,0.2538,NO
0.3266,1.0,YES
0.0974,0.1531,NO
0.3289,1.0,YES
0.1059,0.1702,NO
0.2131,0.3885,NO
0.1496,0.474,NO
0.1474,0.3885,NO
0.0902,0.2771,NO
0.0993,1.0,YES
0.0875,0.2538,NO
0.2369,1.0,YES
0.2129,0.304,NO
0.1321,1.0,YES
0.1271,0.3369,NO
0.08,0.2702,NO
0.3025,0.6069,NO
0.12,0.2244,NO
0.3399,0.6026,YES
0.2516,0.5104,NO
0.2081,0.6773,YES
0.1799,0.3183,NO
0.1547,0.1382,NO
0.3595,1.0,YES
0.2156,0.2764,NO
0.1535,0.4032,NO
0.4159,1.0,YES
0.1827,0.2513,NO
0.1097,0.12,NO
0.5448,0.9273,YES
0.191,0.2414,NO
0.4381,0.7318,YES
0.1528,0.2942,NO
0.3264,0.5231,NO
0.3203,0.5231,NO
0.2648,0.5231,NO
0.171,0.1965,NO
0.21899999999999997,0.6395,NO
0.1398,0.1411,NO
0.3673,0.509,NO
0.1451,0.1725,NO
0.2637,0.6395,NO
0.1991,0.2311,NO
0.1784,0.3121,NO
0.3767,0.4676,NO
0.1917,0.2942,NO
0.3794,0.9027,YES
0.3359,0.4918,NO
0.2874,0.6631,YES
0.0798,0.3229,NO
0.0364,0.2544,NO
0.2475,1.0,YES
0.2794,1.0,YES
0.2232,1.0,YES
0.2213,1.0,YES
0.1233,0.3014,NO
0.0474,0.3014,NO
0.2799,0.6062,YES
0.2328,0.6231,NO
0.2608,0.4491,YES
0.1095,0.5486,NO
0.2365,0.2531,NO
0.2061,0.2701,NO
0.2048,0.1091,NO
0.0456,0.3014,NO
0.1795,1.0,YES
0.0442,0.3014,NO
0.27,1.0,YES
0.1224,0.304,NO
0.1913,1.0,YES
0.2397,0.5048,NO
0.2111,0.6231,NO
0.2935,0.5131,NO
0.1155,0.6231,NO
0.243,0.6062,YES
0.1959,0.6231,NO
0.198,0.4367,YES
0.1636,0.2393,NO
0.1646,0.1287,NO
0.3881,0.6681,YES
0.1762,0.24,NO
0.1649,0.23600000000000002,NO
0.4197,0.8554,YES
0.1681,0.2676,NO
0.153,0.1058,NO
0.4738,0.7795,YES
0.159,0.3096,NO
0.493,0.7795,YES
