DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_45,Associated
0.0737,0.3496,NO
0.0652,0.2852,NO
0.1144,0.5722,NO
0.2164,0.5644,NO
0.0671,0.31,NO
0.0906,0.6333,NO
0.0589,0.4164,NO
0.0679,0.2852,NO
0.1689,0.2289,NO
0.2469,1.0,YES
0.0616,0.4964,NO
0.33799999999999997,1.0,YES
0.2427,0.3555,NO
0.2231,0.3555,NO
0.2223,0.3555,NO
0.1142,0.2358,NO
0.0706,0.36,NO
0.1109,0.2852,NO
0.0747,0.2383,NO
0.2179,0.2852,NO
0.1147,0.3078,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2502,NO
0.0716,1.0,YES
0.1205,0.3251,NO
0.1072,0.6914,YES
0.2444,0.6914,YES
0.3362,0.2179,NO
0.1579,0.2796,NO
0.1148,0.1563,NO
0.1112,0.2796,NO
0.3947,0.6914,YES
0.0957,0.6914,YES
0.1364,0.2069,NO
0.1056,0.1092,NO
0.0981,0.2069,NO
0.1058,0.0364,NO
0.1797,0.3148,NO
0.1526,0.3148,NO
0.1551,0.3148,NO
0.2811,0.5717,YES
0.0766,0.2796,NO
0.1126,0.6914,YES
0.0341,0.1687,NO
0.3399,0.6914,YES
0.0412,0.127,NO
0.1212,0.0942,NO
0.0769,0.1582,NO
0.1235,0.1358,NO
0.0802,0.0623,NO
0.1903,0.2796,NO
0.1119,0.1151,NO
0.1008,0.2796,NO
0.0886,0.3496,NO
0.1534,0.294,NO
0.1331,0.5722,NO
0.2865,0.5644,NO
0.1512,0.31,NO
0.1666,0.6333,NO
0.1465,0.4164,NO
0.0509,0.294,NO
0.2187,0.3028,NO
0.4574,1.0,YES
0.1603,0.4964,NO
0.2015,1.0,YES
0.205,0.2728,NO
0.2168,0.2445,NO
0.2136,0.2728,NO
0.1919,0.3167,NO
0.1533,0.4175,NO
0.1268,0.294,NO
0.1947,0.3405,NO
0.1755,0.294,NO
0.2202,0.3078,NO
0.4465,1.0,YES
