DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_68,Associated
0.0737,0.0691,NO
0.0652,0.5049,NO
0.1144,0.8115,NO
0.2164,0.6997,NO
0.0671,0.7948,NO
0.0906,1.1334,NO
0.0589,1.148,NO
0.0679,0.1677,NO
0.1689,0.6648,NO
0.2469,2.9787,YES
0.0616,1.0995,NO
0.33799999999999997,2.8446,YES
0.2427,0.8801,NO
0.2231,1.2224,NO
0.2223,1.0387,NO
0.1142,0.9066,NO
0.0706,1.0291,NO
0.1109,0.1943,NO
0.0747,1.0548,NO
0.2179,0.8058,NO
0.1147,0.7758,NO
0.0779,2.7585,YES
0.0804,2.8318,YES
0.1668,3.2704,YES
0.24,2.9384,YES
0.1573,0.4762,NO
0.0716,3.3598,YES
0.1205,0.7689,NO
0.1072,0.9654,YES
0.2444,1.5857,YES
0.3362,1.0345,NO
0.1579,0.5382,NO
0.1148,0.5055,NO
0.1112,0.7734,NO
0.3947,1.9942,YES
0.0957,0.9153,YES
0.1364,0.8261,NO
0.1056,0.3152,NO
0.0981,0.8839,NO
0.1058,0.441,NO
0.1797,0.434,NO
0.1526,0.8016,NO
0.1551,0.5174,NO
0.2811,1.5718,YES
0.0766,0.6525,NO
0.1126,1.0481,YES
0.0341,0.6686,NO
0.3399,1.9697,YES
0.0412,0.5335,NO
0.1212,0.2897,NO
0.0769,0.4625,NO
0.1235,0.4804,NO
0.0802,0.5233,NO
0.1903,0.8461,NO
0.1119,0.3958,NO
0.1008,0.8305,NO
0.0886,0.0774,NO
0.1534,0.5549,NO
0.1331,1.5865,NO
0.2865,1.453,NO
0.1512,1.5446,NO
0.1666,1.8035,NO
0.1465,1.012,NO
0.0509,0.187,NO
0.2187,0.6879,NO
0.4574,3.8369999999999997,YES
0.1603,1.2015,NO
0.2015,3.5867,YES
0.205,0.5817,NO
0.2168,0.9405,NO
0.2136,0.5055,NO
0.1919,0.9342,NO
0.1533,2.1338,NO
0.1268,0.252,NO
0.1947,2.1229,NO
0.1755,0.7649,NO
0.2202,1.5502,NO
0.4465,3.2493,YES
0.4252,3.2971,YES
0.3653,4.105,YES
0.1771,3.5833,YES
0.1659,1.1584,NO
0.1927,4.3278,YES
0.1251,0.9613,NO
0.1303,2.2086,YES
0.1814,2.3691,YES
0.3356,1.7419,NO
0.1662,0.7732,NO
0.1507,0.7685,NO
0.1441,1.3386,NO
0.3435,3.0496,YES
0.1243,2.1414,YES
0.1731,1.1572,NO
0.0952,1.071,NO
0.1364,1.5491,NO
0.0887,1.1396,NO
0.2289,0.9683,NO
0.2088,1.2823,NO
0.2075,0.9832,NO
0.1923,2.455,YES
0.0927,1.2923,NO
0.0821,2.3246,YES
0.0311,1.1431,NO
0.3081,3.5904,YES
0.0406,0.8408,NO
0.1251,0.9601,NO
0.091,1.1520000000000001,NO
0.11800000000000001,1.2621,NO
0.1053,1.2428,NO
0.2201,1.4043,NO
0.1351,1.0512,NO
0.1328,0.9714,NO
0.0724,0.2866,NO
0.0244,0.2584,NO
0.1404,1.5439,YES
0.3348,4.6684,YES
0.2937,4.5961,YES
0.14300000000000002,1.1597,YES
0.0826,1.1618,NO
0.013000000000000001,0.3274,NO
0.2103,1.1517,YES
0.1395,0.5217,NO
0.1325,2.206,YES
0.1443,0.3354,NO
0.2165,0.4947,NO
0.1934,0.983,NO
0.1934,0.5023,NO
0.0572,0.6068,NO
0.2318,4.6663,YES
0.0556,0.2904,NO
0.3609,4.3617,YES
0.1417,0.9429,NO
0.255,3.7619,YES
0.0522,0.6488,NO
0.0677,0.7113,NO
0.1439,1.4577,NO
0.0494,0.4943,NO
0.1715,1.3980000000000001,YES
0.0964,1.0417,NO
0.1343,1.6033,YES
0.1544,0.0793,NO
0.0732,0.5482,NO
0.1975,1.8339,NO
0.2582,1.2006,NO
0.1977,1.2869,NO
0.1701,2.043,NO
0.1684,1.0777,NO
0.1225,0.2101,NO
0.1458,1.0341,NO
0.4028,3.7469,YES
0.1577,1.2297,NO
0.2904,3.5621,YES
0.1987,0.6169,NO
0.1756,1.0259,NO
0.1689,0.581,NO
0.054000000000000006,0.8740000000000001,NO
0.1469,1.8937,NO
0.0547,0.2002,NO
0.1082,1.9555,NO
0.2019,0.5751,NO
0.1293,1.3652,NO
0.3897,3.0989,YES
0.3612,3.3117,YES
0.2791,4.0966,YES
0.2894,3.5527,YES
0.2226,1.406,NO
0.1753,4.1922,YES
0.0979,1.3233,NO
0.0985,0.1428,NO
0.0774,0.1765,NO
0.1069,1.3102,YES
0.3647,5.0283,YES
0.2531,4.8735,YES
0.1331,1.3632,YES
0.0885,1.1279,NO
0.0604,0.2553,NO
0.2068,1.3153,YES
0.2598,1.2081,NO
0.106,2.2962,YES
0.1459,0.6688,NO
0.2252,0.9825,NO
0.2571,1.3835,NO
0.2375,1.0389,NO
0.1453,0.4383,NO
0.2245,5.0579,YES
0.141,0.0835,NO
0.2623,4.3091,YES
0.142,0.4659,NO
0.2555,4.0028,YES
0.2049,1.3255,NO
0.2206,1.3683,NO
0.2228,1.8865,NO
0.1032,0.9147,NO
0.1461,1.3024,YES
0.1116,1.5587,NO
0.1326,2.1629,YES
0.1415,0.5071,NO
0.0745,0.725,NO
0.2381,1.7081,NO
0.19,0.7975,NO
