DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_11,Associated
0.0737,1.2932,NO
0.0652,0.68,NO
0.1144,1.3605,NO
0.2164,1.2589,NO
0.0671,1.285,NO
0.0906,1.817,NO
0.0589,0.7140000000000001,NO
0.0679,0.5036,NO
0.1689,1.3524,NO
0.2469,2.529,YES
0.0616,1.3555,NO
0.33799999999999997,2.4032,YES
0.2427,0.8549,NO
0.2231,1.6977,NO
0.2223,0.5553,NO
0.1142,0.7908,NO
0.0706,1.3802,NO
0.1109,1.2288,NO
0.0747,1.0481,NO
0.2179,0.7095,NO
0.1147,0.8078,NO
0.0779,2.0856,YES
0.0804,2.2697,YES
0.1668,2.3106,YES
0.24,2.3272,YES
0.1573,1.777,NO
0.0716,2.5986,YES
0.1205,1.0184,NO
0.1072,3.1886,YES
0.2444,2.0953,YES
0.3362,0.7513,NO
0.1579,0.3704,NO
0.1148,0.4894,NO
0.1112,0.9362,NO
0.3947,1.5073,YES
0.0957,1.551,YES
0.1364,0.9636,NO
0.1056,0.9579,NO
0.0981,0.8399,NO
0.1058,0.9197,NO
0.1797,0.3503,NO
0.1526,1.3225,NO
0.1551,0.2391,NO
0.2811,2.194,YES
0.0766,0.7062,NO
0.1126,3.0205,YES
0.0341,0.4127,NO
0.3399,1.828,YES
0.0412,0.4636,NO
0.1212,0.8801,NO
0.0769,0.8329,NO
0.1235,1.0493,NO
0.0802,0.8849,NO
0.1903,1.16,NO
0.1119,1.3026,NO
0.1008,0.5436,NO
0.0886,0.9724,NO
0.1534,0.7025,NO
0.1331,1.5289,NO
0.2865,1.385,NO
0.1512,1.3439,NO
0.1666,2.3409,NO
0.1465,0.7115,NO
0.0509,0.3666,NO
0.2187,1.6469999999999998,NO
0.4574,3.6277,YES
0.1603,1.6214,NO
0.2015,3.2014,YES
0.205,0.8883,NO
0.2168,1.895,NO
0.2136,0.3959,NO
0.1919,0.52,NO
0.1533,1.2365,NO
0.1268,1.3343,NO
0.1947,0.9142,NO
0.1755,0.4875,NO
0.2202,0.728,NO
0.4465,3.1807,YES
0.4252,3.5492,YES
0.3653,3.7461,YES
0.1771,3.0638,YES
0.1659,2.1569,NO
0.1927,3.0421,YES
0.1251,1.1315,NO
0.1303,2.6234,YES
0.1814,2.157,YES
0.3356,1.0319,NO
0.1662,0.8032,NO
0.1507,0.9132,NO
0.1441,1.2279,NO
0.3435,1.4066,YES
0.1243,1.1375,YES
0.1731,0.9928,NO
0.0952,0.6887,NO
0.1364,1.1319,NO
0.0887,0.4777,NO
0.2289,0.9814,NO
0.2088,1.895,NO
0.2075,0.6329,NO
0.1923,1.4698,YES
0.0927,0.9731,NO
0.0821,2.3129,YES
0.0311,0.6934,NO
0.3081,1.3619999999999999,YES
0.0406,0.5525,NO
0.1251,0.3725,NO
0.091,0.3665,NO
0.11800000000000001,0.86,NO
0.1053,0.4481,NO
0.2201,1.4111,NO
0.1351,0.9731,NO
0.1328,1.1952,NO
0.0724,1.4829,NO
0.0244,0.5555,NO
0.1404,1.2584,YES
0.3348,3.1219,YES
0.2937,2.952,YES
0.14300000000000002,2.4661,YES
0.0826,0.6389,NO
0.013000000000000001,0.5597,NO
0.2103,2.0832,YES
0.1395,1.3918,NO
0.1325,1.6851,YES
0.1443,0.9892,NO
0.2165,1.2693,NO
0.1934,2.1252,NO
0.1934,0.7235,NO
0.0572,0.6284,NO
0.2318,4.546,YES
0.0556,0.8798,NO
0.3609,4.1109,YES
0.1417,0.4934,NO
0.255,3.0008,YES
0.0522,1.0138,NO
0.0677,1.0,NO
0.1439,1.8372,NO
0.0494,0.9762,NO
0.1715,1.4755,YES
0.0964,1.4949,NO
0.1343,1.8726,YES
0.1544,0.8425,NO
0.0732,0.3151,NO
0.1975,1.746,NO
0.2582,1.7489,NO
0.1977,1.6266,NO
0.1701,2.7402,NO
0.1684,0.6281,NO
0.1225,0.433,NO
0.1458,1.9644,NO
0.4028,3.5132,YES
0.1577,1.8062,NO
0.2904,3.1161,YES
0.1987,0.7309,NO
0.1756,1.7496,NO
0.1689,0.2612,NO
0.054000000000000006,0.4743,NO
0.1469,1.756,NO
0.0547,1.1676,NO
0.1082,1.3430000000000002,NO
0.2019,0.4448,NO
0.1293,1.2193,NO
0.3897,3.287,YES
0.3612,3.6713,YES
0.2791,3.6974,YES
0.2894,2.9849,YES
0.2226,2.3393,NO
0.1753,3.1249,YES
0.0979,1.454,NO
0.0985,1.0879,NO
0.0774,0.5571,NO
0.1069,0.9961,YES
0.3647,2.7516,YES
0.2531,2.4984,YES
0.1331,2.0213,YES
0.0885,0.6321,NO
0.0604,0.2433,NO
0.2068,1.3879,YES
0.2598,1.5435,NO
0.106,1.1476,YES
0.1459,0.9962,NO
0.2252,0.7826,NO
0.2571,1.5609,NO
0.2375,0.4354,NO
0.1453,0.3273,NO
0.2245,3.0982,YES
0.141,0.6154,NO
0.2623,3.0233,YES
0.142,0.1331,NO
0.2555,2.1984,YES
0.2049,1.3376,NO
0.2206,1.1806,NO
0.2228,2.0725,NO
0.1032,0.855,NO
0.1461,1.12,YES
0.1116,1.3294,NO
0.1326,1.1071,YES
0.1415,1.0055,NO
0.0745,0.7855,NO
0.2381,1.1971,NO
0.19,0.6886,NO
0.1547,1.0164,NO
0.1997,1.5585,NO
0.1653,0.6381,NO
0.1536,0.4381,NO
0.1999,1.1593,NO
0.1989,2.0592,YES
0.2045,1.1275,NO
0.2447,2.1699,YES
0.2519,0.6591,NO
0.2036,1.2992,NO
0.2033,0.3561,NO
0.0533,0.5175,NO
0.105,0.9753,NO
0.055999999999999994,1.0664,NO
0.1113,0.8461,NO
0.2256,0.6828,NO
0.0989,0.5899,NO
0.1879,2.0348,YES
0.1445,2.0229,YES
0.1901,1.8,YES
0.3108,2.2136,YES
0.2405,1.3579,NO
0.1657,2.3323,YES
0.1331,0.6384,NO
0.0949,0.9938,NO
0.1339,0.6566,NO
0.22399999999999998,2.0981,NO
0.1967,1.6753,NO
0.1436,1.7276,NO
0.2079,3.0058,NO
0.1339,0.7329,NO
0.0967,0.3115,NO
0.2198,2.0561,NO
0.3428,3.321,YES
0.2344,1.8263,NO
0.1736,2.983,YES
0.1331,0.4366,NO
0.0735,1.7117,NO
0.0647,0.1454,NO
0.204,0.4201,NO
0.1327,1.9423,NO
0.1655,1.2084,NO
0.31,1.8704,NO
0.1309,0.4567,NO
0.2819,1.354,NO
0.4042,3.2585,YES
0.3296,3.2714,YES
0.4941,3.5687,YES
0.1783,3.0209,YES
0.193,2.1657,NO
0.2673,3.1735,YES
0.1726,1.6006,NO
0.1439,1.1393,NO
0.0769,0.7184,NO
0.1953,2.3694,NO
0.2342,1.8025,NO
0.2047,1.79,NO
0.1823,3.2513,NO
0.1684,0.612,NO
0.1204,0.4758,NO
0.1751,2.2893,NO
0.3579,3.8549,YES
0.1828,2.215,NO
0.2083,3.5253,YES
0.2252,0.7845,NO
0.2041,1.8666,NO
0.2007,0.359,NO
0.0498,0.358,NO
0.1415,1.7591,NO
0.0515,1.2266,NO
0.1207,1.6198,NO
0.1912,0.5706,NO
0.14,1.1713,NO
0.4038,3.5378,YES
0.3494,3.7438,YES
0.2799,3.9644,YES
0.2675,3.4198,YES
0.2206,2.5864,NO
0.2003,3.6828,YES
0.1168,1.4956,NO
0.0727,0.5691,NO
0.0714,0.4553,NO
0.10800000000000001,1.3098,NO
0.2886,0.7339,NO
0.1427,0.7340000000000001,NO
0.0855,1.7639,NO
0.0605,0.5656,NO
0.0532,0.1567,NO
0.1421,1.2958,NO
0.4397,2.8739,YES
0.0607,1.1025,NO
0.2347,2.5549,YES
0.2118,0.3075,NO
0.2048,1.0679,NO
0.2045,0.0364,NO
0.0849,0.3375,NO
0.1035,0.7513,NO
0.0824,0.9551,NO
0.0975,0.7029,NO
0.1702,0.3686,NO
0.1518,0.6305,NO
0.3372,2.8929,YES
0.3303,2.9225,YES
0.314,2.9108,YES
0.1257,2.528,YES
0.1375,1.4887,NO
0.1128,2.4109,YES
0.099,0.5138,NO
0.1069,0.9935,NO
0.0451,0.5722,NO
0.5095,4.9087,YES
0.1431,1.9880000000000002,YES
0.1227,1.9824,YES
0.2847,5.9236,YES
0.2237,0.7868,NO
0.1065,0.5424,NO
0.3266,5.0524,YES
0.0974,1.1599,NO
0.3289,4.6385,YES
0.1059,0.5082,NO
0.2131,0.6102,NO
0.1496,1.3624,NO
0.1474,0.3264,NO
0.0902,0.4657,NO
0.0993,2.0984,YES
0.0875,0.3734,NO
0.2369,1.8502,YES
0.2129,0.4658,NO
0.1321,1.7264,YES
0.1271,0.6044,NO
0.08,0.7784,NO
0.3025,2.1556,NO
0.12,0.6782,NO
0.3399,4.9815,YES
0.2516,2.1197,NO
0.2081,4.4009,YES
0.1799,1.0644,NO
0.1547,0.4868,NO
0.3595,3.1761,YES
0.2156,1.3029,NO
0.1535,1.2218,NO
0.4159,3.4059,YES
0.1827,1.0208,NO
0.1097,0.4827,NO
0.5448,3.1133,YES
0.191,1.1276,NO
0.4381,2.9745,YES
