DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_23,Associated
0.0737,0.58,NO
0.0652,0.5069,NO
0.1144,0.4798,NO
0.2164,0.6563,NO
0.0671,0.245,NO
0.0906,0.5233,NO
0.0589,1.2824,NO
0.0679,0.2643,NO
0.1689,0.7954,NO
0.2469,3.0141,YES
0.0616,0.3931,NO
0.33799999999999997,2.823,YES
0.2427,0.5279,NO
0.2231,0.5476,NO
0.2223,0.705,NO
0.1142,0.4657,NO
0.0706,0.7281,NO
0.1109,0.5719,NO
0.0747,0.2765,NO
0.2179,0.7793,NO
0.1147,0.9163,NO
0.0779,2.7817,YES
0.0804,2.8483,YES
0.1668,3.2883,YES
0.24,2.8146,YES
0.1573,0.5078,NO
0.0716,1.5739,YES
0.1205,0.1637,NO
0.1072,1.515,YES
0.2444,1.4921,YES
0.3362,0.7833,NO
0.1579,0.3959,NO
0.1148,0.3606,NO
0.1112,1.0219,NO
0.3947,1.5813,YES
0.0957,1.4001,YES
0.1364,0.9305,NO
0.1056,0.5839,NO
0.0981,0.97,NO
0.1058,0.5817,NO
0.1797,0.1127,NO
0.1526,0.3421,NO
0.1551,0.1785,NO
0.2811,2.4804,YES
0.0766,0.6644,NO
0.1126,1.6421,YES
0.0341,0.6105,NO
0.3399,2.4615,YES
0.0412,0.4254,NO
0.1212,0.5917,NO
0.0769,0.6722,NO
0.1235,1.0385,NO
0.0802,0.5921,NO
0.1903,1.0001,NO
0.1119,0.5318,NO
0.1008,0.9903,NO
0.0886,0.4828,NO
0.1534,0.5703,NO
0.1331,1.5911,NO
0.2865,1.1677,NO
0.1512,0.8109,NO
0.1666,1.6757,NO
0.1465,1.4492,NO
0.0509,0.1689,NO
0.2187,1.7138,NO
0.4574,3.0195,YES
0.1603,1.5027,NO
0.2015,3.3738,YES
0.205,0.3858,NO
0.2168,0.4764,NO
0.2136,0.5124,NO
0.1919,0.3904,NO
0.1533,1.0106,NO
0.1268,0.545,NO
0.1947,0.5846,NO
0.1755,0.7712,NO
0.2202,1.3265,NO
0.4465,3.4096,YES
0.4252,3.6079,YES
0.3653,3.765,YES
0.1771,3.2864,YES
0.1659,1.0541,NO
0.1927,2.2962,YES
0.1251,0.6707,NO
0.1303,2.1314,YES
0.1814,2.3927,YES
0.3356,1.8723,NO
0.1662,0.9686,NO
0.1507,0.9165,NO
0.1441,2.249,NO
0.3435,2.2839,YES
0.1243,2.1578,YES
0.1731,2.5859,NO
0.0952,0.5378,NO
0.1364,2.1891,NO
0.0887,0.8702,NO
0.2289,1.5275,NO
0.2088,1.8023,NO
0.2075,1.6504,NO
0.1923,3.1454,YES
0.0927,1.2652,NO
0.0821,2.4325,YES
0.0311,0.9609,NO
0.3081,3.2149,YES
0.0406,0.7482,NO
