DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_VSM_93,Associated
0.0737,0.2076,NO
0.0652,0.0141,NO
0.1144,0.6593,NO
0.2164,0.3895,NO
0.0671,0.3369,NO
0.0906,0.1766,NO
0.0589,0.4224,NO
0.0679,0.2201,NO
0.1689,0.0965,NO
0.2469,1.0,YES
0.0616,0.1766,NO
0.33799999999999997,1.0,YES
0.2427,0.0412,NO
0.2231,0.2085,NO
0.2223,0.1733,NO
0.1142,0.2201,NO
0.0706,0.5985,NO
0.1109,0.2886,NO
0.0747,0.1949,NO
0.2179,0.2508,NO
0.1147,0.4715,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.5187,NO
0.0716,1.0,YES
0.1205,0.3939,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.2664,NO
0.1148,0.2152,NO
0.1112,0.4007,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2853,NO
0.1056,0.0565,NO
0.0981,0.4007,NO
0.1058,0.0442,NO
0.1797,0.1044,NO
0.1526,0.0923,NO
0.1551,0.1158,NO
0.2811,1.0,YES
0.0766,0.2664,NO
0.1126,1.0,YES
0.0341,0.2664,NO
0.3399,1.0,YES
0.0412,0.1603,NO
0.1212,0.1688,NO
0.0769,0.0786,NO
0.1235,0.1927,NO
0.0802,0.0929,NO
0.1903,0.4007,NO
0.1119,0.2181,NO
0.1008,0.4007,NO
0.0886,0.21600000000000003,NO
0.1534,0.21600000000000003,NO
0.1331,0.3233,NO
0.2865,0.3744,NO
0.1512,0.3369,NO
0.1666,0.1657,NO
0.1465,0.2687,NO
0.0509,0.21600000000000003,NO
0.2187,0.1539,NO
0.4574,1.0,YES
0.1603,0.1657,NO
0.2015,1.0,YES
0.205,0.0348,NO
0.2168,0.2085,NO
0.2136,0.1733,NO
0.1919,0.21600000000000003,NO
0.1533,0.5752,NO
0.1268,0.2774,NO
0.1947,0.2316,NO
0.1755,0.2508,NO
0.2202,0.4531,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2544,NO
0.1927,1.0,YES
0.1251,0.2473,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.3149,NO
0.1662,0.3722,NO
0.1507,0.3006,NO
0.1441,0.4653,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.4653,NO
0.0952,0.4197,NO
0.1364,0.4436,NO
0.0887,0.1656,NO
0.2289,0.647,NO
0.2088,0.7021,NO
0.2075,0.7021,NO
0.1923,1.0,YES
0.0927,0.3722,NO
0.0821,1.0,YES
0.0311,0.3722,NO
0.3081,1.0,YES
0.0406,0.2632,NO
0.1251,0.2458,NO
0.091,0.4197,NO
0.11800000000000001,0.4197,NO
0.1053,0.2304,NO
0.2201,0.4653,NO
0.1351,0.4197,NO
0.1328,0.4653,NO
0.0724,0.1047,NO
0.0244,0.0973,NO
0.1404,0.7346,YES
