DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_94,Associated
0.0737,0.7252,NO
0.0652,0.5608,NO
0.1144,0.4089,NO
0.2164,1.3686,NO
0.0671,1.2914,NO
0.0906,0.5585,NO
0.0589,0.7931,NO
0.0679,0.6167,NO
0.1689,0.5042,NO
0.2469,2.5394,YES
0.0616,0.5213,NO
0.33799999999999997,2.4023,YES
0.2427,0.2951,NO
0.2231,0.3518,NO
0.2223,0.3715,NO
0.1142,0.7264,NO
0.0706,1.4862,NO
0.1109,0.9377,NO
0.0747,0.96,NO
0.2179,0.5226,NO
0.1147,1.3584,NO
0.0779,2.5811,YES
0.0804,2.6455,YES
0.1668,2.5218,YES
0.24,1.9882,YES
0.1573,0.7218,NO
0.0716,2.4356,YES
0.1205,0.7504,NO
0.1072,3.1482,YES
0.2444,2.376,YES
0.3362,1.1113,NO
0.1579,0.3685,NO
0.1148,0.3968,NO
0.1112,0.9092,NO
0.3947,2.5581,YES
0.0957,3.063,YES
0.1364,0.7193,NO
0.1056,0.5929,NO
0.0981,0.9516,NO
0.1058,0.6764,NO
0.1797,1.1484,NO
0.1526,1.17,NO
0.1551,1.14,NO
0.2811,1.5034,YES
0.0766,0.5674,NO
0.1126,3.0635,YES
0.0341,0.5322,NO
0.3399,3.1575,YES
0.0412,0.3594,NO
0.1212,0.7978,NO
0.0769,0.6527,NO
0.1235,0.6198,NO
0.0802,0.7171,NO
0.1903,0.7895,NO
0.1119,0.8919,NO
0.1008,0.6329,NO
0.0886,0.3056,NO
0.1534,0.0843,NO
0.1331,0.6258,NO
0.2865,1.1262,NO
0.1512,1.3179,NO
0.1666,0.8456,NO
0.1465,0.5272,NO
0.0509,0.2507,NO
0.2187,0.5838,NO
0.4574,3.2812,YES
0.1603,0.8339,NO
0.2015,2.8204,YES
0.205,0.4954,NO
0.2168,0.4431,NO
0.2136,0.4977,NO
0.1919,0.4572,NO
0.1533,1.3868,NO
0.1268,0.4604,NO
0.1947,1.1755,NO
0.1755,0.0356,NO
0.2202,1.1594,NO
0.4465,3.1856,YES
0.4252,3.0841,YES
0.3653,2.9525,YES
0.1771,2.1662,YES
0.1659,0.6684,NO
0.1927,3.0267,YES
0.1251,0.6733,NO
0.1303,2.5565,YES
0.1814,1.8983,YES
0.3356,2.2896,NO
0.1662,0.7582,NO
0.1507,1.0395,NO
0.1441,2.168,NO
0.3435,2.4458,YES
0.1243,2.3193,YES
0.1731,1.889,NO
0.0952,0.4887,NO
0.1364,2.2459,NO
0.0887,0.5204,NO
0.2289,1.5343,NO
0.2088,1.2416,NO
0.2075,1.0463,NO
0.1923,1.5192,YES
0.0927,1.0401,NO
0.0821,2.2932,YES
0.0311,1.0045,NO
0.3081,2.2638,YES
0.0406,1.1539,NO
0.1251,0.8832,NO
0.091,1.0628,NO
0.11800000000000001,0.9881,NO
0.1053,0.8955,NO
0.2201,2.1821,NO
0.1351,1.1136,NO
0.1328,2.2067,NO
0.0724,0.6146,NO
0.0244,0.5764,NO
0.1404,1.756,YES
0.3348,4.3688,YES
0.2937,4.5166,YES
0.14300000000000002,2.0809,YES
0.0826,0.9471,NO
0.013000000000000001,0.1761,NO
0.2103,2.3854,YES
0.1395,0.5222,NO
0.1325,2.0994,YES
0.1443,0.5232,NO
0.2165,0.9653,NO
0.1934,0.7768,NO
0.1934,1.2507,NO
0.0572,0.4292,NO
0.2318,5.0028,YES
0.0556,0.4386,NO
0.3609,4.2817,YES
0.1417,0.17300000000000001,NO
0.255,4.4698,YES
0.0522,1.3767,NO
0.0677,1.2367,NO
0.1439,1.1451,NO
0.0494,1.0981,NO
0.1715,2.5912,YES
0.0964,1.2775,NO
0.1343,2.9203,YES
0.1544,0.9401,NO
0.0732,0.5534,NO
0.1975,0.857,NO
0.2582,0.8247,NO
0.1977,0.9884,NO
0.1701,0.9413,NO
0.1684,1.033,NO
0.1225,0.8803,NO
0.1458,0.6987,NO
0.4028,3.5868,YES
0.1577,0.9371,NO
0.2904,3.1846,YES
0.1987,0.7821,NO
0.1756,0.6903,NO
0.1689,0.5125,NO
0.054000000000000006,0.7558,NO
0.1469,1.1159999999999999,NO
0.0547,1.1295,NO
0.1082,0.682,NO
0.2019,0.7070000000000001,NO
0.1293,1.033,NO
0.3897,3.4210000000000003,YES
0.3612,3.4567,YES
0.2791,3.2863,YES
0.2894,2.6798,YES
0.2226,0.654,NO
0.1753,3.3367,YES
0.0979,0.7247,NO
0.0985,0.6518,NO
0.0774,0.6727,NO
0.1069,1.1243,YES
0.3647,4.1592,YES
0.2531,4.212,YES
0.1331,1.4517,YES
0.0885,0.9804,NO
0.0604,0.2333,NO
0.2068,1.6461,YES
0.2598,0.5858,NO
0.106,1.3811,YES
0.1459,0.6476,NO
0.2252,1.1188,NO
0.2571,1.0778,NO
0.2375,1.7053,NO
0.1453,0.3756,NO
0.2245,4.6654,YES
0.141,0.4857,NO
0.2623,4.102,YES
0.142,0.3537,NO
0.2555,4.1072,YES
0.2049,1.2424,NO
0.2206,1.0785,NO
0.2228,0.9665,NO
0.1032,1.0425,NO
0.1461,1.7993,YES
0.1116,1.2172,NO
0.1326,1.8344,YES
0.1415,0.41200000000000003,NO
0.0745,0.4002,NO
0.2381,0.8316,NO
0.19,1.0074,NO
0.1547,1.073,NO
0.1997,1.0715,NO
0.1653,0.5720000000000001,NO
0.1536,0.3168,NO
0.1999,0.9944,NO
0.1989,2.2252,YES
0.2045,1.0671,NO
0.2447,2.0507,YES
0.2519,0.7699,NO
0.2036,0.8273,NO
0.2033,0.7179,NO
0.0533,0.222,NO
0.105,1.0958,NO
0.055999999999999994,0.4853,NO
0.1113,0.6481,NO
0.2256,0.2565,NO
0.0989,0.9979,NO
0.1879,2.1527,YES
0.1445,2.3406,YES
0.1901,2.4943,YES
0.3108,2.0865,YES
0.2405,0.9518,NO
0.1657,2.5143,YES
0.1331,0.8877,NO
0.0949,0.5452,NO
0.1339,0.5347,NO
0.22399999999999998,1.3912,NO
0.1967,1.4785,NO
0.1436,1.7095,NO
0.2079,1.8193,NO
0.1339,1.1887,NO
0.0967,0.5117,NO
0.2198,1.4127,NO
0.3428,3.9008,YES
0.2344,1.7581,NO
0.1736,3.3601,YES
0.1331,0.7971,NO
0.0735,0.7317,NO
0.0647,0.361,NO
0.204,0.7977,NO
0.1327,1.923,NO
0.1655,0.7593,NO
0.31,1.4278,NO
0.1309,0.3386,NO
0.2819,1.8544,NO
0.4042,3.7595,YES
0.3296,3.8099,YES
0.4941,3.6748,YES
0.1783,3.2513,YES
0.193,1.3117,NO
0.2673,3.7671,YES
0.1726,1.5347,NO
0.1439,0.6014,NO
0.0769,0.6597,NO
0.1953,1.3466,NO
0.2342,1.7878,NO
0.2047,1.8199,NO
0.1823,1.8633,NO
0.1684,1.1062,NO
0.1204,0.5496,NO
0.1751,1.5038,NO
0.3579,3.7637,YES
0.1828,1.8289,NO
0.2083,3.2947,YES
0.2252,0.8336,NO
0.2041,0.8153,NO
0.2007,0.7959999999999999,NO
0.0498,0.6944,NO
0.1415,1.9103,NO
0.0515,0.8217,NO
0.1207,1.5997,NO
0.1912,0.4147,NO
0.14,1.774,NO
0.4038,3.8537,YES
0.3494,3.6738,YES
0.2799,3.8395,YES
0.2675,2.9547,YES
0.2206,1.7069,NO
0.2003,3.832,YES
0.1168,1.6911,NO
0.0727,0.5963,NO
0.0714,0.4331,NO
0.10800000000000001,0.8256,NO
0.2886,1.153,NO
0.1427,1.2634,NO
0.0855,1.1585,NO
0.0605,1.0812,NO
0.0532,0.5876,NO
0.1421,0.6661,NO
0.4397,3.6474,YES
0.0607,1.0759,NO
0.2347,3.1827,YES
0.2118,0.6855,NO
0.2048,0.7037,NO
0.2045,0.5893,NO
0.0849,0.6084,NO
0.1035,1.2007,NO
0.0824,0.7616,NO
0.0975,1.0601,NO
0.1702,0.4934,NO
0.1518,1.2364,NO
0.3372,3.3228,YES
0.3303,3.1794,YES
0.314,3.3265,YES
0.1257,2.6822,YES
0.1375,0.5555,NO
0.1128,3.417,YES
0.099,0.42,NO
0.1069,0.6415,NO
0.0451,1.3439,NO
0.5095,4.6247,YES
0.1431,1.2168,YES
0.1227,1.2128,YES
0.2847,5.1339999999999995,YES
0.2237,1.5771,NO
0.1065,0.536,NO
0.3266,4.7542,YES
0.0974,0.2438,NO
0.3289,5.3647,YES
0.1059,0.2627,NO
0.2131,1.1928,NO
0.1496,0.7378,NO
0.1474,0.4743,NO
0.0902,0.6321,NO
0.0993,1.5026,YES
0.0875,0.4568,NO
0.2369,1.6202,YES
