DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_94,Associated
0.0737,0.1341,NO
0.0652,0.1109,NO
0.1144,0.6593,NO
0.2164,0.1241,NO
0.0671,0.2874,NO
0.0906,0.6773,NO
0.0589,0.1963,NO
0.0679,0.0324,NO
0.1689,0.2216,NO
0.2469,1.0,YES
0.0616,0.7077,NO
0.33799999999999997,1.0,YES
0.2427,0.3701,NO
0.2231,0.3701,NO
0.2223,0.3691,NO
0.1142,0.1438,NO
0.0706,0.2942,NO
0.1109,0.044000000000000004,NO
0.0747,0.4343,NO
0.2179,0.2508,NO
0.1147,0.3295,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.5187,NO
0.0716,1.0,YES
0.1205,0.1105,NO
0.1072,0.9432,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.2455,NO
0.1148,0.2152,NO
0.1112,0.4007,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2559,NO
0.1056,0.0947,NO
0.0981,0.3,NO
0.1058,0.0626,NO
0.1797,0.3658,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.2604,NO
0.1126,1.0,YES
0.0341,0.2047,NO
0.3399,1.0,YES
0.0412,0.1702,NO
0.1212,0.2314,NO
0.0769,0.1361,NO
0.1235,0.2314,NO
0.0802,0.127,NO
0.1903,0.4007,NO
0.1119,0.2314,NO
0.1008,0.2584,NO
0.0886,0.1671,NO
0.1534,0.3133,NO
0.1331,0.6593,NO
0.2865,0.3895,NO
0.1512,0.3369,NO
0.1666,0.6773,NO
0.1465,0.2344,NO
0.0509,0.21600000000000003,NO
0.2187,0.1538,NO
0.4574,1.0,YES
0.1603,0.7077,NO
0.2015,1.0,YES
0.205,0.2134,NO
0.2168,0.2391,NO
0.2136,0.0871,NO
0.1919,0.21600000000000003,NO
0.1533,0.5985,NO
0.1268,0.0898,NO
0.1947,0.4343,NO
0.1755,0.1851,NO
0.2202,0.3295,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.5187,NO
0.1927,1.0,YES
0.1251,0.2574,NO
0.1303,0.6166,YES
0.1814,1.0,YES
0.3356,0.3542,NO
0.1662,0.34299999999999997,NO
0.1507,0.3006,NO
0.1441,0.3542,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.4526,NO
0.0952,0.601,NO
0.1364,0.3542,NO
0.0887,0.601,NO
0.2289,0.647,NO
0.2088,0.7021,NO
0.2075,0.7021,NO
0.1923,1.0,YES
0.0927,0.3638,NO
0.0821,0.5923,YES
0.0311,0.28600000000000003,NO
0.3081,0.8571,YES
0.0406,0.2239,NO
0.1251,0.601,NO
0.091,0.601,NO
0.11800000000000001,0.4197,NO
0.1053,0.601,NO
0.2201,0.2568,NO
0.1351,0.601,NO
0.1328,0.4519,NO
0.0724,0.1709,NO
0.0244,0.1663,NO
0.1404,0.7346,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.503,YES
0.0826,0.257,NO
0.013000000000000001,0.1663,NO
0.2103,0.3689,YES
0.1395,0.0709,NO
0.1325,0.7346,YES
0.1443,0.22399999999999998,NO
0.2165,0.3493,NO
0.1934,0.379,NO
0.1934,0.379,NO
0.0572,0.0921,NO
0.2318,1.0,YES
0.0556,0.1663,NO
0.3609,0.8285,YES
0.1417,0.3664,NO
0.255,0.8285,YES
0.0522,0.2736,NO
0.0677,0.457,NO
0.1439,0.368,NO
0.0494,0.1918,NO
0.1715,0.7346,YES
0.0964,0.3393,NO
0.1343,0.4304,YES
0.1544,0.2565,NO
0.0732,0.3133,NO
0.1975,0.6593,NO
0.2582,0.3895,NO
0.1977,0.3369,NO
0.1701,0.6773,NO
0.1684,0.2719,NO
0.1225,0.2719,NO
0.1458,0.1628,NO
0.4028,1.0,YES
0.1577,0.7077,NO
0.2904,1.0,YES
0.1987,0.2451,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.1388,NO
0.1469,0.5985,NO
0.0547,0.2719,NO
0.1082,0.4343,NO
0.2019,0.2719,NO
0.1293,0.3295,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.5187,NO
0.1753,1.0,YES
0.0979,0.2574,NO
0.0985,0.146,NO
0.0774,0.2248,NO
0.1069,1.0,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.6847,YES
0.0885,0.2196,NO
0.0604,0.1065,NO
0.2068,0.5022,YES
0.2598,0.6903,NO
0.106,1.0,YES
0.1459,0.6968,NO
0.2252,0.4058,NO
0.2571,0.4403,NO
0.2375,0.4403,NO
0.1453,0.1065,NO
0.2245,1.0,YES
0.141,0.062,NO
0.2623,1.0,YES
0.142,0.4988,NO
0.2555,1.0,YES
0.2049,0.6903,NO
0.2206,0.6903,NO
0.2228,0.6968,NO
0.1032,0.6968,NO
0.1461,1.0,YES
0.1116,0.6903,NO
0.1326,0.5859,YES
0.1415,0.1341,NO
0.0745,0.1856,NO
0.2381,0.3398,NO
0.19,0.1431,NO
0.1547,0.3369,NO
0.1997,0.366,NO
0.1653,0.1963,NO
0.1536,0.1856,NO
0.1999,0.3139,NO
0.1989,1.0,YES
0.2045,0.3648,NO
0.2447,1.0,YES
0.2519,0.406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.1856,NO
0.105,0.4176,NO
0.055999999999999994,0.0898,NO
0.1113,0.2239,NO
0.2256,0.2508,NO
0.0989,0.2752,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,0.7522,YES
0.3108,1.0,YES
0.2405,0.366,NO
0.1657,1.0,YES
0.1331,0.366,NO
0.0949,0.1671,NO
0.1339,0.3133,NO
0.22399999999999998,0.5133,NO
0.1967,0.4374,NO
0.1436,0.3369,NO
0.2079,0.5273,NO
0.1339,0.2344,NO
0.0967,0.1016,NO
0.2198,0.3809,NO
0.3428,1.0,YES
0.2344,0.551,NO
0.1736,1.0,YES
0.1331,0.1661,NO
0.0735,0.2085,NO
0.0647,0.1133,NO
0.204,0.1438,NO
0.1327,0.5985,NO
0.1655,0.0898,NO
0.31,0.4374,NO
0.1309,0.2508,NO
0.2819,0.3349,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.4039,NO
0.2673,1.0,YES
0.1726,0.3916,NO
0.1439,0.2093,NO
0.0769,0.2036,NO
0.1953,0.6593,NO
0.2342,0.3103,NO
0.2047,0.3369,NO
0.1823,0.6773,NO
0.1684,0.2093,NO
0.1204,0.2093,NO
0.1751,0.1729,NO
0.3579,1.0,YES
0.1828,0.7077,NO
0.2083,1.0,YES
0.2252,0.2729,NO
0.2041,0.2729,NO
0.2007,0.2722,NO
0.0498,0.1438,NO
0.1415,0.4176,NO
0.0515,0.2011,NO
0.1207,0.4343,NO
0.1912,0.2508,NO
0.14,0.3295,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.5187,NO
0.2003,1.0,YES
0.1168,0.2054,NO
0.0727,0.1275,NO
0.0714,0.2365,NO
0.10800000000000001,0.6593,NO
0.2886,0.31,NO
0.1427,0.3369,NO
0.0855,0.6773,NO
0.0605,0.1769,NO
0.0532,0.1352,NO
0.1421,0.1557,NO
0.4397,1.0,YES
0.0607,0.7077,NO
0.2347,1.0,YES
0.2118,0.2134,NO
0.2048,0.2391,NO
0.2045,0.0855,NO
0.0849,0.107,NO
0.1035,0.4518,NO
0.0824,0.1352,NO
0.0975,0.4343,NO
0.1702,0.1867,NO
0.1518,0.3295,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,0.755,YES
0.1375,0.5187,NO
0.1128,1.0,YES
0.099,0.2054,NO
0.1069,0.2097,NO
0.0451,0.3162,NO
0.5095,1.0,YES
0.1431,1.0,YES
0.1227,1.0,YES
0.2847,1.0,YES
0.2237,0.4103,NO
0.1065,0.1677,NO
0.3266,1.0,YES
0.0974,0.2963,NO
0.3289,1.0,YES
0.1059,0.196,NO
0.2131,0.4151,NO
0.1496,0.36700000000000005,NO
0.1474,0.2972,NO
0.0902,0.1677,NO
0.0993,0.7517,YES
0.0875,0.0739,NO
0.2369,1.0,YES
0.2129,0.506,NO
0.1321,1.0,YES
0.1271,0.7244,NO
0.08,0.4261,NO
0.3025,0.7244,NO
0.12,0.3976,NO
0.3399,1.0,YES
0.2516,0.7244,NO
0.2081,1.0,YES
0.1799,0.2097,NO
0.1547,0.0888,NO
0.3595,0.7653,YES
0.2156,0.6811,NO
0.1535,0.3646,NO
0.4159,1.0,YES
0.1827,0.4103,NO
0.1097,0.134,NO
0.5448,1.0,YES
0.191,0.2219,NO
0.4381,1.0,YES
0.1528,0.2628,NO
0.3264,0.4151,NO
0.3203,0.36700000000000005,NO
0.2648,0.3377,NO
0.171,0.1297,NO
0.21899999999999997,0.5293,NO
0.1398,0.0739,NO
