DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_84,Associated
0.0737,0.836,NO
0.0652,0.5457,NO
0.1144,0.9079999999999999,NO
0.2164,1.4397,NO
0.0671,1.1972,NO
0.0906,0.8207,NO
0.0589,0.7973,NO
0.0679,0.4924,NO
0.1689,0.8461,NO
0.2469,1.7347,YES
0.0616,0.7538,NO
0.33799999999999997,1.3248,YES
0.2427,0.556,NO
0.2231,1.0053,NO
0.2223,0.1903,NO
0.1142,0.2955,NO
0.0706,1.2563,NO
0.1109,0.5842,NO
0.0747,0.9576,NO
0.2179,0.5469,NO
0.1147,1.0214,NO
0.0779,1.187,YES
0.0804,1.8631,YES
0.1668,1.7553,YES
0.24,1.4247,YES
0.1573,1.0482,NO
0.0716,1.8333,YES
0.1205,0.6864,NO
0.1072,1.4545,YES
0.2444,0.9291,YES
0.3362,0.9732,NO
0.1579,0.7658,NO
0.1148,0.5569,NO
0.1112,0.8178,NO
0.3947,0.9957,YES
0.0957,0.5692,YES
0.1364,0.8751,NO
0.1056,0.5871,NO
0.0981,0.6939,NO
0.1058,0.2986,NO
0.1797,0.5186,NO
0.1526,0.9228,NO
0.1551,0.3081,NO
0.2811,0.9216,YES
0.0766,0.6661,NO
0.1126,1.3319999999999999,YES
0.0341,0.4293,NO
0.3399,1.1853,YES
0.0412,0.2845,NO
0.1212,0.2655,NO
0.0769,0.2612,NO
0.1235,0.4834,NO
0.0802,0.3244,NO
0.1903,0.9493,NO
0.1119,0.1789,NO
0.1008,0.8088,NO
0.0886,0.7831,NO
0.1534,0.5593,NO
0.1331,1.4347,NO
0.2865,2.0566,NO
0.1512,2.0223,NO
0.1666,1.3476,NO
0.1465,1.0404,NO
0.0509,0.4299,NO
0.2187,0.8672,NO
0.4574,3.4259,YES
0.1603,1.3519,NO
0.2015,2.391,YES
0.205,1.2705,NO
0.2168,1.6088,NO
0.2136,0.3527,NO
0.1919,0.4306,NO
0.1533,2.0951,NO
0.1268,0.7319,NO
0.1947,1.0248,NO
0.1755,0.3833,NO
0.2202,1.6793,NO
0.4465,2.9029,YES
0.4252,4.0593,YES
0.3653,3.6305,YES
0.1771,3.5597,YES
0.1659,2.0482,NO
0.1927,3.7445,YES
0.1251,1.2729,NO
0.1303,1.8273,YES
0.1814,1.5716,YES
0.3356,0.5284,NO
0.1662,0.5983,NO
0.1507,0.2975,NO
0.1441,0.4964,NO
0.3435,1.5982,YES
0.1243,1.2996,YES
0.1731,0.4433,NO
0.0952,0.3767,NO
0.1364,0.2294,NO
0.0887,0.4091,NO
0.2289,0.2302,NO
0.2088,0.6706,NO
0.2075,0.0336,NO
0.1923,0.8796,YES
0.0927,0.5153,NO
0.0821,1.7801,YES
0.0311,0.3564,NO
0.3081,1.4316,YES
0.0406,0.3709,NO
0.1251,0.3169,NO
0.091,0.4332,NO
0.11800000000000001,0.2235,NO
0.1053,0.2912,NO
0.2201,0.5923,NO
0.1351,0.3161,NO
0.1328,0.2641,NO
0.0724,1.4354,NO
0.0244,0.7128,NO
0.1404,2.1746,YES
0.3348,3.0232,YES
0.2937,3.1761,YES
0.14300000000000002,2.394,YES
0.0826,1.1389,NO
0.013000000000000001,0.535,NO
0.2103,2.7136,YES
0.1395,1.2658,NO
0.1325,1.764,YES
0.1443,0.3894,NO
0.2165,0.9577,NO
0.1934,2.0218,NO
0.1934,0.6516,NO
0.0572,0.6384,NO
0.2318,3.4061,YES
0.0556,0.9179999999999999,NO
0.3609,3.1414,YES
0.1417,0.9088,NO
0.255,3.0374,YES
0.0522,0.4908,NO
0.0677,1.1814,NO
0.1439,1.4268,NO
0.0494,0.8491,NO
0.1715,1.9475,YES
0.0964,1.1935,NO
0.1343,1.9249,YES
0.1544,0.9685,NO
0.0732,0.7885,NO
0.1975,0.9307,NO
0.2582,1.3735,NO
0.1977,0.9974,NO
0.1701,0.7592,NO
0.1684,1.0203,NO
0.1225,0.708,NO
0.1458,0.642,NO
0.4028,2.8978,YES
0.1577,0.7671,NO
0.2904,2.3732,YES
0.1987,0.9444,NO
0.1756,1.1404,NO
0.1689,0.1673,NO
0.054000000000000006,0.3878,NO
0.1469,1.0576,NO
0.0547,0.9815,NO
0.1082,0.2516,NO
0.2019,0.6725,NO
0.1293,0.6304,NO
0.3897,2.4393,YES
0.3612,3.3192,YES
0.2791,2.925,YES
0.2894,2.7995,YES
0.2226,1.3674,NO
0.1753,2.9564,YES
0.0979,0.8007,NO
0.0985,0.9614,NO
0.0774,0.3447,NO
0.1069,2.0964,YES
0.3647,3.4125,YES
0.2531,3.9485,YES
0.1331,2.1652,YES
0.0885,0.8874,NO
0.0604,0.1759,NO
0.2068,2.5319,YES
0.2598,1.8813,NO
0.106,1.6123,YES
0.1459,0.7704,NO
0.2252,0.8674,NO
0.2571,1.9189,NO
0.2375,0.7103,NO
0.1453,0.4629,NO
0.2245,3.6139,YES
0.141,0.5062,NO
0.2623,3.0375,YES
0.142,0.4992,NO
0.2555,3.3205,YES
0.2049,0.865,NO
0.2206,1.9992,NO
0.2228,2.306,NO
0.1032,1.5442,NO
0.1461,2.0138,YES
0.1116,1.4882,NO
0.1326,1.6691,YES
0.1415,0.7472,NO
0.0745,0.3157,NO
0.2381,2.084,NO
0.19,1.8158,NO
0.1547,1.5289,NO
0.1997,1.8313,NO
0.1653,0.6703,NO
0.1536,0.2847,NO
0.1999,1.4537,NO
0.1989,3.404,YES
0.2045,2.0066,NO
0.2447,2.3652,YES
0.2519,1.8015,NO
0.2036,1.9215,NO
0.2033,0.5069,NO
0.0533,0.4121,NO
0.105,1.7691,NO
0.055999999999999994,0.5981,NO
0.1113,0.9097,NO
0.2256,0.2808,NO
0.0989,1.2333,NO
0.1879,2.9427,YES
0.1445,3.8655,YES
0.1901,3.7446,YES
0.3108,3.508,YES
0.2405,2.3557,NO
0.1657,3.7575,YES
0.1331,2.0156,NO
0.0949,1.0751,NO
0.1339,0.3887,NO
0.22399999999999998,2.2143,NO
0.1967,2.2149,NO
0.1436,1.9978,NO
0.2079,1.8756,NO
0.1339,1.113,NO
0.0967,0.2006,NO
0.2198,1.8961,NO
0.3428,3.5165,YES
0.2344,1.9340000000000002,NO
0.1736,2.5715,YES
0.1331,1.4675,NO
0.0735,1.6608,NO
0.0647,0.4542,NO
0.204,0.5395,NO
0.1327,2.019,NO
0.1655,0.7959,NO
0.31,0.8992,NO
0.1309,0.4688,NO
0.2819,1.7184,NO
0.4042,2.7979,YES
0.3296,3.8898,YES
0.4941,4.0155,YES
0.1783,3.5158,YES
0.193,2.5734,NO
0.2673,3.7513,YES
0.1726,2.2881,NO
0.1439,0.7368,NO
0.0769,0.3453,NO
0.1953,1.8958,NO
0.2342,2.0116,NO
0.2047,1.6537,NO
0.1823,1.6218,NO
0.1684,1.1961,NO
0.1204,0.2664,NO
0.1751,1.5198,NO
0.3579,3.2647,YES
0.1828,1.6281,NO
0.2083,2.3193,YES
0.2252,1.402,NO
0.2041,1.8448,NO
0.2007,0.4981,NO
0.0498,0.5534,NO
0.1415,1.7226,NO
0.0515,0.69,NO
0.1207,0.9009999999999999,NO
0.1912,0.5532,NO
0.14,1.3478,NO
0.4038,2.6068,YES
0.3494,3.7785,YES
0.2799,3.1744,YES
0.2675,3.335,YES
0.2206,2.1693,NO
0.2003,3.8147,YES
0.1168,1.7625,NO
0.0727,1.2693,NO
0.0714,0.8079,NO
0.10800000000000001,1.4019,NO
0.2886,1.993,NO
0.1427,1.7197,NO
0.0855,1.3037,NO
0.0605,1.246,NO
0.0532,0.5432,NO
0.1421,1.141,NO
0.4397,3.0372,YES
0.0607,1.3023,NO
0.2347,2.1733,YES
0.2118,1.1982,NO
0.2048,1.6271,NO
0.2045,0.4155,NO
0.0849,0.6426,NO
0.1035,1.9691,NO
0.0824,1.0715,NO
0.0975,1.0095,NO
0.1702,0.7941,NO
0.1518,1.4821,NO
0.3372,2.3759,YES
0.3303,3.2714,YES
0.314,2.94,YES
0.1257,2.747,YES
0.1375,1.9249,NO
0.1128,3.088,YES
0.099,1.3619999999999999,NO
0.1069,0.9846,NO
0.0451,0.1021,NO
0.5095,5.4824,YES
0.1431,2.2891,YES
0.1227,2.1521,YES
0.2847,4.2257,YES
0.2237,0.9965,NO
0.1065,0.1275,NO
0.3266,4.5312,YES
0.0974,1.1587,NO
0.3289,5.0096,YES
0.1059,0.205,NO
0.2131,1.5151,NO
0.1496,1.8618,NO
0.1474,0.6666,NO
0.0902,0.2742,NO
0.0993,1.8983,YES
0.0875,0.3433,NO
0.2369,1.8108,YES
0.2129,0.2649,NO
0.1321,1.9625,YES
0.1271,0.2789,NO
0.08,0.5476,NO
0.3025,1.9988,NO
0.12,0.9533,NO
0.3399,4.2748,YES
0.2516,1.9439,NO
0.2081,4.0636,YES
0.1799,1.3238,NO
0.1547,0.292,NO
0.3595,4.0009,YES
0.2156,1.9718,NO
0.1535,2.1805,NO
0.4159,3.4549,YES
0.1827,0.3213,NO
0.1097,0.1204,NO
0.5448,3.7792,YES
0.191,1.2772,NO
0.4381,3.4304,YES
0.1528,0.3294,NO
0.3264,1.7434,NO
0.3203,2.2079,NO
0.2648,0.9029,NO
0.171,0.3067,NO
0.21899999999999997,2.5639999999999996,NO
0.1398,0.5068,NO
0.3673,1.939,NO
0.1451,0.3715,NO
0.2637,1.9969,NO
0.1991,0.5284,NO
0.1784,0.9153,NO
0.3767,2.0382,NO
0.1917,0.9287,NO
0.3794,3.0908,YES
0.3359,1.2133,NO
0.2874,3.6083,YES
0.0798,1.4121,NO
0.0364,0.5903,NO
0.2475,3.9587,YES
0.2794,3.9291,YES
0.2232,3.8484,YES
0.2213,4.0062,YES
0.1233,1.2305,NO
0.0474,0.4226,NO
0.2799,3.9357,YES
0.2328,2.3884,NO
0.2608,3.4359,YES
0.1095,0.9245,NO
0.2365,1.4297,NO
0.2061,2.3566,NO
0.2048,0.5837,NO
0.0456,0.6113,NO
0.1795,4.0952,YES
0.0442,0.9143,NO
0.27,3.8681,YES
0.1224,0.7866,NO
0.1913,3.8687,YES
0.2397,1.4515,NO
0.2111,2.0469,NO
0.2935,2.4831,NO
0.1155,1.8803,NO
0.243,3.8228,YES
0.1959,2.4158,NO
0.198,3.3214,YES
0.1636,0.7344,NO
0.1646,0.2112,NO
0.3881,2.8681,YES
0.1762,0.5601,NO
0.1649,0.5742,NO
0.4197,2.3545,YES
0.1681,0.0938,NO
0.153,0.2331,NO
0.4738,2.3729,YES
0.159,0.6983,NO
0.493,2.4676,YES
0.1456,0.1838,NO
0.2244,1.3105,NO
0.1542,1.5755,NO
0.1277,0.5107,NO
0.1775,0.1375,NO
0.2106,1.1097,NO
0.1654,0.2263,NO
0.3557,0.8904,NO
0.0902,0.2719,NO
0.2663,0.7574,NO
0.2218,0.4397,NO
0.1764,0.8824,NO
0.3901,1.0507,NO
0.21600000000000003,0.8985,NO
0.402,1.7374,YES
0.3584,1.6028,NO
0.3239,2.488,YES
0.0467,0.9602,NO
0.0184,0.2737,NO
0.0544,1.063,YES
0.1967,2.5934,YES
0.1251,3.1446,YES
0.0526,1.546,YES
0.0389,0.9474,NO
0.0098,0.1889,NO
0.1204,1.6788,YES
0.1152,1.1088,NO
0.0434,0.5425,YES
0.0994,0.5476,NO
0.171,0.726,NO
0.1733,1.4174,NO
0.1785,0.5515,NO
0.0632,0.2159,NO
0.1652,3.2285,YES
0.0614,0.4173,NO
0.1533,3.0348,YES
0.1347,0.4706,NO
0.1212,3.2104,YES
0.015,0.4467,NO
0.0714,1.4155,NO
0.0698,1.1817,NO
0.035,0.8499,NO
0.0672,1.3642,YES
0.0378,1.0321,NO
0.0637,1.0709,YES
0.3024,2.059,YES
0.0482,1.7644,YES
0.3634,1.3912,NO
0.1548,0.7932,NO
0.1459,0.4641,NO
0.1506,1.0682,NO
0.2394,1.5523,YES
0.3693,1.464,YES
0.1404,1.1763,NO
0.0758,0.9046,NO
0.1517,0.8268,NO
0.067,0.6315,NO
0.2131,0.8059999999999999,NO
0.16,1.416,NO
0.1446,0.3361,NO
0.0844,0.7329,YES
0.095,0.6589,NO
0.2419,1.9311,YES
0.026000000000000002,0.6511,NO
0.2985,1.7835,YES
0.0377,0.5102,NO
0.102,0.5485,NO
0.0927,0.8818,NO
0.1259,0.5741,NO
0.1193,0.6207,NO
0.2177,1.1645,NO
0.15,1.0349,NO
0.0996,0.8111,NO
0.0839,1.3821,NO
0.0672,0.29100000000000004,NO
0.3068,6.1559,YES
0.1154,2.3418,YES
0.0802,1.9575,YES
0.3166,4.9853,YES
0.0868,0.581,NO
0.0677,0.213,NO
0.5456,5.4331,YES
0.0938,1.1928,NO
0.3771,5.6011,YES
0.0765,0.0272,NO
0.3042,1.604,NO
0.1867,2.316,NO
0.2024,0.754,NO
0.084,0.4317,NO
0.1127,2.0289,YES
0.0773,0.5507,NO
0.3002,1.9153,YES
0.0821,0.5596,NO
0.1969,1.8304,YES
0.1353,0.2328,NO
