DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_56,Associated
0.0737,0.292,NO
0.0652,0.1351,NO
0.1144,0.4254,NO
0.2164,0.2948,NO
0.0671,0.5647,NO
0.0906,0.4562,NO
0.0589,0.1645,NO
0.0679,0.2809,NO
0.1689,0.3872,NO
0.2469,1.024,YES
0.0616,0.28,NO
0.33799999999999997,0.8428,YES
0.2427,0.3021,NO
0.2231,0.5178,NO
0.2223,0.0892,NO
0.1142,0.3868,NO
0.0706,0.4339,NO
0.1109,0.2876,NO
0.0747,0.2557,NO
0.2179,0.2212,NO
0.1147,0.5175,NO
0.0779,0.5571,YES
0.0804,1.4376,YES
0.1668,1.3918,YES
0.24,1.6219999999999999,YES
0.1573,0.3731,NO
0.0716,0.7532,YES
0.1205,0.312,NO
0.1072,1.9081,YES
0.2444,1.2361,YES
0.3362,0.3033,NO
0.1579,0.3435,NO
0.1148,0.4314,NO
0.1112,0.1297,NO
0.3947,1.3146,YES
0.0957,1.3764,YES
0.1364,0.0743,NO
0.1056,0.0967,NO
0.0981,0.1056,NO
0.1058,0.1531,NO
0.1797,0.2139,NO
0.1526,0.0546,NO
0.1551,0.0986,NO
0.2811,2.1386,YES
0.0766,0.3235,NO
0.1126,0.9682,YES
0.0341,0.0796,NO
0.3399,1.5086,YES
0.0412,0.3146,NO
0.1212,0.0659,NO
0.0769,0.2917,NO
0.1235,0.129,NO
0.0802,0.1752,NO
0.1903,0.2655,NO
0.1119,0.2366,NO
0.1008,0.16899999999999998,NO
0.0886,0.5744,NO
0.1534,0.075,NO
0.1331,1.0196,NO
0.2865,0.7132,NO
0.1512,1.1619,NO
0.1666,0.9067,NO
0.1465,0.3663,NO
0.0509,0.3079,NO
0.2187,0.9963,NO
0.4574,2.635,YES
0.1603,0.4982,NO
0.2015,2.3834,YES
0.205,0.6442,NO
0.2168,0.7354,NO
0.2136,0.1171,NO
0.1919,0.4652,NO
0.1533,0.7369,NO
0.1268,0.2423,NO
0.1947,0.6063,NO
0.1755,0.2102,NO
0.2202,0.8672,NO
0.4465,1.1855,YES
0.4252,2.8764,YES
0.3653,2.6726,YES
0.1771,3.1806,YES
0.1659,0.7573,NO
0.1927,2.5528,YES
0.1251,0.7255,NO
0.1303,0.9096,YES
0.1814,0.2982,YES
0.3356,0.6447,NO
0.1662,0.2612,NO
0.1507,0.2582,NO
0.1441,0.7509,NO
0.3435,0.6359,YES
0.1243,0.5642,YES
0.1731,0.6445,NO
0.0952,0.07,NO
0.1364,0.3842,NO
0.0887,0.1319,NO
0.2289,0.5528,NO
0.2088,0.4373,NO
0.2075,0.1962,NO
0.1923,1.3873,YES
0.0927,0.2815,NO
0.0821,0.5953,YES
0.0311,0.142,NO
0.3081,1.1679,YES
0.0406,0.2918,NO
0.1251,0.1153,NO
0.091,0.2625,NO
0.11800000000000001,0.2108,NO
0.1053,0.1322,NO
0.2201,0.5711,NO
0.1351,0.2442,NO
0.1328,0.4421,NO
0.0724,0.5239,NO
0.0244,0.1139,NO
0.1404,1.0475,YES
0.3348,2.7475,YES
0.2937,2.8821,YES
0.14300000000000002,1.0323,YES
0.0826,0.4134,NO
0.013000000000000001,0.2278,NO
0.2103,0.971,YES
0.1395,0.2627,NO
0.1325,0.6398,YES
0.1443,0.4218,NO
0.2165,0.5031,NO
0.1934,0.6017,NO
0.1934,0.1569,NO
0.0572,0.3534,NO
0.2318,3.3572,YES
0.0556,0.2027,NO
0.3609,2.2801,YES
0.1417,0.2224,NO
0.255,2.0195,YES
0.0522,0.2464,NO
0.0677,0.44299999999999995,NO
0.1439,0.2182,NO
0.0494,0.1765,NO
0.1715,0.6244,YES
0.0964,0.6603,NO
0.1343,0.7957,YES
0.1544,0.7332,NO
0.0732,0.2526,NO
0.1975,1.0954,NO
0.2582,0.6651,NO
0.1977,0.9619,NO
0.1701,0.9169,NO
0.1684,0.4514,NO
0.1225,0.5305,NO
0.1458,1.1799,NO
0.4028,2.6599,YES
0.1577,0.5660000000000001,NO
0.2904,2.4078,YES
0.1987,0.7301,NO
0.1756,0.9605,NO
0.1689,0.1863,NO
0.054000000000000006,0.6037,NO
0.1469,0.6095,NO
0.0547,0.3628,NO
0.1082,0.2975,NO
0.2019,0.3677,NO
0.1293,0.8216,NO
0.3897,1.2349,YES
0.3612,2.9609,YES
0.2791,2.6796,YES
0.2894,3.2021,YES
0.2226,0.6674,NO
0.1753,2.5867,YES
0.0979,0.7461,NO
0.0985,0.4923,NO
0.0774,0.1426,NO
0.1069,1.3571,YES
0.3647,1.2316,YES
0.2531,1.9515,YES
0.1331,1.0675,YES
0.0885,0.5071,NO
0.0604,0.1869,NO
0.2068,0.3957,YES
0.2598,0.5595,NO
0.106,0.4892,YES
0.1459,0.6883,NO
0.2252,0.3223,NO
0.2571,0.6453,NO
0.2375,0.1774,NO
0.1453,0.2643,NO
0.2245,1.3619999999999999,YES
0.141,0.1009,NO
0.2623,1.8511,YES
0.142,0.0769,NO
0.2555,1.0704,YES
0.2049,0.2965,NO
0.2206,0.4755,NO
0.2228,0.6009,NO
0.1032,0.6181,NO
0.1461,1.0661,YES
0.1116,0.8892,NO
0.1326,1.1420000000000001,YES
0.1415,0.187,NO
0.0745,0.0334,NO
0.2381,0.7499,NO
0.19,0.3489,NO
0.1547,0.7035,NO
0.1997,0.8512,NO
0.1653,0.1565,NO
0.1536,0.1477,NO
0.1999,0.7806,NO
0.1989,1.1256,YES
0.2045,0.3991,NO
0.2447,0.9206,YES
0.2519,0.2829,NO
0.2036,0.4323,NO
0.2033,0.0639,NO
0.0533,0.2311,NO
0.105,0.4423,NO
0.055999999999999994,0.1615,NO
0.1113,0.3094,NO
0.2256,0.0451,NO
0.0989,0.5385,NO
0.1879,0.6306,YES
0.1445,1.5672,YES
0.1901,1.4741,YES
0.3108,1.7539,YES
0.2405,0.5775,NO
0.1657,1.0169,YES
0.1331,0.6321,NO
0.0949,0.3319,NO
0.1339,0.0442,NO
0.22399999999999998,0.455,NO
0.1967,0.0895,NO
0.1436,0.2529,NO
0.2079,0.3333,NO
0.1339,0.2391,NO
0.0967,0.1111,NO
0.2198,0.4201,NO
0.3428,0.9676,YES
0.2344,0.3332,NO
0.1736,0.8234,YES
0.1331,0.183,NO
0.0735,0.2194,NO
0.0647,0.0281,NO
0.204,0.2879,NO
0.1327,0.2422,NO
0.1655,0.0997,NO
0.31,0.1233,NO
0.1309,0.0788,NO
0.2819,0.2729,NO
0.4042,0.4789,YES
0.3296,1.1815,YES
0.4941,1.0726,YES
0.1783,1.2086,YES
0.193,0.3569,NO
0.2673,0.9693,YES
0.1726,0.3569,NO
0.1439,0.5761,NO
0.0769,0.0471,NO
0.1953,0.6934,NO
0.2342,0.4341,NO
0.2047,0.8672,NO
0.1823,0.4751,NO
0.1684,0.3438,NO
0.1204,0.2761,NO
0.1751,0.455,NO
0.3579,2.4523,YES
0.1828,0.392,NO
0.2083,2.2698,YES
0.2252,0.6093,NO
0.2041,0.5344,NO
0.2007,0.1465,NO
0.0498,0.6116,NO
0.1415,0.4089,NO
0.0515,0.2586,NO
0.1207,0.4216,NO
0.1912,0.3072,NO
0.14,0.5287,NO
0.4038,1.0161,YES
0.3494,2.1525,YES
0.2799,2.4055,YES
0.2675,2.5180000000000002,YES
0.2206,0.5866,NO
0.2003,1.8304,YES
0.1168,0.5643,NO
0.0727,0.7745,NO
0.0714,0.2198,NO
0.10800000000000001,0.7837,NO
0.2886,0.7301,NO
0.1427,0.9414,NO
0.0855,0.5117,NO
0.0605,0.4881,NO
0.0532,0.3698,NO
0.1421,0.7658,NO
0.4397,2.42,YES
0.0607,0.4287,NO
0.2347,2.2822,YES
0.2118,0.5788,NO
0.2048,0.6004,NO
0.2045,0.1212,NO
0.0849,0.4582,NO
0.1035,0.6495,NO
0.0824,0.1657,NO
0.0975,0.4039,NO
0.1702,0.1972,NO
0.1518,0.7555,NO
0.3372,1.0111,YES
0.3303,2.3241,YES
0.314,1.9915,YES
0.1257,2.5589,YES
0.1375,0.4633,NO
0.1128,2.3442,YES
0.099,0.588,NO
0.1069,0.7194,NO
0.0451,0.34700000000000003,NO
0.5095,2.9385,YES
0.1431,0.6744,YES
0.1227,0.8059999999999999,YES
0.2847,4.3402,YES
0.2237,0.9331,NO
0.1065,0.3762,NO
0.3266,3.7069,YES
0.0974,0.5193,NO
0.3289,1.7025,YES
0.1059,0.5044,NO
0.2131,0.8716,NO
0.1496,0.9906,NO
0.1474,0.2183,NO
0.0902,0.4872,NO
0.0993,0.5112,YES
0.0875,0.1449,NO
0.2369,0.8095,YES
0.2129,0.2542,NO
0.1321,0.5131,YES
0.1271,0.5572,NO
0.08,0.7568,NO
0.3025,0.4053,NO
0.12,0.7644,NO
0.3399,2.6465,YES
0.2516,1.3063,NO
0.2081,2.6435,YES
0.1799,0.3596,NO
0.1547,0.0648,NO
0.3595,1.4157,YES
0.2156,0.5084,NO
0.1535,0.6249,NO
0.4159,1.5719999999999998,YES
0.1827,0.5223,NO
0.1097,0.1357,NO
0.5448,1.649,YES
0.191,0.271,NO
0.4381,0.8965,YES
0.1528,0.3011,NO
0.3264,0.6627,NO
0.3203,0.7172,NO
0.2648,0.2455,NO
0.171,0.2413,NO
0.21899999999999997,0.5672,NO
0.1398,0.0653,NO
0.3673,0.5932,NO
0.1451,0.1243,NO
0.2637,0.5547,NO
0.1991,0.3161,NO
0.1784,0.541,NO
0.3767,0.2386,NO
0.1917,0.4739,NO
0.3794,0.9631,YES
0.3359,0.7340000000000001,NO
0.2874,1.4031,YES
0.0798,0.7355,NO
0.0364,0.1223,NO
0.2475,2.1825,YES
0.2794,1.5951,YES
0.2232,2.2967,YES
0.2213,2.2038,YES
