DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_16,Associated
0.0737,0.7953,NO
0.0652,0.1708,NO
0.1144,1.4509,NO
0.2164,1.0905,NO
0.0671,1.1036,NO
0.0906,1.7346,NO
0.0589,1.0513,NO
0.0679,0.5234,NO
0.1689,1.3424,NO
0.2469,2.5367,YES
0.0616,1.2396,NO
0.33799999999999997,1.9712,YES
0.2427,0.7215,NO
0.2231,1.1967,NO
0.2223,0.0685,NO
0.1142,0.5591,NO
0.0706,1.3771,NO
0.1109,0.9259,NO
0.0747,1.3093,NO
0.2179,0.5671,NO
0.1147,1.0947,NO
0.0779,1.5187,YES
0.0804,2.4437,YES
0.1668,2.5813,YES
0.24,2.2806,YES
0.1573,1.4598,NO
0.0716,1.9183,YES
0.1205,1.0997,NO
0.1072,1.7458,YES
0.2444,0.9289,YES
0.3362,1.2722,NO
0.1579,0.8542,NO
0.1148,0.8148,NO
0.1112,1.5336,NO
0.3947,2.2834,YES
0.0957,1.1071,YES
0.1364,1.4226,NO
0.1056,0.995,NO
0.0981,1.1133,NO
0.1058,0.7561,NO
0.1797,0.8896,NO
0.1526,1.0807,NO
0.1551,0.3824,NO
0.2811,1.8730000000000002,YES
0.0766,1.1715,NO
0.1126,2.2495,YES
0.0341,0.9349,NO
0.3399,1.8187,YES
0.0412,1.0731,NO
0.1212,0.6946,NO
0.0769,1.3863,NO
0.1235,1.1458,NO
0.0802,0.8119,NO
0.1903,1.6487,NO
0.1119,0.9726,NO
0.1008,1.2494,NO
0.0886,1.0904,NO
0.1534,0.5645,NO
0.1331,1.6019,NO
0.2865,2.4277,NO
0.1512,1.5982,NO
0.1666,1.9085,NO
0.1465,1.2866,NO
0.0509,0.3418,NO
0.2187,1.9432,NO
0.4574,3.6704,YES
0.1603,1.0552,NO
0.2015,2.6088,YES
0.205,1.4026,NO
0.2168,1.8071,NO
0.2136,0.4088,NO
0.1919,0.7578,NO
0.1533,1.6922,NO
0.1268,1.0102,NO
0.1947,1.3555,NO
0.1755,0.3025,NO
0.2202,1.6585,NO
0.4465,2.7052,YES
0.4252,3.9109,YES
0.3653,3.8029,YES
0.1771,3.065,YES
0.1659,1.925,NO
0.1927,2.7721,YES
0.1251,1.9005,NO
0.1303,0.9968,YES
0.1814,0.6963,YES
0.3356,0.8759,NO
0.1662,0.9107,NO
0.1507,0.6361,NO
0.1441,0.9964,NO
0.3435,1.0621,YES
0.1243,0.6263,YES
0.1731,0.8922,NO
0.0952,0.8075,NO
0.1364,0.7403,NO
0.0887,0.5482,NO
0.2289,0.409,NO
0.2088,0.4494,NO
0.2075,0.1668,NO
0.1923,0.8982,YES
0.0927,0.8677,NO
0.0821,1.3165,YES
0.0311,0.8171,NO
0.3081,0.9357,YES
0.0406,0.8801,NO
0.1251,0.6326,NO
0.091,1.0836,NO
0.11800000000000001,0.7912,NO
0.1053,0.6344,NO
0.2201,1.0354,NO
0.1351,0.7428,NO
0.1328,0.8774,NO
0.0724,1.3102,NO
0.0244,0.4217,NO
0.1404,1.9737,YES
0.3348,3.4171,YES
0.2937,3.2173,YES
0.14300000000000002,2.1755,YES
0.0826,1.6657,NO
0.013000000000000001,0.5770000000000001,NO
0.2103,2.0625,YES
0.1395,1.3115,NO
0.1325,1.7508,YES
0.1443,0.6903,NO
0.2165,1.5866,NO
0.1934,1.6683,NO
0.1934,0.8756,NO
0.0572,0.7848,NO
0.2318,4.0918,YES
0.0556,0.9628,NO
0.3609,3.9521,YES
0.1417,0.7739,NO
0.255,3.6477,YES
0.0522,1.0238,NO
0.0677,1.9119,NO
0.1439,2.1757,NO
0.0494,0.9556,NO
0.1715,2.5128,YES
0.0964,1.626,NO
0.1343,2.275,YES
0.1544,0.6159,NO
0.0732,0.1792,NO
0.1975,0.9352,NO
0.2582,1.3727,NO
0.1977,0.7986,NO
0.1701,1.2411,NO
0.1684,0.7814,NO
0.1225,0.23199999999999998,NO
0.1458,1.3251,NO
0.4028,3.0911,YES
0.1577,0.7592,NO
0.2904,2.3962,YES
0.1987,1.1374,NO
0.1756,1.4839,NO
0.1689,0.2853,NO
0.054000000000000006,0.3359,NO
0.1469,0.7745,NO
0.0547,0.5343,NO
0.1082,0.4827,NO
0.2019,0.1803,NO
0.1293,0.6294,NO
0.3897,2.1415,YES
0.3612,3.0245,YES
0.2791,3.0394,YES
0.2894,2.7997,YES
0.2226,1.3262,NO
0.1753,2.204,YES
0.0979,1.1383,NO
0.0985,1.0132,NO
0.0774,0.3595,NO
0.1069,2.0314,YES
0.3647,3.9367,YES
0.2531,3.2851,YES
0.1331,2.3965,YES
0.0885,1.2662,NO
0.0604,0.3488,NO
0.2068,1.8223,YES
0.2598,1.7258,NO
0.106,1.6727,YES
0.1459,0.7709,NO
0.2252,1.3229,NO
0.2571,1.4626,NO
0.2375,0.6459999999999999,NO
0.1453,0.6606,NO
0.2245,3.9186,YES
0.141,0.7392,NO
0.2623,3.8869,YES
0.142,0.3141,NO
0.2555,3.8571,YES
0.2049,1.4799,NO
0.2206,2.2775,NO
0.2228,2.6542,NO
0.1032,1.1347,NO
0.1461,2.4105,YES
0.1116,2.0231,NO
0.1326,2.4616,YES
0.1415,1.0136,NO
0.0745,0.5615,NO
0.2381,1.739,NO
0.19,1.3118,NO
0.1547,1.0745,NO
0.1997,2.1326,NO
0.1653,1.3543,NO
0.1536,0.4948,NO
0.1999,1.8693,NO
0.1989,3.2237,YES
0.2045,1.3641,NO
0.2447,2.3584,YES
0.2519,1.1881,NO
0.2036,1.6103,NO
0.2033,0.3866,NO
0.0533,1.0719,NO
0.105,1.2392,NO
0.055999999999999994,1.3406,NO
0.1113,0.9119,NO
0.2256,0.7116,NO
0.0989,0.9945,NO
0.1879,2.1142,YES
0.1445,3.3782,YES
0.1901,3.3361,YES
0.3108,2.5539,YES
0.2405,1.6412,NO
0.1657,2.3254,YES
0.1331,1.439,NO
0.0949,1.0733,NO
0.1339,0.2754,NO
0.22399999999999998,2.0997,NO
0.1967,1.425,NO
0.1436,1.1353,NO
0.2079,2.5446,NO
0.1339,1.1295,NO
0.0967,0.4079,NO
0.2198,2.3755,NO
0.3428,3.2569999999999997,YES
0.2344,1.8645,NO
0.1736,2.4930000000000003,YES
0.1331,1.0564,NO
0.0735,1.5673,NO
0.0647,0.3285,NO
0.204,0.7628,NO
0.1327,1.3483,NO
0.1655,0.9301,NO
0.31,1.1077,NO
0.1309,0.3877,NO
0.2819,1.0891,NO
0.4042,2.5294,YES
0.3296,3.4035,YES
0.4941,3.3815,YES
0.1783,2.6494,YES
0.193,1.8626,NO
0.2673,2.5555,YES
0.1726,1.8944,NO
0.1439,1.2466,NO
0.0769,0.5332,NO
0.1953,1.9031,NO
0.2342,2.0408,NO
0.2047,1.5528,NO
0.1823,2.4292,NO
0.1684,1.6443,NO
0.1204,0.5144,NO
0.1751,2.2778,NO
0.3579,4.0521,YES
0.1828,1.5843,NO
0.2083,3.0036,YES
0.2252,1.5482,NO
0.2041,2.0952,NO
0.2007,0.4101,NO
0.0498,1.0882,NO
0.1415,1.806,NO
0.0515,1.2764,NO
0.1207,1.4857,NO
