DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_86,Associated
0.0737,0.1454,NO
0.0652,0.28300000000000003,NO
0.1144,0.2506,NO
0.2164,0.2326,NO
0.0671,0.3073,NO
0.0906,0.6698,NO
0.0589,0.1484,NO
0.0679,0.2678,NO
0.1689,0.2776,NO
0.2469,1.3518,YES
0.0616,0.5521,NO
0.33799999999999997,1.4906,YES
0.2427,0.1822,NO
0.2231,0.3423,NO
0.2223,0.1043,NO
0.1142,0.2112,NO
0.0706,0.4935,NO
0.1109,0.1932,NO
0.0747,0.1862,NO
0.2179,0.3166,NO
0.1147,0.4365,NO
0.0779,1.5139,YES
0.0804,1.4324,YES
0.1668,1.7221,YES
0.24,1.3759,YES
0.1573,0.5109,NO
0.0716,1.8648,YES
0.1205,0.3371,NO
0.1072,0.4086,YES
0.2444,1.0474,YES
0.3362,0.598,NO
0.1579,0.2126,NO
0.1148,0.3017,NO
0.1112,0.5931,NO
0.3947,0.5147,YES
0.0957,1.2764,YES
0.1364,0.3368,NO
0.1056,0.321,NO
0.0981,0.4909,NO
0.1058,0.226,NO
0.1797,0.2489,NO
0.1526,0.4442,NO
0.1551,0.0819,NO
0.2811,1.2268,YES
0.0766,0.2729,NO
0.1126,1.1643,YES
0.0341,0.385,NO
0.3399,1.3183,YES
0.0412,0.3974,NO
0.1212,0.3396,NO
0.0769,0.3399,NO
0.1235,0.2783,NO
0.0802,0.3062,NO
0.1903,0.478,NO
0.1119,0.43799999999999994,NO
0.1008,0.3494,NO
0.0886,0.349,NO
0.1534,0.3015,NO
0.1331,0.424,NO
0.2865,0.2871,NO
0.1512,0.3416,NO
0.1666,0.6471,NO
0.1465,0.2322,NO
0.0509,0.3401,NO
0.2187,0.5167,NO
0.4574,0.8896,YES
0.1603,0.5862,NO
0.2015,0.9175,YES
0.205,0.3466,NO
0.2168,0.3187,NO
0.2136,0.1055,NO
0.1919,0.3822,NO
0.1533,0.4179,NO
0.1268,0.2534,NO
0.1947,0.2574,NO
0.1755,0.3774,NO
0.2202,0.287,NO
0.4465,1.4745,YES
0.4252,1.2736,YES
0.3653,1.5046,YES
0.1771,1.0206,YES
0.1659,0.6001,NO
0.1927,1.8428,YES
0.1251,0.3158,NO
0.1303,1.124,YES
0.1814,0.3698,YES
0.3356,0.4204,NO
0.1662,0.0915,NO
0.1507,0.1859,NO
0.1441,0.4695,NO
0.3435,0.3438,YES
0.1243,0.8136,YES
0.1731,0.428,NO
0.0952,0.1461,NO
0.1364,0.2626,NO
0.0887,0.14,NO
0.2289,0.3885,NO
0.2088,0.375,NO
0.2075,0.1303,NO
0.1923,1.3523,YES
0.0927,0.1267,NO
0.0821,0.7907,YES
0.0311,0.162,NO
0.3081,1.3631,YES
0.0406,0.1099,NO
0.1251,0.2688,NO
0.091,0.2487,NO
0.11800000000000001,0.3334,NO
0.1053,0.1066,NO
0.2201,0.5046,NO
0.1351,0.3958,NO
0.1328,0.43700000000000006,NO
0.0724,0.2033,NO
0.0244,0.1288,NO
0.1404,1.8297,YES
0.3348,2.0403,YES
0.2937,2.3004,YES
0.14300000000000002,1.0764,YES
0.0826,0.4533,NO
0.013000000000000001,0.0912,NO
0.2103,0.9628,YES
0.1395,0.6336,NO
0.1325,1.2234,YES
0.1443,0.4228,NO
0.2165,0.3052,NO
0.1934,0.5293,NO
0.1934,0.1534,NO
0.0572,0.1602,NO
0.2318,1.9722,YES
0.0556,0.0772,NO
0.3609,2.8057,YES
0.1417,0.361,NO
0.255,2.0381,YES
0.0522,0.733,NO
0.0677,0.7679,NO
0.1439,1.1379,NO
0.0494,0.5338,NO
0.1715,1.0059,YES
0.0964,1.1292,NO
0.1343,0.8943,YES
0.1544,0.4507,NO
0.0732,0.1816,NO
0.1975,0.5919,NO
0.2582,0.4918,NO
0.1977,0.7299,NO
