DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_41,Associated
0.0737,0.7385,NO
0.0652,0.8414,NO
0.1144,0.6233,NO
0.2164,0.6108,NO
0.0671,0.826,NO
0.0906,1.2670000000000001,NO
0.0589,0.7003,NO
0.0679,0.2651,NO
0.1689,0.8044,NO
0.2469,2.6279,YES
0.0616,0.9952,NO
0.33799999999999997,2.6111,YES
0.2427,0.3467,NO
0.2231,0.0908,NO
0.2223,0.0542,NO
0.1142,0.6833,NO
0.0706,0.3001,NO
0.1109,0.9081,NO
0.0747,1.0504,NO
0.2179,0.7409,NO
0.1147,0.6493,NO
0.0779,3.2525,YES
0.0804,2.8278,YES
0.1668,2.5005,YES
0.24,2.7262,YES
0.1573,0.7431,NO
0.0716,1.5558,YES
0.1205,0.6622,NO
0.1072,2.0129,YES
0.2444,1.1239,YES
0.3362,1.3138,NO
0.1579,0.6098,NO
0.1148,0.5159,NO
0.1112,1.0402,NO
0.3947,1.4356,YES
0.0957,0.8936,YES
0.1364,0.7798,NO
0.1056,0.4751,NO
0.0981,1.0173,NO
0.1058,0.5203,NO
0.1797,0.6414,NO
0.1526,0.7447,NO
0.1551,0.6446,NO
0.2811,1.9124,YES
0.0766,0.5862,NO
0.1126,1.8777,YES
0.0341,0.5138,NO
0.3399,2.0136,YES
0.0412,0.4311,NO
0.1212,0.7262,NO
0.0769,0.7914,NO
0.1235,0.8473,NO
0.0802,0.8075,NO
0.1903,0.9417,NO
0.1119,0.511,NO
0.1008,1.0619,NO
0.0886,0.5933,NO
0.1534,0.6685,NO
0.1331,0.5722,NO
0.2865,0.6929,NO
0.1512,0.9693,NO
0.1666,1.7537,NO
0.1465,0.8262,NO
0.0509,0.1766,NO
0.2187,1.3487,NO
0.4574,2.7799,YES
0.1603,1.1709,NO
0.2015,2.5065,YES
0.205,0.5732,NO
0.2168,0.2711,NO
0.2136,0.2567,NO
0.1919,0.332,NO
0.1533,0.418,NO
0.1268,0.5739,NO
0.1947,1.4099,NO
0.1755,0.3174,NO
0.2202,0.7328,NO
0.4465,3.8137,YES
0.4252,3.0705,YES
0.3653,3.1746,YES
0.1771,2.8941,YES
0.1659,0.8466,NO
0.1927,2.4059,YES
0.1251,1.0831,NO
0.1303,3.0187,YES
0.1814,1.3003,YES
0.3356,2.0412,NO
0.1662,1.6994,NO
0.1507,1.5393,NO
0.1441,2.1785,NO
0.3435,2.2429,YES
0.1243,1.8055,YES
0.1731,2.013,NO
0.0952,0.8443,NO
0.1364,2.1015,NO
0.0887,0.5618,NO
0.2289,1.4319,NO
0.2088,1.2746,NO
0.2075,1.1059999999999999,NO
0.1923,2.7971,YES
0.0927,1.9278,NO
0.0821,2.8193,YES
0.0311,1.7866,NO
0.3081,3.0811,YES
0.0406,1.4972,NO
0.1251,1.2549,NO
0.091,1.4726,NO
0.11800000000000001,1.9406,NO
0.1053,1.1167,NO
0.2201,1.7479,NO
0.1351,1.3962,NO
0.1328,2.1116,NO
0.0724,0.2606,NO
0.0244,0.4948,NO
0.1404,1.4486,YES
0.3348,3.8995,YES
0.2937,4.2669999999999995,YES
0.14300000000000002,1.4229,YES
0.0826,0.3988,NO
0.013000000000000001,0.1083,NO
0.2103,1.4517,YES
0.1395,0.5868,NO
0.1325,1.7821,YES
0.1443,0.3886,NO
0.2165,0.287,NO
0.1934,0.4753,NO
0.1934,0.1277,NO
0.0572,0.2674,NO
0.2318,4.4393,YES
0.0556,0.1931,NO
0.3609,4.1324,YES
0.1417,0.7152,NO
0.255,3.5598,YES
0.0522,0.8174,NO
0.0677,1.0645,NO
0.1439,1.1316,NO
0.0494,0.6024,NO
0.1715,1.1995,YES
0.0964,0.3561,NO
0.1343,1.5593,YES
0.1544,0.7347,NO
0.0732,0.6185,NO
0.1975,0.68,NO
0.2582,1.3683,NO
0.1977,1.4744,NO
0.1701,1.8821,NO
0.1684,0.8243,NO
0.1225,0.3413,NO
0.1458,1.3532,NO
0.4028,2.759,YES
0.1577,1.1599,NO
0.2904,2.5176,YES
0.1987,0.3679,NO
0.1756,0.022000000000000002,NO
0.1689,0.0708,NO
0.054000000000000006,0.5608,NO
0.1469,0.887,NO
0.0547,0.7277,NO
0.1082,1.8094,NO
0.2019,0.8248,NO
0.1293,1.0151,NO
0.3897,3.8003,YES
0.3612,3.1927,YES
0.2791,3.1117,YES
0.2894,2.9805,YES
0.2226,0.8447,NO
0.1753,2.0861,YES
0.0979,1.2012,NO
0.0985,0.3527,NO
0.0774,0.6898,NO
0.1069,1.704,YES
0.3647,3.9555,YES
0.2531,4.2885,YES
0.1331,1.633,YES
0.0885,0.4986,NO
0.0604,0.2392,NO
0.2068,1.8061,YES
0.2598,0.5743,NO
0.106,1.9974,YES
0.1459,0.3788,NO
0.2252,1.1768,NO
0.2571,1.4003,NO
0.2375,0.9115,NO
0.1453,0.3618,NO
0.2245,4.4351,YES
0.141,0.2139,NO
0.2623,3.9822,YES
0.142,0.9238,NO
0.2555,3.6972,YES
0.2049,0.6467,NO
0.2206,1.137,NO
0.2228,1.2287,NO
0.1032,0.6535,NO
