id,text
114.txt,class gui login date version descript make mask guid patient inclus code hospit card pin attribut access descript privat btn annulla button use return implement mask gui sfondo privat btn cancella button use delet digit type panel key privat btn esegui button use confirm data privat panel panel use see code insert panel key privat panel key panel contain keypad numer use insert code hospit card pin method signatur show login error public access descript show error messag process valid patient success signatur show public access descript mask signatur login public access descript manag event gener patient hospit insert card pin start valid procedur signatur logout public access descript manag event gener patient abandon system
128.txt,class gui resoconto prenotazioni date version descript make mask manag report reserv outpati attribut access descript privat panel parametri panel contain paramet necessari set criteria creation report reserv method signatur resoconto prenotazioni public access descript find inform necessari gener report complianc criteria specifi
129.txt,class gui piani prenotazioni date version descript task mask manag plan reserv outpati attribut access descript privat btn uscita button allow return mask repres gui principal privat panel parametri panel contain paramet necessari set criteria creation plan reserv method signatur piani prenotazioni public access descript find inform necessari gener plan reserv complianc criteria specifi
115.txt,class gui principal date version descript make main form easi clinic box tower form task guid patient choic inform display attribut access descript privat btn anagrafica button use access person detail section privat btn cartella clin button use access ica section folder clinic privat btn prenotazioni button use access reserv section privat btn uscita button use leav applic method signatur show public access descript mask signatur abilita accesso public access descript manag event gener procedur valid end success patient enabl signatur cartella clinica public access descript manag event gener patient obtain access click folder clinic access folder clinic signatur dati pazient public access descript manag event gener patient obtain access click button data detail data detail signatur reserv public access descript manag event gener patient obtain access click button reserv see reserv set
117.txt,class gui prenotazioni date version descript make mask use reserv patient attribut access descript privat btn ritorna button use return mask gui principal privat grid elenco grid reserv meet search criteria set patient privat lista appunta contain reserv patient privat panel parametri panel contain object give possibl patient set paramet research reserv start date search filter type visit method signatur visualizza prenotazioni public access descript filter display reserv lista appuntamenti base criteria chosen patient display result grid elenco signatur get prenotazioni public access descript get reserv patient
116.txt,class gui anagrafica date version descript make mask use show anagrafica data patient attribut access descript privat btn ritorna button use return mask gui principal privat panel dati panel contain data aagrafica patient method signatur visualizza anagrafica public access descript manag view anagrafica data master patient signatur get anagrafica public access get descript anagrafica patient data log
139.txt,class gui elenco prenotazioni date version descript abstract class use defin gui elimina prenotazion class gui seleziona prenotazion attribut access descript privat btn annulla button allow cancel current oper privat grid prenotazioni grid contain reserv activ set patient method signatur notifica successo public access descript task notifi success
138.txt,class gui elimina prenotazion date version descript make mask use manag reserv attribut access descript privat btn annulla button use cancel delet visit privat grid elenco prenotaz contain activ reserv patient method signatur visualizza elenco prenotazioni public access descript reserv patient signatur elimina prenotazion public access descript task find inform necessari realiz gui elimina prenotazion
160.txt,class tipo visita date version descript contain descript differ type visit outpati attribut access descript privat code code type visit pv dh privat descript descript type visit method signatur access descript
148.txt,class prenotazioni manag date version descript task manag oper requir access data relat reserv attribut access descript method signatur delet prenotazion public access descript task manag dispos reserv signatur edit prenotazion public access descript task manag chang data hotel review signatur get data disponibil public access descript given natur visit calcul first date avail visit signatur get prenotazion public access descript task find inform reserv signatur get prenotazioni pazient public access descript task find reserv patient signatur new prenotazion public access descript task manag inclus new reserv signatur save prenotazion public access descript task save stand reserv signatur piano settimanal public access descript task find inform necessari settlement plan reserv weekli signatur tempi medi attesa public access descript task calcul averag time pend serv occur request outpati servic
149.txt,class cartella clinica manag date version descript task manag data make medic record patient attribut access descript method signatur get cartella clinica public access descript find inform clinic filder patient signatur get dettagli public access descript provid load detail visit signatur get dati pazient public access descript task find anagrafica data patient
159.txt,class book date version contain data describ reserv perform outpati attribut access descript data richiesta privat data carri reserv data visita privat date visit take place privat ground reason request privat hour visit take place method signatur creat public access descript task creat new object type reserv signatur delet public access provid descript reserv signatur save public access descript provid store reserv signatur get attribut public access descript retriev inform relat reserv signatur set attribut public access descript set attribut reserv
158.txt,class data laboratori version descript contain data laboratori laid examin outpati attribut access descript zip code privat post privat citi citi locat laboratori privat address address locat laboratori privat parti vat laboratori privat provinc provinc locat laboratori privat ragion social laboratori privat detail laboratori address method signatur creat public access descript task creat new object type laboratori signatur delet public access descript provid elimin data laboratori signatur save public access descript provid storag data laboratori method signatur get attribut public access descript retriev inform relat laboratori signatur set attribut public access descript set attribut laboratori
156.txt,class examin date version descript contain data survey prescrib visit held outpati attribut access descript privat data patient carri examin privat diagnosi medic diagnosi individu result result method signatur creat public access descript task creat new object type discuss signatur delet public access descript provid elimin examin signatur save public access descript provid storag data examin method signatur get attribut public access descript find inform examin signatur set attribut public access descript attribut set examin
142.txt,class operator manag date version descript task manag oper access easi softwar system clinch oper attribut access descript method login signatur public access descript task manag oper login signatur logout public access descript task manag oper logout
143.txt,class print manag date version descript task manag oper press contribut oper attribut access descript method signatur stampa hospit card public access descript task provid retriev inform necessari print hospit card signatur stampa piano settimanal public access descript task provid retriev inform necessari print plan reserv weekli tabular form signatur stampa resoconto esami public access descript task provid retriev inform necessari print report examin oper requir signatur stampa resoconto prenotazioni public access descript task provid retriev inform necessari print report reserv oper requir signatur stampa resoconto visit public access descript task provid retriev inform necessari print record visit oper requir
157.txt,class tipo esam date version descript contain descript differ type test attribut access descript privat descript descript type examin method signatur access descript
141.txt,class gui esam date version make descript mask use manag examin relat particular visit attribut access descript privat btn delet button allow start procedur delet examin privat btn edit button allow start procedur chang review privat btn new button allow start procedur input new examin privat btn save button allow start procedur save review just chang ad privat btn undo button allow cancel oper perform method signatur notifica successo public access descript task notifi success chang insert delet signatur visualizza dati esam public access descript task see detail examin signatur visualizza elenco esami public access descript task see examin visit signatur examin public access descript task find inform necessari realiz gui esam
155.txt,class visit date version contain data descript visit held outpati attribut access descript histori histori privat doctor privat data patient support visit privat diagnosi medic diagnosi privat reason ground visit privat rilevazioni strume instrument observ ntal visit privat therapi treatment prescrib doctor method signatur creat public access descript task creat new object type visit signatur delet public access provid descript visit signatur save public access descript provid data storag visit signatur get attribut public access descript find inform visit signatur set attribut public access descript set attribut patient
154.txt,class patient data version descript contain age patient outpati attribut access descript data registrazion privat data patient contact first time outpati method signatur creat public access descript task creat new object type patient signatur get attribut public access descript find inform relat signatur save public access descript provid storag data patient signatur set attribut public access descript set attribut patient method signatur valida pazient public access descript procedur valid patient
140.txt,class gui visita date version descript make mask use manag visit outpati attribut access descript privat btn delet button allow start procedur delet visit privat btn edit button allow start procedur chang visit privat btn new button allow start procedur input new visit privat btn save button allow start procedur save visit just chang ad privat btn undo button allow cancel oper perform method signatur notifica successo public access descript task notifi success signatur visualizza elenco visit public access descript task see visit signatur examin public access descript task manag event gener oper select visit requir access section show examin visit signatur visit public access descript task find inform necessari realiz gui visita
144.txt,class hospit card manag date version descript task manag oper requir access data allhospit card attribut access descript method signatur assegna hc public access descript task assign card hospit patient signatur get hospit card public access return descript data card hospit patient signatur login public access descript code hospit card pin verifi patient present signatur save hc public access descript perman store data hospit card signatur valida pazient public access descript code hospit card verifi patient insid
150.txt,class visit manag date version descript task manag oper requir access data visit perform outpati attribut access descript method signatur delvi public access descript task manag dispos visit signatur edit visita public access descript task manag chang data visit signatur get elenco visit public access provid descript retriev visit signatur get visita public access descript task find inform visit signatur new visita public access descript task manag inclus new visit signatur resoconto visit public access descript task find inform necessari composit statement visit given gap time
151.txt,class person date version descript abstract class use defin oper class doctor patient attribut access descript cap privat postal code codic fiscal privat compani id person privat first person data nascita privat date birth person privat address address person luogo nascita privat place birth person luogo residenza privat place resid person privat person privat note addit note privat provincia nascita provinc birth person provincia residen privat resid provinc person privat detail person address privat sex sex person method signatur access descript
145.txt,class pazient manag date version descript task manag oper requir access person data patient attribut access descript method signatur edit pazient public access descript manag updat data patient signatur find pazient public access descript check particular patient signatur get dati pazient public access descript task find inform relat person data given patient signatur new pazient public access descript task creat new patient
153.txt,medic class date version contain descript doctor age outpati attribut access descript privat anno abilitazion year doctor licens practic profess method signatur creat public access descript task creat new object type doctor signatur delet public access descript delet doctor signatur get attribut public access descript retriev inform relat doctor signatur save public access descript provid storag data doctor signatur set attribut public access descript set attribut physician
147.txt,class laboratori manag date version descript task manag oper requir access data laboratori attribut access descript method signatur del laboratorio public access task descript control delet data laboratori method signatur edit laboratorio public access descript task manag chang data laboratori signatur get elenco laboratori public access descript task obtain laboratori signatur get laboratorio public access descript task find inform laboratori signatur new laboratorio public access descript task manag insert new laboratori
146.txt,class medici manag date version descript task manag oper requir access anagrafica data doctor outpati attribut access descript method signatur del medico public access descript task manag dispos data detail doctor signatur edit medico public access descript task manag chang data anagrafica doctor signatur get elenco medici public access descript task find anagrafica data doctor signatur get medico public access descript task rais anagrafica doctor signatur new media public access descript task manag insert new doctor
152.txt,oper class date version contain descript employe outpati attribut access descript privat oper login login privat password associ login password method signatur valida operator public access descript procedur valid oper
135.txt,class gui seleziona prenotazion date version make descript permit mask oper select particular reserv attribut access descript privat btn seleziona prenota button allow confirm option select reserv method signatur seleziona prenotazioni public access descript retriev inform necessari realiz gui seleziona prenotazioni
121.txt,class gui principal date version descript make main form easi clinic box tower form task guid patient choic inform display attribut access descript privat btn anagrafica button use access anagrafica section privat btn cartella clin button use access ica section folder clinic privat btn prenotazioni button use access reserv section privat btn uscita button use leav applic method show public access descript mask signatur abilita accesso public access descript manag event gener procedur valid goe signatur laboratori public access descript manag event gener oper access section devot laboratori signatur manag public access descript manag event gener oper access section manag outpati signatur doctor public access descript manag event gener oper access section manag data doctor outpati signatur prima visita public access descript manag event gener oper start procedur reserv first visit signatur tour public access descript manag event gener oper access section manag visit signatur reserv public access descript manag event gener oper reserv access section report
120.txt,class gui login date version descript make mask guid oper valid attribut access descript privat btn annulla button use end implement easi clinic oper privat btn esegui button use confirm data privat panel dati panel contain box text oper enter login method signatur show login error public access descript show error messag process valid success signatur login public access descript manag event gener patient start process valid signatur logout public access descript manag event oper leav system
134.txt,class gui prenota visita date version descript make mask manag book visit attribut access descript privat btn annulla button allow return implement mask gui pazient privat btn conferma tipo button allow confirm type access reserv privat btn prenota button allow confirm reserv privat panel data visita panel contain date propos visit system privat panel dati panel contain necessari data make reserv privat panel tipo visita panel contain variou type visit book method signatur notifica successo public access descript task notifi success signatur show public access descript mask signatur visualizza data visi public access ta descript date propos system signatur visualizza dati visi public access ta descript data reserv signatur elimina prenotazion public access descript manag event gener oper select reserv start procedur delet signatur modifica prenotazion public access descript manag event gener oper select reserv start procedur chang signatur prenota visita public access descript manag event gener oper select start reserv process new visit signatur prima visita public access descript manag event gener oper select reserv start procedur reserv first visit
122.txt,class gui anagrafica date version descript abstract class use defin gui anagrafica laboratorio class gui anagrafica madico attribut access descript privat btn elimina button allow start delet procedur anagrafica laboratori doctor privat btn modifica button allow start procedur chang th anagrafica laboratori doctor privat btn nuovo button allow start procedur input laboratori doctor privat panel dati panel contain data concern age examin method signatur notifica successo public access descript display messag notifi success oper carri oper
136.txt,class gui anagrafica pazient date version descript make mask use manag anagrafica data patient attribut access descript privat btn annulla button allow return mask implement gui pazient privat btn salva button allow confirm oper privat panel dati panel contain necessari data insert chang data patient method signatur notifica successo public access descript task notifi success signatur show public access descript mask signatur visualizza dati pazient public access descript patient data signatur edit pazient public access descript task find inform necessari modif patient signatur new pazient public access descript task initi proceed insert new patient signatur save pazient public access descript task initi proceed save data new patient
137.txt,class gui hospit card date version descript make mask use dell hospit card newli record patient attribut access descript method signatur visualizza hospit card public access descript data hospit card signatur stampa hc public access descript task find data view data dell hospit card
123.txt,class gui anagrafica laboratorio date version descript make mask manag anagrafica laboratori attribut access descript privat grid elenco laborat contain inform gold key laboratori regist method signatur visualizza dati laboratorio public access descript detail laboratori select panel dati signatur visualizza elenco laboratori public access descript laboratori regist signatur gestion anagrafica public access descript retriev inform necessari organ mask implement gui anagrafica laboratorio
127.txt,class gui resoconto esami date version descript make mask manag report examin prescrib visit incur outpati attribut access descript privat panel parametri panel contain paramet necessari set criteria creation report examin method signatur resoconto esami public access descript find inform necessari gener report complianc criteria specifi
133.txt,class gui pazient date version descript make mask manag reserv patient oper attribut access descript privat btn annulla prenot button allow start action procedur delet procedur privat btn modifica dati button allow start pazient procedur chang data anagrafica patient privat btn modifica preno button allow start assess procedur chang reserv privat btn prenota visita button allow start reserv procedur visit method signatur show public access descript mask signatur abilita accesso public access descript manag event gener procedur valid goe signatur elimina prenotazion public access task descript call handler class associ mask repres gui elimina prenotazuion begin process delet reserv signatur modifica anagrafica public access descript task draw handler class associ mask repres gui anagrafica pazient begin process review data anagrafica patient signatur modifica prenotazion public access descript task draw handler class associ mask repres gui anagrafica pazient start procedur review data relat reserv signatur prenota visita public access descript task draw handler class associ mask repres gui prenota visita start procedur reserv visit
132.txt,class gui login pazient date version descript make mask manag access part section patient attribut access descript privat btn valida button start process access patient privat btn annulla button let exit login mask privat edit codic hc text box use allow oper enter code dell hospit card patient privat edit codoc fiscal text box use enabl oper enter tax code patient method signatur show login error public access descript show error messag procedur access section patient fail signatur login public access descript manag event gener oper insert code card dellhospit patient tax code run valid procedur
126.txt,class gui resoconto visit date version descript make mask manag report visit requir outpati attribut access descript privat panel parametri panel contain paramet necessari set criteria creation report visit method signatur resoconto visit public access descript find inform necessari gener report complianc criteria specifi
