Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,PathAggregation,Technique,AUC,Credibility,LagGlobal,MAP
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,MULTI,VSM,NA,ALLTRACED_RFSMOTE_MULTI_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,SINGLE,LSA,NA,ALLTRACED_RFUNDER_SINGLE_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,MULTI,LSA,NA,ALLTRACED_RFNONE_MULTI_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,RAW,VSM,NA,ALLTRACED_RFUNDER_RAW_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,MULTI,LSA,NA,ALLTRACED_RFUNDER_MULTI_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,SINGLE,VSM,NA,ALLTRACED_MAX_SINGLE_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,RAW,LSA,NA,ALLTRACED_RFNONE_RAW_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,RAW,VSM,NA,ALLTRACED_SUM_RAW_VSM,1.0,0.2761904761904762,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,SINGLE,VSM,NA,ALLTRACED_RFSMOTE_SINGLE_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,SINGLE,LSA,NA,ALLTRACED_RFNONE_SINGLE_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,MULTI,VSM,NA,ALLTRACED_RFUNDER_MULTI_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,MULTI,VSM,NA,ALLTRACED_RFNONE_MULTI_VSM,1.0,1.0,0.0,1.0
