50Traced_NONETRACED_SUM_SINGLE_VSM_69_MEDIAN,Associated
0.5935,NO
0.985,NO
0.4853,NO
1.0122,NO
0.6888,NO
0.5415,NO
0.9326,NO
0.4747,NO
0.9679,NO
2.4356,YES
0.7802,NO
2.2263,YES
0.3795,NO
0.8898,NO
0.47600000000000003,NO
1.1491,NO
0.8039,NO
0.7607,NO
0.37,NO
1.0768,NO
0.6127,NO
2.1638,YES
2.1786,YES
1.8617,YES
1.7541,YES
0.7361,NO
1.7384,YES
0.6267,NO
1.1271,YES
1.7071,YES
1.3746,NO
1.2438,NO
0.8824,NO
0.9885,NO
2.0438,YES
0.8723,YES
1.0531,NO
0.3735,NO
0.7604,NO
0.5893,NO
0.9859,NO
1.2687,NO
0.9301,NO
1.9322,YES
1.1498,NO
1.9106,YES
0.9983,NO
2.06,YES
1.0636,NO
0.6779999999999999,NO
0.5807,NO
0.9421,NO
0.5045,NO
0.9940000000000001,NO
0.5616,NO
1.1377,NO
0.2301,NO
0.6077,NO
0.8044,NO
1.5851,NO
0.9764,NO
0.7446,NO
0.7322,NO
0.2716,NO
1.1876,NO
3.3206,YES
1.2757,NO
3.0825,YES
0.406,NO
0.9364,NO
0.4076,NO
0.4821,NO
1.1334,NO
0.1946,NO
0.4967,NO
0.6319,NO
0.9461,NO
2.9971,YES
3.2244,YES
2.8728,YES
2.3799,YES
0.9488,NO
2.3659,YES
0.8355,NO
1.9951,YES
1.9921,YES
1.5106,NO
1.4776,NO
0.7642,NO
1.4511,NO
2.6392,YES
1.6657,YES
1.5382,NO
1.0714,NO
1.2273,NO
1.2981,NO
0.8705,NO
1.4791,NO
1.0456,NO
2.7659,YES
1.4916,NO
2.8451,YES
0.7244,NO
2.8335,YES
0.8265,NO
1.2968,NO
1.1728,NO
1.0348,NO
0.9671,NO
1.7099,NO
0.9304,NO
1.4266,NO
0.4121,NO
0.8185,NO
1.7477,YES
4.4271,YES
3.9164,YES
1.3074,YES
1.123,NO
0.196,NO
1.2477,YES
0.1395,NO
1.7783,YES
0.4389,NO
0.4746,NO
0.9747,NO
0.3615,NO
0.4612,NO
4.2777,YES
0.5581,NO
4.2698,YES
0.8315,NO
3.932,YES
0.7402,NO
0.7533,NO
1.2148,NO
0.4757,NO
1.3196,YES
0.8776,NO
1.4732,YES
0.4014,NO
0.7607,NO
0.445,NO
1.5323,NO
0.8614,NO
0.3275,NO
0.8511,NO
0.5048,NO
0.9229,NO
3.4248,YES
1.0292,NO
3.2043,YES
0.1987,NO
0.6348,NO
0.2134,NO
0.7987,NO
0.9747,NO
0.4457,NO
0.3103,NO
0.6967,NO
0.8170000000000001,NO
3.0058,YES
3.2477,YES
2.7524,YES
2.2536,YES
0.5017,NO
2.1567,YES
0.2784,NO
0.5806,NO
1.0106,NO
1.7257,YES
4.6443,YES
4.1836,YES
1.3339,YES
1.2919,NO
0.2026,NO
1.3772,YES
1.2501,NO
1.5943,YES
1.4857,NO
0.8311,NO
1.7772,NO
0.9604,NO
0.6767,NO
4.4415,YES
0.4783,NO
4.3064,YES
1.025,NO
3.9302,YES
1.8888,NO
1.9165,NO
2.1514,NO
1.4403,NO
1.3468,YES
1.6937,NO
1.6363,YES
0.1415,NO
0.4424,NO
1.2924,NO
1.6395,NO
0.8651,NO
1.4431,NO
0.7379,NO
0.2506,NO
1.7227,NO
2.7123,YES
1.7732,NO
2.7751,YES
0.2811,NO
0.6676,NO
0.2838,NO
0.3637,NO
1.1373,NO
0.2586,NO
0.575,NO
0.8972,NO
1.3366,NO
2.4811,YES
2.5566,YES
2.4558,YES
2.1021,YES
1.5044,NO
1.8428,YES
1.4861,NO
0.3562,NO
1.0311,NO
1.7469,NO
1.7855,NO
1.1045,NO
1.8944,NO
1.0388,NO
0.4435,NO
2.6035,NO
3.6794,YES
2.5586,NO
3.467,YES
0.6759,NO
1.1187,NO
0.5783,NO
0.9606,NO
1.4445,NO
0.6085,NO
0.4381,NO
0.8279,NO
1.4014,NO
3.4572,YES
3.5463,YES
3.8114,YES
2.536,YES
2.0291,NO
2.9353,YES
1.7009999999999998,NO
0.4917,NO
0.5589,NO
1.1667,NO
2.1216,NO
1.4099,NO
1.2257,NO
1.2768,NO
0.517,NO
1.8749,NO
3.5006,YES
1.9301,NO
3.4853,YES
0.8447,NO
1.2699,NO
0.8031,NO
0.7027,NO
1.7202,NO
0.4675,NO
0.8444,NO
1.1133,NO
1.5979,NO
3.1853,YES
3.4731,YES
3.2743,YES
2.4737,YES
1.379,NO
2.7329,YES
1.3726,NO
0.3515,NO
0.6183,NO
0.3266,NO
1.5306,NO
0.9546,NO
0.3698,NO
0.8341,NO
0.3343,NO
0.9445,NO
3.077,YES
0.8483,NO
2.8738,YES
0.336,NO
0.8882,NO
0.4647,NO
0.6268,NO
0.9925,NO
0.2784,NO
0.4404,NO
0.6032,NO
0.8175,NO
2.8298,YES
2.9729,YES
2.5389,YES
1.9364,YES
0.5194,NO
2.0774,YES
0.40399999999999997,NO
0.28800000000000003,NO
1.2532,NO
5.3346,YES
1.682,YES
1.9859,YES
5.5367,YES
1.0791,NO
0.4444,NO
5.8083,YES
0.8068,NO
6.135,YES
1.1369,NO
1.3689,NO
1.1851,NO
0.6383,NO
0.7349,NO
2.1906,YES
0.7363,NO
1.4978,YES
1.4509,NO
3.2019,YES
1.8163,NO
1.3867,NO
3.7528,NO
1.2358,NO
5.4918,YES
3.0662,NO
5.4254,YES
0.4312,NO
0.6996,NO
2.7969,YES
1.4537,NO
1.4329,NO
3.407,YES
0.8872,NO
0.1097,NO
3.8243,YES
0.4751,NO
3.3037,YES
