50Traced_NONETRACED_SUM_RAW_LSA_22_MEDIAN,Associated
0.4113,NO
0.0654,NO
0.7069,NO
0.4006,NO
0.2569,NO
0.4012,NO
0.596,NO
0.1347,NO
0.2639,NO
2.0456,YES
0.21600000000000003,NO
1.3382,YES
0.3135,NO
0.228,NO
0.2719,NO
0.1538,NO
0.3865,NO
0.3101,NO
0.121,NO
0.2384,NO
0.1918,NO
2.4761,YES
2.3914,YES
0.8874,YES
1.7797,YES
0.4248,NO
2.3044,YES
0.1842,NO
1.3056,YES
0.4108,YES
0.5856,NO
0.5221,NO
0.3133,NO
0.3502,NO
2.0988,YES
0.5428,YES
0.3947,NO
0.1802,NO
0.2429,NO
0.1058,NO
0.2653,NO
0.4083,NO
0.4907,NO
1.3532,YES
0.4015,NO
2.1117,YES
0.33899999999999997,NO
2.1928,YES
0.45399999999999996,NO
0.2095,NO
0.4894,NO
0.1698,NO
0.2384,NO
0.2293,NO
0.3281,NO
0.3491,NO
0.4612,NO
0.1534,NO
0.9888,NO
0.465,NO
0.39899999999999997,NO
0.6701,NO
0.7013,NO
0.1363,NO
0.7453,NO
2.1856,YES
0.4186,NO
1.3321,YES
0.4086,NO
0.4214,NO
0.3926,NO
0.4156,NO
0.5933,NO
0.4899,NO
0.3416,NO
0.3733,NO
0.5525,NO
2.1457,YES
2.2965,YES
0.8948,YES
1.6753,YES
0.6329,NO
2.1769,YES
0.6018,NO
1.296,YES
0.3207,YES
0.6395,NO
0.4606,NO
0.3782,NO
0.4882,NO
1.4753,YES
0.5471,YES
0.6635,NO
0.3166,NO
0.4802,NO
0.2194,NO
0.2289,NO
0.2945,NO
0.3258,NO
0.6709999999999999,YES
0.3004,NO
1.4064,YES
0.2974,NO
1.4893,YES
0.4447,NO
0.3944,NO
0.539,NO
0.231,NO
0.2069,NO
0.3554,NO
0.4207,NO
0.6197,NO
0.2679,NO
0.1745,NO
0.7044,YES
1.5771,YES
1.9916,YES
0.7547,YES
0.3847,NO
0.0953,NO
0.5973,YES
0.2882,NO
0.5681,YES
0.1974,NO
0.4159,NO
0.7846,NO
0.586,NO
0.3165,NO
1.3718,YES
0.1894,NO
1.3517,YES
0.3214,NO
3.193,YES
0.2387,NO
0.7732,NO
0.4995,NO
0.08900000000000001,NO
0.9335,YES
0.5519,NO
0.617,YES
0.6372,NO
0.2462,NO
0.9719,NO
0.7296,NO
0.3786,NO
0.8936,NO
0.6995,NO
0.319,NO
0.8341,NO
3.4571,YES
0.2173,NO
1.6619,YES
0.4917,NO
0.2981,NO
0.2772,NO
0.4304,NO
0.8221,NO
0.3996,NO
0.5123,NO
0.3268,NO
0.6368,NO
3.3686,YES
3.4167,YES
1.3193,YES
3.2024,YES
0.627,NO
3.1326,YES
0.5616,NO
0.2423,NO
0.174,NO
0.6247,YES
1.7538,YES
1.0225,YES
0.6792,YES
0.41,NO
0.1719,NO
0.7904,YES
0.4389,NO
0.5462,YES
0.1459,NO
0.2442,NO
0.4983,NO
0.3311,NO
0.3241,NO
1.6012,YES
0.2699,NO
1.5091,YES
0.2901,NO
2.2675,YES
0.4382,NO
0.7955,NO
0.4508,NO
0.5754,NO
0.7279,YES
0.6301,NO
0.703,YES
0.2909,NO
0.1099,NO
0.8164,NO
0.4225,NO
0.3691,NO
0.43700000000000006,NO
0.6062,NO
0.1536,NO
