50Traced_NONETRACED_MAX_SINGLE_VSM_80_SUM,Associated
0.17829611908559276,NO
0.1726475279106858,NO
0.1516480595427964,NO
0.32349813928761295,NO
0.22328548644338114,NO
0.09782030834662414,NO
0.17251461988304093,NO
0.17444178628389156,NO
0.1286549707602339,NO
0.7834263689526848,YES
0.11656034024455078,NO
0.8439659755449229,YES
0.1697900053163211,NO
0.2416267942583732,NO
0.21770334928229668,NO
0.2052099946836789,NO
0.27923976608187134,NO
0.20301701222753854,NO
0.17410951621477938,NO
0.2741228070175439,NO
0.2006911217437533,NO
0.6711190855927698,YES
0.6727804359383307,YES
0.7301967038809145,YES
0.7788410419989367,YES
0.1801568314726209,NO
0.6669324827219565,YES
0.10832004253056884,NO
0.6905901116427433,YES
0.7817650186071239,YES
0.34994683678894206,NO
0.22288676236044658,NO
0.20813397129186606,NO
0.1958399787347156,NO
0.8816454013822435,YES
0.6829479000531631,YES
0.21258639021796916,NO
0.22873471557682085,NO
0.19171982987772465,NO
0.22886762360446572,NO
0.16998936735778838,NO
0.12353801169590645,NO
0.09316852737905368,NO
0.8061536416799575,YES
0.17876129718234982,NO
0.6941786283891547,YES
0.11350345560871875,NO
0.8452286018075492,YES
0.159223817118554,NO
0.23910154173312065,NO
0.209662413609782,NO
0.2406299840510367,NO
0.21185539606592235,NO
0.24840510366826152,NO
0.1675305688463583,NO
0.19351408825093036,NO
0.15723019670388094,NO
0.20029239766081874,NO
0.24681020733652315,NO
0.37008240297713985,NO
0.2791733120680489,NO
0.20487772461456671,NO
0.2307283359914939,NO
0.13217703349282298,NO
0.26309144072301965,NO
0.9233120680489102,YES
0.299973418394471,NO
0.7532562466772994,YES
0.2088649654439128,NO
0.23744019138755984,NO
0.22461456671982988,NO
0.22587719298245618,NO
0.4544125465178097,NO
0.18261562998405104,NO
0.34403242955874536,NO
0.21497873471557682,NO
0.3046916533758639,NO
0.9160685805422646,YES
0.9019138755980862,YES
0.8621079213184477,YES
0.7370414673046253,YES
0.2686071238702818,NO
0.7474082934609252,YES
0.20899787347155768,NO
0.7059409888357258,YES
0.7398989898989898,YES
0.41321105794790003,NO
0.29877724614566714,NO
0.2884768740031898,NO
0.2859516214779373,NO
0.8476209463051569,YES
0.7019537480063796,YES
0.2054093567251462,NO
0.4174641148325358,NO
0.24282296650717705,NO
0.4131446039340776,NO
0.13922115895800105,NO
0.1768341307814992,NO
0.16188197767145135,NO
0.7471424774056352,YES
0.24993354598617756,NO
0.6739101541733121,YES
0.20899787347155768,NO
0.824096225412015,YES
