50Traced_NONETRACED_SUM_MULTI_LSA_90_MEDIAN,Associated
0.5323,NO
0.3495,NO
0.4359,NO
0.2698,NO
0.9224,NO
1.3716,NO
1.1793,NO
0.7604,NO
0.9146,NO
2.1812,YES
0.7549,NO
1.7723,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.7311,NO
0.8803,NO
0.8764,NO
0.7381,NO
0.3961,NO
0.5467,NO
2.6644,YES
2.5838,YES
2.435,YES
1.7562,YES
0.6106,NO
2.7121,YES
0.6511,NO
1.7675,YES
1.1248,YES
0.7377,NO
0.6182,NO
0.5695,NO
0.6643,NO
1.6568,YES
1.7254,YES
0.5293,NO
0.7973,NO
0.4521,NO
0.5973,NO
0.7136,NO
0.9924,NO
0.5769,NO
1.3158,YES
0.5569,NO
1.7638,YES
0.7277,NO
1.3025,YES
0.6975,NO
0.9505,NO
0.9675,NO
1.1166,NO
0.7331,NO
0.6984,NO
1.0441,NO
0.6602,NO
0.8717,NO
0.5697,NO
0.7759,NO
1.0190000000000001,NO
1.6469999999999998,NO
2.1164,NO
1.6272,NO
0.9657,NO
1.3882,NO
3.1519,YES
1.1648,NO
2.594,YES
0.9775,NO
0.7924,NO
0.6098,NO
0.8733,NO
1.6181,NO
1.0202,NO
1.6054,NO
0.6358,NO
1.5959,NO
3.7604,YES
3.8506,YES
3.7066,YES
2.5452,YES
1.1493,NO
3.7506,YES
1.0416,NO
2.0746,YES
0.7031,YES
0.9022,NO
0.4218,NO
0.1741,NO
0.8355,NO
1.2635,YES
1.8594,YES
0.8225,NO
0.3346,NO
0.7345,NO
0.2695,NO
0.2969,NO
0.4985,NO
0.2075,NO
0.9216,YES
0.3379,NO
1.8781,YES
0.45,NO
1.6102,YES
0.3842,NO
0.5432,NO
0.6672,NO
0.6902,NO
0.3839,NO
1.0651,NO
0.4028,NO
0.7513,NO
1.048,NO
0.428,NO
1.9281,YES
4.6026,YES
3.4996,YES
2.5361,YES
0.9373,NO
0.4682,NO
2.4638,YES
0.725,NO
2.6731,YES
0.6709,NO
1.1122,NO
1.1454,NO
0.9502,NO
0.56,NO
3.9479,YES
0.6058,NO
4.2814,YES
0.8833,NO
4.4838,YES
1.271,NO
1.4908,NO
1.1577,NO
0.6935,NO
2.6391,YES
1.3336,NO
2.0618,YES
0.9036,NO
0.5075,NO
1.2295,NO
0.4611,NO
1.3374,NO
2.6059,NO
1.6565,NO
1.0152,NO
1.4981,NO
3.2737,YES
1.2117,NO
2.4704,YES
0.6814,NO
0.4397,NO
0.2052,NO
0.8257,NO
1.1078,NO
1.1217,NO
1.3141,NO
0.6549,NO
1.0326,NO
3.6525,YES
3.8991,YES
3.6353,YES
2.5,YES
1.215,NO
3.8675,YES
0.9905,NO
1.1718,NO
0.5249,NO
1.3534,YES
3.7002,YES
2.8048,YES
1.7519,YES
1.0992,NO
0.688,NO
1.6973,YES
0.8772,NO
1.9176,YES
0.8187,NO
0.9458,NO
0.8951,NO
0.7659,NO
0.6493,NO
3.3542,YES
0.7702,NO
3.5796,YES
0.9476,NO
3.6836,YES
1.2687,NO
1.482,NO
0.9802,NO
0.8618,NO
1.925,YES
1.2321,NO
1.5105,YES
