50Traced_NONETRACED_SUM_MULTI_LSA_3_MAX,Associated
1.7713,NO
0.5992,NO
1.1375,NO
1.7896,NO
1.1754,NO
0.9587,NO
1.6093,NO
0.4698,NO
1.6872,NO
3.6712,YES
1.652,NO
1.6118,YES
1.2914,NO
1.6497,NO
0.4185,NO
0.5895,NO
1.415,NO
0.8698,NO
1.0204,NO
0.7102,NO
1.8029,NO
3.1992,YES
3.4399,YES
3.7184,YES
2.8808,YES
1.2453,NO
2.9541,YES
0.6946,NO
2.2615,YES
0.8829,YES
0.8907,NO
0.7504,NO
0.5506,NO
0.9567,NO
1.4769999999999999,YES
1.0957,YES
1.0084,NO
0.7638,NO
1.0703,NO
0.3795,NO
1.1112,NO
0.6964,NO
0.5244,NO
2.1075,YES
0.7004,NO
1.5154,YES
0.3906,NO
2.0939,YES
0.7681,NO
0.5623,NO
0.7046,NO
0.7998,NO
0.6025,NO
0.8913,NO
0.8129,NO
0.4227,NO
1.6536,NO
0.5628,NO
1.1474,NO
2.1118,NO
1.3587,NO
0.9944,NO
1.4412,NO
0.4257,NO
1.6369999999999998,NO
3.3348,YES
1.4741,NO
1.6021,YES
1.246,NO
1.3058,NO
0.3427,NO
0.5282,NO
1.5244,NO
0.8995,NO
1.2615,NO
0.6715,NO
1.9383,NO
3.1901,YES
3.4688,YES
3.293,YES
2.8657,YES
1.1801,NO
2.6615,YES
0.7603,NO
2.375,YES
1.1294,YES
0.579,NO
0.6257,NO
0.442,NO
0.7467,NO
1.6893,YES
1.0161,YES
0.6915,NO
0.6053,NO
0.7854,NO
0.2487,NO
0.6133,NO
0.4171,NO
0.2075,NO
2.346,YES
0.8462,NO
1.5207,YES
0.3625,NO
2.1839,YES
0.6209,NO
0.2914,NO
0.2958,NO
0.4093,NO
0.429,NO
0.7272,NO
0.6245,NO
0.4399,NO
0.8506,NO
0.6185,NO
1.9669999999999999,YES
3.5779,YES
3.4906,YES
1.8609,YES
1.6386,NO
0.0888,NO
2.8524,YES
0.7488,NO
1.8147,YES
0.6297,NO
1.5192,NO
1.8804,NO
0.865,NO
0.6802,NO
4.0775,YES
0.7725,NO
4.4524,YES
0.6727,NO
3.7404,YES
0.7313,NO
1.3902,NO
1.454,NO
0.6091,NO
2.1748,YES
1.4683,NO
1.1801,YES
1.9227,NO
0.6166,NO
1.3538,NO
2.3112,NO
1.4056,NO
1.2114,NO
1.6395,NO
0.5894,NO
1.9075,NO
3.4858,YES
1.5619,NO
1.635,YES
1.6036,NO
1.7697,NO
0.7152,NO
0.7713,NO
1.5684,NO
1.0462,NO
1.2595,NO
0.8104,NO
2.0321,NO
3.2510000000000003,YES
3.6224,YES
3.7005,YES
2.9249,YES
1.4943,NO
2.7245,YES
0.8158,NO
0.6017,NO
0.4949,NO
1.3374,YES
3.1819,YES
2.9046,YES
1.0125,YES
1.1297,NO
0.0918,NO
1.9093,YES
0.4792,NO
0.9941,YES
0.5668,NO
1.2484,NO
1.2172,NO
0.6940000000000001,NO
0.5311,NO
