50Traced_NONETRACED_MAX_MULTI_VSM_52_MAX,Associated
0.3071,NO
0.1819,NO
0.2323,NO
0.2383,NO
0.31,NO
0.2707,NO
0.3258,NO
0.2852,NO
0.2323,NO
1.0,YES
0.1782,NO
0.5949,YES
0.2427,NO
0.3673,NO
0.2223,NO
0.2358,NO
0.36,NO
0.2852,NO
0.2323,NO
0.2179,NO
0.2323,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2502,NO
1.0,YES
0.2156,NO
1.0,YES
1.0,YES
0.3362,NO
0.2304,NO
0.2165,NO
0.2287,NO
1.0,YES
1.0,YES
0.2287,NO
0.1789,NO
0.2287,NO
0.1058,NO
0.3148,NO
0.3082,NO
0.301,NO
0.5717,YES
0.1266,NO
0.904,YES
0.1652,NO
0.5838,YES
0.1256,NO
0.1789,NO
0.1789,NO
0.1789,NO
0.1789,NO
0.228,NO
0.1789,NO
0.1865,NO
0.3088,NO
0.1534,NO
0.3097,NO
0.2865,NO
0.31,NO
0.4016,NO
0.3258,NO
0.294,NO
0.2594,NO
1.0,YES
0.2866,NO
0.5949,YES
0.2728,NO
0.3673,NO
0.2728,NO
0.3167,NO
0.36,NO
0.3069,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2866,NO
1.0,YES
0.2156,NO
1.0,YES
1.0,YES
0.3356,NO
0.2304,NO
0.2013,NO
0.2075,NO
1.0,YES
1.0,YES
0.2341,NO
0.1003,NO
0.2455,NO
0.0887,NO
0.3845,NO
0.3082,NO
0.3667,NO
0.4268,YES
0.1416,NO
0.904,YES
0.1466,NO
0.5838,YES
0.1256,NO
0.1251,NO
0.1385,NO
0.11800000000000001,NO
0.1053,NO
0.2455,NO
0.1351,NO
0.1724,NO
0.2556,NO
0.2493,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.344,NO
0.2493,NO
1.0,YES
0.2975,NO
0.4491,YES
0.1702,NO
0.3877,NO
0.3569,NO
0.3877,NO
0.1652,NO
1.0,YES
0.2254,NO
1.0,YES
0.304,NO
1.0,YES
0.3369,NO
0.462,NO
0.4856,NO
0.2229,NO
1.0,YES
0.2147,NO
0.4367,YES
0.3496,NO
0.2866,NO
0.5722,NO
0.3822,NO
0.3132,NO
0.6333,NO
0.4164,NO
0.2866,NO
0.4753,NO
0.9481,YES
0.1577,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.1926,NO
0.2866,NO
0.3984,NO
0.2866,NO
0.1966,NO
0.2019,NO
0.1641,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.2522,NO
0.174,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.344,NO
0.174,NO
1.0,YES
0.4576,NO
0.4491,YES
0.2419,NO
0.3031,NO
0.3569,NO
0.2375,NO
0.1513,NO
1.0,YES
0.1676,NO
1.0,YES
0.304,NO
1.0,YES
0.4608,NO
0.462,NO
0.4856,NO
0.4608,NO
1.0,YES
0.4608,NO
0.4367,YES
0.3496,NO
0.1493,NO
0.5722,NO
0.3822,NO
0.3069,NO
0.6333,NO
0.4164,NO
0.2816,NO
0.4753,NO
0.8204,YES
0.3347,NO
0.4525,YES
0.4316,NO
0.3824,NO
0.4316,NO
0.3282,NO
0.3984,NO
0.318,NO
0.1727,NO
0.2256,NO
0.126,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.3496,NO
0.1374,NO
0.5722,NO
0.3822,NO
0.2823,NO
0.6333,NO
0.4164,NO
0.1871,NO
0.4753,NO
0.7547,YES
0.3905,NO
0.3322,YES
0.3104,NO
0.3824,NO
0.1069,NO
0.3019,NO
0.3984,NO
0.2925,NO
0.3237,NO
0.1309,NO
0.3237,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.3496,NO
0.307,NO
0.5722,NO
0.3822,NO
0.31,NO
0.6333,NO
0.4164,NO
0.307,NO
0.4753,NO
1.0,YES
0.2964,NO
0.5949,YES
0.3649,NO
0.3824,NO
0.3649,NO
0.3282,NO
0.3984,NO
0.318,NO
0.3827,NO
0.1912,NO
0.2005,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.3496,NO
0.1712,NO
0.5722,NO
0.3822,NO
0.2937,NO
0.6333,NO
0.4164,NO
0.2562,NO
0.4753,NO
0.9475,YES
0.1616,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2045,NO
0.2431,NO
0.3984,NO
0.2562,NO
0.3847,NO
0.1702,NO
0.2072,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.3009,NO
0.2734,NO
1.0,YES
1.0,YES
0.5589,YES
1.0,YES
0.4024,NO
0.2734,NO
1.0,YES
0.1689,NO
1.0,YES
0.1702,NO
0.4238,NO
0.3856,NO
0.1716,NO
0.1176,NO
0.4942,YES
0.2471,NO
1.0,YES
0.308,NO
1.0,YES
0.3369,NO
0.462,NO
0.5289,NO
0.242,NO
1.0,YES
0.5104,NO
0.6773,YES
0.3618,NO
0.1547,NO
0.7454,YES
0.4032,NO
0.2297,NO
0.8451,YES
0.4093,NO
0.1329,NO
0.9273,YES
0.2414,NO
1.0,YES
0.1578,NO
0.4413,NO
0.474,NO
0.2648,NO
0.171,NO
0.4013,NO
0.1411,NO
0.4032,NO
0.1451,NO
0.4032,NO
0.2942,NO
0.3547,NO
0.3943,NO
0.2942,NO
1.0,YES
0.3359,NO
1.0,YES
0.2178,NO
0.0819,NO
0.6693,YES
0.6773,YES
0.6773,YES
0.6693,YES
0.2595,NO
0.0888,NO
0.6693,YES
0.6083,NO
0.583,YES
0.3044,NO
0.2443,NO
0.2778,NO
0.2048,NO
0.1801,NO
0.6773,YES
0.1744,NO
0.6693,YES
0.2035,NO
0.6773,YES
0.6231,NO
0.6231,NO
0.6231,NO
0.6231,NO
0.6693,YES
0.6231,NO
0.586,YES
0.2057,NO
0.1646,NO
0.8554,YES
0.5554,NO
0.5554,NO
0.6838,YES
0.3433,NO
0.153,NO
0.8554,YES
0.159,NO
0.8554,YES
0.1456,NO
0.3625,NO
0.3856,NO
0.1319,NO
0.1775,NO
0.5554,NO
0.1654,NO
0.4421,NO
0.1664,NO
0.5554,NO
0.2218,NO
0.1764,NO
0.5187,NO
0.2338,NO
1.0,YES
0.5104,NO
0.6773,YES
0.2522,NO
0.1186,NO
1.0,YES
1.0,YES
