50Traced_NONETRACED_SUM_MULTI_LSA_46_MAX,Associated
0.4751,NO
0.2954,NO
0.7434,NO
1.7226,NO
1.0727,NO
1.1585,NO
0.5672,NO
0.2933,NO
0.9169,NO
2.1349,YES
0.6695,NO
1.5009,YES
0.5449,NO
1.1026,NO
0.2223,NO
0.7061,NO
1.0248,NO
0.528,NO
1.0381,NO
0.3132,NO
1.4394,NO
2.2537,YES
1.9946,YES
1.7933,YES
2.2485,YES
1.0087,NO
2.4916,YES
0.8501,NO
2.2678,YES
2.3896,YES
1.1522,NO
0.3905,NO
0.2689,NO
1.4975,NO
1.2655,YES
1.6235,YES
1.2513,NO
0.4114,NO
1.1508,NO
0.3812,NO
0.8059999999999999,NO
1.22,NO
0.2541,NO
1.9795,YES
0.2938,NO
2.2365,YES
0.4558,NO
2.022,YES
0.4635,NO
0.6248,NO
0.8332,NO
0.7453,NO
0.3098,NO
1.2083,NO
0.9816,NO
0.9377,NO
0.5511,NO
0.3644,NO
1.1768,NO
1.3625,NO
0.5922,NO
1.9514,NO
0.4745,NO
0.3653,NO
1.1057,NO
3.0519,YES
1.0676,NO
2.5646,YES
0.7627,NO
1.3523,NO
0.2136,NO
0.9061,NO
0.7394,NO
0.7617,NO
0.6697,NO
0.4448,NO
1.2299,NO
3.1181,YES
2.9652,YES
2.6639,YES
3.2305,YES
1.2252,NO
3.3836,YES
1.0134,NO
1.4681,YES
1.6266,YES
0.8125,NO
0.8381,NO
0.7265,NO
1.0015,NO
1.0129,YES
1.0644,YES
1.0469,NO
0.5767,NO
0.6865,NO
0.3934,NO
1.1214,NO
1.4657,NO
0.508,NO
1.5759,YES
0.818,NO
1.5176,YES
0.3769,NO
1.3389,YES
0.6269,NO
0.5542,NO
0.6889,NO
0.8483,NO
0.1053,NO
0.6724,NO
0.7163,NO
0.8169,NO
1.0027,NO
0.3377,NO
1.7551,YES
3.7842,YES
3.8634,YES
2.5199,YES
0.9685,NO
0.3705,NO
1.8967,YES
0.8867,NO
1.8395,YES
0.6969,NO
0.7838,NO
1.6304,NO
0.4105,NO
0.5646,NO
4.012,YES
0.7881,NO
3.1206,YES
0.8934,NO
3.9676,YES
0.6823,NO
0.7686,NO
1.182,NO
0.7201,NO
2.4724,YES
0.9156,NO
2.4903,YES
0.9409,NO
0.685,NO
2.0839,NO
2.4537,NO
1.489,NO
2.9247,NO
0.9495,NO
0.5148,NO
1.7234,NO
3.4967,YES
1.5866,NO
2.8788,YES
1.0417,NO
1.9965,NO
0.3147,NO
1.0664,NO
1.8395,NO
1.002,NO
1.5889,NO
0.9815,NO
1.8797,NO
3.5121,YES
3.3061,YES
2.9907,YES
3.1484,YES
2.0626,NO
3.9799,YES
1.7069,NO
0.8783,NO
0.3648,NO
1.1983,YES
3.8406,YES
3.5627,YES
1.7887,YES
1.0223,NO
0.3067,NO
1.6182,YES
1.5824,NO
1.021,YES
1.0554,NO
0.9669,NO
1.8607,NO
0.5095,NO
0.6786,NO
3.9323,YES
0.6766,NO
2.9167,YES
0.7490000000000001,NO
3.7425,YES
1.5328,NO
1.2738,NO
1.5107,NO
1.2775,NO
1.5861,YES
1.7858,NO
1.7485,YES
0.2371,NO
0.151,NO
1.0908,NO
2.0298,NO
1.246,NO
1.5761,NO
0.4685,NO
0.1536,NO
0.8179,NO
2.8489,YES
0.6759999999999999,NO
2.1751,YES
0.6173,NO
1.3863,NO
0.2033,NO
0.5214,NO
1.3283,NO
0.3166,NO
1.1945,NO
0.2974,NO
1.4783,NO
2.9643,YES
2.4188,YES
2.5097,YES
2.4449,YES
0.8608,NO
3.1910000000000003,YES
0.7366,NO
0.6137,NO
0.3832,NO
2.33,NO
1.9145,NO
1.1520000000000001,NO
3.1167,NO
0.6444,NO
0.3854,NO
1.7392,NO
3.5682,YES
2.0731,NO
3.1635,YES
1.0013,NO
1.8572,NO
0.1001,NO
0.9388,NO
1.6718,NO
0.6624,NO
1.8667,NO
0.4419,NO
1.8777,NO
3.8564,YES
3.2316,YES
3.6671,YES
3.5079,YES
2.2544,NO
4.2136,YES
1.6185,NO
0.6356,NO
0.6743,NO
2.2139,NO
1.609,NO
0.7465,NO
2.8049,NO
0.8299,NO
0.568,NO
2.081,NO
2.8278,YES
1.8244,NO
2.3842,YES
1.5436,NO
2.1895,NO
0.4925,NO
0.9797,NO
1.1487,NO
0.8065,NO
1.1423,NO
0.8219,NO
1.3562,NO
3.096,YES
2.7423,YES
2.8444,YES
2.8554,YES
2.1693,NO
3.6084,YES
1.7213,NO
0.5513,NO
0.3662,NO
0.3866,NO
1.3448,NO
0.6854,NO
0.9834,NO
0.4885,NO
0.3021,NO
0.5497,NO
2.5359,YES
0.3045,NO
2.1064,YES
0.6644,NO
1.1132,NO
0.2045,NO
0.6405,NO
1.0184,NO
0.6212,NO
0.8796,NO
0.5063,NO
1.3025,NO
2.7338,YES
2.5043,YES
2.1737,YES
2.6848,YES
0.5891,NO
2.7607,YES
0.5477,NO
0.6414,NO
0.2938,NO
4.8582,YES
1.995,YES
1.9969,YES
5.2121,YES
0.5966,NO
0.5225,NO
3.8560000000000003,YES
0.638,NO
4.6046,YES
0.6387,NO
1.0085,NO
1.7157,NO
0.16399999999999998,NO
0.6573,NO
2.178,YES
0.3019,NO
2.3953,YES
0.3464,NO
2.3509,YES
0.914,NO
0.3633,NO
1.9579,NO
0.6929,NO
4.7415,YES
1.8808,NO
3.5201,YES
0.5609,NO
0.3615,NO
1.8317,YES
0.5409,NO
0.5183,NO
1.7398,YES
0.1827,NO
0.35100000000000003,NO
1.4374,YES
0.5117,NO
1.6088,YES
0.7068,NO
0.3264,NO
0.5538,NO
0.2648,NO
0.171,NO
1.0417,NO
0.2047,NO
0.8322,NO
0.2904,NO
0.4209,NO
0.8108,NO
0.364,NO
1.2784,NO
0.1937,NO
1.2929,YES
1.4037,NO
0.9389,YES
0.5124,NO
0.2593,NO
2.576,YES
3.1994,YES
3.0766,YES
3.3789999999999996,YES
0.7164,NO
0.2956,NO
2.0527,YES
1.5431,NO
2.26,YES
1.2770000000000001,NO
0.9111,NO
1.9709999999999999,NO
0.4576,NO
0.6547,NO
3.3584,YES
0.4414,NO
2.7674,YES
0.5847,NO
3.2694,YES
1.7201,NO
1.0467,NO
2.198,NO
1.097,NO
2.9051,YES
1.6729,NO
2.4673,YES
0.3087,NO
0.1646,NO
2.9897,YES
1.4975,NO
1.6019,NO
3.4622,YES
0.4644,NO
0.3583,NO
2.4118,YES
1.01,NO
2.2875,YES
1.2145,NO
1.0224,NO
1.5897,NO
0.266,NO
0.3225,NO
1.9469999999999998,NO
0.3252,NO
1.6769999999999998,NO
0.4264,NO
1.7586,NO
0.8483,NO
0.8876,NO
1.7809,NO
0.8926,NO
2.4321,YES
1.5565,NO
2.5514,YES
0.9553,NO
0.2502,NO
1.1068,YES
3.6645,YES
3.6099,YES
1.9264,YES
0.7373,NO
0.182,NO
1.4185,YES
1.1138,NO
1.1565,YES
0.73,NO
0.4902,NO
1.2719,NO
0.3748,NO
0.6528,NO
3.8942,YES
0.715,NO
2.5557,YES
0.6819,NO
3.6756,YES
0.7168,NO
0.9059,NO
0.8881,NO
0.7222,NO
1.7229,YES
0.8369,NO
1.795,YES
2.1099,YES
2.1145,YES
0.5187,NO
0.3749,NO
0.3512,NO
0.7683,NO
0.9062,YES
1.4942,YES
0.6419,NO
0.442,NO
0.7694,NO
0.2861,NO
0.4592,NO
0.9022,NO
0.1446,NO
1.5933,YES
0.2613,NO
2.0909,YES
0.3948,NO
1.7371,YES
0.5084,NO
0.5119,NO
0.7658,NO
0.4514,NO
0.3302,NO
0.63,NO
0.8883,NO
0.4616,NO
0.7647,NO
0.631,NO
6.0963,YES
2.2230000000000003,YES
2.1244,YES
6.4241,YES
0.7527,NO
0.8216,NO
5.0265,YES
1.1468,NO
5.0801,YES
1.1391,NO
2.1075,NO
2.8722,NO
0.7423,NO
0.7901,NO
2.3963,YES
0.5128,NO
2.2092,YES
0.84,NO
2.3958,YES
1.3057,NO
0.8399,NO
2.582,NO
0.8033,NO
5.1824,YES
2.7094,NO
4.3072,YES
1.1652,NO
0.6921,NO
5.2562,YES
1.8694,YES
2.0421,YES
5.7813,YES
0.5952,NO
0.8415,NO
4.2693,YES
0.8140000000000001,NO
5.02,YES
0.9983,NO
1.3601,NO
1.6723,NO
0.1926,NO
1.2159,NO
2.2966,YES
0.7494,NO
2.3307,YES
0.7688,NO
2.5774,YES
1.0307,NO
0.775,NO
1.9921,NO
1.003,NO
4.5889999999999995,YES
2.4356,NO
3.6374,YES
0.8947,NO
0.4671,NO
4.7239,YES
2.2178,YES
2.1625,YES
5.5207,YES
0.5212,NO
0.5453,NO
3.5245,YES
1.6539,NO
4.4227,YES
1.5011,NO
1.2058,NO
1.916,NO
0.32,NO
0.9722,NO
2.562,YES
0.6122,NO
2.4629,YES
0.6307,NO
2.6343,YES
1.5237,NO
1.3748,NO
2.4061,NO
1.3263,NO
4.5369,YES
2.3994,NO
3.505,YES
0.6065,NO
0.5597,NO
6.5032,YES
1.7138,YES
1.617,YES
6.8564,YES
0.5009,NO
0.752,NO
5.246,YES
1.0487,NO
5.5847,YES
1.0705,NO
2.1254,NO
2.7324,NO
0.6662,NO
0.7496,NO
1.8285,YES
0.3335,NO
1.8855,YES
0.6845,NO
1.972,YES
1.2677,NO
0.7295,NO
2.6671,NO
0.7546,NO
5.6393,YES
2.6698,NO
4.4019,YES
1.1265,NO
0.3281,NO
1.1855,YES
3.5594,YES
3.5102,YES
1.6567,YES
1.3308,NO
0.2935,NO
1.2713,YES
1.2892,NO
1.6166,YES
1.0907,NO
0.7312,NO
1.5537,NO
0.3393,NO
0.7622,NO
4.3616,YES
0.7542,NO
3.4504,YES
0.6574,NO
3.8358,YES
1.2256,NO
1.1013,NO
1.7485,NO
1.0779,NO
1.5943,YES
1.4335,NO
1.7331,YES
1.1445,NO
0.3795,NO
1.1937,YES
4.1548,YES
4.1661,YES
2.0876,YES
1.0243,NO
0.2725,NO
1.2454,YES
1.5378,NO
1.5389,YES
1.2409,NO
0.5734,NO
1.5964,NO
0.2708,NO
0.8491,NO
4.8072,YES
0.8304,NO
3.5353,YES
0.7290000000000001,NO
4.5496,YES
1.4196,NO
1.138,NO
1.9698,NO
1.0731,NO
1.7193,YES
1.3127,NO
1.7152,YES
0.325,NO
0.5488,NO
0.9725,NO
0.6756,NO
0.5001,NO
1.044,NO
0.5001,NO
0.392,NO
1.5222,NO
0.2872,NO
0.5427,NO
0.1988,NO
1.7369,YES
1.7208,YES
1.1582,YES
0.3924,NO
1.008,NO
0.4001,NO
0.1785,NO
0.7302,NO
0.6002,NO
0.2202,NO
0.4599,NO
0.6288,NO
0.0591,NO
1.0058,NO
0.3554,NO
1.317,NO
1.652,YES
1.8519999999999999,YES
0.6897,NO
0.9516,NO
0.6126,NO
1.183,NO
1.3069,YES
1.0768,YES
0.8808,NO
0.5343,NO
0.6769,NO
0.5853,NO
0.8631,NO
1.2558,NO
0.3986,NO
1.5671,YES
0.6984,NO
1.7185,YES
0.6368,NO
1.8602,YES
0.7724,NO
0.8292,NO
0.8434,NO
0.7621,NO
0.3457,NO
0.9335,NO
0.8558,NO
0.5895,NO
1.1985,NO
0.5583,NO
2.1401,YES
3.7636,YES
3.8503,YES
2.9887,YES
0.9525,NO
0.475,NO
2.1664,YES
0.9528,NO
2.4071,YES
0.6891,NO
0.9631,NO
1.6921,NO
0.4704,NO
0.8469,NO
4.5266,YES
0.782,NO
3.7816,YES
0.9536,NO
4.3651,YES
0.9984,NO
0.7989,NO
1.5018,NO
0.8557,NO
2.9264,YES
1.2825,NO
2.5838,YES
1.9885,YES
2.023,YES
1.3673,NO
0.748,NO
0.66,NO
1.6582,NO
1.0169,YES
1.4298,YES
1.3189,NO
0.7249,NO
1.3521,NO
0.6546,NO
0.8267,NO
1.4944,NO
0.2325,NO
1.4945,YES
0.5855,NO
2.0094,YES
0.6411,NO
1.7586,YES
0.695,NO
0.8268,NO
0.8849,NO
0.9207,NO
0.4429,NO
1.3632,NO
1.2738,NO
1.005,NO
0.5447,NO
0.304,NO
1.042,NO
1.3678,NO
0.9282,NO
1.8639,NO
0.406,NO
0.2468,NO
1.1355,NO
2.1387,YES
1.1834,NO
1.9736,YES
0.8390000000000001,NO
1.2731,NO
0.2543,NO
0.8565,NO
1.5091,NO
0.6316,NO
0.9505,NO
0.4265,NO
1.6398,NO
2.3974,YES
2.0264,YES
2.0741,YES
2.4093,YES
1.1975,NO
2.4337,YES
0.9045,NO
2.0145,YES
1.982,YES
0.6909,NO
0.5664,NO
0.5518,NO
0.9391,NO
0.9458,YES
1.3692,YES
0.7139,NO
0.502,NO
0.826,NO
0.3442,NO
0.3975,NO
0.9238,NO
0.1463,NO
1.5893,YES
0.4223,NO
1.9446,YES
0.5087,NO
1.5836,YES
0.5815,NO
0.5785,NO
0.6946,NO
0.6226,NO
0.244,NO
0.7569,NO
0.8326,NO
0.5565,NO
0.6225,NO
0.6355,NO
0.7378,NO
1.6969,NO
0.8788,NO
1.0456,NO
0.9079999999999999,NO
0.4281,NO
1.1501,NO
2.1587,YES
0.5201,NO
1.4688,YES
1.1942,NO
1.6759,NO
0.4776,NO
0.93,NO
1.1931,NO
0.6918,NO
0.9838,NO
0.652,NO
1.2193,NO
2.2528,YES
2.1225,YES
1.8941,YES
2.0555,YES
1.0096,NO
2.4975,YES
0.9726,NO
