50Traced_NONETRACED_MAX_SINGLE_VSM_66_MAX,Associated
0.2626,NO
0.3133,NO
0.1766,NO
0.2164,NO
0.3369,NO
0.1818,NO
0.4224,NO
0.2626,NO
0.2216,NO
1.0,YES
0.7077,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3691,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.4343,NO
0.2251,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
1.0,YES
1.0,YES
0.4007,NO
0.2455,NO
0.2152,NO
0.4007,NO
1.0,YES
1.0,YES
0.2515,NO
0.3066,NO
0.4007,NO
0.3066,NO
0.1797,NO
0.1558,NO
0.1551,NO
1.0,YES
0.2664,NO
1.0,YES
0.2047,NO
1.0,YES
0.1603,NO
0.3066,NO
0.2314,NO
0.3066,NO
0.3066,NO
0.4007,NO
0.2314,NO
0.4007,NO
0.1503,NO
0.3133,NO
0.1395,NO
0.2865,NO
0.3369,NO
0.2077,NO
0.4224,NO
0.1058,NO
0.2187,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.2391,NO
0.2136,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.4343,NO
0.1755,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
1.0,YES
1.0,YES
0.5415,NO
0.6805,NO
0.5217,NO
0.6805,NO
1.0,YES
1.0,YES
0.4605,NO
0.1391,NO
0.5415,NO
0.0887,NO
0.7376,NO
0.7376,NO
0.7358,NO
1.0,YES
0.5115,NO
1.0,YES
0.6805,NO
1.0,YES
0.6805,NO
0.2535,NO
0.2533,NO
0.2605,NO
0.2209,NO
0.6805,NO
0.2947,NO
0.5415,NO
0.1709,NO
0.2248,NO
0.5483,YES
1.0,YES
1.0,YES
1.0,YES
0.2995,NO
0.1663,NO
0.5022,YES
0.2044,NO
0.6283,YES
0.1443,NO
0.3291,NO
0.3291,NO
0.3283,NO
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.4988,NO
1.0,YES
0.3725,NO
0.4485,NO
0.2692,NO
0.1822,NO
1.0,YES
0.4518,NO
0.5859,YES
0.2565,NO
0.2169,NO
0.1975,NO
0.3054,NO
0.3369,NO
0.1701,NO
0.4224,NO
0.2719,NO
0.1628,NO
1.0,YES
0.7077,NO
1.0,YES
0.2525,NO
0.2525,NO
0.2525,NO
0.2719,NO
0.5133,NO
0.2719,NO
0.4343,NO
0.2719,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
0.1709,NO
0.2248,NO
0.5483,YES
1.0,YES
1.0,YES
1.0,YES
0.2995,NO
0.0708,NO
0.5022,YES
0.6903,NO
0.6283,YES
0.6968,NO
0.2252,NO
0.3152,NO
0.2758,NO
0.2264,NO
1.0,YES
0.2011,NO
1.0,YES
0.4988,NO
1.0,YES
0.6903,NO
0.6903,NO
0.6968,NO
0.6968,NO
1.0,YES
0.6903,NO
0.5859,YES
0.1856,NO
0.3133,NO
0.4239,NO
0.19,NO
0.1547,NO
0.4239,NO
0.4224,NO
0.1856,NO
0.3139,NO
1.0,YES
0.7077,NO
1.0,YES
0.4406,NO
0.4406,NO
0.4406,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.4343,NO
0.2256,NO
0.1755,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.4239,NO
0.1825,NO
0.3133,NO
0.3378,NO
0.3349,NO
0.2653,NO
0.3378,NO
0.3289,NO
0.1825,NO
0.4039,NO
1.0,YES
0.551,NO
1.0,YES
0.1661,NO
0.2085,NO
0.0924,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.391,NO
0.16699999999999998,NO
0.3349,NO
1.0,YES
0.8945,YES
1.0,YES
1.0,YES
0.4039,NO
0.7875,YES
0.3531,NO
0.2093,NO
0.3133,NO
0.3095,NO
0.2342,NO
0.3369,NO
0.3095,NO
0.2509,NO
0.2093,NO
0.1847,NO
1.0,YES
0.4203,NO
1.0,YES
0.2866,NO
0.2866,NO
0.2866,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.391,NO
0.2093,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3095,NO
1.0,YES
0.3095,NO
0.1812,NO
0.2365,NO
0.1184,NO
0.2886,NO
0.3369,NO
0.1246,NO
0.1856,NO
0.1812,NO
0.1704,NO
1.0,YES
0.311,NO
1.0,YES
0.2846,NO
0.2846,NO
0.2839,NO
0.2453,NO
0.4518,NO
0.2179,NO
0.2952,NO
0.1702,NO
0.2752,NO
1.0,YES
1.0,YES
0.755,YES
0.755,YES
0.228,NO
1.0,YES
0.2054,NO
0.2069,NO
0.2698,NO
1.0,YES
0.6673,YES
0.5116,YES
1.0,YES
0.2739,NO
0.2194,NO
1.0,YES
0.1364,NO
1.0,YES
0.1314,NO
0.5121,NO
0.441,NO
0.441,NO
0.2194,NO
0.5016,YES
0.2282,NO
0.6673,YES
0.3329,NO
0.6673,YES
0.2485,NO
0.2483,NO
0.6965,NO
0.3261,NO
0.9537,YES
0.5191,NO
0.9537,YES
0.2216,NO
0.3233,NO
1.0,YES
0.2156,NO
0.1735,NO
1.0,YES
0.2366,NO
0.1097,NO
1.0,YES
0.5079,NO
1.0,YES
0.5079,NO
0.4424,NO
0.36700000000000005,NO
0.2754,NO
0.171,NO
0.5293,NO
0.1398,NO
0.537,NO
0.1588,NO
0.2637,NO
0.2975,NO
0.5079,NO
0.5079,NO
0.3342,NO
1.0,YES
0.5079,NO
1.0,YES
0.17600000000000002,NO
0.2248,NO
0.8593,YES
1.0,YES
1.0,YES
1.0,YES
0.3708,NO
0.1187,NO
0.7944,YES
0.8778,NO
0.8193,YES
0.8778,NO
0.5221,NO
0.5221,NO
0.5221,NO
0.2307,NO
1.0,YES
0.205,NO
1.0,YES
0.4988,NO
1.0,YES
0.6271,NO
0.8778,NO
0.8778,NO
0.7101,NO
1.0,YES
0.8778,NO
0.8593,YES
0.1636,NO
0.3162,NO
0.9109,YES
0.2517,NO
0.6479,NO
0.9109,YES
0.2718,NO
0.153,NO
1.0,YES
0.159,NO
1.0,YES
0.1456,NO
0.5082,NO
0.1751,NO
0.3163,NO
0.1775,NO
0.6479,NO
0.1823,NO
0.6479,NO
0.1704,NO
0.6479,NO
0.2571,NO
0.1764,NO
0.5562,NO
0.3236,NO
1.0,YES
0.5796,NO
0.9109,YES
0.1709,NO
0.2248,NO
0.5483,YES
1.0,YES
0.877,YES
1.0,YES
0.2995,NO
0.0398,NO
0.5022,YES
0.2044,NO
0.6283,YES
0.0994,NO
0.171,NO
0.3152,NO
0.2758,NO
0.0827,NO
1.0,YES
0.0718,NO
1.0,YES
0.4988,NO
1.0,YES
0.3725,NO
0.3862,NO
0.2318,NO
0.1569,NO
1.0,YES
0.3962,NO
0.5859,YES
1.0,YES
1.0,YES
0.3988,NO
0.4952,NO
0.3796,NO
0.4952,NO
1.0,YES
1.0,YES
0.3187,NO
0.1012,NO
0.3988,NO
0.067,NO
0.2131,NO
0.16,NO
0.1446,NO
0.9109,YES
0.3722,NO
0.9606,YES
0.4952,NO
1.0,YES
0.4952,NO
0.1844,NO
0.1843,NO
0.1918,NO
0.1193,NO
0.4952,NO
0.217,NO
0.3988,NO
0.2216,NO
0.3141,NO
1.0,YES
0.5710000000000001,YES
0.4378,YES
1.0,YES
0.2984,NO
0.1381,NO
1.0,YES
0.4834,NO
1.0,YES
0.4834,NO
0.5579,NO
0.4132,NO
0.4122,NO
0.1204,NO
0.5293,YES
0.2282,NO
0.6649,YES
0.2848,NO
0.5710000000000001,YES
0.2831,NO
0.4834,NO
0.6965,NO
0.3552,NO
1.0,YES
0.5757,NO
1.0,YES
0.2097,NO
0.3233,NO
1.0,YES
1.0,YES
0.7667,YES
1.0,YES
0.3368,NO
0.1381,NO
1.0,YES
0.7974,NO
1.0,YES
0.7974,NO
0.5579,NO
0.36700000000000005,NO
0.3659,NO
0.1297,NO
0.7517,YES
0.2282,NO
1.0,YES
0.4988,NO
1.0,YES
0.6074,NO
0.7974,NO
0.7974,NO
0.4814,NO
1.0,YES
0.7974,NO
1.0,YES
0.2216,NO
0.3233,NO
1.0,YES
0.5515,YES
0.4228,YES
1.0,YES
0.2409,NO
0.1622,NO
1.0,YES
0.1127,NO
1.0,YES
0.1629,NO
0.4503,NO
0.36700000000000005,NO
0.2803,NO
0.2034,NO
0.5293,YES
0.2282,NO
0.6649,YES
0.2751,NO
0.5515,YES
0.2571,NO
0.2365,NO
0.6965,NO
0.3342,NO
1.0,YES
0.5796,NO
1.0,YES
0.1943,NO
0.3162,NO
1.0,YES
0.5693,YES
0.4365,YES
1.0,YES
0.2984,NO
0.1381,NO
1.0,YES
0.2242,NO
1.0,YES
0.2655,NO
0.5579,NO
0.43799999999999994,NO
0.43799999999999994,NO
0.1047,NO
0.4641,YES
0.1365,NO
0.5693,YES
0.284,NO
0.5693,YES
0.2571,NO
0.2375,NO
0.5729,NO
0.3552,NO
1.0,YES
0.5796,NO
1.0,YES
0.1709,NO
0.1923,NO
0.41200000000000003,YES
1.0,YES
1.0,YES
0.6711,YES
0.257,NO
0.0621,NO
0.337,YES
0.5159,NO
0.4216,YES
0.6109,NO
0.4875,NO
0.4875,NO
0.4875,NO
0.1985,NO
1.0,YES
0.1763,NO
1.0,YES
0.3348,NO
1.0,YES
0.4983,NO
0.5464,NO
0.6109,NO
0.6109,NO
0.6711,YES
0.4518,NO
0.3932,YES
0.1709,NO
0.2248,NO
0.5615,YES
1.0,YES
1.0,YES
1.0,YES
0.2995,NO
0.0792,NO
0.5865,YES
0.4027,NO
0.6283,YES
0.4584,NO
0.2276,NO
0.3152,NO
0.2758,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.4988,NO
1.0,YES
0.3739,NO
0.41,NO
0.4584,NO
0.4584,NO
1.0,YES
0.4518,NO
0.5859,YES
0.2581,NO
0.2552,NO
0.4344,NO
0.3451,NO
0.2645,NO
0.4344,NO
0.4239,NO
0.2552,NO
0.6008,NO
0.2128,NO
0.4141,NO
0.2128,NO
1.0,YES
1.0,YES
0.9975,YES
0.243,NO
0.3169,NO
0.2452,NO
0.3451,NO
0.3599,NO
0.3451,NO
0.2128,NO
0.2552,NO
0.2488,NO
0.2932,NO
0.3914,NO
0.2128,NO
0.4344,NO
1.0,YES
1.0,YES
0.2752,NO
0.2269,NO
0.21600000000000003,NO
0.2269,NO
1.0,YES
1.0,YES
0.1922,NO
0.3252,NO
0.1763,NO
0.3252,NO
0.2981,NO
0.2981,NO
0.2981,NO
1.0,YES
0.21600000000000003,NO
1.0,YES
0.2269,NO
1.0,YES
0.2269,NO
0.3252,NO
0.1936,NO
0.3252,NO
0.3252,NO
0.2269,NO
0.0959,NO
0.1763,NO
0.1584,NO
0.2059,NO
0.425,YES
1.0,YES
1.0,YES
0.7752,YES
0.2382,NO
0.0554,NO
0.3893,YES
0.2002,NO
0.48700000000000004,YES
0.2002,NO
0.1977,NO
0.2922,NO
0.2138,NO
0.0767,NO
1.0,YES
0.0665,NO
1.0,YES
0.3867,NO
1.0,YES
0.3405,NO
0.457,NO
0.2743,NO
0.1856,NO
0.7752,YES
0.4518,NO
0.4541,YES
1.0,YES
1.0,YES
0.3473,NO
0.3075,NO
0.2357,NO
0.33399999999999996,NO
1.0,YES
1.0,YES
0.2143,NO
0.2094,NO
0.33399999999999996,NO
0.2094,NO
0.3324,NO
0.3324,NO
0.3324,NO
1.0,YES
0.2311,NO
1.0,YES
0.3075,NO
1.0,YES
0.3075,NO
0.1844,NO
0.2094,NO
0.2094,NO
0.1149,NO
0.33399999999999996,NO
0.2094,NO
0.33399999999999996,NO
0.2411,NO
0.2411,NO
0.1706,NO
0.3199,NO
0.2804,NO
0.1991,NO
0.4224,NO
0.2411,NO
0.3504,NO
1.0,YES
0.7077,NO
1.0,YES
0.564,NO
0.564,NO
0.5626,NO
0.196,NO
0.5133,NO
0.2316,NO
0.4343,NO
0.2411,NO
0.2089,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
0.9863,YES
0.9863,YES
0.2823,NO
0.2289,NO
0.1755,NO
0.2289,NO
0.9863,YES
1.0,YES
0.1631,NO
0.1431,NO
0.1955,NO
0.1431,NO
0.1665,NO
0.1472,NO
0.1463,NO
1.0,YES
0.1721,NO
1.0,YES
0.2289,NO
1.0,YES
0.2289,NO
0.1431,NO
0.1431,NO
0.1274,NO
0.0718,NO
0.2289,NO
0.1431,NO
0.1955,NO
0.263,NO
0.263,NO
0.2077,NO
0.2598,NO
0.1992,NO
0.2598,NO
0.4224,NO
0.263,NO
0.2625,NO
1.0,YES
0.7077,NO
1.0,YES
0.4072,NO
0.4072,NO
0.4072,NO
0.1438,NO
0.5133,NO
0.2526,NO
0.4343,NO
0.263,NO
0.2598,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.3939,NO
