50Traced_NONETRACED_MAX_SINGLE_LSA_90_SUM,Associated
0.10060769750168808,NO
0.19358541525995948,NO
0.08676569885212695,NO
0.34713031735313976,NO
0.21080351114112084,NO
0.23308575286968264,NO
0.11033085752869681,NO
0.055300472653612445,NO
0.20168804861580014,NO
0.7799459824442945,YES
0.09885212694125592,NO
0.8414584740040514,YES
0.35178933153274816,NO
0.33855503038487506,NO
0.33733963538149897,NO
0.23450371370695483,NO
0.38980418636056724,NO
0.031532748143146536,NO
0.045442268737339656,NO
0.2544902093180284,NO
0.3338284942606347,NO
0.6658338960162054,YES
0.6675219446320055,YES
0.7258609047940581,YES
0.7752869682646861,YES
0.16347062795408507,NO
0.661580013504389,YES
0.1931802835921675,NO
0.6856178257933829,YES
0.7782579338284943,YES
0.31357191087103314,NO
0.29034436191762325,NO
0.20391627278865632,NO
0.1812964213369345,NO
0.8797434166103983,YES
0.6778528021607022,YES
0.27582714382174206,NO
0.21634031060094533,NO
0.249966239027684,NO
0.21647535449020933,NO
0.3274139095205942,NO
0.3091154625253208,NO
0.3108035111411209,NO
0.8030384875084402,YES
0.17440918298446997,NO
0.6892640108035113,YES
0.14172856178257937,NO
0.8236326806212018,YES
0.21154625253207293,NO
0.1760972316002701,NO
0.11323430114787308,NO
0.1776502363268062,NO
0.19918973666441592,NO
0.2401755570560432,NO
0.22059419311276163,NO
0.2517893315327482,NO
0.11066846725185686,NO
0.25313977042538827,NO
0.1412559081701553,NO
0.39446320054017553,NO
0.2675894665766374,NO
0.28440243079000677,NO
0.17683997299122217,NO
0.04382174206617152,NO
0.2925050641458474,NO
0.9220796758946659,YES
0.2806212018906145,NO
0.749291019581364,YES
0.1598919648885888,NO
0.22518568534773803,NO
0.1683322079675895,NO
0.286968264686023,NO
0.44564483457123566,NO
0.047670492910195816,NO
0.22160702228224177,NO
0.22586090479405807,NO
0.4050641458474004,NO
0.9147197839297772,YES
0.9003376097231601,YES
0.8598919648885888,YES
0.7328156650911546,YES
0.1962187711006077,NO
0.7433490884537475,YES
0.22930452397029039,NO
0.7012153950033762,YES
0.735719108710331,YES
0.4852126941255908,NO
0.5097231600270089,NO
0.39203241053342347,NO
0.3559081701553005,NO
0.8451721809588117,YES
0.6971640783254558,YES
0.5143821742066172,NO
0.2856853477380149,NO
0.48960162052667117,NO
0.1411208642808913,NO
0.5666441593517892,NO
0.5530722484807562,NO
0.5521944632005402,NO
0.7430790006752195,YES
0.3459824442943957,NO
0.6686698176907495,YES
0.2969615124915597,NO
0.8021607022282242,YES
0.42491559756921,NO
0.3058744091829845,NO
0.274206617150574,NO
0.30108035111411213,NO
0.16468602295746118,NO
0.41141120864280895,NO
0.312626603646185,NO
0.487170830519919,NO
0.09277515192437544,NO
0.09095205941931128,NO
0.40303848750844024,YES
0.8392977717758272,YES
