50Traced_NONETRACED_MAX_SINGLE_VSM_78_MEDIAN,Associated
0.2626,NO
0.2626,NO
0.1144,NO
0.6139,NO
0.3369,NO
0.1246,NO
0.2626,NO
0.1135,NO
0.444,NO
1.0,YES
0.1144,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3701,NO
0.2626,NO
0.4176,NO
0.1308,NO
0.2553,NO
0.2508,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.3939,NO
1.0,YES
1.0,YES
0.3362,NO
0.2707,NO
0.3639,NO
0.3765,NO
1.0,YES
0.9202,YES
0.2559,NO
0.21100000000000002,NO
0.3,NO
0.3066,NO
0.3658,NO
0.397,NO
0.397,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
1.0,YES
0.1806,NO
0.3066,NO
0.3066,NO
0.3066,NO
0.3066,NO
0.4007,NO
0.1119,NO
0.3639,NO
0.21600000000000003,NO
0.3011,NO
0.2077,NO
0.6139,NO
0.3369,NO
0.2077,NO
0.21600000000000003,NO
0.0976,NO
0.2357,NO
1.0,YES
0.3451,NO
0.9611,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3123,NO
0.5752,NO
0.2774,NO
0.3757,NO
0.1851,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2232,NO
0.9611,YES
0.2054,NO
1.0,YES
1.0,YES
0.4748,NO
0.3722,NO
0.3722,NO
0.5089,NO
1.0,YES
1.0,YES
0.4748,NO
0.4197,NO
0.4748,NO
0.601,NO
0.2289,NO
0.2088,NO
0.2075,NO
1.0,YES
0.3638,NO
1.0,YES
0.3722,NO
1.0,YES
0.3722,NO
0.601,NO
0.601,NO
0.601,NO
0.601,NO
0.5415,NO
0.4197,NO
0.4632,NO
0.1709,NO
0.2059,NO
0.41200000000000003,YES
1.0,YES
1.0,YES
0.7346,YES
0.257,NO
0.153,NO
0.433,YES
0.1395,NO
0.4615,YES
0.22399999999999998,NO
0.3493,NO
0.379,NO
0.379,NO
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.3664,NO
1.0,YES
0.3405,NO
0.3338,NO
0.4726,NO
0.2464,NO
0.7346,YES
0.4518,NO
0.7346,YES
0.2565,NO
0.2719,NO
0.1975,NO
0.6139,NO
0.3369,NO
0.1701,NO
0.1996,NO
0.2502,NO
0.2731,NO
1.0,YES
0.2442,NO
1.0,YES
0.2327,NO
0.2525,NO
0.2525,NO
0.2719,NO
0.4176,NO
0.2719,NO
0.2659,NO
0.2719,NO
0.2027,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2226,NO
0.6802,YES
0.2423,NO
0.146,NO
0.2248,NO
0.5483,YES
1.0,YES
1.0,YES
1.0,YES
0.2196,NO
0.0708,NO
0.5022,YES
0.5884,NO
0.6283,YES
0.6968,NO
0.3948,NO
0.3948,NO
0.3948,NO
0.2264,NO
1.0,YES
0.2011,NO
1.0,YES
0.4988,NO
0.8544,YES
0.6968,NO
0.6968,NO
0.6968,NO
0.6968,NO
1.0,YES
0.6968,NO
1.0,YES
0.2332,NO
0.2332,NO
0.2535,NO
0.3384,NO
0.4328,NO
0.4328,NO
0.1653,NO
0.2332,NO
0.2758,NO
0.6882,YES
0.3174,NO
1.0,YES
0.2519,NO
0.2085,NO
0.2033,NO
0.2148,NO
0.4328,NO
0.2332,NO
0.4328,NO
0.2508,NO
0.2148,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4328,NO
0.5155,YES
0.4328,NO
0.1825,NO
0.3133,NO
0.2746,NO
0.4834,NO
0.3349,NO
0.3349,NO
0.1825,NO
0.1058,NO
0.3457,NO
0.8445,YES
0.3591,NO
1.0,YES
0.18899999999999997,NO
0.2085,NO
0.0932,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.391,NO
0.2508,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3378,NO
1.0,YES
