50Traced_NONETRACED_SUM_MULTI_VSM_71_MAX,Associated
0.8645,NO
0.4308,NO
1.2047,NO
1.3021,NO
0.98,NO
1.2885,NO
0.9458,NO
0.7170000000000001,NO
1.6751,NO
2.2891,YES
1.2065,NO
1.9092,YES
1.1163,NO
1.1131,NO
0.5142,NO
0.9255,NO
1.7811,NO
0.5783,NO
1.3872,NO
0.4833,NO
1.5891,NO
1.9195,YES
2.8788,YES
2.8415,YES
2.5994,YES
1.1748,NO
1.7461,YES
1.3893,NO
2.0833,YES
1.3639,YES
0.85,NO
0.6487,NO
0.5552,NO
1.1898,NO
1.3901,YES
1.7078,YES
1.3914,NO
0.4441,NO
0.8381,NO
0.364,NO
0.5903,NO
0.5189,NO
0.2303,NO
2.0647,YES
0.6725,NO
1.4923,YES
0.7069,NO
1.6589,YES
0.6559,NO
0.5651,NO
0.4101,NO
0.6699,NO
0.3848,NO
0.9309,NO
0.7473,NO
1.0959999999999999,NO
1.2037,NO
0.5155,NO
1.1769,NO
0.6566,NO
0.6881,NO
1.193,NO
1.1259,NO
0.7671,NO
1.5947,NO
2.7638,YES
1.393,NO
2.0977,YES
1.2952,NO
0.8483,NO
0.4948,NO
0.971,NO
1.3143,NO
0.5507,NO
1.2422,NO
0.5001,NO
1.3722,NO
2.6085,YES
3.2666,YES
3.3904,YES
3.0902,YES
1.3090000000000002,NO
2.6956,YES
1.301,NO
3.2154,YES
1.4782,YES
0.5127,NO
0.5521,NO
0.3331,NO
0.6829,NO
2.5464,YES
2.7963,YES
0.5442,NO
0.7655,NO
0.514,NO
0.6825,NO
0.9752,NO
1.1437,NO
0.4715,NO
3.1569,YES
0.5565,NO
2.2225,YES
0.2707,NO
2.1881,YES
0.325,NO
0.6772,NO
0.8047,NO
0.7809,NO
0.754,NO
0.5805,NO
0.664,NO
0.8198,NO
1.067,NO
0.6021,NO
1.655,YES
3.4217,YES
2.498,YES
2.628,YES
1.1205,NO
0.6089,NO
2.7956,YES
1.4967,NO
1.8207,YES
0.4425,NO
0.8141,NO
1.2997,NO
0.4474,NO
0.8931,NO
4.5487,YES
1.1992,NO
3.9853,YES
0.9565,NO
4.0147,YES
0.9215,NO
1.3413,NO
1.2982,NO
0.9982,NO
2.2502,YES
0.8643,NO
1.9463,YES
1.1418,NO
0.3039,NO
1.3725,NO
1.24,NO
1.057,NO
1.0209,NO
1.0552,NO
0.6097,NO
1.5032,NO
2.9836,YES
1.4704,NO
1.9208,YES
1.4111,NO
0.9701,NO
0.56,NO
0.8609,NO
1.7669,NO
0.6287,NO
1.6347,NO
0.40399999999999997,NO
1.7926,NO
2.9411,YES
3.7429,YES
3.6216,YES
3.1036,YES
1.3584,NO
2.6511,YES
1.146,NO
0.7814,NO
0.4263,NO
1.3315,YES
3.1076,YES
2.287,YES
1.8497,YES
0.5834,NO
0.364,NO
2.2915,YES
2.1558,NO
1.3577,YES
1.0238,NO
0.8836,NO
1.2803,NO
0.4873,NO
0.7437,NO
3.7653,YES
0.8674,NO
3.1439999999999997,YES
0.7603,NO
3.3115,YES
1.5358,NO
2.6179,NO
2.2814,NO
1.7836,NO
1.6336,YES
1.4023,NO
1.6638,YES
0.941,NO
0.3309,NO
1.3334,NO
1.0787,NO
1.0656,NO
1.0398,NO
0.878,NO
0.308,NO
1.3722,NO
3.1719,YES
1.5103,NO
2.1056,YES
1.4429,NO
0.9453,NO
0.5566,NO
0.6013,NO
1.96,NO
0.4297,NO
1.6969999999999998,NO
0.2276,NO
1.8498,NO
3.0263,YES
3.8019,YES
3.6604,YES
3.3345,YES
1.3662,NO
2.6244,YES
1.0726,NO
0.8944,NO
0.4125,NO
1.1758,NO
0.5551,NO
0.8307,NO
0.8346,NO
0.6231,NO
0.5824,NO
1.229,NO
2.3163,YES
0.9754,NO
1.8276,YES
0.5742,NO
0.4035,NO
0.1538,NO
0.8285,NO
1.3069,NO
0.4635,NO
1.1929,NO
0.3214,NO
1.3064,NO
2.4556,YES
3.0695,YES
2.8348,YES
2.5606,YES
1.0277,NO
2.3923,YES
1.0424,NO
1.4035,NO
0.6940000000000001,NO
1.4748,NO
1.0286,NO
0.9766,NO
1.165,NO
1.185,NO
0.8061,NO
1.6693,NO
3.1539,YES
1.3814,NO
2.2468,YES
1.7051,NO
1.2236,NO
0.7223,NO
1.1909999999999998,NO
1.9580000000000002,NO
0.701,NO
1.4581,NO
0.6334,NO
1.5795,NO
3.056,YES
4.0383,YES
3.7565,YES
3.4464,YES
1.2486,NO
2.8201,YES
1.3817,NO
1.2952,NO
0.4467,NO
1.4743,NO
1.6713,NO
1.4801,NO
1.3239,NO
1.1928,NO
0.7316,NO
1.8581,NO
3.2891,YES
1.6087,NO
2.1358,YES
1.399,NO
1.0329,NO
0.5578,NO
0.9728,NO
2.5145,NO
0.6528,NO
2.0047,NO
0.5977,NO
2.2624,NO
3.0955,YES
3.9497,YES
3.9297,YES
3.2958,YES
1.6691,NO
2.8459,YES
1.2975,NO
1.4538,NO
0.5973,NO
5.225,YES
1.8543,YES
1.4063,YES
4.9853,YES
2.1815,NO
1.0371,NO
6.1522,YES
1.4869,NO
4.6452,YES
0.8654,NO
2.1012,NO
1.5966,NO
0.899,NO
1.1898,NO
2.3574,YES
0.7656,NO
3.5245,YES
0.7762,NO
2.3693,YES
1.8165,NO
1.4817,NO
1.7796,NO
1.3253,NO
4.5388,YES
2.5858,NO
4.841,YES
0.45799999999999996,NO
0.3711,NO
2.7817,YES
0.7755,NO
0.6565,NO
3.2714,YES
1.3146,NO
0.4365,NO
3.5758,YES
0.9572,NO
3.0672,YES
0.6654,NO
1.5351,NO
0.7249,NO
0.6862,NO
0.4688,NO
0.9715,NO
0.2899,NO
1.6236,NO
0.2791,NO
0.9274,NO
0.6161,NO
0.49200000000000005,NO
0.8156,NO
0.6729999999999999,NO
2.9434,YES
1.0365,NO
2.6729,YES
1.2346,NO
0.6736,NO
3.0312,YES
3.9395,YES
2.8249,YES
3.0423,YES
1.3555,NO
0.835,NO
3.7769,YES
2.0342,NO
2.603,YES
0.7765,NO
1.71,NO
2.1461,NO
0.9641,NO
1.1201,NO
5.0323,YES
1.0672,NO
4.2405,YES
1.0711,NO
4.2114,YES
1.5354,NO
2.4571,NO
1.7280000000000002,NO
1.3252,NO
2.6196,YES
1.5274,NO
2.9402,YES
0.3165,NO
0.264,NO
3.0444,YES
1.1386,NO
0.8996,NO
3.3278,YES
0.9926,NO
0.3158,NO
4.2979,YES
0.5710000000000001,NO
2.9127,YES
0.4399,NO
1.0849,NO
0.6273,NO
0.4795,NO
0.2013,NO
1.4185,NO
0.1654,NO
2.3945,NO
0.3299,NO
1.5349,NO
0.6706,NO
0.4261,NO
0.9395,NO
0.4278,NO
2.8954,YES
1.7269999999999999,NO
3.1283,YES
0.4582,NO
0.1881,NO
0.7977,YES
1.9758,YES
1.5243,YES
1.3445,YES
0.6281,NO
0.2074,NO
1.194,YES
0.9649,NO
0.7829,YES
0.3909,NO
0.5224,NO
0.9775,NO
0.3778,NO
0.31,NO
3.0474,YES
0.5052,NO
2.5018,YES
0.2962,NO
2.6307,YES
0.5985,NO
0.7361,NO
0.5518,NO
0.8027,NO
1.1224,YES
0.6551,NO
1.1187,YES
2.4793,YES
1.2774,YES
1.2356,NO
0.6649,NO
0.615,NO
1.439,NO
1.8889,YES
2.0634,YES
1.2802,NO
0.9328,NO
1.1162,NO
0.6882,NO
0.7181,NO
0.6265,NO
0.3342,NO
2.4668,YES
0.8786,NO
2.1046,YES
0.8404,NO
1.7638,YES
0.6414,NO
0.9311,NO
1.046,NO
1.0027,NO
0.7703,NO
1.3091,NO
0.8229,NO
1.1369,NO
1.2228,NO
0.5595,NO
5.4586,YES
2.2769999999999997,YES
1.5918,YES
5.1756,YES
1.9408,NO
0.7356,NO
6.7589,YES
1.2737,NO
5.0003,YES
0.6789,NO
2.5435,NO
1.8455,NO
1.1912,NO
0.8762,NO
2.3676,YES
0.5818,NO
3.4177,YES
0.9279,NO
2.0898,YES
1.3192,NO
1.4608,NO
1.7116,NO
0.8342,NO
4.7194,YES
2.2987,NO
5.2096,YES
1.2436,NO
0.5087,NO
4.3901,YES
2.0688,YES
1.4393,YES
4.4811,YES
1.7084,NO
0.8682,NO
5.5668,YES
0.8385,NO
4.0911,YES
0.5092,NO
1.4089,NO
1.3685,NO
0.5579999999999999,NO
1.0605,NO
1.9996,YES
0.85,NO
3.1277,YES
0.8686,NO
2.1576,YES
0.9961,NO
0.8448,NO
1.2954,NO
0.6459,NO
4.0975,YES
1.5374,NO
4.2735,YES
1.1008,NO
0.6373,NO
5.6855,YES
1.7856,YES
1.3468,YES
5.3176,YES
1.7034,NO
0.595,NO
6.7588,YES
1.1098,NO
5.0739,YES
0.6488,NO
1.9728,NO
1.3667,NO
0.7764,NO
0.84,NO
2.1493,YES
0.6473,NO
3.4261,YES
0.7502,NO
1.9663,YES
1.4458,NO
1.3151,NO
1.6136,NO
0.8566,NO
4.8268,YES
2.1418,NO
5.1004,YES
0.5413,NO
0.3952,NO
3.9701,YES
1.3409,YES
1.062,YES
4.163,YES
1.3238,NO
0.4602,NO
5.3049,YES
0.9283,NO
4.1035,YES
0.8161,NO
1.4953,NO
0.8085,NO
0.59,NO
0.4409,NO
1.2429999999999999,YES
0.3025,NO
2.6217,YES
0.4695,NO
1.5852,YES
0.9363,NO
0.7764,NO
1.4569,NO
0.7417,NO
3.8787,YES
1.8699,NO
3.9593,YES
0.3879,NO
0.1006,NO
1.1635,YES
3.1696,YES
2.0636,YES
1.5617,YES
0.5058,NO
0.3012,NO
1.8509,YES
1.345,NO
1.2853,YES
0.326,NO
0.6702,NO
1.2723,NO
0.4638,NO
0.4784,NO
3.417,YES
0.6629,NO
2.8461,YES
0.6028,NO
2.9335,YES
0.5241,NO
1.3897,NO
1.0873,NO
0.7568,NO
1.4482,YES
0.5405,NO
1.5164,YES
0.775,NO
0.4544,NO
2.427,YES
3.8868,YES
3.0242,YES
3.0152,YES
0.9998,NO
0.4824,NO
3.5598,YES
1.578,NO
2.2735,YES
0.4014,NO
0.8111,NO
1.2788,NO
0.4773,NO
0.6347,NO
5.0569999999999995,YES
0.9458,NO
4.7032,YES
0.7988,NO
4.6329,YES
1.2388,NO
