50Traced_NONETRACED_SUM_MULTI_VSM_62_MEDIAN,Associated
0.8688,NO
0.4588,NO
1.4414,NO
0.3784,NO
1.4348,NO
0.6491,NO
0.7867,NO
0.4526,NO
0.4879,NO
3.5437,YES
0.91,NO
2.2146,YES
0.9538,NO
1.7357,NO
0.38,NO
0.7882,NO
1.4927,NO
0.6422,NO
1.1316,NO
0.6838,NO
0.8071,NO
3.0801,YES
3.4421,YES
3.1536,YES
2.7507,YES
0.5124,NO
2.8809,YES
0.8057,NO
0.9647,YES
0.4077,YES
1.0987,NO
0.4533,NO
0.7929,NO
1.3492,NO
1.5739,YES
1.3022,YES
0.8849,NO
0.3334,NO
1.0248,NO
0.1623,NO
0.6846,NO
1.078,NO
0.3453,NO
1.0986,YES
0.6496,NO
0.7955,YES
0.8555,NO
1.1532,YES
0.6858,NO
0.1212,NO
0.6166,NO
0.3374,NO
0.2658,NO
1.0216,NO
0.4238,NO
1.0494,NO
0.8908,NO
0.3643,NO
1.6892,NO
0.8641,NO
1.5599,NO
1.0252,NO
0.8164,NO
0.2038,NO
1.0075,NO
3.4447,YES
1.1868,NO
2.0603,YES
1.1301,NO
1.4552,NO
0.285,NO
0.5644,NO
2.0127,NO
0.5369,NO
1.7163,NO
0.5018,NO
1.157,NO
2.9232,YES
3.3388,YES
3.3796,YES
2.4344,YES
0.9182,NO
2.7235,YES
1.2185,NO
2.3837,YES
0.57,YES
1.1114,NO
0.2698,NO
0.6594,NO
1.0956,NO
3.1592,YES
2.8276,YES
0.8616,NO
0.9145,NO
0.7607,NO
0.4084,NO
1.17,NO
1.7466,NO
0.7303,NO
2.1586,YES
0.6411,NO
2.3501,YES
0.4833,NO
2.3185,YES
0.4175,NO
0.4819,NO
1.1415,NO
0.4915,NO
0.6676,NO
0.778,NO
0.6883,NO
0.7414,NO
1.3463,NO
0.3675,NO
1.784,YES
3.3079,YES
3.3631,YES
2.0622,YES
1.6725,NO
0.8919,NO
2.1736,YES
1.2757,NO
1.729,YES
0.6134,NO
1.7889,NO
1.9678,NO
0.6744,NO
1.0656,NO
3.9248,YES
0.9107,NO
4.3814,YES
0.9573,NO
3.6238,YES
0.9539,NO
1.3743,NO
1.3536,NO
0.9474,NO
1.8574,YES
1.4069999999999998,NO
1.9444,YES
1.3076,NO
0.4654,NO
2.0177,NO
0.4816,NO
1.4447,NO
1.5429,NO
1.4299,NO
0.73,NO
1.4654,NO
3.8049,YES
1.8445,NO
2.3218,YES
1.1349,NO
1.9084,NO
0.4114,NO
1.0158,NO
1.7074,NO
1.121,NO
1.4596,NO
1.0076,NO
0.8588,NO
3.1943,YES
3.6047,YES
3.4269,YES
2.7796,YES
1.5773,NO
3.2443,YES
1.8786,NO
0.9375,NO
0.3376,NO
1.348,YES
3.2046,YES
3.8679,YES
1.7966,YES
1.3812,NO
0.5959,NO
1.7916,YES
1.6681,NO
1.3572,YES
0.9877,NO
1.1354,NO
1.8997,NO
0.3822,NO
0.9035,NO
3.9796,YES
0.6127,NO
3.887,YES
0.6006,NO
3.9601,YES
1.1936,NO
1.7716,NO
1.6339,NO
1.0358,NO
1.4980000000000002,YES
1.0959,NO
1.3484,YES
0.9233,NO
0.4267,NO
1.8728,NO
0.19,NO
0.7124,NO
1.7704,NO
0.9412,NO
0.5549,NO
1.4092,NO
2.9797,YES
1.8824,NO
1.9578,YES
0.7003,NO
1.6165,NO
0.2033,NO
0.5666,NO
1.2109999999999999,NO
0.7343,NO
0.8039,NO
0.6607,NO
0.5252,NO
2.4377,YES
2.7768,YES
2.5768,YES
2.4929,YES
1.6686,NO
2.4409,YES
1.9503,NO
0.8476,NO
0.355,NO
1.1782,NO
0.4156,NO
0.7545,NO
0.529,NO
0.6857,NO
0.4291,NO
0.5598,NO
2.6796,YES
0.6842,NO
1.7287,YES
0.7529,NO
1.1072,NO
0.1527,NO
0.7445,NO
1.2656,NO
0.6639,NO
1.0893,NO
0.5863,NO
0.3735,NO
2.2351,YES
2.6286,YES
2.6274,YES
2.056,YES
0.5311,NO
2.1521,YES
0.7921,NO
1.0337,NO
0.4274,NO
1.5413,NO
0.2342,NO
0.9158,NO
1.2409999999999999,NO
1.2853,NO
0.6172,NO
1.2347,NO
2.9402,YES
1.2607,NO
1.6452,YES
1.3663,NO
1.8354,NO
0.6649,NO
0.8888,NO
1.0413,NO
0.7989,NO
0.9485,NO
0.8494,NO
0.3816,NO
2.5575,YES
2.9122,YES
2.4433,YES
2.1381,YES
0.9896,NO
2.2704,YES
1.2785,NO
0.8997,NO
0.365,NO
0.9514,NO
0.4273,NO
1.0423,NO
0.7027,NO
0.8475,NO
0.5401,NO
0.6631,NO
3.1249,YES
0.762,NO
1.8903,YES
0.6483,NO
1.3642,NO
0.2045,NO
0.8190000000000001,NO
1.4337,NO
0.7013,NO
0.9587,NO
0.7641,NO
0.5774,NO
2.7115,YES
2.8360000000000003,YES
2.4501,YES
2.3233,YES
0.6702,NO
2.3354,YES
0.8203,NO
1.5183,NO
0.6744,NO
3.7919,YES
1.4796,YES
2.0235,YES
4.7417,YES
1.7567,NO
0.9543,NO
4.3214,YES
1.4215,NO
4.6671,YES
0.6874,NO
1.6649,NO
2.1239,NO
0.5503,NO
0.9069,NO
