50Traced_NONETRACED_SUM_SINGLE_VSM_43_MEDIAN,Associated
0.7774,NO
0.7115,NO
0.5969,NO
0.8723,NO
0.6188,NO
0.6616,NO
0.34299999999999997,NO
0.2425,NO
1.0542,NO
2.9635,YES
0.7794,NO
2.7305,YES
0.5074,NO
0.884,NO
0.5815,NO
0.3243,NO
1.5330000000000001,NO
0.207,NO
1.2661,NO
0.8166,NO
0.58,NO
2.6069,YES
2.9682,YES
3.384,YES
2.6812,YES
0.9462,NO
2.8264,YES
0.8809,NO
1.9055,YES
1.8321,YES
1.2038,NO
0.8073,NO
0.5206,NO
0.8824,NO
1.1747,YES
0.8621,YES
1.0576,NO
0.2258,NO
0.7839,NO
0.4647,NO
0.9506,NO
1.1298,NO
1.0106,NO
1.5229,YES
0.7823,NO
1.0967,YES
0.9447,NO
1.8005,YES
0.5771,NO
0.5178,NO
0.6839,NO
0.7236,NO
0.4306,NO
0.8066,NO
0.5608,NO
1.2002,NO
0.6456,NO
0.5904,NO
0.2915,NO
0.3365,NO
0.6422,NO
0.491,NO
0.2732,NO
0.1842,NO
0.6374,NO
2.9734,YES
0.5618,NO
2.5633,YES
0.205,NO
0.6932,NO
0.2136,NO
0.2323,NO
1.2421,NO
0.2161,NO
1.2936,NO
0.7865,NO
0.4466,NO
2.8224,YES
3.3793,YES
3.6214,YES
2.804,YES
0.7156,NO
3.1058,YES
0.5734,NO
3.1628,YES
2.4764,YES
1.0168,NO
0.6658,NO
0.5271,NO
1.0732,NO
1.6428,YES
2.1071,YES
0.9744,NO
1.1183,NO
1.0015,NO
1.1829,NO
0.2549,NO
0.7123,NO
0.4647,NO
2.3548,YES
0.8743,NO
2.322,YES
0.6433,NO
3.2674,YES
0.5559,NO
1.0814,NO
1.2628,NO
1.3559999999999999,NO
1.2623,NO
0.9068,NO
1.3451,NO
1.0966,NO
0.5039,NO
0.8777,NO
2.3236,YES
4.3592,YES
4.6226,YES
3.0271,YES
0.6922,NO
0.3903,NO
2.7313,YES
0.6807,NO
2.174,YES
